,apreciohon,mapasalamaton,pagpasalamat,pagpasalamat,salamat,mapasalamaton,pagpasalamat,pag-apresyar,utang,katungdanan,kinahanglan,napiritan,kasabotan,sumpa,utangon,may utang,utang nga kinahanglan bayaran,mapasayloon,pasaylo,kasubo,mga pasaylo,mangaro hin pasaylo,pasayloa ako,pasayloa ako,pasensya na
kinahanglan,0.9893730240215715,0.9941894804672674,0.9931024731209301,0.9931024731209301,0.9937200329573942,0.9941894804672674,0.9931024731209301,0.9921247764400374,0.989145051342608,0.9912468527151528,0.9999999999999992,0.9943665972873303,0.9934048259183476,0.9949562582976381,0.9893899551380264,0.9910606212737254,0.9943773115944086,0.9956280876996616,0.9911698773663176,0.9859441848654038,0.9920547621650019,0.9921328056463269,0.9782034878612043,0.9782034878612043,0.9922499869674376
napiritan,0.988066388294384,0.9935426735262612,0.991920844995385,0.991920844995385,0.9928719261380075,0.9935426735262612,0.991920844995385,0.9906278940733948,0.9870124353833918,0.9919403907399247,0.9943665972873303,0.9999999999999996,0.9936941294855945,0.9930631537923705,0.9876341906115489,0.9886103748939706,0.9935447668325532,0.9945305618983349,0.9891932353122596,0.986381449356922,0.9903364791397115,0.9911801324587569,0.978070109560711,0.978070109560711,0.9902050334056641
kasabotan,0.991791361453873,0.9952503189252452,0.9927826813216257,0.9927826813216257,0.9950720806324225,0.9952503189252452,0.9927826813216257,0.9932227731550798,0.9904281946410914,0.989160495731167,0.9934048259183476,0.9936941294855945,0.9999999999999996,0.993619778990344,0.9909226910562596,0.9918831181767077,0.9915475860692036,0.9951402847216758,0.9935138573393048,0.9879923461823046,0.9901717442825566,0.9929376539469276,0.9832851570509266,0.9832851570509266,0.9937416035382706
sumpa,0.9922765425021092,0.994852513742746,0.992900546835326,0.992900546835326,0.9959134357277899,0.994852513742746,0.992900546835326,0.9938690147153536,0.990823512189197,0.9912062330494651,0.9949562582976381,0.9930631537923705,0.993619778990344,0.9999999999999997,0.9911241738073218,0.9925357709074303,0.9924793621919951,0.9957986462632672,0.9939807612136289,0.9901495937631544,0.9927493593940637,0.9952989476558626,0.9825562916042265,0.9825562916042265,0.9927775610678058
utangon,0.9942797113073853,0.9915457034765274,0.9894348894015412,0.9894348894015412,0.9927508396311092,0.9915457034765274,0.9894348894015412,0.9929065593776355,0.9973929250345349,0.9851326947062073,0.9893899551380264,0.9876341906115489,0.9909226910562596,0.9911241738073218,0.9999999999999997,0.995354920527987,0.9898832279174554,0.991889313277998,0.9901138439604732,0.986226789627865,0.9878425256838327,0.9933345111451789,0.9813759455999527,0.9813759455999527,0.9900288950156486
may utang,0.9939188535477447,0.9923397430024629,0.99099260788381,0.99099260788381,0.9936210106398787,0.9923397430024629,0.99099260788381,0.9939897323580226,0.9976756398983867,0.9860713248842652,0.9910606212737254,0.9886103748939706,0.9918831181767077,0.9925357709074303,0.995354920527987,0.9999999999999997,0.9909644490424674,0.9933251818455188,0.9911100971534444,0.9863135344047197,0.9905683581982782,0.9943249628215798,0.9829626778082068,0.9829626778082068,0.9916190259079798
utang nga kinahanglan bayaran,0.9898362671150571,0.9934839382842968,0.9943384509699434,0.9943384509699434,0.992595180216499,0.9934839382842968,0.9943384509699434,0.9933541852624578,0.9896210347581925,0.9920673233809636,0.9943773115944086,0.9935447668325532,0.9915475860692036,0.9924793621919951,0.9898832279174554,0.9909644490424674,0.9999999999999992,0.9943056125617956,0.9890565559817398,0.9853618092713632,0.9937997768511388,0.9921566186468775,0.97782128577985,0.97782128577985,0.9911440567041047
mapasayloon,0.9935153129723829,0.9979451435852852,0.9944109824691659,0.9944109824691659,0.9971039116243011,0.9979451435852852,0.9944109824691659,0.9951363495928266,0.9918388619053892,0.9916466247323448,0.9956280876996616,0.9945305618983349,0.9951402847216758,0.9957986462632672,0.991889313277998,0.9933251818455188,0.9943056125617956,0.9999999999999998,0.9930278114574723,0.9888139970675734,0.9935382287113967,0.9953317731445052,0.9830478024848509,0.9830478024848509,0.9946079297237547
pasaylo,0.9913423796714544,0.9928312072247729,0.9905587318819531,0.9905587318819531,0.9936851391337351,0.9928312072247729,0.9905587318819531,0.9915816812847695,0.9897458758594236,0.9862628845239082,0.9911698773663176,0.9891932353122596,0.9935138573393048,0.9939807612136289,0.9901138439604732,0.9911100971534444,0.9890565559817398,0.9930278114574723,1.0,0.9862667231397191,0.9902439765583956,0.9937666749352436,0.9825579794567669,0.9825579794567669,0.9925461090895514
kasubo,0.9872413944720407,0.9889295949715807,0.984236931693121,0.984236931693121,0.9904181890807761,0.9889295949715807,0.984236931693121,0.9867723165338966,0.9850862493175467,0.9829117557183543,0.9859441848654038,0.986381449356922,0.9879923461823046,0.9901495937631544,0.986226789627865,0.9863135344047197,0.9853618092713632,0.9888139970675734,0.9862667231397191,0.9999999999999996,0.9840151029651627,0.991261547693776,0.9798432206997991,0.9798432206997991,0.9871531037342877
mga pasaylo,0.9878386029426102,0.9924492429832457,0.9926118694223752,0.9926118694223752,0.9913634064322766,0.9924492429832457,0.9926118694223752,0.9923732604870166,0.9877572460705297,0.989531449837781,0.9920547621650019,0.9903364791397115,0.9901717442825566,0.9927493593940637,0.9878425256838327,0.9905683581982782,0.9937997768511388,0.9935382287113967,0.9902439765583956,0.9840151029651627,0.9999999999999998,0.9922827727632311,0.9792305236773715,0.9792305236773715,0.9914030570802791
mangaro hin pasaylo,0.9942683178153864,0.9950693201232083,0.9917964698830394,0.9917964698830394,0.9953939611207039,0.9950693201232083,0.9917964698830394,0.993414887287282,0.9931392661035464,0.9886880591949505,0.9921328056463269,0.9911801324587569,0.9929376539469276,0.9952989476558626,0.9933345111451789,0.9943249628215798,0.9921566186468775,0.9953317731445052,0.9937666749352436,0.991261547693776,0.9922827727632311,0.9999999999999996,0.9822936567306639,0.9822936567306639,0.9923935080542716
pasayloa ako,0.9831397476372211,0.9812409063420371,0.9777152931150558,0.9777152931150558,0.9844234774133174,0.9812409063420371,0.9777152931150558,0.9820844430765331,0.9811752027586664,0.9733809264138686,0.9782034878612043,0.978070109560711,0.9832851570509266,0.9825562916042265,0.9813759455999527,0.9829626778082068,0.97782128577985,0.9830478024848509,0.9825579794567669,0.9798432206997991,0.9792305236773715,0.9822936567306639,0.9999999999999993,0.9999999999999993,0.9852939678660609
pasayloa ako,0.9831397476372211,0.9812409063420371,0.9777152931150558,0.9777152931150558,0.9844234774133174,0.9812409063420371,0.9777152931150558,0.9820844430765331,0.9811752027586664,0.9733809264138686,0.9782034878612043,0.978070109560711,0.9832851570509266,0.9825562916042265,0.9813759455999527,0.9829626778082068,0.97782128577985,0.9830478024848509,0.9825579794567669,0.9798432206997991,0.9792305236773715,0.9822936567306639,0.9999999999999993,0.9999999999999993,0.9852939678660609
pasensya na,0.9913825727805025,0.9941194671935679,0.9919110013971685,0.9919110013971685,0.9942681742125071,0.9941194671935679,0.9919110013971685,0.9935660127071358,0.9899681755955252,0.9865299450359626,0.9922499869674376,0.9902050334056641,0.9937416035382706,0.9927775610678058,0.9900288950156486,0.9916190259079798,0.9911440567041047,0.9946079297237547,0.9925461090895514,0.9871531037342877,0.9914030570802791,0.9923935080542716,0.9852939678660609,0.9852939678660609,0.9999999999999994
