,dúpẹ́,mọrírì,mọrírì,dúpẹ́lọ́run,ọpẹ́lọ́run,ọpẹ,dúpẹ́,dúpẹ́lọ́run,ọpẹ́lọ́run,múra sí ọpẹ́,múra sí ọpẹ́,gbèsè,ojuse,dáradá,àdéhùn,ní gbèsè,gbèsè wà lórí,ní gbèsè,ní ojúṣe,ìfọ̀kànsìn,àríyànjiyàn,èbẹ̀,bèrè èbẹ̀,ma binu,ẹ má binu,ẹ darí jì mi,ẹ̀dùn okan
múra sí ọpẹ́,0.9904719265727975,0.9883969396619439,0.9883969396619439,0.9886459548005452,0.9868667291459194,0.9905936946511545,0.9904719265727975,0.9886459548005452,0.9868667291459188,0.9999999999999997,0.9999999999999997,0.9894460649522386,0.9910678306512114,0.9898844117718435,0.9903544006748579,0.9888401069061469,0.9774951242164304,0.9888401069061467,0.9856387957871712,0.9887372210425356,0.9879020265298682,0.9902601163552701,0.9745648971795106,0.9882979755247865,0.9859739045587869,0.9889209760187799,0.9887238108462691
gbèsè,0.9943342625228523,0.9890144882708084,0.9890144882708084,0.9945141122953405,0.9925447120140456,0.9932833897269882,0.9943342625228523,0.9945141122953405,0.9925447120140461,0.9894460649522386,0.9894460649522386,1.0,0.9960112138734243,0.9940048440253876,0.9957095121370269,0.9947310544636773,0.9873340698552829,0.9947310544636769,0.9903553742558874,0.9948133775635913,0.9944931310158047,0.9963489927976004,0.9790322200407908,0.9934988744146699,0.9903097407690444,0.9935910404250543,0.9953158733659268
ojuse,0.9945248311090231,0.9903006557252216,0.9903006557252216,0.9937123023677965,0.992683259231912,0.9941181504282679,0.9945248311090231,0.9937123023677965,0.9926832592319101,0.9910678306512114,0.9910678306512114,0.9960112138734243,0.9999999999999999,0.9947648510652367,0.9966745864756439,0.9946454452162985,0.9867164343454838,0.9946454452162977,0.9929712919575898,0.9947153411785971,0.994389604303397,0.9953964726614473,0.9787132278007421,0.9946881825942672,0.9913891855245438,0.9944043464014918,0.9945726801506158
dáradá,0.9940062393852936,0.9899577250714864,0.9899577250714864,0.9929553375112111,0.9922981405053842,0.9943412903115613,0.9940062393852936,0.9929553375112111,0.9922981405053837,0.9898844117718435,0.9898844117718435,0.9940048440253876,0.9947648510652367,0.9999999999999998,0.9952911196954966,0.9907780398223578,0.9813990747700413,0.990778039822358,0.9870091867477279,0.9935087643170444,0.993568388109854,0.994431415065524,0.9778514248560227,0.993768180529182,0.9901800943849159,0.9943365823323499,0.9943083024949793
àdéhùn,0.9957149621373309,0.9910276330983405,0.9910276330983405,0.9951367908807636,0.9933133573022374,0.9933740675758115,0.9957149621373309,0.9951367908807636,0.9933133573022375,0.9903544006748579,0.9903544006748579,0.9957095121370269,0.9966745864756439,0.9952911196954966,0.9999999999999993,0.9929225382852682,0.9859895906941184,0.9929225382852684,0.9896609938211356,0.9960314220043407,0.9961310162989544,0.995613431458063,0.9783901388823242,0.9955919627534119,0.9922902906517876,0.9954319185560533,0.9953709259253124
ní gbèsè,0.9908249744791151,0.9874443281653789,0.9874443281653789,0.9909066643333762,0.9896753408225816,0.9906214711672857,0.9908249744791151,0.9909066643333762,0.9896753408225812,0.9888401069061469,0.9888401069061469,0.9947310544636773,0.9946454452162985,0.9907780398223578,0.9929225382852682,0.9999999999999996,0.9868123475375697,0.9999999999999991,0.9963821679496212,0.9914532637550558,0.9914748219534701,0.9915274354104033,0.9787011971017767,0.9929974131260256,0.990781863596017,0.9927252983902931,0.9913552050370116
gbèsè wà lórí,0.9832680109697036,0.9782424811833368,0.9782424811833368,0.9840794016584853,0.9818917953472087,0.9786846064807349,0.9832680109697036,0.9840794016584853,0.9818917953472087,0.9774951242164304,0.9774951242164304,0.9873340698552829,0.9867164343454838,0.9813990747700413,0.9859895906941184,0.9868123475375697,0.9999999999999988,0.9868123475375694,0.983963769671927,0.9858227107650404,0.9864879721776462,0.9836845947851929,0.9734216770728643,0.9833987041312248,0.9807108630482287,0.9839092756429897,0.982321609546694
ní gbèsè,0.9908249744791151,0.9874443281653789,0.9874443281653789,0.9909066643333762,0.9896753408225816,0.9906214711672857,0.9908249744791151,0.9909066643333762,0.9896753408225816,0.9888401069061467,0.9888401069061467,0.9947310544636769,0.9946454452162977,0.990778039822358,0.9929225382852684,0.9999999999999991,0.9868123475375694,0.9999999999999996,0.9963821679496216,0.991453263755055,0.9914748219534704,0.9915274354104021,0.9787011971017759,0.9929974131260251,0.990781863596017,0.9927252983902931,0.9913552050370116
ní ojúṣe,0.9863324789219952,0.9840078315375292,0.9840078315375292,0.9863314986452512,0.9868340498151378,0.9867573681617907,0.9863324789219952,0.9863314986452512,0.9868340498151378,0.9856387957871712,0.9856387957871712,0.9903553742558874,0.9929712919575898,0.9870091867477279,0.9896609938211356,0.9963821679496212,0.983963769671927,0.9963821679496216,1.0000000000000002,0.987874063252409,0.9873767720892404,0.9873226543753022,0.976661515742956,0.9898781744423901,0.9878996605930519,0.9886828425649593,0.9872527388407619
ìfọ̀kànsìn,0.995554551693361,0.990508234513733,0.990508234513733,0.9952534693925714,0.9935600896705666,0.9921349218691813,0.995554551693361,0.9952534693925714,0.9935600896705666,0.9887372210425356,0.9887372210425356,0.9948133775635913,0.9947153411785971,0.9935087643170444,0.9960314220043407,0.9914532637550558,0.9858227107650404,0.991453263755055,0.987874063252409,0.9999999999999998,0.996869738065229,0.9956600047447324,0.976523569685247,0.9920214874210119,0.9893156974755332,0.993429678500923,0.9955943037521225
àríyànjiyàn,0.9944388685688539,0.9896247761897355,0.9896247761897355,0.9944164911661799,0.993759495120222,0.9913902925821317,0.9944388685688539,0.9944164911661799,0.993759495120222,0.9879020265298682,0.9879020265298682,0.9944931310158047,0.994389604303397,0.993568388109854,0.9961310162989544,0.9914748219534701,0.9864879721776462,0.9914748219534704,0.9873767720892404,0.996869738065229,0.9999999999999994,0.9945229832610806,0.9764798534566226,0.9926737612030845,0.9893859638646783,0.9939485441400737,0.9949219444280776
èbẹ̀,0.9958688276060778,0.9901419305911354,0.9901419305911354,0.9957059603698873,0.9929653019916486,0.9954456906664261,0.9958688276060778,0.9957059603698873,0.9929653019916486,0.9902601163552701,0.9902601163552701,0.9963489927976004,0.9953964726614473,0.994431415065524,0.995613431458063,0.9915274354104033,0.9836845947851929,0.9915274354104021,0.9873226543753022,0.9956600047447324,0.9945229832610806,0.9999999999999991,0.9782777620403543,0.9931323070556177,0.9903600912667968,0.9937382659295764,0.9962767242154534
bèrè èbẹ̀,0.9770938143076127,0.9732105612136642,0.9732105612136642,0.9782380868562858,0.9772264263940414,0.9757858275178962,0.9770938143076127,0.9782380868562858,0.9772264263940414,0.9745648971795106,0.9745648971795106,0.9790322200407908,0.9787132278007421,0.9778514248560227,0.9783901388823242,0.9787011971017767,0.9734216770728643,0.9787011971017759,0.976661515742956,0.976523569685247,0.9764798534566226,0.9782777620403543,0.9999999999999999,0.9788200575415329,0.9769847776701639,0.9781854550200606,0.9785051724612669
ma binu,0.9921170449717467,0.9901870462661501,0.9901870462661501,0.9925910511272785,0.9909601403158907,0.9925356694999508,0.9921170449717467,0.9925910511272785,0.9909601403158907,0.9882979755247865,0.9882979755247865,0.9934988744146699,0.9946881825942672,0.993768180529182,0.9955919627534119,0.9929974131260256,0.9833987041312248,0.9929974131260251,0.9898781744423901,0.9920214874210119,0.9926737612030845,0.9931323070556177,0.9788200575415329,0.9999999999999994,0.9956560258314109,0.9950439577241335,0.9932885845614298
ẹ má binu,0.990452688791265,0.9909848844455724,0.9909848844455724,0.9908630688543465,0.987751752843273,0.9905866784945054,0.990452688791265,0.9908630688543465,0.987751752843273,0.9859739045587869,0.9859739045587869,0.9903097407690444,0.9913891855245438,0.9901800943849159,0.9922902906517876,0.990781863596017,0.9807108630482287,0.990781863596017,0.9878996605930519,0.9893156974755332,0.9893859638646783,0.9903600912667968,0.9769847776701639,0.9956560258314109,0.9999999999999997,0.9949005837480605,0.9905291528339262
ẹ darí jì mi,0.9941759640969923,0.9924661331085389,0.9924661331085389,0.9932485094549904,0.9904381899467238,0.9932140568975617,0.9941759640969923,0.9932485094549904,0.9904381899467238,0.9889209760187799,0.9889209760187799,0.9935910404250543,0.9944043464014918,0.9943365823323499,0.9954319185560533,0.9927252983902931,0.9839092756429897,0.9927252983902931,0.9886828425649593,0.993429678500923,0.9939485441400737,0.9937382659295764,0.9781854550200606,0.9950439577241335,0.9949005837480605,0.9999999999999994,0.9936165006776807
ẹ̀dùn okan,0.9949956841653379,0.9902572018310575,0.9902572018310575,0.9954062044337354,0.994168448664264,0.9935962187428827,0.9949956841653379,0.9954062044337354,0.994168448664264,0.9887238108462691,0.9887238108462691,0.9953158733659268,0.9945726801506158,0.9943083024949793,0.9953709259253124,0.9913552050370116,0.982321609546694,0.9913552050370116,0.9872527388407619,0.9955943037521225,0.9949219444280776,0.9962767242154534,0.9785051724612669,0.9932885845614298,0.9905291528339262,0.9936165006776807,0.9999999999999991
