,qiymətləndirmək,qiymətləndirmə,minnətdar,minnətdarlıq,minnətdarlıq,təşəkkür,minnətdar,minnətdarlıq,borclu,borcluluq,öhdəlik,borclu,məcub,öhdəlik,borclu olmaq,borcu var,üzrlər,üzr,bağışlayın,bağışla,məni bağışlayın,üzr istəyən,üzr istəmək,üzr hissi
məcub,0.9926581946637643,0.9917499415527317,0.9941170127414933,0.9912490062490638,0.9912490062490638,0.9910780772882587,0.9941170127414933,0.9912490062490638,0.9910917427665553,0.9919332540212287,0.9948233344210652,0.9910917427665553,0.9999999999999997,0.9948233344210652,0.9902555511124947,0.9878720579035024,0.9914827663539708,0.9910324514415733,0.9924606980226622,0.992602093281661,0.986852602912645,0.9907150599484237,0.992160805128559,0.9937144798822348
öhdəlik,0.9942536014939015,0.9935346643080958,0.9937193897328374,0.9925335254201818,0.9925335254201818,0.9908706295798778,0.9937193897328374,0.9925335254201818,0.9929724480687401,0.9931731620741234,0.9999999999999989,0.9929724480687401,0.9948233344210652,0.9999999999999989,0.9895308207198563,0.9878958232641453,0.9924126652871221,0.9910079184355252,0.9913720113197496,0.9934041373668892,0.9862208703148966,0.9913437092661548,0.9929572899798765,0.995027971500652
borclu olmaq,0.9892574137356217,0.9917761400825729,0.9909899473314956,0.9926508255335936,0.9926508255335936,0.9901169276594783,0.9909899473314956,0.9926508255335936,0.9863751250549084,0.9941082706375768,0.9895308207198563,0.9863751250549084,0.9902555511124947,0.9895308207198563,0.9999999999999997,0.9802374181176526,0.9837126915642123,0.9826607757540258,0.9923867821332066,0.9903048922309615,0.9846871533238197,0.990675681215279,0.9908590051654974,0.9896626617778738
borcu var,0.9855753979874046,0.9837725011688672,0.9851385439881797,0.9816321607762994,0.9816321607762994,0.9821173055352899,0.9851385439881797,0.9816321607762994,0.9893396914233399,0.9834703607432492,0.9878958232641453,0.9893396914233399,0.9878720579035024,0.9878958232641453,0.9802374181176526,0.9999999999999998,0.9860768318232311,0.9876780977184203,0.9836559610116304,0.9848977178252137,0.9780171591042611,0.983282446925454,0.9836168464640398,0.9864758894066075
üzrlər,0.9907184418569815,0.9884709678650858,0.9908701586414822,0.9875483566110025,0.9875483566110025,0.9861830093249777,0.9908701586414822,0.9875483566110025,0.9880255046892187,0.9872598499161004,0.9924126652871221,0.9880255046892187,0.9914827663539708,0.9924126652871221,0.9837126915642123,0.9860768318232311,0.9999999999999996,0.9950657721757586,0.987481795055855,0.9877287487031142,0.9816475485493539,0.9882872464065341,0.9899985607707364,0.9906183662994434
üzr,0.9903127299359014,0.9878491089061847,0.9898897109358022,0.9863020164941579,0.9863020164941579,0.9853129988740892,0.9898897109358022,0.9863020164941579,0.9893686890567511,0.9861910887547957,0.9910079184355252,0.9893686890567511,0.9910324514415733,0.9910079184355252,0.9826607757540258,0.9876780977184203,0.9950657721757586,0.9999999999999999,0.9866532602144108,0.9875382019165132,0.9807333935566948,0.9872326833696173,0.9886372943211676,0.9912654613723567
bağışlayın,0.9906181685428443,0.9903929760317282,0.995158062665737,0.9913974500831596,0.9913974500831596,0.9882543671411191,0.995158062665737,0.9913974500831596,0.9870197779641898,0.9901516816407565,0.9913720113197496,0.9870197779641898,0.9924606980226622,0.9913720113197496,0.9923867821332066,0.9836559610116304,0.987481795055855,0.9866532602144108,1.0,0.9929920414296702,0.9911075387984213,0.992478593955217,0.9929983327246162,0.9916031823546185
bağışla,0.9910425502406552,0.9919265779275007,0.9911537233468402,0.9930500696975542,0.9930500696975542,0.9881477700117456,0.9911537233468402,0.9930500696975542,0.9925791265534056,0.9927376782566123,0.9934041373668892,0.9925791265534056,0.992602093281661,0.9934041373668892,0.9903048922309615,0.9848977178252137,0.9877287487031142,0.9875382019165132,0.9929920414296702,0.9999999999999993,0.9839547312088636,0.9881347240184053,0.9901011866964862,0.9959091925437343
məni bağışlayın,0.9887200911942401,0.9867523107020852,0.9903137849611455,0.9851061110273711,0.9851061110273711,0.9817974046823076,0.9903137849611455,0.9851061110273711,0.9820700270151622,0.9838141694699232,0.9862208703148966,0.9820700270151622,0.986852602912645,0.9862208703148966,0.9846871533238197,0.9780171591042611,0.9816475485493539,0.9807333935566948,0.9911075387984213,0.9839547312088636,0.9999999999999993,0.9915118838462145,0.9916730754456511,0.9851658245360352
üzr istəyən,0.9936871831586065,0.9921652711891009,0.994307919590152,0.9896258497145085,0.9896258497145085,0.9883754465764518,0.994307919590152,0.9896258497145085,0.98674854884364,0.9896416217890898,0.9913437092661548,0.98674854884364,0.9907150599484237,0.9913437092661548,0.990675681215279,0.983282446925454,0.9882872464065341,0.9872326833696173,0.992478593955217,0.9881347240184053,0.9915118838462145,0.9999999999999991,0.99762620031561,0.990076808108349
üzr istəmək,0.9953829645044328,0.993911764281197,0.9941553489909665,0.991096719424513,0.991096719424513,0.9897250996314325,0.9941553489909665,0.991096719424513,0.988230891453249,0.9905314445496944,0.9929572899798765,0.988230891453249,0.992160805128559,0.9929572899798765,0.9908590051654974,0.9836168464640398,0.9899985607707364,0.9886372943211676,0.9929983327246162,0.9901011866964862,0.9916730754456511,0.99762620031561,1.0000000000000004,0.9920867580871909
üzr hissi,0.9930249319732074,0.993541654470726,0.9930329959388727,0.9934441062083954,0.9934441062083954,0.9897863540007878,0.9930329959388727,0.9934441062083954,0.9942664119231069,0.9939861827370216,0.995027971500652,0.9942664119231069,0.9937144798822348,0.995027971500652,0.9896626617778738,0.9864758894066075,0.9906183662994434,0.9912654613723567,0.9916031823546185,0.9959091925437343,0.9851658245360352,0.990076808108349,0.9920867580871909,0.9999999999999996
