,gadyr,minnetdar,minnetdarlyk,minnetdarlyk,taşekkür,minnetdar,minnetdarlyk,gadyr etmek,sag bol,karzly,karzlylyk,borç,borçly,minnetdar,borçnama,karzly,karzly bolmak,bagyşlaýjy,bagyşlamalar,bagyşlamak,bagyşlama,bagyşlaň,ökünç,bagyşlaň,meni bagyşlaň
karzlylyk,0.9940095277715943,0.992677987624691,0.994360495828655,0.994360495828655,0.9950521652800534,0.992677987624691,0.994360495828655,0.9947116511123281,0.9925243992038509,0.9939092996787551,0.9999999999999998,0.9939019298814014,0.9955844167367304,0.9926779876246906,0.9942098216660855,0.9939092996787551,0.9944418605240213,0.9965915912241994,0.9923947675525419,0.9960198913257404,0.9963287066752163,0.9972908439379277,0.9923275509688179,0.9972908439379277,0.9949634887953256
borç,0.9928447341686898,0.9922170835126911,0.9914158697169831,0.9914158697169831,0.9934191907838891,0.9922170835126911,0.9914158697169831,0.9932737519689248,0.9942291653294639,0.9913076390281171,0.9939019298814014,0.9999999999999996,0.9942813583088397,0.9922170835126913,0.9952464822607473,0.9913076390281171,0.991253384073167,0.9940629244821916,0.9894014880765618,0.9940645597760155,0.9951152014055754,0.9953311388237407,0.9940643902258567,0.9953311388237407,0.9938670576302723
borçly,0.9914910672681518,0.9904101677689002,0.9909660893818703,0.9909660893818703,0.9929959170671697,0.9904101677689002,0.9909660893818703,0.991710599798124,0.9912787985802582,0.9968930898081798,0.9955844167367304,0.9942813583088397,0.9999999999999996,0.9904101677689001,0.9947075191587426,0.9968930898081798,0.9963176346115548,0.9971800219704227,0.9895884573845765,0.9940545728607073,0.9954783006229554,0.996040917833102,0.9913319971225751,0.996040917833102,0.992399583782543
minnetdar,0.9947454233862979,0.9999999999999996,0.9971188690803557,0.9971188690803557,0.9948949727584814,0.9999999999999996,0.9971188690803557,0.994302779316431,0.9924259501951528,0.9861136390821085,0.9926779876246906,0.9922170835126913,0.9904101677689001,0.9999999999999998,0.9929397872308152,0.9861136390821085,0.9895150580929029,0.9924750911069787,0.9942376510813485,0.9953847781088544,0.9939754904491146,0.9942736960346868,0.9934689671889761,0.9942736960346868,0.9941756757943268
borçnama,0.993393685918893,0.9929397872308148,0.992449029651085,0.992449029651085,0.9940992989473086,0.9929397872308148,0.992449029651085,0.9919783616000815,0.9917330976186408,0.9908931195146453,0.9942098216660855,0.9952464822607473,0.9947075191587426,0.9929397872308152,0.9999999999999998,0.9908931195146453,0.9927070062419934,0.9946399428473324,0.9917156131330549,0.9949547876448565,0.9957193974911069,0.995867385246969,0.9938419412822284,0.995867385246969,0.9929291124103913
karzly,0.986687835720895,0.9861136390821079,0.9872358322148945,0.9872358322148945,0.9898189198282655,0.9861136390821079,0.9872358322148945,0.9888282250544961,0.9890021607668098,1.0,0.9939092996787551,0.9913076390281171,0.9968930898081798,0.9861136390821085,0.9908931195146453,1.0,0.9940846243438501,0.9941297440712061,0.9857836097704603,0.9905152617400017,0.9929904343867015,0.9937400549100763,0.9870122318868575,0.9937400549100763,0.9895082062213685
karzly bolmak,0.9905300842098854,0.9895150580929029,0.990607052214641,0.990607052214641,0.9921571169046187,0.9895150580929029,0.990607052214641,0.9901097063991074,0.9897382280174599,0.9940846243438501,0.9944418605240213,0.991253384073167,0.9963176346115548,0.9895150580929029,0.9927070062419934,0.9940846243438501,0.9999999999999996,0.9957946969849654,0.9890625305580956,0.9937624828029861,0.9926671068265728,0.9944286906506872,0.9893460734052406,0.9944286906506872,0.9913247539449013
bagyşlaýjy,0.993247697299417,0.9924750911069787,0.9932894300928194,0.9932894300928194,0.9948199285190704,0.9924750911069787,0.9932894300928194,0.9939612565717204,0.9930249353094407,0.9941297440712061,0.9965915912241994,0.9940629244821916,0.9971800219704227,0.9924750911069787,0.9946399428473324,0.9941297440712061,0.9957946969849654,0.9999999999999993,0.992647402339755,0.996524646215233,0.9968907906942407,0.9972634199073127,0.9926303602258162,0.9972634199073127,0.9950647260872495
bagyşlamalar,0.9929194462048029,0.9942376510813485,0.9934437844080478,0.9934437844080478,0.9938021471673292,0.9942376510813485,0.9934437844080478,0.9927924725667328,0.9893273288663319,0.9857836097704603,0.9923947675525419,0.9894014880765618,0.9895884573845765,0.9942376510813485,0.9917156131330549,0.9857836097704603,0.9890625305580956,0.992647402339755,0.9999999999999999,0.9949066209012681,0.9933174882164417,0.9941609424117711,0.9905275167485609,0.9941609424117711,0.9932543842073054
bagyşlamak,0.9947493677760385,0.9953847781088544,0.9954280525319203,0.9954280525319203,0.9963823486933838,0.9953847781088544,0.9954280525319203,0.9962644015485185,0.9941092827324454,0.9905152617400017,0.9960198913257404,0.9940645597760155,0.9940545728607073,0.9953847781088544,0.9949547876448565,0.9905152617400017,0.9937624828029861,0.996524646215233,0.9949066209012681,0.9999999999999994,0.9976325058103428,0.9974565908191929,0.9944581556936369,0.9974565908191929,0.9975002608112408
bagyşlama,0.9940546030289713,0.9939754904491146,0.9941653921178282,0.9941653921178282,0.9958601855501841,0.9939754904491146,0.9941653921178282,0.9957164734402956,0.9945606768765922,0.9929904343867015,0.9963287066752163,0.9951152014055754,0.9954783006229554,0.9939754904491146,0.9957193974911069,0.9929904343867015,0.9926671068265728,0.9968907906942407,0.9933174882164417,0.9976325058103428,0.9999999999999996,0.9983500287699727,0.9941211844053899,0.9983500287699727,0.9967766462835478
bagyşlaň,0.9943168181101348,0.9942736960346868,0.994908895226894,0.994908895226894,0.9961872701228267,0.9942736960346868,0.994908895226894,0.995213270071024,0.9944203244513958,0.9937400549100763,0.9972908439379277,0.9953311388237407,0.996040917833102,0.9942736960346868,0.995867385246969,0.9937400549100763,0.9944286906506872,0.9972634199073127,0.9941609424117711,0.9974565908191929,0.9983500287699727,0.9999999999999993,0.9944175945684166,0.9999999999999993,0.9972569508301481
ökünç,0.9935327473562361,0.9934689671889761,0.9928509466356671,0.9928509466356671,0.994594139757861,0.9934689671889761,0.9928509466356671,0.9926558662487142,0.9916128315789485,0.9870122318868575,0.9923275509688179,0.9940643902258567,0.9913319971225751,0.9934689671889761,0.9938419412822284,0.9870122318868575,0.9893460734052406,0.9926303602258162,0.9905275167485609,0.9944581556936369,0.9941211844053899,0.9944175945684166,1.0000000000000002,0.9944175945684166,0.9937168381198601
bagyşlaň,0.9943168181101348,0.9942736960346868,0.994908895226894,0.994908895226894,0.9961872701228267,0.9942736960346868,0.994908895226894,0.995213270071024,0.9944203244513958,0.9937400549100763,0.9972908439379277,0.9953311388237407,0.996040917833102,0.9942736960346868,0.995867385246969,0.9937400549100763,0.9944286906506872,0.9972634199073127,0.9941609424117711,0.9974565908191929,0.9983500287699727,0.9999999999999993,0.9944175945684166,0.9999999999999993,0.9972569508301481
meni bagyşlaň,0.9929405794170757,0.9941756757943268,0.9944396009954989,0.9944396009954989,0.9951746920480912,0.9941756757943268,0.9944396009954989,0.9958221093586366,0.9956281072681985,0.9895082062213685,0.9949634887953256,0.9938670576302723,0.992399583782543,0.9941756757943268,0.9929291124103913,0.9895082062213685,0.9913247539449013,0.9950647260872495,0.9932543842073054,0.9975002608112408,0.9967766462835478,0.9972569508301481,0.9937168381198601,0.9972569508301481,0.9999999999999994
