,ацаніць,ацэнка,удзячны,удзячнасць,удзячнасць,дзякуй,удзячны,удзячнасць,запазычаны,запазычанасць,абавязак,абавязаны,абавязацельства,вінаваціць,вінны,быць вінны,прабачлівы,прабачэнні,прабачэнне,прабачце,спачуванне,прабач,даруйце мне,прасіць прабачэння
абавязак,0.9921300125207954,0.9881049001560848,0.9918154980601002,0.9908387059541901,0.9908387059541901,0.9917136055562706,0.9918154980601002,0.9908387059541901,0.9890319724192472,0.9933170561511556,1.0000000000000002,0.9871575385856193,0.9908074548027251,0.9876762322147322,0.9870488029686729,0.9894977330648136,0.9911822915775678,0.9911571581154287,0.989400194484752,0.992914482025899,0.9921371487813722,0.9898054753201516,0.9873612204742841,0.9891016612926499
абавязаны,0.9921545240917132,0.9822249545379278,0.9909139729378869,0.9861881211987694,0.9861881211987694,0.9870583357492981,0.9909139729378869,0.9861881211987694,0.9933575192491103,0.9884934863274198,0.9871575385856193,0.9999999999999996,0.9835082995058495,0.9854814619898399,0.9874953496335906,0.9869313824913115,0.9910177823974047,0.9875150506104938,0.9875668162997273,0.9867325494842485,0.9834552913062574,0.9888898047929865,0.986144453063265,0.9889082025430306
абавязацельства,0.9873498499922646,0.9863460379269118,0.9873985545001347,0.9887074560613293,0.9887074560613293,0.984141416550345,0.9873985545001347,0.9887074560613293,0.9832813384613214,0.9893491566418753,0.9908074548027251,0.9835082995058495,0.9999999999999999,0.9800494541281533,0.9824320565904592,0.98310740861567,0.9871466469456784,0.9867779498383769,0.9875090436003464,0.9870559099462235,0.9872861369879125,0.9862721421502589,0.9795914952470811,0.9865979146331447
вінаваціць,0.9884400378117454,0.9805507852113906,0.9909617917651965,0.985483223227625,0.985483223227625,0.9885955869408632,0.9909617917651965,0.985483223227625,0.9875474409027599,0.9879184223329235,0.9876762322147322,0.9854814619898399,0.9800494541281533,0.9999999999999996,0.9948695168978742,0.9891102636814827,0.989142302796064,0.9866854341413683,0.985646661010585,0.9898179535421405,0.985393920748094,0.9878509700610789,0.9857530391510776,0.9856304915495463
вінны,0.9895872468664701,0.9801119034712461,0.9913732112022117,0.9852395452787474,0.9852395452787474,0.9888240263006991,0.9913732112022117,0.9852395452787474,0.9888112446068582,0.9875417296036093,0.9870488029686729,0.9874953496335906,0.9824320565904592,0.9948695168978742,0.9999999999999994,0.9901916051793547,0.9894407274578868,0.98683384283682,0.9861539972359826,0.9888594787868054,0.9842180631159639,0.9891959677439373,0.985951283661307,0.986288258253681
быць вінны,0.9931788596404715,0.9843059743529692,0.9908090513961456,0.9919420416089043,0.9919420416089043,0.9908362757800531,0.9908090513961456,0.9919420416089043,0.9891963042626327,0.9924460022794638,0.9894977330648136,0.9869313824913115,0.98310740861567,0.9891102636814827,0.9901916051793547,0.9999999999999998,0.9948226163271917,0.9905340470834538,0.9898569442702558,0.9930376116636144,0.9911380250799511,0.9886651317197562,0.9947001980211098,0.9922585033550118
прабачлівы,0.9953236531842347,0.9890497027424724,0.9948757942374173,0.9945756328043782,0.9945756328043782,0.9911441474933438,0.9948757942374173,0.9945756328043782,0.993087365194807,0.994283264818802,0.9911822915775678,0.9910177823974047,0.9871466469456784,0.989142302796064,0.9894407274578868,0.9948226163271917,0.9999999999999997,0.9945351389772529,0.9953391415579964,0.9951023748674458,0.9914043102428209,0.9939608424138007,0.9915481719364623,0.9959221463730676
прабачэнні,0.9927813420359833,0.987095221556952,0.9912464770691829,0.9929555842232531,0.9929555842232531,0.9900976092451937,0.9912464770691829,0.9929555842232531,0.9902135969698926,0.9930781625398583,0.9911571581154287,0.9875150506104938,0.9867779498383769,0.9866854341413683,0.98683384283682,0.9905340470834538,0.9945351389772529,0.9999999999999994,0.9943616086806932,0.9947469687722802,0.9929673201011749,0.9901083565905046,0.9878918301548114,0.9926044980593594
прабачэнне,0.9930679840435916,0.988104420996905,0.9914276687144415,0.9943360844540596,0.9943360844540596,0.9876059179909181,0.9914276687144415,0.9943360844540596,0.9906568300873868,0.993527274077534,0.989400194484752,0.9875668162997273,0.9875090436003464,0.985646661010585,0.9861539972359826,0.9898569442702558,0.9953391415579964,0.9943616086806932,1.0000000000000004,0.99309403578742,0.9922736500222772,0.9919864367135677,0.9876459139234665,0.9958603197131312
прабачце,0.9936304306591939,0.9870605617689512,0.9929035489139342,0.9928261394003728,0.9928261394003728,0.9919361655636004,0.9929035489139342,0.9928261394003728,0.9897017870033066,0.9941159024131428,0.992914482025899,0.9867325494842485,0.9870559099462235,0.9898179535421405,0.9888594787868054,0.9930376116636144,0.9951023748674458,0.9947469687722802,0.99309403578742,0.9999999999999998,0.9931631136727299,0.9922289164899483,0.9909599228001008,0.9932277169343889
спачуванне,0.9912187958510938,0.9863475231290655,0.9890563908099933,0.993933797891536,0.993933797891536,0.9900172083395069,0.9890563908099933,0.993933797891536,0.9869737245707821,0.9937868623609553,0.9921371487813722,0.9834552913062574,0.9872861369879125,0.985393920748094,0.9842180631159639,0.9911380250799511,0.9914043102428209,0.9929673201011749,0.9922736500222772,0.9931631136727299,0.9999999999999996,0.986444023558749,0.9879799226215659,0.9906846086216484
прабач,0.9922052166142,0.9880463559307172,0.9944180388216348,0.9899502377669351,0.9899502377669351,0.9890045997768485,0.9944180388216348,0.9899502377669351,0.9907840249023057,0.9905605918143193,0.9898054753201516,0.9888898047929865,0.9862721421502589,0.9878509700610789,0.9891959677439373,0.9886651317197562,0.9939608424138007,0.9901083565905046,0.9919864367135677,0.9922289164899483,0.986444023558749,0.9999999999999993,0.9866874662664606,0.9913495275922825
даруйце мне,0.9913818371011391,0.9812721591096338,0.9879734420183108,0.9890141631222796,0.9890141631222796,0.9895145954654662,0.9879734420183108,0.9890141631222796,0.9868674241058302,0.9898218377202226,0.9873612204742841,0.986144453063265,0.9795914952470811,0.9857530391510776,0.985951283661307,0.9947001980211098,0.9915481719364623,0.9878918301548114,0.9876459139234665,0.9909599228001008,0.9879799226215659,0.9866874662664606,0.9999999999999997,0.9898786139073062
прасіць прабачэння,0.9953102649682884,0.9885200916832055,0.9910971469899108,0.9931950472926052,0.9931950472926052,0.9875311640508577,0.9910971469899108,0.9931950472926052,0.9902736166510295,0.9938125893447157,0.9891016612926499,0.9889082025430306,0.9865979146331447,0.9856304915495463,0.986288258253681,0.9922585033550118,0.9959221463730676,0.9926044980593594,0.9958603197131312,0.9932277169343889,0.9906846086216484,0.9913495275922825,0.9898786139073062,0.9999999999999993
