,waarderen,waardering,dankbaar,dankbaarheid,bedanken,dankbaar,verschuldigd,schuld,verplichting,verplicht,schuldig,schuldig zijn,verontschuldigend,verontschuldigingen,verontschuldigen,verontschuldiging,pardon,spijt,sorry,excuseer me,neem me niet kwalijk,vergeef me
schuldig,0.9924593353309203,0.9900487818445889,0.9957621964051515,0.9888159942363555,0.9913337745451097,0.9957621964051515,0.995055256288169,0.9978256514071631,0.9938571703680873,0.9963031307079113,1.0,0.9968384437081941,0.9961018811989548,0.9936328596600051,0.996830836972683,0.9914521107974803,0.9948273516402137,0.991787346264731,0.991498851527247,0.991570116731012,0.9926129224227482,0.9934236928749008
schuldig zijn,0.9907041288672042,0.9880728516052579,0.994841138314849,0.9887515531099594,0.9893642461920574,0.994841138314849,0.9938229179118886,0.9957960070083681,0.991535391622039,0.9954071004428615,0.9968384437081941,0.9999999999999994,0.9943486899395414,0.9916390136534117,0.9952571501317881,0.988296953255652,0.9933201232925695,0.9907667877916664,0.9903077694469415,0.9903341003729277,0.994308672200029,0.993698644989338
verontschuldigend,0.9932560842709426,0.9924292020517351,0.9951866641573853,0.9899306080726508,0.9910120354860825,0.9951866641573853,0.9967382150605619,0.9942131878088613,0.9952368327066461,0.9968189909604726,0.9961018811989548,0.9943486899395414,0.9999999999999996,0.9946422944626092,0.9972230028545258,0.9922844238629743,0.9931299659925619,0.9917806244576834,0.9876141836480854,0.9893838705236501,0.9913561241975384,0.9923283601360882
verontschuldigingen,0.993194948792939,0.9933655540757576,0.9926451762168208,0.9896116593912195,0.9910901373709363,0.9926451762168208,0.9928734806198913,0.9933372322606194,0.995688442588126,0.992443068167165,0.9936328596600051,0.9916390136534117,0.9946422944626092,1.0000000000000004,0.9954544186015157,0.9964422673767293,0.993399853139326,0.990305849816643,0.9853421186635598,0.9884062047740945,0.9893285929080334,0.9903555785297855
verontschuldigen,0.9931889928532542,0.9909542782022868,0.9945535987972589,0.9883726396401281,0.9916281871457887,0.9945535987972589,0.9964261775368831,0.9948268644721757,0.9948299825422444,0.9955379546318566,0.996830836972683,0.9952571501317881,0.9972230028545258,0.9954544186015157,0.9999999999999992,0.9925103353757097,0.9942821825007762,0.9917261464567859,0.9879466232242214,0.9898898280543055,0.990809503462162,0.9921348967052152
verontschuldiging,0.9897647504896647,0.9917908801168297,0.9892181361315338,0.9862881884930441,0.9895616028588705,0.9892181361315338,0.9913558590713063,0.991026228877319,0.9944005784462715,0.9900918600355637,0.9914521107974803,0.988296953255652,0.9922844238629743,0.9964422673767293,0.9925103353757097,0.9999999999999996,0.9915248587886952,0.9881743580933597,0.9834247296268187,0.9876260576101604,0.9855137337995448,0.9881292831958066
pardon,0.9924675087342549,0.9905940349787858,0.9940327678383475,0.9885488575237499,0.9913937531679587,0.9940327678383475,0.9925519121480885,0.99488476848086,0.9926892826498599,0.9936066570969075,0.9948273516402137,0.9933201232925695,0.9931299659925619,0.993399853139326,0.9942821825007762,0.9915248587886952,0.9999999999999998,0.9916591708762039,0.9911967156784488,0.9920668631394775,0.9917177330750714,0.9928509083433121
spijt,0.9923548329699121,0.9902754622610828,0.9920748966717154,0.986840405032551,0.9917686400032373,0.9920748966717154,0.9917842494923297,0.9911407753931244,0.992777339487535,0.9920767692306068,0.991787346264731,0.9907667877916664,0.9917806244576834,0.990305849816643,0.9917261464567859,0.9881743580933597,0.9916591708762039,0.9999999999999994,0.9857512460496265,0.9893126957330932,0.9895623941602201,0.9920380374190197
sorry,0.9860998086485971,0.9828399025120247,0.9910865563374363,0.9828112074523565,0.9865095752162311,0.9910865563374363,0.9871589649351693,0.9913753917770237,0.9860322003262121,0.990102568386932,0.991498851527247,0.9903077694469415,0.9876141836480854,0.9853421186635598,0.9879466232242214,0.9834247296268187,0.9911967156784488,0.9857512460496265,0.9999999999999996,0.9897429030972696,0.9893848543208564,0.9889593219608617
excuseer me,0.9899107640205465,0.9861788066035232,0.990377849529172,0.9830559271875993,0.9886683033471456,0.990377849529172,0.9891197679913631,0.991210524838126,0.9889981305445771,0.9901948084855569,0.991570116731012,0.9903341003729277,0.9893838705236501,0.9884062047740945,0.9898898280543055,0.9876260576101604,0.9920668631394775,0.9893126957330932,0.9897429030972696,0.9999999999999998,0.9892810465468833,0.9944533360730092
neem me niet kwalijk,0.9895667139407448,0.9868625292923836,0.9943715343884773,0.9893922467560722,0.9880293323456141,0.9943715343884773,0.9899065872249823,0.9925573966753518,0.9897062956020957,0.9932179631835447,0.9926129224227482,0.994308672200029,0.9913561241975384,0.9893285929080334,0.990809503462162,0.9855137337995448,0.9917177330750714,0.9895623941602201,0.9893848543208564,0.9892810465468833,0.9999999999999996,0.9941930428160969
vergeef me,0.9926580101634962,0.9894233532425909,0.993795279194845,0.9883574519143905,0.9909022618688103,0.993795279194845,0.9910381853380158,0.9936887056009114,0.9919315903398411,0.9941256050758237,0.9934236928749008,0.993698644989338,0.9923283601360882,0.9903555785297855,0.9921348967052152,0.9881292831958066,0.9928509083433121,0.9920380374190197,0.9889593219608617,0.9944533360730092,0.9941930428160969,0.9999999999999993
