,verdsette,verdsettelse,takknemlig,takknemlighet,takknemlighet,takk,takknemlig,takknemlighet,forgjeldet,gjeldsatt,gjeldsforpliktelse,forpliktelse,forpliktet,tvunget,forpliktelse,skylde,skyldende,unnskyldende,unnskyldninger,unnskyldning,sorg,beklager,tilgi meg,unnskyld meg,be om unnskyldning
gjeldsforpliktelse,0.9889073744620367,0.9912064405838722,0.9931815753426765,0.9937596180936477,0.9937596180936477,0.9891765729836131,0.9931815753426765,0.9937596180936477,0.9881885697041304,0.9944176300975445,0.9999999999999998,0.9912387000783611,0.9897066375070549,0.9888783925554423,0.9912387000783611,0.9919578896183324,0.9886865844662099,0.9905287834483012,0.9912585948843045,0.9924495963878719,0.9887029606859914,0.988877745500654,0.9859605143920839,0.9850419958886288,0.9930219361096643
forpliktelse,0.98931413151312,0.9931664735418965,0.9927616986728168,0.993798914915945,0.993798914915945,0.9924106376347122,0.9927616986728168,0.993798914915945,0.9852024687517171,0.9913184075240933,0.9912387000783611,0.9999999999999996,0.9928137950035021,0.9922425647556855,0.9999999999999996,0.9926213286453687,0.9903472012372501,0.994136199594647,0.9959816415655078,0.9947373859190889,0.9919906573289692,0.9916787799263809,0.9902579368133987,0.9892382805369834,0.9945825083516086
forpliktet,0.9872461547668693,0.9903029162292848,0.9917699687900761,0.9888912188014483,0.9888912188014483,0.9915132714809191,0.9917699687900761,0.9888912188014483,0.9863935424963458,0.9891079408031199,0.9897066375070549,0.9928137950035021,0.9999999999999994,0.9910714837611614,0.9928137950035021,0.9922708310273054,0.9894350363949321,0.991019555857251,0.9914742341483643,0.9899087476320764,0.991079920092738,0.9918095610086242,0.9898575383271233,0.9890662506698304,0.9911454115986215
tvunget,0.9916599073742992,0.9918134519090838,0.9937711895406929,0.9906744172992837,0.9906744172992837,0.9951302506491821,0.9937711895406929,0.9906744172992837,0.9858681589822401,0.9909912270745554,0.9888783925554423,0.9922425647556855,0.9910714837611614,1.0000000000000004,0.9922425647556855,0.9946369142599919,0.9912992559496512,0.9944764389308387,0.9932704465719289,0.993178194968145,0.9942576393485903,0.9938356508157636,0.992107030082266,0.9916124249570379,0.9922106182569564
forpliktelse,0.98931413151312,0.9931664735418965,0.9927616986728168,0.993798914915945,0.993798914915945,0.9924106376347122,0.9927616986728168,0.993798914915945,0.9852024687517171,0.9913184075240933,0.9912387000783611,0.9999999999999996,0.9928137950035021,0.9922425647556855,0.9999999999999996,0.9926213286453687,0.9903472012372501,0.994136199594647,0.9959816415655078,0.9947373859190889,0.9919906573289692,0.9916787799263809,0.9902579368133987,0.9892382805369834,0.9945825083516086
skylde,0.991841000275175,0.9926263252212755,0.9953408659211851,0.9925286573766047,0.9925286573766047,0.995358574174956,0.9953408659211851,0.9925286573766047,0.9899340550310666,0.9926465563953067,0.9919578896183324,0.9926213286453687,0.9922708310273054,0.9946369142599919,0.9926213286453687,1.0,0.9930895136240548,0.9945749677349158,0.9942416024224312,0.9942611530982545,0.994253443738955,0.9944354253820455,0.9932222697013011,0.992255748820765,0.993391236881798
skyldende,0.988394423035145,0.9896928265458569,0.9917419206104398,0.9887077525504405,0.9887077525504405,0.991434343882883,0.9917419206104398,0.9887077525504405,0.9863557405248629,0.9887100609774125,0.9886865844662099,0.9903472012372501,0.9894350363949321,0.9912992559496512,0.9903472012372501,0.9930895136240548,0.9999999999999998,0.9943904384283211,0.9915361542157868,0.9900473479703868,0.9910765468661653,0.9918576088238957,0.987404352645277,0.9862932620537621,0.9896115059948676
unnskyldende,0.9910739514892225,0.9927001239510812,0.993760257551324,0.9924695330290129,0.9924695330290129,0.9939259223103982,0.993760257551324,0.9924695330290129,0.9854154009824647,0.9909375986168121,0.9905287834483012,0.994136199594647,0.991019555857251,0.9944764389308387,0.994136199594647,0.9945749677349158,0.9943904384283211,0.9999999999999997,0.9958982404593509,0.9942532952859218,0.9926745723345825,0.9934081663979603,0.991900031909783,0.9915763460370957,0.9938910206752377
unnskyldninger,0.9905378666584113,0.9932417030886189,0.9937934844758871,0.9935154696489997,0.9935154696489997,0.9943860780329518,0.9937934844758871,0.9935154696489997,0.9854513668686805,0.9914059238540387,0.9912585948843045,0.9959816415655078,0.9914742341483643,0.9932704465719289,0.9959816415655078,0.9942416024224312,0.9915361542157868,0.9958982404593509,1.0000000000000002,0.9965866564486607,0.9928812024291095,0.9931162891649971,0.991867832378445,0.9914388767229219,0.9952747999614517
unnskyldning,0.9915550745457828,0.9944450815289284,0.9938826064064674,0.9948602128066689,0.9948602128066689,0.9922721468864628,0.9938826064064674,0.9948602128066689,0.9868507285550006,0.9940748645283283,0.9924495963878719,0.9947373859190889,0.9899087476320764,0.993178194968145,0.9947373859190889,0.9942611530982545,0.9900473479703868,0.9942532952859218,0.9965866564486607,0.9999999999999994,0.9917140430933133,0.9909059491573102,0.9905771144395108,0.990729980731184,0.9964397965026086
sorg,0.9902785536567401,0.9901362434074992,0.9944836757042573,0.9899753340407308,0.9899753340407308,0.9961418093639104,0.9944836757042573,0.9899753340407308,0.9842711016204196,0.9891264429453621,0.9887029606859914,0.9919906573289692,0.991079920092738,0.9942576393485903,0.9919906573289692,0.994253443738955,0.9910765468661653,0.9926745723345825,0.9928812024291095,0.9917140430933133,0.9999999999999998,0.9951284515380279,0.9917350328972179,0.991718061700932,0.9915270675197886
beklager,0.9903585577455679,0.989522328759529,0.9939328543419615,0.989790801281041,0.989790801281041,0.996223181768886,0.9939328543419615,0.989790801281041,0.9845258057817636,0.9893277623501064,0.988877745500654,0.9916787799263809,0.9918095610086242,0.9938356508157636,0.9916787799263809,0.9944354253820455,0.9918576088238957,0.9934081663979603,0.9931162891649971,0.9909059491573102,0.9951284515380279,1.0000000000000002,0.9924187361816129,0.9923842696241172,0.9912980888309785
tilgi meg,0.9863805693987683,0.9883540055541159,0.9908570074993528,0.9879892667303203,0.9879892667303203,0.9936380999943595,0.9908570074993528,0.9879892667303203,0.9818414506158167,0.9876857005812479,0.9859605143920839,0.9902579368133987,0.9898575383271233,0.992107030082266,0.9902579368133987,0.9932222697013011,0.987404352645277,0.991900031909783,0.991867832378445,0.9905771144395108,0.9917350328972179,0.9924187361816129,0.9999999999999994,0.9973876557158822,0.9897408851559293
unnskyld meg,0.9871832880054833,0.9880731437408106,0.9902995208842473,0.9869709506654585,0.9869709506654585,0.9933634974944355,0.9902995208842473,0.9869709506654585,0.9808885927274861,0.9871675190235901,0.9850419958886288,0.9892382805369834,0.9890662506698304,0.9916124249570379,0.9892382805369834,0.992255748820765,0.9862932620537621,0.9915763460370957,0.9914388767229219,0.990729980731184,0.991718061700932,0.9923842696241172,0.9973876557158822,0.9999999999999998,0.989372337835094
be om unnskyldning,0.9916668346806987,0.9938264798249966,0.9936698372455878,0.9935696904339447,0.9935696904339447,0.9921524159168634,0.9936698372455878,0.9935696904339447,0.9874902212153072,0.9935147192459841,0.9930219361096643,0.9945825083516086,0.9911454115986215,0.9922106182569564,0.9945825083516086,0.993391236881798,0.9896115059948676,0.9938910206752377,0.9952747999614517,0.9964397965026086,0.9915270675197886,0.9912980888309785,0.9897408851559293,0.989372337835094,0.9999999999999991
