,aprecier,apreciåcion,rin.merciant,rin.merciante,rin.merciement,rin.merciement,merci,rin.merciant,rin.merciante,rin.merciement,djetteré,djetterèye,oblidjance,astchî,oblidjî,astchant,oblidjance,duvrî,djetteré,k' est astchî,escuseu,disculpes,s'escuser,disculpe,tristesse,disculpez-me,pardon-ne-me,dji su soreu
djetterèye,0.9934613555737362,0.9889987554975035,0.9913288149544688,0.990262711155637,0.991774824889445,0.991774824889445,0.9938468448209645,0.9913288149544688,0.9902627111556364,0.9917748248894444,0.9975127926149628,0.9999999999999998,0.9931818786451793,0.9958943285935155,0.9949155486629692,0.9953384488429099,0.9931818786451798,0.9937613827219745,0.9975127926149624,0.9930021402179989,0.9931194445344552,0.9934148183405839,0.9918757151951897,0.9935331471022021,0.9936488310742632,0.9915342567150672,0.9931848459302198,0.9944428156735707
oblidjance,0.9918082685903049,0.9884779031920455,0.9881699121747429,0.9875007176483247,0.9882743690449205,0.9882743690449205,0.9901964023956764,0.9881699121747429,0.9875007176483243,0.9882743690449198,0.9951659159294057,0.9931818786451793,1.0,0.9933560157984569,0.996323448765636,0.9926485125438463,1.0000000000000002,0.9913389043757266,0.9951659159294066,0.9912215905064756,0.9910324287836906,0.9911702944174688,0.9902294103386245,0.9917246685685422,0.9917910912662562,0.9899565130546155,0.9906444706094052,0.9933143796622285
astchî,0.9937098357570529,0.9887142707784583,0.9936492357086197,0.9926262286276861,0.9931553862665411,0.9931553862665411,0.993329226111159,0.9936492357086197,0.9926262286276857,0.9931553862665408,0.9968061381082703,0.9958943285935155,0.9933560157984569,0.9999999999999998,0.9961929484919554,0.9981437102223083,0.9933560157984566,0.9962834148298986,0.9968061381082698,0.994722913856836,0.9937207774395007,0.9923037779445733,0.9929275799261503,0.992971429808473,0.9940470415142034,0.9909268870881465,0.99302340349307,0.9939526415904391
oblidjî,0.9932137094784298,0.9887986243736061,0.992130084074232,0.9916050014659004,0.9920174336517081,0.9920174336517081,0.991714553144669,0.992130084074232,0.9916050014659006,0.9920174336517078,0.9960681399744098,0.9949155486629692,0.996323448765636,0.9961929484919554,1.0000000000000007,0.9952980325364531,0.9963234487656357,0.9949370194158709,0.99606813997441,0.9928160811837563,0.9936938729187329,0.9924707392579489,0.9918912926132002,0.993092161001943,0.9928516904049058,0.9913338937996298,0.9924212349301015,0.9944340077460839
astchant,0.993065651380435,0.9889219500624173,0.9934614422821507,0.9921048855358421,0.992550009377546,0.992550009377546,0.9926020182576568,0.9934614422821507,0.9921048855358422,0.9925500093775451,0.9964011906599273,0.9953384488429099,0.9926485125438463,0.9981437102223083,0.9952980325364531,0.9999999999999998,0.9926485125438465,0.99573656671616,0.996401190659928,0.9929506668360812,0.9927898583278475,0.9918847578850511,0.9921625047344893,0.9922058072911598,0.9934096068466368,0.9899295047599888,0.9921512436169805,0.9927562555650856
oblidjance,0.9918082685903049,0.9884779031920455,0.9881699121747429,0.9875007176483247,0.9882743690449205,0.9882743690449205,0.9901964023956764,0.9881699121747429,0.9875007176483247,0.9882743690449205,0.9951659159294066,0.9931818786451798,1.0000000000000002,0.9933560157984566,0.9963234487656357,0.9926485125438465,1.0,0.991338904375726,0.9951659159294057,0.9912215905064765,0.9910324287836911,0.9911702944174682,0.9902294103386248,0.9917246685685428,0.9917910912662562,0.9899565130546155,0.9906444706094052,0.9933143796622285
duvrî,0.9925810468714527,0.9879881524000305,0.9945434810889253,0.9933959540167187,0.9939379459032196,0.9939379459032196,0.9917741473711954,0.9945434810889253,0.9933959540167187,0.9939379459032196,0.9953852652463807,0.9937613827219745,0.9913389043757266,0.9962834148298986,0.9949370194158709,0.99573656671616,0.991338904375726,0.9999999999999997,0.9953852652463798,0.9918143514530615,0.9930867829706926,0.9913109441548631,0.9917894469320906,0.9917763488218561,0.993064197565616,0.9891985790562633,0.9908666002434866,0.992285391719008
djetteré,0.9956220979958682,0.9907095408855465,0.9931631934793883,0.9926955254968528,0.9936342658703591,0.9936342658703591,0.9938157680724112,0.9931631934793883,0.9926955254968528,0.9936342658703591,0.9999999999999986,0.9975127926149624,0.9951659159294066,0.9968061381082698,0.99606813997441,0.996401190659928,0.9951659159294057,0.9953852652463798,0.9999999999999991,0.9947856258692507,0.9951263671048658,0.9937084349419543,0.9938809398128621,0.9942591018058593,0.9954095842414893,0.9927845651222055,0.9939191452223782,0.9953392901964448
k' est astchî,0.9947186877537799,0.986528722164031,0.9911987934000678,0.9901069257121015,0.9921272802901205,0.9921272802901205,0.9921272778089315,0.9911987934000678,0.9901069257121015,0.9921272802901205,0.9947856258692505,0.9930021402179989,0.9912215905064756,0.994722913856836,0.9928160811837563,0.9929506668360812,0.9912215905064765,0.9918143514530615,0.9947856258692507,0.9999999999999992,0.9938524267192375,0.9904144619392077,0.9944820879904442,0.9914841455373321,0.9945728630210203,0.9916996602186585,0.9932630380022307,0.994291311249713
escuseu,0.9951262929437876,0.9889933910951023,0.992176874174998,0.9913865282395113,0.9930106918111479,0.9930106918111479,0.9916285663498703,0.992176874174998,0.9913865282395113,0.9930106918111479,0.9951263671048669,0.9931194445344552,0.9910324287836906,0.9937207774395007,0.9936938729187329,0.9927898583278475,0.9910324287836911,0.9930867829706926,0.9951263671048658,0.9938524267192375,1.0,0.9924340459410133,0.9958910654596834,0.9931505777692222,0.9950388225323579,0.9922601397680619,0.9929902279227784,0.994870074390109
disculpes,0.9912089899134635,0.9884590058394398,0.9889748021541314,0.9880581817739451,0.9890302306452262,0.9890302306452262,0.99247776276349,0.9889748021541314,0.9880581817739451,0.9890302306452262,0.9937084349419545,0.9934148183405839,0.9911702944174688,0.9923037779445733,0.9924707392579489,0.9918847578850511,0.9911702944174682,0.9913109441548631,0.9937084349419543,0.9904144619392077,0.9924340459410133,1.0000000000000007,0.9908187351025869,0.9983621711322437,0.9919510051570232,0.9943817026679399,0.991943466839523,0.991798289417692
s'escuser,0.9944645103569574,0.9875408030817764,0.9918160902052758,0.991289358367623,0.9925528640507874,0.9925528640507874,0.9905244320387938,0.9918160902052758,0.991289358367623,0.9925528640507874,0.9938809398128619,0.9918757151951897,0.9902294103386245,0.9929275799261503,0.9918912926132002,0.9921625047344893,0.9902294103386248,0.9917894469320906,0.9938809398128621,0.9944820879904442,0.9958910654596834,0.9908187351025869,0.9999999999999997,0.9913140315486404,0.9943022274171653,0.990882251780458,0.9924369232481235,0.9926870413813378
disculpe,0.9916418187502399,0.9886329797297349,0.9896928140228112,0.9888815970427863,0.9896690237317282,0.9896690237317282,0.9922431741958171,0.9896928140228112,0.9888815970427863,0.9896690237317282,0.9942591018058604,0.9935331471022021,0.9917246685685422,0.992971429808473,0.993092161001943,0.9922058072911598,0.9917246685685428,0.9917763488218561,0.9942591018058593,0.9914841455373321,0.9931505777692222,0.9983621711322437,0.9913140315486404,1.0,0.9922934155152561,0.995711626325474,0.9922272919719891,0.9927362011655241
tristesse,0.9964759181009887,0.9893261909948665,0.9925172282302075,0.9916597870531223,0.9933720244963838,0.9933720244963838,0.9929155300093155,0.9925172282302075,0.9916597870531223,0.9933720244963838,0.9954095842414893,0.9936488310742632,0.9917910912662562,0.9940470415142034,0.9928516904049058,0.9934096068466368,0.9917910912662562,0.993064197565616,0.9954095842414893,0.9945728630210203,0.9950388225323579,0.9919510051570232,0.9943022274171653,0.9922934155152561,0.9999999999999998,0.9918543267605201,0.9941896069511356,0.9931781183309081
disculpez-me,0.99210552103781,0.9870576123137589,0.9885449479162165,0.987890298706342,0.9889521539747718,0.9889521539747718,0.9904044889844468,0.9885449479162165,0.987890298706342,0.9889521539747718,0.9927845651222055,0.9915342567150672,0.9899565130546155,0.9909268870881465,0.9913338937996298,0.9899295047599888,0.9899565130546155,0.9891985790562633,0.9927845651222055,0.9916996602186585,0.9922601397680619,0.9943817026679399,0.990882251780458,0.995711626325474,0.9918543267605201,1.0,0.9956905794703518,0.9926280912455775
pardon-ne-me,0.9940742951179876,0.9873097351360297,0.9906703088341533,0.9899678228861499,0.9914498844662054,0.9914498844662054,0.9920523547582694,0.9906703088341533,0.9899678228861499,0.9914498844662054,0.9939191452223782,0.9931848459302198,0.9906444706094052,0.99302340349307,0.9924212349301015,0.9921512436169805,0.9906444706094052,0.9908666002434866,0.9939191452223782,0.9932630380022307,0.9929902279227784,0.991943466839523,0.9924369232481235,0.9922272919719891,0.9941896069511356,0.9956905794703518,0.9999999999999996,0.9933630484518763
dji su soreu,0.9932433949755334,0.9877667948052337,0.9909474598825032,0.9901475341130094,0.9917046457308659,0.9917046457308659,0.9915097772660295,0.9909474598825032,0.9901475341130094,0.9917046457308659,0.9953392901964448,0.9944428156735707,0.9933143796622285,0.9939526415904391,0.9944340077460839,0.9927562555650856,0.9933143796622285,0.992285391719008,0.9953392901964448,0.994291311249713,0.994870074390109,0.991798289417692,0.9926870413813378,0.9927362011655241,0.9931781183309081,0.9926280912455775,0.9933630484518763,0.9999999999999998
