,ценя,признателност,благодарност,благодарност,благодаря,благодарност,благодарен / благодарна,благодарен / благодарна,задлъжнял,задължен,задлъжнялост,задължение,задължен,задължение,дължа,дължа,в дълг,извинителен,извинения,извинение,извинете,съжаление,съжалявам,извинявам се,простете ми
задлъжнялост,0.9930658225267555,0.9853294044313157,0.9917574168122304,0.9917574168122304,0.9879341092604401,0.9917574168122304,0.9904903921483892,0.9904903921483892,0.9957270674379805,0.9941783968267331,1.0,0.994164657700509,0.9941783968267331,0.994164657700509,0.9932982302332858,0.9932982302332858,0.9893682783627163,0.993325586517402,0.9926414925491328,0.9918794149572593,0.988052698646004,0.9889004076990333,0.98975742767825,0.990516029811318,0.9892454698137471
задължение,0.9946232904844682,0.985063219180309,0.9943910648345015,0.9943910648345015,0.991729441239416,0.9943910648345015,0.9934050564530312,0.9934050564530312,0.993082967712923,0.995084776004236,0.994164657700509,0.9999999999999993,0.995084776004236,0.9999999999999993,0.9961231526320748,0.9961231526320748,0.9914093140478047,0.9947033875421828,0.995850369414057,0.9955610822352784,0.9916760215795006,0.9934763015329178,0.9918262928966954,0.9916383959955115,0.9915277583035647
задължен,0.9921972668046105,0.9813727048927646,0.9910064076786083,0.9910064076786083,0.9897699909621375,0.9910064076786083,0.9918326379384246,0.9918326379384246,0.9954464308381074,0.9999999999999997,0.9941783968267331,0.995084776004236,0.9999999999999997,0.995084776004236,0.995419631599328,0.995419631599328,0.99197914442534,0.9949308516015412,0.9919527078592102,0.9916485115791412,0.9888692885260197,0.9918224420059389,0.9912160566624425,0.9918505501605493,0.9902192923344659
задължение,0.9946232904844682,0.985063219180309,0.9943910648345015,0.9943910648345015,0.991729441239416,0.9943910648345015,0.9934050564530312,0.9934050564530312,0.993082967712923,0.995084776004236,0.994164657700509,0.9999999999999993,0.995084776004236,0.9999999999999993,0.9961231526320748,0.9961231526320748,0.9914093140478047,0.9947033875421828,0.995850369414057,0.9955610822352784,0.9916760215795006,0.9934763015329178,0.9918262928966954,0.9916383959955115,0.9915277583035647
дължа,0.9940694200727767,0.9819213658970728,0.9929157796930134,0.9929157796930134,0.992746477385791,0.9929157796930134,0.9923961168274886,0.9923961168274886,0.9931361913272717,0.995419631599328,0.9932982302332858,0.9961231526320748,0.995419631599328,0.9961231526320748,0.9999999999999998,0.9999999999999998,0.9945460203118899,0.9942389917207771,0.9938906362379478,0.9930733858252335,0.9901321495333822,0.9934043987107258,0.9921025713685002,0.9914249607307477,0.9911277894974725
дължа,0.9940694200727767,0.9819213658970728,0.9929157796930134,0.9929157796930134,0.992746477385791,0.9929157796930134,0.9923961168274886,0.9923961168274886,0.9931361913272717,0.995419631599328,0.9932982302332858,0.9961231526320748,0.995419631599328,0.9961231526320748,0.9999999999999998,0.9999999999999998,0.9945460203118899,0.9942389917207771,0.9938906362379478,0.9930733858252335,0.9901321495333822,0.9934043987107258,0.9921025713685002,0.9914249607307477,0.9911277894974725
в дълг,0.988788233195602,0.9787817450857256,0.9891558359072931,0.9891558359072931,0.9892263761921302,0.9891558359072931,0.98824531209154,0.98824531209154,0.9893298974559711,0.99197914442534,0.9893682783627163,0.9914093140478047,0.99197914442534,0.9914093140478047,0.9945460203118899,0.9945460203118899,1.0000000000000002,0.9902005989277347,0.9896985405443557,0.9884067881341139,0.9855597737212642,0.9893938151562547,0.9887516484174758,0.9877129122207957,0.9875497662140515
извинителен,0.9937510497031675,0.9835282520844922,0.9927732006763805,0.9927732006763805,0.9905664556650834,0.9927732006763805,0.9926616841429716,0.9926616841429716,0.992724925113324,0.9949308516015412,0.993325586517402,0.9947033875421828,0.9949308516015412,0.9947033875421828,0.9942389917207771,0.9942389917207771,0.9902005989277347,0.9999999999999994,0.9952871343801667,0.9948785345143195,0.9915601932645777,0.9921422124040509,0.9909371843136091,0.992388231132523,0.9904864513131346
извинения,0.9948283370675134,0.9839045894389445,0.9942702545162044,0.9942702545162044,0.9918620837296349,0.9942702545162044,0.9931884651207694,0.9931884651207694,0.9907438706114051,0.9919527078592102,0.9926414925491328,0.995850369414057,0.9919527078592102,0.995850369414057,0.9938906362379478,0.9938906362379478,0.9896985405443557,0.9952871343801667,0.9999999999999994,0.998460459934654,0.9946040289800937,0.992312861685211,0.9916364955175995,0.9929304077895118,0.9919081873891534
извинение,0.9941952253060075,0.9836121076397355,0.9932903323875752,0.9932903323875752,0.9912452982062555,0.9932903323875752,0.993199070194993,0.993199070194993,0.9905240346093825,0.9916485115791412,0.9918794149572593,0.9955610822352784,0.9916485115791412,0.9955610822352784,0.9930733858252335,0.9930733858252335,0.9884067881341139,0.9948785345143195,0.998460459934654,0.9999999999999989,0.9947961408566569,0.992097795942449,0.991274473131373,0.992731702036472,0.9920040611386621
извинете,0.9907949665898169,0.9796853318309996,0.9894130984186639,0.9894130984186639,0.9907273705243423,0.9894130984186639,0.9918533979647939,0.9918533979647939,0.9866871350601,0.9888692885260197,0.988052698646004,0.9916760215795006,0.9888692885260197,0.9916760215795006,0.9901321495333822,0.9901321495333822,0.9855597737212642,0.9915601932645777,0.9946040289800937,0.9947961408566569,0.9999999999999993,0.9905327285324359,0.9918100256522668,0.993038008296528,0.9932990840676206
съжаление,0.9906787905003586,0.977945599265464,0.9906281058556311,0.9906281058556311,0.9937050298430673,0.9906281058556311,0.9922145364079122,0.9922145364079122,0.9886225718825542,0.9918224420059389,0.9889004076990333,0.9934763015329178,0.9918224420059389,0.9934763015329178,0.9934043987107258,0.9934043987107258,0.9893938151562547,0.9921422124040509,0.992312861685211,0.992097795942449,0.9905327285324359,0.9999999999999994,0.995386597238595,0.9923183822753795,0.9924821500013697
съжалявам,0.9893781616025771,0.9781179499402288,0.9892690914312897,0.9892690914312897,0.9921492602398327,0.9892690914312897,0.9919624120182441,0.9919624120182441,0.9897909362963165,0.9912160566624425,0.98975742767825,0.9918262928966954,0.9912160566624425,0.9918262928966954,0.9921025713685002,0.9921025713685002,0.9887516484174758,0.9909371843136091,0.9916364955175995,0.991274473131373,0.9918100256522668,0.995386597238595,0.9999999999999993,0.9960067280602117,0.9949306135907197
извинявам се,0.9901938043716908,0.9786060266357882,0.9894301217932074,0.9894301217932074,0.9905601665112619,0.9894301217932074,0.9919104823840778,0.9919104823840778,0.9901623285635222,0.9918505501605493,0.990516029811318,0.9916383959955115,0.9918505501605493,0.9916383959955115,0.9914249607307477,0.9914249607307477,0.9877129122207957,0.992388231132523,0.9929304077895118,0.992731702036472,0.993038008296528,0.9923183822753795,0.9960067280602117,0.9999999999999993,0.9946436560042257
простете ми,0.9914654057844114,0.9776605263835189,0.9903492320888114,0.9903492320888114,0.9930531793266029,0.9903492320888114,0.993663169210335,0.993663169210335,0.9885099424033021,0.9902192923344659,0.9892454698137471,0.9915277583035647,0.9902192923344659,0.9915277583035647,0.9911277894974725,0.9911277894974725,0.9875497662140515,0.9904864513131346,0.9919081873891534,0.9920040611386621,0.9932990840676206,0.9924821500013697,0.9949306135907197,0.9946436560042257,0.9999999999999998
