,ocenit,ocenění,vděčná,vděčný,vděčnost,vděčnost,děkuji,vděčná,vděčný,vděčnost,zadlužená,zadlužený,zadluženost,povinnost,závazek,povinný,závazný,závazek,dlužit,dlužím,zadlužený,omluvný,omluvy,omluva,promiňte,lítost,promiň,odpusťte mi,omluvit se
zadlužená,0.9929840835119365,0.9896225243544569,0.9950390464420314,0.9930632861401686,0.9932574676297664,0.9932574676297664,0.9922963661681959,0.9950390464420314,0.9930632861401705,0.9932574676297663,0.9999999999999999,0.9969483787411898,0.9935438911966292,0.9937086826201141,0.991822140892403,0.9949992970213924,0.9957802314319214,0.9918221408924034,0.9928640655724253,0.9928113454304549,0.99694837874119,0.9908340901832499,0.9883954102286907,0.9852541185914788,0.9916527497307233,0.9937312018524206,0.991483788342996,0.9922323223093931,0.9926198807072676
zadlužený,0.9941586164680191,0.9910542922968106,0.9951376245335528,0.9952027992795858,0.9938718940369462,0.9938718940369462,0.9934669045827733,0.9951376245335528,0.9952027992795857,0.9938718940369461,0.9969483787411898,0.9999999999999999,0.9929589682972161,0.9941362450104119,0.9935153953011271,0.9973805713693893,0.9980184225131654,0.9935153953011279,0.9937670278069926,0.9943136147586975,0.9999999999999996,0.9936956125163712,0.9906136395774451,0.986210427328017,0.991960254401736,0.9946262603646496,0.9922649296872343,0.9925613006783245,0.9930839484030047
zadluženost,0.9919718830245471,0.989873585749633,0.9930189564640335,0.9907858735285308,0.9952052249561123,0.9952052249561123,0.9895482267342548,0.9930189564640335,0.9907858735285303,0.9952052249561117,0.9935438911966292,0.9929589682972161,0.9999999999999991,0.9955669259773448,0.991923851579961,0.9926022853274289,0.9933683506263131,0.9919238515799614,0.9893042163027068,0.991233819888449,0.9929589682972165,0.9886871345413634,0.9878779649731135,0.98467369821277,0.9901739481656611,0.9920836285249675,0.990200481388009,0.9896876401167659,0.9902193471065671
povinnost,0.9950310938696769,0.9922548522646473,0.9955080022063987,0.9945537081453805,0.9965871019698215,0.9965871019698215,0.9930027462397245,0.9955080022063987,0.9945537081453814,0.9965871019698214,0.9937086826201141,0.9941362450104119,0.9955669259773448,1.0,0.9942734764588419,0.9960396641824424,0.9955726503436723,0.9942734764588413,0.9923816368913583,0.9940628041561499,0.9941362450104125,0.9925119378480775,0.9918816773348438,0.9881028205781375,0.9925737817775192,0.9949466690469039,0.992785520838381,0.9923825650218377,0.9940904149892714
závazek,0.9937065126109582,0.9910451849409793,0.994060640516778,0.9924242504618783,0.9935944072616625,0.9935944072616625,0.9919005092092031,0.994060640516778,0.9924242504618793,0.9935944072616629,0.991822140892403,0.9935153953011271,0.991923851579961,0.9942734764588419,1.0000000000000002,0.9934759567604963,0.9948549862715023,0.9999999999999991,0.9902914199757272,0.9929713435395031,0.9935153953011279,0.9922071758232998,0.9927736804336484,0.9895872830615023,0.990502749680681,0.9926614748623166,0.9917691448976745,0.9890508276799345,0.9928431639740402
povinný,0.9944751247157134,0.9910020034040444,0.9963726588868883,0.9968140842053274,0.9949709020889023,0.9949709020889023,0.9933729111563286,0.9963726588868883,0.9968140842053268,0.9949709020889019,0.9949992970213924,0.9973805713693893,0.9926022853274289,0.9960396641824424,0.9934759567604963,0.9999999999999998,0.9984163687945835,0.9934759567604964,0.9943937104483668,0.9949236106690758,0.9973805713693897,0.9955172519537283,0.9915454678755714,0.9869531305504696,0.992793412886941,0.994975638216809,0.9929378118536001,0.9932287736270102,0.9940467742700897
závazný,0.99531673373728,0.9917738116930269,0.9965009330132425,0.9962140502313434,0.9949134068326421,0.9949134068326421,0.9940014723280979,0.9965009330132425,0.9962140502313434,0.9949134068326421,0.9957802314319214,0.9980184225131654,0.9933683506263131,0.9955726503436723,0.9948549862715023,0.9984163687945835,0.9999999999999999,0.994854986271503,0.9950331844598798,0.9955858355803897,0.9980184225131656,0.9949092795820389,0.992024433268664,0.9885259506283168,0.9932953700966377,0.995550927663872,0.9932486382997285,0.9932753558349394,0.9946026456702228
závazek,0.9937065126109582,0.9910451849409793,0.994060640516778,0.9924242504618783,0.9935944072616625,0.9935944072616625,0.9919005092092031,0.994060640516778,0.9924242504618783,0.9935944072616625,0.9918221408924034,0.9935153953011279,0.9919238515799614,0.9942734764588413,0.9999999999999991,0.9934759567604964,0.994854986271503,1.0000000000000002,0.9902914199757269,0.9929713435395028,0.9935153953011271,0.9922071758233004,0.9927736804336489,0.9895872830615027,0.990502749680681,0.9926614748623166,0.9917691448976745,0.9890508276799345,0.9928431639740402
dlužit,0.9936585870540412,0.9894389414594891,0.993752029243033,0.9944669952785852,0.9917218447924722,0.9917218447924722,0.9935134288522006,0.993752029243033,0.9944669952785852,0.9917218447924722,0.9928640655724253,0.9937670278069926,0.9893042163027068,0.9923816368913583,0.9902914199757272,0.9943937104483668,0.9950331844598798,0.9902914199757269,0.9999999999999998,0.9973124656935156,0.9937670278069914,0.9931787512090925,0.9917973386129231,0.9863160677425206,0.9927640448870223,0.9952967563221142,0.9928313364001206,0.9914414463353745,0.9941284904337573
dlužím,0.9948787614492868,0.9918154998771834,0.9954200714788466,0.9954936069019675,0.9940367572137127,0.9940367572137127,0.9936188713441376,0.9954200714788466,0.9954936069019675,0.9940367572137127,0.9928113454304549,0.9943136147586975,0.991233819888449,0.9940628041561499,0.9929713435395031,0.9949236106690758,0.9955858355803897,0.9929713435395028,0.9973124656935156,0.9999999999999999,0.9943136147586973,0.9942507839506889,0.992932802037463,0.9878306878780564,0.9930917891590714,0.9958229014070608,0.9948295771974414,0.9916695517639743,0.9948030764450083
zadlužený,0.9941586164680191,0.9910542922968106,0.9951376245335528,0.9952027992795858,0.9938718940369462,0.9938718940369462,0.9934669045827733,0.9951376245335528,0.9952027992795858,0.9938718940369462,0.99694837874119,0.9999999999999996,0.9929589682972165,0.9941362450104125,0.9935153953011279,0.9973805713693897,0.9980184225131656,0.9935153953011271,0.9937670278069914,0.9943136147586973,0.9999999999999999,0.9936956125163707,0.9906136395774441,0.9862104273280167,0.991960254401736,0.9946262603646496,0.9922649296872343,0.9925613006783245,0.9930839484030047
omluvný,0.992374529841511,0.988847883844581,0.9935367427430701,0.9952592733762614,0.9914391587667212,0.9914391587667212,0.9905909446092744,0.9935367427430701,0.9952592733762614,0.9914391587667212,0.9908340901832499,0.9936956125163712,0.9886871345413634,0.9925119378480775,0.9922071758232998,0.9955172519537283,0.9949092795820389,0.9922071758233004,0.9931787512090925,0.9942507839506889,0.9936956125163707,0.9999999999999998,0.9940609168051531,0.9886776763881596,0.9905774992025858,0.9928863939719516,0.9914277338798052,0.98876101648967,0.9917706431357544
omluvy,0.9927207009207185,0.9903765201087712,0.9916875600935482,0.9913023935646866,0.9901479883459455,0.9901479883459455,0.9902600584747179,0.9916875600935482,0.9913023935646866,0.9901479883459455,0.9883954102286907,0.9906136395774451,0.9878779649731135,0.9918816773348438,0.9927736804336484,0.9915454678755714,0.992024433268664,0.9927736804336489,0.9917973386129231,0.992932802037463,0.9906136395774441,0.9940609168051531,1.0,0.9925939156389246,0.9890428459929593,0.9922062583896428,0.9902735844341499,0.9866768705736502,0.9921824008951489
omluva,0.990197692645315,0.987100847750767,0.9880484220465309,0.9866041721558816,0.9865274971789,0.9865274971789,0.9875656834663744,0.9880484220465309,0.9866041721558816,0.9865274971789,0.9852541185914788,0.986210427328017,0.98467369821277,0.9881028205781375,0.9895872830615023,0.9869531305504696,0.9885259506283168,0.9895872830615027,0.9863160677425206,0.9878306878780564,0.9862104273280167,0.9886776763881596,0.9925939156389246,0.9999999999999997,0.9878390866783748,0.9884633508460038,0.9868317152357732,0.9838069798501488,0.9909343141130693
promiňte,0.9939232867992815,0.9901203488599936,0.9946473170929182,0.9935365586307,0.9933874627473709,0.9933874627473709,0.993328948188733,0.9946473170929182,0.9935365586307,0.9933874627473709,0.9916527497307233,0.991960254401736,0.9901739481656611,0.9925737817775192,0.990502749680681,0.992793412886941,0.9932953700966377,0.990502749680681,0.9927640448870223,0.9930917891590714,0.991960254401736,0.9905774992025858,0.9890428459929593,0.9878390866783748,0.9999999999999998,0.9950421066468891,0.9943962810056283,0.9934053934555603,0.9955038643862573
lítost,0.9968743903386711,0.9921117986459691,0.9956722666745252,0.9956244784448129,0.9949269958471723,0.9949269958471723,0.9951254364809013,0.9956722666745252,0.9956244784448129,0.9949269958471723,0.9937312018524206,0.9946262603646496,0.9920836285249675,0.9949466690469039,0.9926614748623166,0.994975638216809,0.995550927663872,0.9926614748623166,0.9952967563221142,0.9958229014070608,0.9946262603646496,0.9928863939719516,0.9922062583896428,0.9884633508460038,0.9950421066468891,0.9999999999999992,0.995315927273884,0.9932666052392575,0.99587072484973
promiň,0.9946805939038983,0.9915884104476982,0.9950637738499215,0.9935807614804245,0.9935745727647627,0.9935745727647627,0.9935292296931728,0.9950637738499215,0.9935807614804245,0.9935745727647627,0.991483788342996,0.9922649296872343,0.990200481388009,0.992785520838381,0.9917691448976745,0.9929378118536001,0.9932486382997285,0.9917691448976745,0.9928313364001206,0.9948295771974414,0.9922649296872343,0.9914277338798052,0.9902735844341499,0.9868317152357732,0.9943962810056283,0.995315927273884,0.9999999999999988,0.9917334283162017,0.9946812660284057
odpusťte mi,0.9919117025686754,0.9892203862825402,0.9941119035533237,0.993199551936672,0.9936539518153299,0.9936539518153299,0.9918374082093594,0.9941119035533237,0.993199551936672,0.9936539518153299,0.9922323223093931,0.9925613006783245,0.9896876401167659,0.9923825650218377,0.9890508276799345,0.9932287736270102,0.9932753558349394,0.9890508276799345,0.9914414463353745,0.9916695517639743,0.9925613006783245,0.98876101648967,0.9866768705736502,0.9838069798501488,0.9934053934555603,0.9932666052392575,0.9917334283162017,0.9999999999999991,0.9931680612147379
omluvit se,0.9960598590430235,0.9920636784006565,0.9956533892636348,0.9941807184916457,0.9938815696178718,0.9938815696178718,0.9947488537443375,0.9956533892636348,0.9941807184916457,0.9938815696178718,0.9926198807072676,0.9930839484030047,0.9902193471065671,0.9940904149892714,0.9928431639740402,0.9940467742700897,0.9946026456702228,0.9928431639740402,0.9941284904337573,0.9948030764450083,0.9930839484030047,0.9917706431357544,0.9921824008951489,0.9909343141130693,0.9955038643862573,0.99587072484973,0.9946812660284057,0.9931680612147379,0.9999999999999997
