,uppskatta,uppskattning,tacksam,tacksamhet,tacksamhet,tack,tacksam,tacksamhet,skuldsatt,skuldsättning,förpliktelse,förpliktad,åtagande,skyldig,vara skyldig,ursäktande,ursäkter,ursäkt,sorgsenhet,förlåt,förlåt mig,be om ursäkt,ursäkta mig
förpliktelse,0.9759069202854692,0.9549363920512547,0.9906138660425231,0.9856904718969941,0.9856904718969941,0.9921120235363836,0.9906138660425231,0.9856904718969941,0.9946962393412764,0.9928863670504616,0.9999999999999996,0.9871627144206486,0.9901486662280203,0.988294295360998,0.9914011308355389,0.9900697238613937,0.9936313872096797,0.992770071194836,0.9944469490874628,0.9935691236794769,0.9917337119260772,0.9919394639216803,0.9916883969426558
förpliktad,0.981203384787759,0.9657401280726041,0.9840080040477784,0.9813876827689414,0.9813876827689414,0.9849140321994657,0.9840080040477784,0.9813876827689414,0.9884794733035143,0.9855579788337464,0.9871627144206486,0.9999999999999997,0.9859334375176145,0.9821873367605655,0.9881726628037393,0.98887896502882,0.9876197388773931,0.9879253065001242,0.9852616575348931,0.9870972643983157,0.9866675604326622,0.9875446249649013,0.986775301143782
åtagande,0.9793943264296116,0.9593852823395581,0.9902524172662812,0.9919159222357832,0.9919159222357832,0.9914314454675497,0.9902524172662812,0.9919159222357832,0.9914691439589721,0.9912021893407882,0.9901486662280203,0.9859334375176145,0.9999999999999999,0.9853547660468592,0.9865033745422672,0.9919994994107458,0.9930000948643812,0.9939630968287434,0.9902072367856823,0.9921165178910855,0.9886071408839177,0.9922790042435068,0.9900710853147728
skyldig,0.9662139374154678,0.9441452054488354,0.9887069534484271,0.9849772042267143,0.9849772042267143,0.9906658621096082,0.9887069534484271,0.9849772042267143,0.9881726669139301,0.9830014078994739,0.988294295360998,0.9821873367605655,0.9853547660468592,0.9999999999999997,0.9925038652779044,0.9845472999651173,0.9886665828060236,0.9880288890994682,0.9875242020412625,0.9908379710234803,0.9896169882672323,0.9848416589877108,0.989332516211232
vara skyldig,0.9748899194095303,0.9550286623755639,0.9875561530569886,0.9832050782143082,0.9832050782143082,0.9887571380920148,0.9875561530569886,0.9832050782143082,0.9917033610776235,0.9879761092009862,0.9914011308355389,0.9881726628037393,0.9865033745422672,0.9925038652779044,0.9999999999999998,0.9884003731188904,0.9902885364108686,0.9893935002642099,0.9901289358308766,0.9907732168658734,0.9916637348245145,0.988655393158482,0.990998689301997
ursäktande,0.9838956347060918,0.966465691092213,0.9881258585494634,0.9852289711877993,0.9852289711877993,0.9895617730947089,0.9881258585494634,0.9852289711877993,0.9931101528099875,0.9932103846675803,0.9900697238613937,0.98887896502882,0.9919994994107458,0.9845472999651173,0.9884003731188904,0.9999999999999996,0.9944959036138676,0.9957062047053961,0.9903060805461386,0.9921133842069723,0.9881438744951229,0.9934521133725648,0.9904257092087906
ursäkter,0.9796788471100606,0.958581366302206,0.9924567869095906,0.9887585994867298,0.9887585994867298,0.9942444573137877,0.9924567869095906,0.9887585994867298,0.9945490725716526,0.9933193649471784,0.9936313872096797,0.9876197388773931,0.9930000948643812,0.9886665828060236,0.9902885364108686,0.9944959036138676,0.9999999999999998,0.9981422331427222,0.993879324023312,0.9954431779589357,0.9926004321873796,0.9944724356721653,0.9943960102245318
ursäkt,0.979602616814076,0.9583313455370146,0.9933768936269244,0.9899030369073057,0.9899030369073057,0.9944746831679624,0.9933768936269244,0.9899030369073057,0.9947201430477666,0.9938629506244606,0.992770071194836,0.9879253065001242,0.9939630968287434,0.9880288890994682,0.9893935002642099,0.9957062047053961,0.9981422331427222,1.0000000000000002,0.9937313416949147,0.9958734490082203,0.9925540630662225,0.9949115838845427,0.9949820883020867
sorgsenhet,0.9738927439422151,0.9519399797624216,0.9915173193213523,0.9873372447616002,0.9873372447616002,0.9919351734193766,0.9915173193213523,0.9873372447616002,0.9939288833043024,0.9942061765172797,0.9944469490874628,0.9852616575348931,0.9902072367856823,0.9875242020412625,0.9901289358308766,0.9903060805461386,0.993879324023312,0.9937313416949147,0.9999999999999993,0.9943620766751013,0.9925049643019107,0.9921082186841504,0.9923118857065469
förlåt,0.974965055604774,0.9530865596033792,0.9947683076300642,0.9895535760292039,0.9895535760292039,0.9958531319450536,0.9947683076300642,0.9895535760292039,0.9942876023746509,0.9916271666551136,0.9935691236794769,0.9870972643983157,0.9921165178910855,0.9908379710234803,0.9907732168658734,0.9921133842069723,0.9954431779589357,0.9958734490082203,0.9943620766751013,1.0,0.9943349018475681,0.9920819047510022,0.9946546274664599
förlåt mig,0.9726232408487548,0.9504696353898031,0.9930193346351619,0.9863807580039323,0.9863807580039323,0.9930110224692403,0.9930193346351619,0.9863807580039323,0.9922312625511233,0.9882215508612685,0.9917337119260772,0.9866675604326622,0.9886071408839177,0.9896169882672323,0.9916637348245145,0.9881438744951229,0.9926004321873796,0.9925540630662225,0.9925049643019107,0.9943349018475681,0.9999999999999999,0.9894776984712278,0.9975054937229832
be om ursäkt,0.9818834446296055,0.9616132416397978,0.9885409924793576,0.9875088946547541,0.9875088946547541,0.9907571168972059,0.9885409924793576,0.9875088946547541,0.9935328921273,0.9932240361425502,0.9919394639216803,0.9875446249649013,0.9922790042435068,0.9848416589877108,0.988655393158482,0.9934521133725648,0.9944724356721653,0.9949115838845427,0.9921082186841504,0.9920819047510022,0.9894776984712278,1.0,0.9914177474691647
ursäkta mig,0.9753850373571831,0.9530111926445942,0.9945273976503711,0.9878585841763746,0.9878585841763746,0.9943123174591344,0.9945273976503711,0.9878585841763746,0.9933009420838544,0.989307147388206,0.9916883969426558,0.986775301143782,0.9900710853147728,0.989332516211232,0.990998689301997,0.9904257092087906,0.9943960102245318,0.9949820883020867,0.9923118857065469,0.9946546274664599,0.9975054937229832,0.9914177474691647,0.999999999999999
