,лаштык,лаштыке,шукштен,ыштымык,ыштымык,шукшты,шукштен,ыштымык,пашаш,пашашлык,йомак,йомакташ,шутлаш,йомак,пашашем,пашашаш,андалышешке,андалышаш,андалыше,андалыше,кеч,андалыше,андалыше шке,андалыше дене
йомак,0.994151269963465,0.9957633511990214,0.9953985745566413,0.994369064300856,0.994369064300856,0.9972298790805987,0.9953985745566413,0.994369064300856,0.9975735432025775,0.9954697315542254,0.9999999999999997,0.9961699026663905,0.9926459604043989,0.9999999999999997,0.9965893432783663,0.9969423110051423,0.9949784907319967,0.9956387122171938,0.9955106209109172,0.9955106209109172,0.995188384262482,0.9955106209109172,0.9945535477432271,0.9944721549390172
йомакташ,0.9952113737012367,0.9955177703521568,0.9966531091740963,0.9946832760879031,0.9946832760879031,0.9959756201390539,0.9966531091740963,0.9946832760879031,0.9971166452453953,0.9963463044546638,0.9961699026663905,1.0000000000000002,0.9916717962872692,0.9961699026663905,0.9933855640099476,0.9976736413589037,0.9947230785775439,0.9969154581668329,0.995077055732423,0.995077055732423,0.9941692284446679,0.995077055732423,0.9953124883462183,0.9944077695232646
шутлаш,0.9874221476514076,0.9904829084922638,0.9919520346785388,0.98753640249243,0.98753640249243,0.9915564087824295,0.9919520346785388,0.98753640249243,0.993288376593941,0.990310816438223,0.9926459604043989,0.9916717962872692,1.0,0.9926459604043989,0.9916772458500906,0.9928551783630368,0.9896569621762104,0.9904221316252939,0.9904920782815816,0.9904920782815816,0.9909309680351,0.9904920782815816,0.9896179211941757,0.988154867914071
йомак,0.994151269963465,0.9957633511990214,0.9953985745566413,0.994369064300856,0.994369064300856,0.9972298790805987,0.9953985745566413,0.994369064300856,0.9975735432025775,0.9954697315542254,0.9999999999999997,0.9961699026663905,0.9926459604043989,0.9999999999999997,0.9965893432783663,0.9969423110051423,0.9949784907319967,0.9956387122171938,0.9955106209109172,0.9955106209109172,0.995188384262482,0.9955106209109172,0.9945535477432271,0.9944721549390172
пашашем,0.9904163560213083,0.9938321789272906,0.9939991642286387,0.9916796951727715,0.9916796951727715,0.99505950212885,0.9939991642286387,0.9916796951727715,0.9970440105476177,0.9937063899015717,0.9965893432783663,0.9933855640099476,0.9916772458500906,0.9965893432783663,0.9999999999999991,0.9961124664465382,0.9939674503263826,0.9940450988569272,0.995236117039717,0.995236117039717,0.9935926438174367,0.995236117039717,0.9931015446696722,0.992968421469427
пашашаш,0.9948291421079907,0.9960616553501361,0.996260102636648,0.9944431591162641,0.9944431591162641,0.9970386135652627,0.996260102636648,0.9944431591162641,0.9996042792099397,0.9974364658044869,0.9969423110051423,0.9976736413589037,0.9928551783630368,0.9969423110051423,0.9961124664465382,0.9999999999999998,0.9964191568991926,0.9978350708344472,0.9962106763192272,0.9962106763192272,0.9948172486347675,0.9962106763192272,0.9959012344827841,0.994882702788329
андалышешке,0.9941465547022569,0.9955382205267054,0.9928826143029815,0.9939780043842686,0.9939780043842686,0.9953020299611643,0.9928826143029815,0.9939780043842686,0.9961966871334382,0.9962695959359872,0.9949784907319967,0.9947230785775439,0.9896569621762104,0.9949784907319967,0.9939674503263826,0.9964191568991926,0.9999999999999998,0.9979799092179473,0.9970630717740481,0.9970630717740481,0.9925296444910955,0.9970630717740481,0.9964362635741493,0.9956507666880751
андалышаш,0.995240852008965,0.9960935345324726,0.9940368800869981,0.9952434302571556,0.9952434302571556,0.9958737091205123,0.9940368800869981,0.9952434302571556,0.9973101716778258,0.9970877584512639,0.9956387122171938,0.9969154581668329,0.9904221316252939,0.9956387122171938,0.9940450988569272,0.9978350708344472,0.9979799092179473,1.0000000000000002,0.9975276342841497,0.9975276342841497,0.9934497118376728,0.9975276342841497,0.9966502857583663,0.9962543756794494
андалыше,0.9931385823662777,0.9953193910772498,0.9935180099096569,0.9939530418413688,0.9939530418413688,0.9947508219579777,0.9935180099096569,0.9939530418413688,0.9965530379681887,0.9953689967516511,0.9955106209109172,0.995077055732423,0.9904920782815816,0.9955106209109172,0.995236117039717,0.9962106763192272,0.9970630717740481,0.9975276342841497,0.9999999999999999,0.9999999999999999,0.9939291444077117,0.9999999999999999,0.9972644365419515,0.9978182074868207
андалыше,0.9931385823662777,0.9953193910772498,0.9935180099096569,0.9939530418413688,0.9939530418413688,0.9947508219579777,0.9935180099096569,0.9939530418413688,0.9965530379681887,0.9953689967516511,0.9955106209109172,0.995077055732423,0.9904920782815816,0.9955106209109172,0.995236117039717,0.9962106763192272,0.9970630717740481,0.9975276342841497,0.9999999999999999,0.9999999999999999,0.9939291444077117,0.9999999999999999,0.9972644365419515,0.9978182074868207
кеч,0.9917433765675778,0.9924549585168808,0.9929476019781217,0.9931440939649655,0.9931440939649655,0.9926865226565719,0.9929476019781217,0.9931440939649655,0.9958013756665726,0.9935078418288186,0.995188384262482,0.9941692284446679,0.9909309680351,0.995188384262482,0.9935926438174367,0.9948172486347675,0.9925296444910955,0.9934497118376728,0.9939291444077117,0.9939291444077117,0.9999999999999996,0.9939291444077117,0.9931987921473435,0.993159990616582
андалыше,0.9931385823662777,0.9953193910772498,0.9935180099096569,0.9939530418413688,0.9939530418413688,0.9947508219579777,0.9935180099096569,0.9939530418413688,0.9965530379681887,0.9953689967516511,0.9955106209109172,0.995077055732423,0.9904920782815816,0.9955106209109172,0.995236117039717,0.9962106763192272,0.9970630717740481,0.9975276342841497,0.9999999999999999,0.9999999999999999,0.9939291444077117,0.9999999999999999,0.9972644365419515,0.9978182074868207
андалыше шке,0.9938184535947056,0.9943146826156046,0.9937278386407319,0.9937131672545121,0.9937131672545121,0.9944465339633233,0.9937278386407319,0.9937131672545121,0.99595674472343,0.995516015300767,0.9945535477432271,0.9953124883462183,0.9896179211941757,0.9945535477432271,0.9931015446696722,0.9959012344827841,0.9964362635741493,0.9966502857583663,0.9972644365419515,0.9972644365419515,0.9931987921473435,0.9972644365419515,1.0000000000000002,0.9977261174729842
андалыше дене,0.9929884103465564,0.9941166944739709,0.9923864107666343,0.9937502843038891,0.9937502843038891,0.9933048300445135,0.9923864107666343,0.9937502843038891,0.995281046205408,0.9946635728106011,0.9944721549390172,0.9944077695232646,0.988154867914071,0.9944721549390172,0.992968421469427,0.994882702788329,0.9956507666880751,0.9962543756794494,0.9978182074868207,0.9978182074868207,0.993159990616582,0.9978182074868207,0.9977261174729842,1.0000000000000002
