,apprezzà,apprezzamentu,ricunniscente,gratitùdine,gratitùdine,grazie,ricunniscente,gratitùdine,indebitata,indebitatu,indebitu,obbligazione,obbligata,obbligatu,obbligazione,duvè,duvendu,indebitu,scusèvule,scuse,scusà,scusa,scusate,pèrmittimi,scusami,tristezza,mi dispiace
indebitu,0.9925264501390672,0.9954520651858958,0.9942454075589242,0.9930396389773543,0.9930396389773543,0.9805135713203094,0.9942454075589242,0.9930396389773543,0.9954830572427185,0.990013232818193,0.9999999999999996,0.9935729553314925,0.9855917440722315,0.9937835763629373,0.9935729553314925,0.9931755318124933,0.9927264738225913,1.0,0.9877637635815929,0.9937909269712969,0.993405454452848,0.993405454452848,0.9937521056888973,0.9921945111949825,0.9939435527025736,0.9918973877688088,0.9929973645703832
obbligazione,0.9932686684482005,0.994579501480685,0.9941495118310616,0.9931280329777266,0.9931280329777266,0.9827586038853806,0.9941495118310616,0.9931280329777266,0.9930767106356826,0.9835125303573355,0.9935729553314925,0.9999999999999991,0.9880017318533673,0.9940963735928018,0.9999999999999991,0.9945397967564142,0.9930847902089919,0.9935729553314933,0.9860027393506052,0.9947314970225732,0.9943930723311916,0.9943930723311916,0.9952049207648981,0.9927565039976883,0.9947565999946288,0.9942482637747757,0.9942553638115122
obbligata,0.9847777226046444,0.986514031295976,0.9848745196666301,0.9827680854437536,0.9827680854437536,0.9737057176305287,0.9848745196666301,0.9827680854437536,0.987300945608303,0.9759117578751574,0.9855917440722315,0.9880017318533673,0.9999999999999999,0.9866207037274665,0.9880017318533673,0.9854075428036048,0.9847047903895473,0.9855917440722316,0.9804730670302239,0.985572546520458,0.9859668401839433,0.9859668401839433,0.9863157443052798,0.9833524024609669,0.9870663539488187,0.9838362316641186,0.9847997174545684
obbligatu,0.9928140837265871,0.9955261303668254,0.9929661842826382,0.9893649953743043,0.9893649953743043,0.9843058887786851,0.9929661842826382,0.9893649953743043,0.9925284820118663,0.9861197351556469,0.9937835763629373,0.9940963735928018,0.9866207037274665,0.9999999999999992,0.9940963735928018,0.9934728581774555,0.992847304101458,0.9937835763629371,0.9886192478113932,0.9940091774502258,0.9930611411829573,0.9930611411829573,0.9942469840244453,0.9914021314689008,0.9938810929267986,0.9901430433861297,0.9921937659603862
obbligazione,0.9932686684482005,0.994579501480685,0.9941495118310616,0.9931280329777266,0.9931280329777266,0.9827586038853806,0.9941495118310616,0.9931280329777266,0.9930767106356826,0.9835125303573355,0.9935729553314925,0.9999999999999991,0.9880017318533673,0.9940963735928018,0.9999999999999991,0.9945397967564142,0.9930847902089919,0.9935729553314933,0.9860027393506052,0.9947314970225732,0.9943930723311916,0.9943930723311916,0.9952049207648981,0.9927565039976883,0.9947565999946288,0.9942482637747757,0.9942553638115122
duvè,0.9936032851791281,0.9948620588151706,0.9937181636804766,0.9926618853984349,0.9926618853984349,0.9821487268065856,0.9937181636804766,0.9926618853984349,0.9921149302798875,0.9817828500633657,0.9931755318124933,0.9945397967564142,0.9854075428036048,0.9934728581774555,0.9945397967564142,0.9999999999999992,0.9957425603527384,0.9931755318124933,0.9867116282840747,0.995684939160137,0.9938646399600467,0.9938646399600467,0.9945150920408892,0.9927600400957477,0.9935122171429669,0.9924744139971573,0.993979263678668
duvendu,0.991050696648545,0.9942832227127705,0.9918380646305048,0.9929021901840765,0.9929021901840765,0.9790458460152154,0.9918380646305048,0.9929021901840765,0.9916737354431802,0.984626557179546,0.9927264738225913,0.9930847902089919,0.9847047903895473,0.992847304101458,0.9930847902089919,0.9957425603527384,0.9999999999999998,0.9927264738225913,0.9870948896731977,0.9951599501672719,0.9927793403787197,0.9927793403787197,0.9930645297882111,0.989484867463735,0.9933471163303443,0.9899854591458535,0.9920155905001545
indebitu,0.9925264501390672,0.9954520651858958,0.9942454075589242,0.9930396389773543,0.9930396389773543,0.9805135713203094,0.9942454075589242,0.9930396389773543,0.9954830572427192,0.9900132328181925,1.0,0.9935729553314933,0.9855917440722316,0.9937835763629371,0.9935729553314933,0.9931755318124933,0.9927264738225913,0.9999999999999996,0.987763763581593,0.9937909269712987,0.9934054544528472,0.9934054544528472,0.993752105688898,0.992194511194983,0.9939435527025736,0.9918973877688088,0.9929973645703832
scusèvule,0.9870650314521127,0.9879918535032688,0.9859821214507838,0.9851550359189707,0.9851550359189707,0.9788097361841067,0.9859821214507838,0.9851550359189707,0.9868745655696258,0.9778948019851218,0.9877637635815929,0.9860027393506052,0.9804730670302239,0.9886192478113932,0.9860027393506052,0.9867116282840747,0.9870948896731977,0.987763763581593,1.0,0.9913271866137898,0.990048920982125,0.990048920982125,0.9909557222341965,0.9861788565165424,0.9915759502957822,0.9847095000025587,0.9871710849021
scuse,0.9947839363505643,0.9951149129125091,0.9938848409742356,0.9930020593808796,0.9930020593808796,0.9817954875505939,0.9938848409742356,0.9930020593808796,0.9938763979432114,0.9844059524839934,0.9937909269712969,0.9947314970225732,0.985572546520458,0.9940091774502258,0.9947314970225732,0.995684939160137,0.9951599501672719,0.9937909269712987,0.9913271866137898,0.9999999999999996,0.9975942774893084,0.9975942774893084,0.9971632171363009,0.9915937633886817,0.9969311642796505,0.992584520986629,0.9944343050337933
scusà,0.993724355160335,0.9937814934961142,0.9934464115768089,0.9920397823932391,0.9920397823932391,0.9825612366063565,0.9934464115768089,0.9920397823932391,0.9945612462775542,0.9844752017877298,0.993405454452848,0.9943930723311916,0.9859668401839433,0.9930611411829573,0.9943930723311916,0.9938646399600467,0.9927793403787197,0.9934054544528472,0.990048920982125,0.9975942774893084,1.0,1.0,0.997115422294148,0.9905335735351022,0.9974868225807993,0.9933524946893111,0.9935024648563454
scusa,0.993724355160335,0.9937814934961142,0.9934464115768089,0.9920397823932391,0.9920397823932391,0.9825612366063565,0.9934464115768089,0.9920397823932391,0.9945612462775542,0.9844752017877298,0.993405454452848,0.9943930723311916,0.9859668401839433,0.9930611411829573,0.9943930723311916,0.9938646399600467,0.9927793403787197,0.9934054544528472,0.990048920982125,0.9975942774893084,1.0,1.0,0.997115422294148,0.9905335735351022,0.9974868225807993,0.9933524946893111,0.9935024648563454
scusate,0.9959770656757261,0.9955391839620852,0.9942243732818855,0.9926210089022302,0.9926210089022302,0.9851767210055101,0.9942243732818855,0.9926210089022302,0.9936436331855623,0.9839941863817674,0.9937521056888973,0.9952049207648981,0.9863157443052798,0.9942469840244453,0.9952049207648981,0.9945150920408892,0.9930645297882111,0.993752105688898,0.9909557222341965,0.9971632171363009,0.997115422294148,0.997115422294148,0.9999999999999993,0.9930907754905633,0.9977545329080258,0.9951950019877346,0.9963819817274372
pèrmittimi,0.9924631795964856,0.9933928586253725,0.9921867963227501,0.9891349639884262,0.9891349639884262,0.9820570557922769,0.9921867963227501,0.9891349639884262,0.9897210921930232,0.9811297607796777,0.9921945111949825,0.9927565039976883,0.9833524024609669,0.9914021314689008,0.9927565039976883,0.9927600400957477,0.989484867463735,0.992194511194983,0.9861788565165424,0.9915937633886817,0.9905335735351022,0.9905335735351022,0.9930907754905633,1.0000000000000002,0.992201774918633,0.991256043373328,0.9928987847962785
scusami,0.9945132029885116,0.9949986593420346,0.9936419327874045,0.9923914822303577,0.9923914822303577,0.9836350595614864,0.9936419327874045,0.9923914822303577,0.9944682831323804,0.9850548121446122,0.9939435527025736,0.9947565999946288,0.9870663539488187,0.9938810929267986,0.9947565999946288,0.9935122171429669,0.9933471163303443,0.9939435527025736,0.9915759502957822,0.9969311642796505,0.9974868225807993,0.9974868225807993,0.9977545329080258,0.992201774918633,0.9999999999999999,0.9933570823476973,0.9943262438626737
tristezza,0.994600803692088,0.9926639314217073,0.9929717267898133,0.992227944514865,0.992227944514865,0.9855396902624337,0.9929717267898133,0.992227944514865,0.9903948246047799,0.9814727197346518,0.9918973877688088,0.9942482637747757,0.9838362316641186,0.9901430433861297,0.9942482637747757,0.9924744139971573,0.9899854591458535,0.9918973877688088,0.9847095000025587,0.992584520986629,0.9933524946893111,0.9933524946893111,0.9951950019877346,0.991256043373328,0.9933570823476973,0.9999999999999987,0.996818069842359
mi dispiace,0.9965856373562562,0.9945379310633131,0.9932876094428544,0.992525885266602,0.992525885266602,0.985113228045962,0.9932876094428544,0.992525885266602,0.9910179195793933,0.9815459747685479,0.9929973645703832,0.9942553638115122,0.9847997174545684,0.9921937659603862,0.9942553638115122,0.993979263678668,0.9920155905001545,0.9929973645703832,0.9871710849021,0.9944343050337933,0.9935024648563454,0.9935024648563454,0.9963819817274372,0.9928987847962785,0.9943262438626737,0.996818069842359,0.999999999999999
