,appreciate,appreciation,grateful,gratefulness,gratitude,thank,thankful,thankfulness,debt,indebted,indebtedness,indebtment,obligation,obliged,obligedness,obligement,owe,owing,apologetic,apologies,apologize,apology,excuse,pardon,sorriness,sorry
obliged,0.993641882061303,0.993659560473086,0.9917896283020003,0.9918727878889809,0.9900425107876115,0.9881246626003668,0.9899589599773367,0.9914454413262273,0.9885215849234525,0.978775398208567,0.9855613042618341,0.9939612012716177,0.990579354944252,0.9999999999999993,0.9935966079028907,0.9974109209204529,0.9876111973608718,0.9914048027957121,0.9920642323811294,0.9938871567867472,0.988875960011858,0.9913286752979331,0.9951388381263049,0.99282755526649,0.9862666449223575,0.9885194066929679
obligedness,0.9924400691370893,0.9952493701828248,0.9903009220099819,0.9908384774460143,0.9870052884021943,0.9855233320509456,0.988638997192493,0.9908257330833845,0.9864930500356365,0.9791403430041301,0.992569348098235,0.9941276482988644,0.9893106121211038,0.9935966079028907,0.9999999999999998,0.993991486877433,0.9918918222538124,0.9915703628393643,0.9940445689630101,0.9945549103877801,0.9938678241988221,0.9931606027027126,0.9927285027819864,0.9933924278207805,0.9893404293864451,0.9876131824049476
obligement,0.9926545333961226,0.99408203095113,0.9913646750955827,0.9917002685419232,0.9907460621577638,0.9875421171653752,0.9897499067772988,0.9915542162292248,0.9879993539525465,0.9767452184480953,0.985833348019388,0.9947120635602617,0.9915708691814876,0.9974109209204529,0.993991486877433,0.9999999999999986,0.9883422727070003,0.9913872452239098,0.9918036493617253,0.9938268297283355,0.989542663169043,0.9919925883880214,0.9956284605986431,0.9931079046096961,0.9861121789160439,0.9884690140221003
owe,0.9876426114575254,0.9903834412600916,0.9866325904952333,0.9860173845008321,0.9823135715593705,0.9801637023840041,0.9861089952318415,0.9862685127127175,0.9817025512145708,0.9737848821297659,0.9874559527229796,0.9901673471393473,0.9825716851422125,0.9876111973608718,0.9918918222538124,0.9883422727070003,0.9999999999999991,0.9904993231814004,0.9901994606129925,0.9901809309766306,0.9908610810936422,0.9893279320867592,0.9884451774938435,0.9887758958876054,0.9887468067975309,0.9840036734846453
owing,0.9918898943597084,0.9930302845883964,0.9909407631222354,0.9890824892607373,0.9872820059593195,0.9858526762753386,0.9891766646098875,0.9893408537521412,0.9891368974459318,0.9764316961915798,0.9844762893500428,0.9919807002329074,0.9865557345838066,0.9914048027957121,0.9915703628393643,0.9913872452239098,0.9904993231814004,0.9999999999999994,0.991417720633729,0.9914295300155103,0.9880638528913381,0.9915553435615637,0.9925209551256307,0.9928559291021429,0.9883056608146533,0.9884940049013278
apologetic,0.9932370083981895,0.9950294843046491,0.9909513507637495,0.9918723051403929,0.9874770997547492,0.9837452333069119,0.9887048332693401,0.9911374989520356,0.9873106294085252,0.977608462732468,0.9883258338197564,0.9927708840765198,0.9876004223504397,0.9920642323811294,0.9940445689630101,0.9918036493617253,0.9901994606129925,0.991417720633729,0.9999999999999998,0.9944435534739973,0.9928207670887025,0.9941987738025121,0.9918159994000196,0.991228313932754,0.9877140790927851,0.9865422102386999
apologies,0.9939669822983326,0.9960925131387522,0.9920127582670282,0.9924706082303718,0.9892173130053893,0.9853419689826632,0.9906151572175491,0.9925264705819118,0.9861748854978186,0.9765771774929901,0.9871602802833641,0.9932365855082331,0.9878665542207756,0.9938871567867472,0.9945549103877801,0.9938268297283355,0.9901809309766306,0.9914295300155103,0.9944435534739973,0.9999999999999999,0.994295975063866,0.9949897922616949,0.9938492945917068,0.9942335760125535,0.9883425916214298,0.9887710520739484
apologize,0.9902336742198178,0.993603500690684,0.989028633908968,0.9894158195444734,0.9856287889580428,0.9820854901642924,0.9887534719150869,0.9902552013420878,0.9820401789988361,0.973640548545668,0.9878383906647096,0.9892513642037843,0.9855019521918901,0.988875960011858,0.9938678241988221,0.989542663169043,0.9908610810936422,0.9880638528913381,0.9928207670887025,0.994295975063866,0.9999999999999992,0.9929782953199886,0.9904042691217876,0.9920719669854156,0.9871645965739891,0.9863343630583944
apology,0.9938134176748998,0.995693728753425,0.9917020777934554,0.9931695610309459,0.9898159953872272,0.9863911138282143,0.9918830617824884,0.9938826703375987,0.9889265954023814,0.9765809428562873,0.9870163460409971,0.9925267388797441,0.9889805266881095,0.9913286752979331,0.9931606027027126,0.9919925883880214,0.9893279320867592,0.9915553435615637,0.9941987738025121,0.9949897922616949,0.9929782953199886,0.9999999999999998,0.9938157023323103,0.993356958481016,0.9864474572709397,0.9890115346349997
excuse,0.9954356106563742,0.994985085163373,0.9940980653891972,0.993578669217587,0.9925647010538255,0.9887648275736288,0.9929494234587608,0.9938236355872795,0.9892050148408299,0.9770419999726753,0.9853572129887833,0.9937419838513288,0.9906737059458469,0.9951388381263049,0.9927285027819864,0.9956284605986431,0.9884451774938435,0.9925209551256307,0.9918159994000196,0.9938492945917068,0.9904042691217876,0.9938157023323103,0.9999999999999997,0.9951488219788596,0.9863926292537694,0.9920930544102713
pardon,0.9937170450132321,0.9949230458403444,0.992776867062176,0.9923179842181687,0.990015503719075,0.9883340611533424,0.9919105394216142,0.9929022509980594,0.987903839435833,0.9758214456560327,0.9856475020275707,0.9923880859717991,0.9888786259903375,0.99282755526649,0.9933924278207805,0.9931079046096961,0.9887758958876054,0.9928559291021429,0.991228313932754,0.9942335760125535,0.9920719669854156,0.993356958481016,0.9951488219788596,0.9999999999999998,0.986791899439575,0.9911967156784487
sorriness,0.9868592259032694,0.9881223202582723,0.9843953529398191,0.9830507284876443,0.9808186358448363,0.9805006770921836,0.9832746254420811,0.9838575384678091,0.9828397600212554,0.9730815989780126,0.9843347380544087,0.9874608130533566,0.9815256732288029,0.9862666449223575,0.9893404293864451,0.9861121789160439,0.9887468067975309,0.9883056608146533,0.9877140790927851,0.9883425916214298,0.9871645965739891,0.9864474572709397,0.9863926292537694,0.986791899439575,0.9999999999999996,0.9833420630481866
sorry,0.9918884765764596,0.9900852545817638,0.9934920634488622,0.9902172761931873,0.9882796612565468,0.9891058380825674,0.9913526260967005,0.9906262625583335,0.9860230528024166,0.9723284549078294,0.9811561455417795,0.9886118067138019,0.9849739939218347,0.9885194066929679,0.9876131824049476,0.9884690140221003,0.9840036734846453,0.9884940049013278,0.9865422102386999,0.9887710520739484,0.9863343630583944,0.9890115346349997,0.9920930544102713,0.9911967156784487,0.9833420630481866,0.9999999999999996
