,vertinti,vertinimas,dėkinga,dėkingas,dėkingumas,dėkingumas,ačiū,dėkinga,dėkingas,dėkingumas,įsiskolinęs,įsiskolinusi,įsiskolinimas,įsipareigojimas,prievolė,įpareigota,įpareigotas,įsipareigojimas,skola,skolingas,būti skolingam,atsiprašantis,atsiprašymai,atsiprašyti,atsiprašymas,atsiprašau,apgailestavimas,atsiprašau,atleisk man
įsiskolinęs,0.9945753990279876,0.993015066148151,0.9937225572246289,0.9953900065076482,0.9934666860396264,0.9934666860396264,0.9890984718631232,0.9937225572246289,0.9953900065076484,0.993466686039625,0.9999999999999997,0.9966741420878635,0.9962357454079368,0.9913949298018772,0.9904894039132279,0.9917363458506192,0.9926384887844659,0.9913949298018772,0.9860344330738652,0.9955172120270653,0.9926718941781507,0.9949796519719807,0.9944149860000424,0.9933414371353361,0.9935816887853501,0.9945630769154784,0.9922831637928079,0.9945630769154784,0.9895767784343227
įsiskolinusi,0.9953249077442573,0.9917275688805898,0.9956531132931998,0.9951048546395772,0.9929510119207106,0.9929510119207106,0.988319635607562,0.9956531132931998,0.9951048546395769,0.9929510119207107,0.9966741420878635,1.0,0.995005305413915,0.9893014139559817,0.9898967078212655,0.9927638857218841,0.992131978743627,0.9893014139559831,0.9872688680868451,0.9943504874328002,0.9933396785170125,0.994704334527178,0.9941407273092241,0.9918811968481875,0.992209048488048,0.996387320566757,0.9903426858121787,0.996387320566757,0.9903903617119603
įsiskolinimas,0.9938533250532122,0.9942064050992184,0.9910015037637121,0.9955349890739681,0.9944635962291771,0.9944635962291771,0.9866075754850174,0.9910015037637121,0.9955349890739684,0.9944635962291767,0.9962357454079368,0.995005305413915,0.9999999999999999,0.9941608936652568,0.9899319839758316,0.9890677188266832,0.990384869251026,0.9941608936652566,0.9849398510036029,0.9963163561060727,0.9923061584494907,0.9958761876790607,0.9958139379773352,0.9941662105156556,0.9949994762702241,0.9933291043547577,0.9946009945258852,0.9933291043547577,0.9880993841474387
įsipareigojimas,0.9893847997989567,0.9948363160360416,0.9863900923128658,0.9941806824919445,0.9932507655651874,0.9932507655651874,0.9828913180502133,0.9863900923128658,0.9941806824919441,0.9932507655651873,0.9913949298018772,0.9893014139559817,0.9941608936652568,0.9999999999999994,0.9871712133767205,0.9852435104982554,0.9871359213716729,1.0000000000000002,0.9807792661743047,0.9939580061765072,0.9879671914027701,0.994985338012966,0.9936944688041742,0.9924850603112084,0.9942798628470602,0.9887149647140568,0.9951800659646657,0.9887149647140568,0.9815071917185553
prievolė,0.9929335696205658,0.9895982141926495,0.9895563607276279,0.9901700063558976,0.9881255452703437,0.9881255452703437,0.988517231944843,0.9895563607276279,0.9901700063558972,0.988125545270345,0.9904894039132279,0.9898967078212655,0.9899319839758316,0.9871712133767205,0.9999999999999994,0.9875830029048946,0.9899563459498658,0.9871712133767205,0.9817813196862977,0.9926969399442324,0.9902116029410283,0.9919382180470763,0.993165083740032,0.990487479530554,0.9928110350757724,0.9893499734643125,0.9898252859839107,0.9893499734643125,0.9863685040922753
įpareigota,0.9911586926127444,0.987753187876209,0.9928329477725399,0.9911220654399192,0.9888391295498,0.9888391295498,0.9868967475130133,0.9928329477725399,0.9911220654399187,0.9888391295498001,0.9917363458506192,0.9927638857218841,0.9890677188266832,0.9852435104982554,0.9875830029048946,0.9999999999999997,0.9960287753087245,0.9852435104982541,0.9854024295687797,0.9905863796221099,0.990265126335621,0.9904044625091729,0.9904456197791727,0.9877207638497688,0.9887698452018618,0.9925363723611016,0.9864058842575477,0.9925363723611016,0.9876749404387951
įpareigotas,0.9926038149203469,0.9897484077519635,0.992171321079463,0.9914924174840514,0.9894816738618574,0.9894816738618574,0.9897396964600709,0.992171321079463,0.9914924174840514,0.9894816738618574,0.9926384887844659,0.992131978743627,0.990384869251026,0.9871359213716729,0.9899563459498658,0.9960287753087245,0.9999999999999998,0.9871359213716728,0.9846963381551761,0.9925753481721131,0.9920106222804466,0.9916601018588578,0.9916309294773986,0.989417875170849,0.9911244437892843,0.9920275011052412,0.988592086156354,0.9920275011052412,0.9882055727809184
įsipareigojimas,0.9893847997989567,0.9948363160360416,0.9863900923128658,0.9941806824919445,0.9932507655651874,0.9932507655651874,0.9828913180502133,0.9863900923128658,0.9941806824919445,0.9932507655651874,0.9913949298018772,0.9893014139559831,0.9941608936652566,1.0000000000000002,0.9871712133767205,0.9852435104982541,0.9871359213716728,0.9999999999999994,0.9807792661743052,0.9939580061765075,0.9879671914027701,0.9949853380129656,0.9936944688041738,0.992485060311209,0.9942798628470602,0.9887149647140568,0.9951800659646657,0.9887149647140568,0.9815071917185553
skola,0.9852464097254762,0.9820489399433073,0.9866263343343,0.986665746691344,0.9840408131067565,0.9840408131067565,0.9793857584408386,0.9866263343343,0.986665746691344,0.9840408131067565,0.9860344330738652,0.9872688680868451,0.9849398510036029,0.9807792661743047,0.9817813196862977,0.9854024295687797,0.9846963381551761,0.9807792661743052,1.0,0.9874868511006489,0.984730721476071,0.9850139719661684,0.9843822136370126,0.9820866798350161,0.9830449039460494,0.9872987756972631,0.9829753090442244,0.9872987756972631,0.9828685335518995
skolingas,0.9947854370015531,0.9946695526628705,0.9925965616081259,0.9970620968651733,0.9946546407559399,0.9946546407559399,0.9887330675677921,0.9925965616081259,0.9970620968651733,0.9946546407559399,0.9955172120270653,0.9943504874328002,0.9963163561060727,0.9939580061765072,0.9926969399442324,0.9905863796221099,0.9925753481721131,0.9939580061765075,0.9874868511006489,1.0,0.9939165632217891,0.9971382413256542,0.9957825633709563,0.9935404690185352,0.995608742769621,0.9937654541909249,0.9952610603860611,0.9937654541909249,0.988753357697501
būti skolingam,0.9943865992265283,0.9914026554328519,0.9934392087719623,0.9932628947735078,0.9933643183576124,0.9933643183576124,0.9899093265285984,0.9934392087719623,0.9932628947735078,0.9933643183576124,0.9926718941781507,0.9933396785170125,0.9923061584494907,0.9879671914027701,0.9902116029410283,0.990265126335621,0.9920106222804466,0.9879671914027701,0.984730721476071,0.9939165632217891,0.9999999999999993,0.9938355616995607,0.9935821409496898,0.9916413374006791,0.9930679245494418,0.9926972596615145,0.9905103936605443,0.9926972596615145,0.9897456511213354
atsiprašantis,0.9949570777324129,0.9957220578873709,0.9926978270801006,0.9971642122021878,0.9951616186003361,0.9951616186003361,0.9888130107099908,0.9926978270801006,0.9971642122021878,0.9951616186003361,0.9949796519719807,0.994704334527178,0.9958761876790607,0.994985338012966,0.9919382180470763,0.9904044625091729,0.9916601018588578,0.9949853380129656,0.9850139719661684,0.9971382413256542,0.9938355616995607,0.9999999999999998,0.9963816192986265,0.9954208924840078,0.9965882305911393,0.9947355660264162,0.9947968176812639,0.9947355660264162,0.9889255819193457
atsiprašymai,0.9958346846758966,0.9950193002487864,0.9919247757833497,0.9951984294781784,0.9946013465132071,0.9946013465132071,0.9887619757841196,0.9919247757833497,0.9951984294781784,0.9946013465132071,0.9944149860000424,0.9941407273092241,0.9958139379773352,0.9936944688041742,0.993165083740032,0.9904456197791727,0.9916309294773986,0.9936944688041738,0.9843822136370126,0.9957825633709563,0.9935821409496898,0.9963816192986265,0.9999999999999993,0.9964448312130508,0.9983105490735191,0.9940661607826599,0.9953549286005186,0.9940661607826599,0.988336846133612
atsiprašyti,0.9937509520307931,0.9921352694435208,0.9897698330787995,0.9931914180572516,0.9918135304963136,0.9918135304963136,0.9870407638634991,0.9897698330787995,0.9931914180572516,0.9918135304963136,0.9933414371353361,0.9918811968481875,0.9941662105156556,0.9924850603112084,0.990487479530554,0.9877207638497688,0.989417875170849,0.992485060311209,0.9820866798350161,0.9935404690185352,0.9916413374006791,0.9954208924840078,0.9964448312130508,0.9999999999999996,0.9965556860894861,0.992866347020184,0.9932025915191256,0.992866347020184,0.9867299434443274
atsiprašymas,0.994612798071549,0.9959445615126378,0.9909010230959616,0.9948533635752976,0.994881780713739,0.994881780713739,0.9885788681371863,0.9909010230959616,0.9948533635752976,0.994881780713739,0.9935816887853501,0.992209048488048,0.9949994762702241,0.9942798628470602,0.9928110350757724,0.9887698452018618,0.9911244437892843,0.9942798628470602,0.9830449039460494,0.995608742769621,0.9930679245494418,0.9965882305911393,0.9983105490735191,0.9965556860894861,0.9999999999999991,0.9925058695360179,0.9958257117763742,0.9925058695360179,0.9875793145275978
atsiprašau,0.9941399645646335,0.9904145127616077,0.995177306525908,0.994582035994849,0.9918945311470752,0.9918945311470752,0.9881804145106202,0.995177306525908,0.994582035994849,0.9918945311470752,0.9945630769154784,0.996387320566757,0.9933291043547577,0.9887149647140568,0.9893499734643125,0.9925363723611016,0.9920275011052412,0.9887149647140568,0.9872987756972631,0.9937654541909249,0.9926972596615145,0.9947355660264162,0.9940661607826599,0.992866347020184,0.9925058695360179,0.9999999999999993,0.9899749813721772,0.9999999999999993,0.991566281643553
apgailestavimas,0.9925257193720093,0.9948340542256141,0.9876583566890531,0.9941018449578404,0.9933315806149489,0.9933315806149489,0.9848926570963887,0.9876583566890531,0.9941018449578404,0.9933315806149489,0.9922831637928079,0.9903426858121787,0.9946009945258852,0.9951800659646657,0.9898252859839107,0.9864058842575477,0.988592086156354,0.9951800659646657,0.9829753090442244,0.9952610603860611,0.9905103936605443,0.9947968176812639,0.9953549286005186,0.9932025915191256,0.9958257117763742,0.9899749813721772,1.0000000000000002,0.9899749813721772,0.9846667343740719
atsiprašau,0.9941399645646335,0.9904145127616077,0.995177306525908,0.994582035994849,0.9918945311470752,0.9918945311470752,0.9881804145106202,0.995177306525908,0.994582035994849,0.9918945311470752,0.9945630769154784,0.996387320566757,0.9933291043547577,0.9887149647140568,0.9893499734643125,0.9925363723611016,0.9920275011052412,0.9887149647140568,0.9872987756972631,0.9937654541909249,0.9926972596615145,0.9947355660264162,0.9940661607826599,0.992866347020184,0.9925058695360179,0.9999999999999993,0.9899749813721772,0.9999999999999993,0.991566281643553
atleisk man,0.9896865202659426,0.9849973635054535,0.9895250627570309,0.988146030875359,0.9858345262678297,0.9858345262678297,0.9859640215011969,0.9895250627570309,0.988146030875359,0.9858345262678297,0.9895767784343227,0.9903903617119603,0.9880993841474387,0.9815071917185553,0.9863685040922753,0.9876749404387951,0.9882055727809184,0.9815071917185553,0.9828685335518995,0.988753357697501,0.9897456511213354,0.9889255819193457,0.988336846133612,0.9867299434443274,0.9875793145275978,0.991566281643553,0.9846667343740719,0.991566281643553,0.9999999999999991
