,પ્રશંસા,આભારી,આભાર,આભાર,આભાર,આભારી,આભાર,કદર કરવી,કરજદાર,કરજદારી,જવાબદારી,ફરજ,બાધ્ય,મજબૂર,જવાબદારી,ફરજ,ઋણ બાકી,ઋણી હોવું,કરજ બાકી,ખેદપ્રકટક,માફીઓ,માફી,દુઃખ,માફ કરજો,માફ કરજો,માફી માંગવી,મારી માફી
જવાબદારી,0.9938567842330234,0.9940400040549034,0.9939696321318974,0.9939696321318974,0.9939696321318974,0.9940400040549034,0.9939696321318974,0.9929411773798759,0.9934045231013402,0.9960278709976742,0.9999999999999996,0.9839401010679021,0.9856363613149625,0.9904884278928101,0.9999999999999996,0.9839401010679021,0.9914857960428435,0.9926904541925258,0.992819666934231,0.994827432337338,0.9953516704559867,0.9942938925018932,0.9938485289275665,0.9926681672732501,0.9926681672732501,0.994088967608154,0.9933306091326142
ફરજ,0.9869940669514164,0.9869224311656937,0.9851558891366868,0.9851558891366868,0.9851558891366868,0.9869224311656937,0.9851558891366868,0.9846550816878025,0.9869597605642443,0.987164846735481,0.9839401010679021,0.9999999999999997,0.9859577633482294,0.9863060231580395,0.9839401010679021,0.9999999999999997,0.9849096283168811,0.9864583982742379,0.986292268541673,0.9868081458579167,0.9861083536666834,0.988990186917191,0.9868604408558773,0.986830453534077,0.986830453534077,0.9862336718935426,0.9875974904369911
બાધ્ય,0.9912346366559235,0.9904115107999732,0.990131787878664,0.990131787878664,0.990131787878664,0.9904115107999732,0.990131787878664,0.9887511588140372,0.9889734560790855,0.9902193179515818,0.9856363613149625,0.9859577633482294,0.9999999999999996,0.9868615151899184,0.9856363613149625,0.9859577633482294,0.9877192725232181,0.9890782469074805,0.9882328600346193,0.9909535552997141,0.9875909860966402,0.9889515512272994,0.9878804491341634,0.9885547407797911,0.9885547407797911,0.9885507461659739,0.9898652932693208
મજબૂર,0.9932242465017442,0.9925680216226213,0.9908291205687001,0.9908291205687001,0.9908291205687001,0.9925680216226213,0.9908291205687001,0.9898467110538841,0.9919635528726434,0.9925788404899207,0.9904884278928101,0.9863060231580395,0.9868615151899184,0.9999999999999999,0.9904884278928101,0.9863060231580395,0.9920997148327586,0.9901917442400221,0.9927273204344229,0.993150230772594,0.9912910322424021,0.9915658885900506,0.9912674385511375,0.9916059947146787,0.9916059947146787,0.9905655019328814,0.9911741421725343
જવાબદારી,0.9938567842330234,0.9940400040549034,0.9939696321318974,0.9939696321318974,0.9939696321318974,0.9940400040549034,0.9939696321318974,0.9929411773798759,0.9934045231013402,0.9960278709976742,0.9999999999999996,0.9839401010679021,0.9856363613149625,0.9904884278928101,0.9999999999999996,0.9839401010679021,0.9914857960428435,0.9926904541925258,0.992819666934231,0.994827432337338,0.9953516704559867,0.9942938925018932,0.9938485289275665,0.9926681672732501,0.9926681672732501,0.994088967608154,0.9933306091326142
ફરજ,0.9869940669514164,0.9869224311656937,0.9851558891366868,0.9851558891366868,0.9851558891366868,0.9869224311656937,0.9851558891366868,0.9846550816878025,0.9869597605642443,0.987164846735481,0.9839401010679021,0.9999999999999997,0.9859577633482294,0.9863060231580395,0.9839401010679021,0.9999999999999997,0.9849096283168811,0.9864583982742379,0.986292268541673,0.9868081458579167,0.9861083536666834,0.988990186917191,0.9868604408558773,0.986830453534077,0.986830453534077,0.9862336718935426,0.9875974904369911
ઋણ બાકી,0.9950667484305479,0.9953954395055662,0.9938622235475122,0.9938622235475122,0.9938622235475122,0.9953954395055662,0.9938622235475122,0.9939743545587194,0.9937008748659596,0.9943029887905559,0.9914857960428435,0.9849096283168811,0.9877192725232181,0.9920997148327586,0.9914857960428435,0.9849096283168811,0.9999999999999993,0.9952326983088805,0.9983542882743546,0.9952229994828913,0.9932541921306556,0.9932479003214704,0.993116579140471,0.9954612589373989,0.9954612589373992,0.9949216826979742,0.9943562255782628
ઋણી હોવું,0.995009036109999,0.9962834736008461,0.9944395700730182,0.9944395700730182,0.9944395700730182,0.9962834736008461,0.9944395700730182,0.9967445591406318,0.9946074494867967,0.9949354101100026,0.9926904541925258,0.9864583982742379,0.9890782469074805,0.9901917442400221,0.9926904541925258,0.9864583982742379,0.9952326983088805,0.9999999999999998,0.9945080258134253,0.995571005318433,0.9946807177787322,0.9950724984366657,0.9946191975863535,0.9965382068352199,0.99653820683522,0.9966794494148332,0.9973612381979456
કરજ બાકી,0.9953942084286921,0.9957674282526752,0.9941246533473637,0.9941246533473637,0.9941246533473637,0.9957674282526752,0.9941246533473637,0.993570473603251,0.9945893972857485,0.9953876799955339,0.992819666934231,0.986292268541673,0.9882328600346193,0.9927273204344229,0.992819666934231,0.986292268541673,0.9983542882743546,0.9945080258134253,1.0,0.9960424874284454,0.9948628302806468,0.9946841043233614,0.9932332897501338,0.9962931545063753,0.996293154506374,0.9956409515457016,0.9945591177764904
ખેદપ્રકટક,0.9967434755419258,0.9967097431641346,0.9963154991743025,0.9963154991743025,0.9963154991743025,0.9967097431641346,0.9963154991743025,0.9951916693815496,0.9958551508181479,0.9970384765799241,0.994827432337338,0.9868081458579167,0.9909535552997141,0.993150230772594,0.994827432337338,0.9868081458579167,0.9952229994828913,0.995571005318433,0.9960424874284454,0.9999999999999996,0.996054335770978,0.9962469474981397,0.9956898867251749,0.9962328558328226,0.996232855832823,0.9962965468269909,0.9962117637556712
માફીઓ,0.9959351636173667,0.9950261827655312,0.9958690008666766,0.9958690008666766,0.9958690008666766,0.9950261827655312,0.9958690008666766,0.9935675552443,0.9937178922597307,0.9963701903189307,0.9953516704559867,0.9861083536666834,0.9875909860966402,0.9912910322424021,0.9953516704559867,0.9861083536666834,0.9932541921306556,0.9946807177787322,0.9948628302806468,0.996054335770978,0.9999999999999994,0.9982245700185415,0.9939088913116488,0.996366964047031,0.9963669640470303,0.997598255437957,0.9958569154074947
માફી,0.9959644953220963,0.9958619520256418,0.9956488157117697,0.9956488157117697,0.9956488157117697,0.9958619520256418,0.9956488157117697,0.9934876121221107,0.9949265917569255,0.9960480714817592,0.9942938925018932,0.988990186917191,0.9889515512272994,0.9915658885900506,0.9942938925018932,0.988990186917191,0.9932479003214704,0.9950724984366657,0.9946841043233614,0.9962469474981397,0.9982245700185415,0.9999999999999998,0.9947792517771784,0.9962781024555063,0.9962781024555064,0.9974733086962241,0.996921333319053
દુઃખ,0.9952205178073309,0.9953004684833413,0.9936397347695863,0.9936397347695863,0.9936397347695863,0.9953004684833413,0.9936397347695863,0.9943233590636681,0.9947304240861283,0.9950046646579119,0.9938485289275665,0.9868604408558773,0.9878804491341634,0.9912674385511375,0.9938485289275665,0.9868604408558773,0.993116579140471,0.9946191975863535,0.9932332897501338,0.9956898867251749,0.9939088913116488,0.9947792517771784,0.9999999999999992,0.9936086364392576,0.9936086364392577,0.9936713851479922,0.9951818964178166
માફ કરજો,0.9954938128424226,0.9962541763171636,0.9950694255938424,0.9950694255938424,0.9950694255938424,0.9962541763171636,0.9950694255938424,0.9945809465516036,0.9941319926079957,0.9954646845311189,0.9926681672732501,0.986830453534077,0.9885547407797911,0.9916059947146787,0.9926681672732501,0.986830453534077,0.9954612589373989,0.9965382068352199,0.9962931545063753,0.9962328558328226,0.996366964047031,0.9962781024555063,0.9936086364392576,0.9999999999999997,1.0000000000000002,0.9974904474729785,0.9967787667890365
માફ કરજો,0.9954938128424226,0.9962541763171636,0.9950694255938424,0.9950694255938424,0.9950694255938424,0.9962541763171636,0.9950694255938424,0.9945809465516036,0.9941319926079957,0.9954646845311189,0.9926681672732501,0.986830453534077,0.9885547407797911,0.9916059947146787,0.9926681672732501,0.986830453534077,0.9954612589373992,0.99653820683522,0.996293154506374,0.996232855832823,0.9963669640470303,0.9962781024555064,0.9936086364392577,1.0000000000000002,0.9999999999999998,0.9974904474729784,0.9967787667890358
માફી માંગવી,0.995224087456323,0.996079004159178,0.9957077472185081,0.9957077472185081,0.9957077472185081,0.996079004159178,0.9957077472185081,0.9957016780508409,0.9939137745421925,0.9957016267585923,0.994088967608154,0.9862336718935426,0.9885507461659739,0.9905655019328814,0.994088967608154,0.9862336718935426,0.9949216826979742,0.9966794494148332,0.9956409515457016,0.9962965468269909,0.997598255437957,0.9974733086962241,0.9936713851479922,0.9974904474729785,0.9974904474729784,0.9999999999999997,0.9976264803413575
મારી માફી,0.9954285288715519,0.9964162745901015,0.995086365848723,0.995086365848723,0.995086365848723,0.9964162745901015,0.995086365848723,0.9959152077432132,0.9949427254604656,0.9958630517117183,0.9933306091326142,0.9875974904369911,0.9898652932693208,0.9911741421725343,0.9933306091326142,0.9875974904369911,0.9943562255782628,0.9973612381979456,0.9945591177764904,0.9962117637556712,0.9958569154074947,0.996921333319053,0.9951818964178166,0.9967787667890365,0.9967787667890358,0.9976264803413575,0.9999999999999994
