,пĕрлешĕр,пĕрлешĕ,шуплашĕ,шуплашĕнче,шуплашĕнче,шупаш,шуплашĕ,шуплашĕнче,тӑвакал,тӑвакалăк,йытатнӑ,пӗрлешӗв,йытатнӑ,йытатнӑ,тӑвакал,тӑвакал илтӗр,тӑвакал илтӗр,уяраслатнă,уярасланÿ,уяраслат,уяраслану,апак,хÿтсем,апак,апак ит
йытатнӑ,0.9814958711475824,0.9729592735079905,0.987586748598299,0.9819384021907007,0.9819384021907007,0.9704429780771451,0.987586748598299,0.9819384021907007,0.9878672190513219,0.983988749853705,1.0000000000000002,0.9940141043500138,1.0000000000000002,1.0000000000000002,0.9878672190513219,0.9887043726425091,0.988704372642509,0.9876732059242876,0.9833453243078671,0.9896373778272495,0.9901007841559709,0.9903473936397708,0.9864930177405189,0.9903473936397708,0.9901467701370222
пӗрлешӗв,0.9843292318472029,0.9758009541176914,0.9898970477191782,0.984901298710538,0.984901298710538,0.9734529473405946,0.9898970477191782,0.984901298710538,0.991287223337007,0.9878270564640688,0.9940141043500138,1.0,0.9940141043500138,0.9940141043500138,0.991287223337007,0.9901641194042727,0.9901641194042727,0.9898670161877586,0.9872535632489068,0.990437632200843,0.9907774672186428,0.9926441718454055,0.987537690474705,0.9926441718454055,0.991071450180459
йытатнӑ,0.9814958711475824,0.9729592735079905,0.987586748598299,0.9819384021907007,0.9819384021907007,0.9704429780771451,0.987586748598299,0.9819384021907007,0.9878672190513219,0.983988749853705,1.0000000000000002,0.9940141043500138,1.0000000000000002,1.0000000000000002,0.9878672190513219,0.9887043726425091,0.988704372642509,0.9876732059242876,0.9833453243078671,0.9896373778272495,0.9901007841559709,0.9903473936397708,0.9864930177405189,0.9903473936397708,0.9901467701370222
йытатнӑ,0.9814958711475824,0.9729592735079905,0.987586748598299,0.9819384021907007,0.9819384021907007,0.9704429780771451,0.987586748598299,0.9819384021907007,0.9878672190513219,0.983988749853705,1.0000000000000002,0.9940141043500138,1.0000000000000002,1.0000000000000002,0.9878672190513219,0.9887043726425091,0.988704372642509,0.9876732059242876,0.9833453243078671,0.9896373778272495,0.9901007841559709,0.9903473936397708,0.9864930177405189,0.9903473936397708,0.9901467701370222
тӑвакал,0.9862734681520889,0.9777435631452807,0.9941181719332881,0.9907774896419338,0.9907774896419338,0.9793397147511919,0.9941181719332881,0.9907774896419338,0.9999999999999992,0.9958346610118717,0.9878672190513219,0.991287223337007,0.9878672190513219,0.9878672190513219,0.9999999999999992,0.9935606271303393,0.99356062713034,0.993394726954836,0.9904607381562052,0.9923135271496477,0.9916501159471982,0.9952378395386268,0.9902594895124094,0.9952378395386268,0.9929611801066003
тӑвакал илтӗр,0.9895436163104349,0.978613308003587,0.992781741308565,0.9869280106067522,0.9869280106067522,0.9747479000654459,0.992781741308565,0.9869280106067522,0.9935606271303393,0.9905191521030303,0.9887043726425091,0.9901641194042727,0.9887043726425091,0.9887043726425091,0.9935606271303393,0.9999999999999996,1.0000000000000002,0.9926828072576189,0.9862835321043325,0.9929315770907228,0.9915887363700644,0.9945032055173674,0.9934142323770638,0.9945032055173674,0.9942238888091717
тӑвакал илтӗр,0.9895436163104349,0.978613308003587,0.992781741308565,0.9869280106067522,0.9869280106067522,0.9747479000654459,0.992781741308565,0.9869280106067522,0.99356062713034,0.990519152103031,0.988704372642509,0.9901641194042727,0.988704372642509,0.988704372642509,0.99356062713034,1.0000000000000002,0.9999999999999996,0.9926828072576187,0.9862835321043328,0.9929315770907232,0.9915887363700642,0.9945032055173679,0.993414232377063,0.9945032055173679,0.9942238888091717
уяраслатнă,0.9913671227092445,0.9840329461203053,0.9946890873233499,0.9917905018526861,0.9917905018526861,0.9809778089002583,0.9946890873233499,0.9917905018526861,0.993394726954836,0.9937234491521142,0.9876732059242876,0.9898670161877586,0.9876732059242876,0.9876732059242876,0.993394726954836,0.9926828072576189,0.9926828072576187,0.999999999999999,0.9912110316099952,0.992152848241577,0.9913203192251416,0.9938577568076747,0.9906659461878626,0.9938577568076747,0.9922543975428346
уярасланÿ,0.9842987594209299,0.9781326497071274,0.9892776754362629,0.9864465052577647,0.9864465052577647,0.9742741382730736,0.9892776754362629,0.9864465052577647,0.9904607381562052,0.9903633405296427,0.9833453243078671,0.9872535632489068,0.9833453243078671,0.9833453243078671,0.9904607381562052,0.9862835321043325,0.9862835321043328,0.9912110316099952,0.9999999999999997,0.9883144677629937,0.9888788850310626,0.9891762793701382,0.9888335598067728,0.9891762793701382,0.9867142806194483
уяраслат,0.9857770151074103,0.9740584161194575,0.9935339489862427,0.9857675696164724,0.9857675696164724,0.9759034812986179,0.9935339489862427,0.9857675696164724,0.9923135271496477,0.9899658776972237,0.9896373778272495,0.990437632200843,0.9896373778272495,0.9896373778272495,0.9923135271496477,0.9929315770907228,0.9929315770907232,0.992152848241577,0.9883144677629937,0.9999999999999998,0.9977141477367053,0.9961798635389005,0.9909157590579389,0.9961798635389005,0.9951679963928322
уяраслану,0.9856342524689639,0.974346291004467,0.9926519023281085,0.9862617599103972,0.9862617599103972,0.9754106354820301,0.9926519023281085,0.9862617599103972,0.9916501159471982,0.9888513733896219,0.9901007841559709,0.9907774672186428,0.9901007841559709,0.9901007841559709,0.9916501159471982,0.9915887363700644,0.9915887363700642,0.9913203192251416,0.9888788850310626,0.9977141477367053,0.9999999999999992,0.995071833596901,0.9896641112199511,0.995071833596901,0.9937474098751238
апак,0.9874794694763032,0.9770644689897168,0.9964321915741033,0.9901587916631273,0.9901587916631273,0.9809545085216821,0.9964321915741033,0.9901587916631273,0.9952378395386268,0.9937747718869062,0.9903473936397708,0.9926441718454055,0.9903473936397708,0.9903473936397708,0.9952378395386268,0.9945032055173674,0.9945032055173679,0.9938577568076747,0.9891762793701382,0.9961798635389005,0.995071833596901,0.9999999999999996,0.9932555596313303,0.9999999999999996,0.9982980850242237
хÿтсем,0.9871700774808919,0.9786522386387764,0.9920642962347801,0.98595702052088,0.98595702052088,0.9743736296216393,0.9920642962347801,0.98595702052088,0.9902594895124094,0.9895336354023376,0.9864930177405189,0.987537690474705,0.9864930177405189,0.9864930177405189,0.9902594895124094,0.9934142323770638,0.993414232377063,0.9906659461878626,0.9888335598067728,0.9909157590579389,0.9896641112199511,0.9932555596313303,0.9999999999999994,0.9932555596313303,0.9932048060794773
апак,0.9874794694763032,0.9770644689897168,0.9964321915741033,0.9901587916631273,0.9901587916631273,0.9809545085216821,0.9964321915741033,0.9901587916631273,0.9952378395386268,0.9937747718869062,0.9903473936397708,0.9926441718454055,0.9903473936397708,0.9903473936397708,0.9952378395386268,0.9945032055173674,0.9945032055173679,0.9938577568076747,0.9891762793701382,0.9961798635389005,0.995071833596901,0.9999999999999996,0.9932555596313303,0.9999999999999996,0.9982980850242237
апак ит,0.9869154813569673,0.9776398365610353,0.9949116881794886,0.9887643112415515,0.9887643112415515,0.9789030065459093,0.9949116881794886,0.9887643112415515,0.9929611801066003,0.9912133843832107,0.9901467701370222,0.991071450180459,0.9901467701370222,0.9901467701370222,0.9929611801066003,0.9942238888091717,0.9942238888091717,0.9922543975428346,0.9867142806194483,0.9951679963928322,0.9937474098751238,0.9982980850242237,0.9932048060794773,0.9982980850242237,0.9999999999999993
