,הערכה,להעריך,מודה,תודה,להודות,הכרת תודה,מחויב,חוב,מחויבות,חובה,חייב,מצב חוב,תחושת חובה,מתנצל,התנצלויות,להתנצל,התנצלות,סליחה,צער,סליחה,סלח לי
חייב,0.9922554611648846,0.994228517160496,0.9960529584686926,0.9942443516533841,0.9930423619833919,0.9927499350516475,0.9966005878480008,0.9914916185077413,0.9956753509506079,0.995484121113583,1.0000000000000002,0.9923685476228722,0.9946953445229405,0.9955757371224124,0.9930874155880749,0.9945201081215653,0.9932678685189592,0.9929175769635944,0.9971103591027854,0.9929175769635944,0.9950336693529724
מצב חוב,0.9934726099785263,0.9930520242328718,0.993073530068093,0.9921326003429759,0.9925086704955396,0.9931473097831133,0.9951727138858728,0.9949992743825746,0.9953908752924792,0.9950638000238201,0.9923685476228722,0.9999999999999994,0.9964537675512025,0.9939335051530629,0.9945552554092666,0.9931938611665163,0.9938433689582792,0.994894374082146,0.9940403403788935,0.994894374082146,0.994784046569677
תחושת חובה,0.9948231225393951,0.9952874824341255,0.9955317115928779,0.9953489844966699,0.9950702979962311,0.9959106747998676,0.9962909653518294,0.9935146977546673,0.9978655081362694,0.9967778201133635,0.9946953445229405,0.9964537675512025,0.9999999999999992,0.9962879543775172,0.9965842732519264,0.9961109645829953,0.9969237495232461,0.9952233671630711,0.9955563744401661,0.9952233671630711,0.9966050309239297
מתנצל,0.9935172407725178,0.996259839908358,0.9968829820525862,0.9969255970130646,0.9972961263906239,0.9955224576382371,0.9968849287951919,0.9923655541716128,0.9977299207204163,0.9951271390397398,0.9955757371224124,0.9939335051530629,0.9962879543775172,0.9999999999999997,0.995112132490467,0.9979943458059447,0.9960185120886207,0.9942638165698636,0.9962717162452501,0.9942638165698636,0.9964324218536866
התנצלויות,0.9961341557542807,0.9943643609957546,0.9944716274840271,0.9937968850880501,0.9937831907354772,0.9958433105999519,0.9949531705364959,0.9908879414200492,0.996138483727967,0.9943465980221113,0.9930874155880749,0.9945552554092666,0.9965842732519264,0.995112132490467,0.9999999999999998,0.9951141042157418,0.9987745810272437,0.9946355118811235,0.9936998468341233,0.9946355118811235,0.9953826990056088
להתנצל,0.993547861659604,0.9971368957633057,0.9956968327966887,0.9953487604044643,0.9981367138501535,0.995048589177739,0.9955650709635498,0.9918683623852123,0.9967781371345408,0.9949239133578539,0.9945201081215653,0.9931938611665163,0.9961109645829953,0.9979943458059447,0.9951141042157418,0.9999999999999998,0.9961422239504015,0.9941961604082059,0.9951090462269768,0.9941961604082059,0.9960147767072124
התנצלות,0.9963523653597758,0.994545801639016,0.9947015338535363,0.9947950443328424,0.9947471594609057,0.9959515810229281,0.9946814240740001,0.9907442593601555,0.9966598113103615,0.99439510816133,0.9932678685189592,0.9938433689582792,0.9969237495232461,0.9960185120886207,0.9987745810272437,0.9961422239504015,0.999999999999999,0.994177106974894,0.994134765232682,0.994177106974894,0.9953581864097625
סליחה,0.9941716720655152,0.9935135233741312,0.9945485851686345,0.9926481479511536,0.9928957676512784,0.9926591275670277,0.9955395306878774,0.9930334850513286,0.9951490654409446,0.995299219748561,0.9929175769635944,0.994894374082146,0.9952233671630711,0.9942638165698636,0.9946355118811235,0.9941961604082059,0.994177106974894,0.9999999999999992,0.9941124280343013,0.9999999999999992,0.9957571701124861
צער,0.9933555557111144,0.9947377612831763,0.9969782318245402,0.9952881912753622,0.99419417003377,0.9935427992958126,0.9968744464778603,0.9934473709397478,0.9965791721816201,0.9971409463547135,0.9971103591027854,0.9940403403788935,0.9955563744401661,0.9962717162452501,0.9936998468341233,0.9951090462269768,0.994134765232682,0.9941124280343013,0.9999999999999998,0.9941124280343013,0.9960072696930345
סליחה,0.9941716720655152,0.9935135233741312,0.9945485851686345,0.9926481479511536,0.9928957676512784,0.9926591275670277,0.9955395306878774,0.9930334850513286,0.9951490654409446,0.995299219748561,0.9929175769635944,0.994894374082146,0.9952233671630711,0.9942638165698636,0.9946355118811235,0.9941961604082059,0.994177106974894,0.9999999999999992,0.9941124280343013,0.9999999999999992,0.9957571701124861
סלח לי,0.9937823900148055,0.995031758221587,0.9963054552663431,0.9951685545694758,0.9954836413767978,0.9953780898999227,0.996854704995261,0.9937655500324204,0.9968145908359838,0.9956466361911558,0.9950336693529724,0.994784046569677,0.9966050309239297,0.9964324218536866,0.9953826990056088,0.9960147767072124,0.9953581864097625,0.9957571701124861,0.9960072696930345,0.9957571701124861,0.9999999999999993
