,apreciar,apreciació,agraïda,agraït,agraïment,gratitud,gràcies,agraïda,agraït,agraïment,endeutada,endeutat,endeutament,obligació,obligada,obligat,compromís,deure,devent,amb deute,penedida,penedit,disculpes,disculpa,disculpa,perdona,perdona'm,disculpar-se,sentiment de pena,ho sento
endeutada,0.9859930923703678,0.9914626460767563,0.9916540967887887,0.9915810946817477,0.9905550364751662,0.9926241001869365,0.9908955797387788,0.9916540967887887,0.9915810946817469,0.9905550364751655,0.9999999999999998,0.993623814147456,0.9936465585739559,0.9865817831466152,0.9924505369254467,0.9913689734728273,0.9892139251216123,0.9915066583762971,0.9922388659315353,0.9916497737868704,0.9930841934542411,0.9944066576633711,0.9921451790049062,0.987900805653856,0.987900805653856,0.9918794550627493,0.98419487660044,0.9906772718603241,0.9927321990791155,0.9907372798030095
endeutat,0.9864476961497227,0.9919656605110362,0.9909800234559348,0.9917352907172766,0.9909197356183028,0.9920710343164109,0.9881277687761385,0.9909800234559348,0.9917352907172775,0.9909197356183039,0.993623814147456,0.9999999999999999,0.9923231497684502,0.98771193952774,0.9919475814608183,0.992016958134047,0.9887558281063734,0.9909456114487866,0.9927271439286477,0.9913795828967583,0.9923744866214562,0.9939031973156204,0.991967702957849,0.9884083727119198,0.9884083727119198,0.9913116070401163,0.9828762447548157,0.9913331741878905,0.9918291565322089,0.9904671288647197
endeutament,0.9859331792165306,0.9946659487856367,0.9925826842818496,0.9949866115575264,0.9928237238886671,0.9915425514900374,0.9898615423721262,0.9925826842818496,0.9949866115575263,0.9928237238886684,0.9936465585739559,0.9923231497684502,0.9999999999999993,0.9914726938853934,0.992339566367765,0.9925377368648074,0.9893274476088645,0.99259605108575,0.9917875231339611,0.9937968263379302,0.995158688609478,0.9947684537132265,0.9939750044695967,0.9904108506816467,0.9904108506816467,0.9923387455523903,0.9841850128790324,0.9921620067885883,0.9944087456182532,0.9910197063291876
obligació,0.9818404431910749,0.9935759981550021,0.9858359462754385,0.9869203490165686,0.9856462654638093,0.9874740241560197,0.9843666322484403,0.9858359462754385,0.9869203490165683,0.985646265463809,0.9865817831466152,0.98771193952774,0.9914726938853934,0.9999999999999996,0.9906109402443379,0.9905143380577477,0.9885445862703613,0.9875269112918842,0.9858831225309006,0.9905273938356288,0.9891192391207572,0.9890726054862731,0.9871766591778706,0.9848088189455879,0.9848088189455879,0.9898423477091666,0.9804621376578507,0.9862928778495159,0.9905729111573192,0.9850770706688708
obligada,0.9874624211933349,0.9931425317536278,0.9924577438404456,0.9915100533385496,0.9900168807098143,0.9941613703816268,0.990017132779065,0.9924577438404456,0.9915100533385488,0.9900168807098143,0.9924505369254467,0.9919475814608183,0.992339566367765,0.9906109402443379,0.9999999999999993,0.9967150869519236,0.988887064947551,0.992165398771486,0.9925509455273499,0.9919298175402252,0.9945367767730425,0.9942750752910487,0.9907204261480741,0.9874494652683682,0.9874494652683682,0.9926236097834908,0.9838609921890451,0.9903734699022709,0.9933329895141665,0.9897607091759316
obligat,0.9868095182667435,0.9925405345881051,0.991194665292691,0.9915022920148978,0.989452508754858,0.9942713989623214,0.9889730328713736,0.991194665292691,0.9915022920148985,0.9894525087548569,0.9913689734728273,0.992016958134047,0.9925377368648074,0.9905143380577477,0.9967150869519236,1.0,0.9873493170918423,0.9925911226212932,0.991968990555162,0.99164320322069,0.9929230992322235,0.9936476907565984,0.9910295278950055,0.9874729000791626,0.9874729000791626,0.9916324525331575,0.9827040642375636,0.990543296048799,0.992742400931073,0.9891774018696328
compromís,0.982234033455372,0.9893416143877575,0.9856939775406094,0.9857241451860492,0.9839484037788949,0.9874361762628873,0.9883083089691626,0.9856939775406094,0.9857241451860492,0.9839484037788949,0.9892139251216123,0.9887558281063734,0.9893274476088645,0.9885445862703613,0.988887064947551,0.9873493170918423,1.0,0.9855125720243876,0.9875949414226624,0.9892090604762491,0.9872699516345853,0.9905376202308422,0.9859494338675912,0.9814940622493734,0.9814940622493731,0.9897454470134722,0.982832344637449,0.9854295281418192,0.9910345790135239,0.9840768773354693
deure,0.9854986373894875,0.9930961921835851,0.9923157213881688,0.9933444557453535,0.9909375582593128,0.9921946814348271,0.9898582990987413,0.9923157213881688,0.9933444557453535,0.9909375582593128,0.9915066583762971,0.9909456114487866,0.99259605108575,0.9875269112918842,0.992165398771486,0.9925911226212932,0.9855125720243876,1.0000000000000004,0.9922869482753358,0.9920307393873304,0.99418800165381,0.9936565469944665,0.9918501442997874,0.988199602524737,0.9881996025247378,0.9912253756542416,0.9829681713207107,0.9911628086808963,0.9932198719709711,0.9901219172309346
devent,0.9856286204250454,0.9906995119689996,0.9927870196461832,0.9926054449832028,0.9906480128726997,0.9917161938003286,0.9895543621791114,0.9927870196461832,0.9926054449832028,0.9906480128726997,0.9922388659315353,0.9927271439286477,0.9917875231339611,0.9858831225309006,0.9925509455273499,0.991968990555162,0.9875949414226624,0.9922869482753358,0.9999999999999998,0.9920594425998781,0.9925848022057854,0.9939442521707887,0.9908856603484263,0.9873997459528694,0.9873997459528692,0.9915022104456271,0.9846965170085602,0.9911301452398381,0.9925460932475065,0.9897827636921027
amb deute,0.985771129703353,0.9929390902473298,0.9911707639538803,0.9923467246938776,0.991657511100758,0.9909125233080179,0.988556698965761,0.9911707639538803,0.9923467246938776,0.991657511100758,0.9916497737868704,0.9913795828967583,0.9937968263379302,0.9905273938356288,0.9919298175402252,0.99164320322069,0.9892090604762491,0.9920307393873304,0.9920594425998781,0.9999999999999991,0.9922909784607162,0.9940201321617985,0.9914575429716743,0.9879996424542786,0.9879996424542784,0.9910712091412563,0.9836207115621434,0.9908367937034915,0.9932358504465272,0.9889302611301437
penedida,0.9860010341532975,0.994726915188837,0.9944104822037793,0.9945730250585748,0.9923382881563203,0.9921194398343142,0.9903012277985028,0.9944104822037793,0.9945730250585748,0.9923382881563203,0.9930841934542411,0.9923744866214562,0.995158688609478,0.9891192391207572,0.9945367767730425,0.9929230992322235,0.9872699516345853,0.99418800165381,0.9925848022057854,0.9922909784607162,0.9999999999999994,0.9962480604823896,0.9934719054484425,0.9896962385535846,0.9896962385535851,0.993760310895255,0.9835124037680973,0.9917296812177143,0.9946883952122028,0.9920774416885056
penedit,0.9866163305176877,0.9935716629618414,0.9937900750611298,0.9948790145127013,0.9919218670759041,0.9935856542317067,0.9914843835247563,0.9937900750611298,0.9948790145127013,0.9919218670759041,0.9944066576633711,0.9939031973156204,0.9947684537132265,0.9890726054862731,0.9942750752910487,0.9936476907565984,0.9905376202308422,0.9936565469944665,0.9939442521707887,0.9940201321617985,0.9962480604823896,0.9999999999999997,0.9929148000250775,0.9893422417490081,0.9893422417490079,0.9938073746822401,0.9855069298113023,0.9924120296169813,0.9955708466806301,0.9912871410367097
disculpes,0.9848100538918038,0.992292065955419,0.9906165281094987,0.992573327699342,0.9907410993542851,0.9915960671332871,0.9887162401311163,0.9906165281094987,0.992573327699342,0.9907410993542851,0.9921451790049062,0.991967702957849,0.9939750044695967,0.9871766591778706,0.9907204261480741,0.9910295278950055,0.9859494338675912,0.9918501442997874,0.9908856603484263,0.9914575429716743,0.9934719054484425,0.9929148000250775,1.0000000000000007,0.9959413464807745,0.9959413464807744,0.9907578858505905,0.9816357443124711,0.9949214512117931,0.9922956678744179,0.9884806367495852
disculpa,0.9830851060789283,0.9891797335155539,0.9877989800678234,0.9895009007803165,0.9874541542559157,0.9887271900992454,0.9846977004944252,0.9877989800678234,0.9895009007803165,0.9874541542559157,0.987900805653856,0.9884083727119198,0.9904108506816467,0.9848088189455879,0.9874494652683682,0.9874729000791626,0.9814940622493734,0.988199602524737,0.9873997459528694,0.9879996424542786,0.9896962385535846,0.9893422417490081,0.9959413464807745,0.9999999999999996,0.9999999999999999,0.9871168009464986,0.9782777795281102,0.9951679720146278,0.9892196769817792,0.985068906808777
disculpa,0.9830851060789283,0.9891797335155539,0.9877989800678234,0.9895009007803165,0.9874541542559157,0.9887271900992454,0.9846977004944252,0.9877989800678234,0.9895009007803165,0.9874541542559157,0.987900805653856,0.9884083727119198,0.9904108506816467,0.9848088189455879,0.9874494652683682,0.9874729000791626,0.9814940622493731,0.9881996025247378,0.9873997459528692,0.9879996424542784,0.9896962385535851,0.9893422417490079,0.9959413464807744,0.9999999999999999,0.9999999999999996,0.9871168009464987,0.9782777795281105,0.9951679720146271,0.9892196769817779,0.985068906808777
perdona,0.9867553530987642,0.9939709622448679,0.9918961373577351,0.9918012683348507,0.9894504722189101,0.9918814791036343,0.9919901893964373,0.9918961373577351,0.9918012683348507,0.9894504722189101,0.9918794550627493,0.9913116070401163,0.9923387455523903,0.9898423477091666,0.9926236097834908,0.9916324525331575,0.9897454470134722,0.9912253756542416,0.9915022104456271,0.9910712091412563,0.993760310895255,0.9938073746822401,0.9907578858505905,0.9871168009464986,0.9871168009464987,0.9999999999999993,0.9894418064195072,0.9899803712590972,0.9960126328353104,0.9904571215809964
perdona'm,0.9799350461450099,0.9843781843843886,0.9841011353758998,0.9838315583904986,0.9814598827994186,0.983763972100925,0.9857267685199436,0.9841011353758998,0.9838315583904986,0.9814598827994186,0.98419487660044,0.9828762447548157,0.9841850128790324,0.9804621376578507,0.9838609921890451,0.9827040642375636,0.982832344637449,0.9829681713207107,0.9846965170085602,0.9836207115621434,0.9835124037680973,0.9855069298113023,0.9816357443124711,0.9782777795281102,0.9782777795281105,0.9894418064195072,0.9999999999999986,0.9827752241955685,0.9883878929948693,0.983536545464339
disculpar-se,0.987608262031119,0.991671962369045,0.9906816548829219,0.9914081100904777,0.9894290641108341,0.9923152337425856,0.9879996111151516,0.9906816548829219,0.9914081100904777,0.9894290641108341,0.9906772718603241,0.9913331741878905,0.9921620067885883,0.9862928778495159,0.9903734699022709,0.990543296048799,0.9854295281418192,0.9911628086808963,0.9911301452398381,0.9908367937034915,0.9917296812177143,0.9924120296169813,0.9949214512117931,0.9951679720146278,0.9951679720146271,0.9899803712590972,0.9827752241955685,1.0000000000000002,0.9916259560841489,0.9887704649609586
sentiment de pena,0.9869429231425264,0.9952902070510374,0.9924961158124829,0.9936237990450403,0.9913635787680687,0.9924508453551841,0.9926085907164087,0.9924961158124829,0.9936237990450403,0.9913635787680687,0.9927321990791155,0.9918291565322089,0.9944087456182532,0.9905729111573192,0.9933329895141665,0.992742400931073,0.9910345790135239,0.9932198719709711,0.9925460932475065,0.9932358504465272,0.9946883952122028,0.9955708466806301,0.9922956678744179,0.9892196769817792,0.9892196769817779,0.9960126328353104,0.9883878929948693,0.9916259560841489,0.9999999999999999,0.9912733018733836
ho sento,0.9848092668419489,0.9899170509395716,0.991518133526436,0.990922487445965,0.9902458058041986,0.9901516602856982,0.9868989167473038,0.991518133526436,0.990922487445965,0.9902458058041986,0.9907372798030095,0.9904671288647197,0.9910197063291876,0.9850770706688708,0.9897607091759316,0.9891774018696328,0.9840768773354693,0.9901219172309346,0.9897827636921027,0.9889302611301437,0.9920774416885056,0.9912871410367097,0.9884806367495852,0.985068906808777,0.985068906808777,0.9904571215809964,0.983536545464339,0.9887704649609586,0.9912733018733836,1.0
