,luachmhorachd,taingeil,taingealachd,taingealachd,tapadh,taingeil,taingealachd,a’ cur luach air,fiachan,dleastanas,gealladh,fo chomain,an comain,tha mi ann an comain,ri phàigheadh,aithreachail,leisgeulan,leisgeul,duilichas,gabh aithreachas,gabh mo leisgeul,gabh mo leisgeul,math mo lochd
gealladh,0.9936657310585054,0.9884357580903698,0.9897783982127908,0.9897783982127908,0.9970828700722597,0.9884357580903698,0.9897783982127908,0.9869700229816352,0.9919494409677833,0.9884074739346214,0.9999999999999996,0.9827565607726502,0.9904747728575294,0.9935294551433875,0.9950172565512879,0.9936123759728765,0.9891534765447003,0.9889778143610926,0.983906102971986,0.9943857794823748,0.994192097796791,0.994192097796791,0.9922646230175579
fo chomain,0.9828934893852681,0.9795432503291129,0.9824440730131416,0.9824440730131416,0.9821311719733314,0.9795432503291129,0.9824440730131416,0.9813035357011358,0.983839152658664,0.9808501951601128,0.9827565607726502,1.0,0.981800049052649,0.9845399655501917,0.983091963019761,0.9826237478630955,0.9817876800301648,0.9801892797762168,0.9735895497854548,0.9836543919062386,0.9833017121119361,0.9833017121119361,0.9844098457410109
an comain,0.9889390162862512,0.9835669492797414,0.985575960123574,0.985575960123574,0.9899478728232124,0.9835669492797414,0.985575960123574,0.9845308365134969,0.9895845829180727,0.985726978023501,0.9904747728575294,0.981800049052649,1.0000000000000002,0.992253098961764,0.9899406835574258,0.9902252315780495,0.9861860850996254,0.9865580946307637,0.9800280030667178,0.9903652744011717,0.9914538934809914,0.9914538934809914,0.9884377848285636
tha mi ann an comain,0.992623147147665,0.9886655834075935,0.9911333953928225,0.9911333953928225,0.9930212007220146,0.9886655834075935,0.9911333953928225,0.9904372696479339,0.9946956384680271,0.9925684697403376,0.9935294551433875,0.9845399655501917,0.992253098961764,0.9999999999999993,0.9949947365837729,0.9946394814238836,0.9933372390428485,0.9909272532158195,0.9862834843312936,0.9966110379087679,0.9973909037337128,0.9973909037337128,0.9948278492262868
ri phàigheadh,0.9918224686046125,0.9892418576816191,0.9904292433741807,0.9904292433741807,0.9951914568387538,0.9892418576816191,0.9904292433741807,0.9874210231011386,0.99515132909556,0.9926184703520019,0.9950172565512879,0.983091963019761,0.9899406835574258,0.9949947365837729,0.9999999999999998,0.994655674889551,0.9920725634858327,0.9915410547629988,0.9864844073072728,0.9960047681631473,0.9964744917173907,0.9964744917173907,0.9924152152063188
aithreachail,0.9932765432341539,0.9917140485351826,0.9900198859541696,0.9900198859541696,0.9927459079006896,0.9917140485351826,0.9900198859541696,0.9890172017170523,0.9948422681582942,0.9900849526798501,0.9936123759728765,0.9826237478630955,0.9902252315780495,0.9946394814238836,0.994655674889551,0.9999999999999992,0.9920032915659137,0.9929541317988325,0.9830049052921708,0.9969549121963523,0.9961199413277023,0.9961199413277023,0.9921171116441769
leisgeulan,0.9897006812283816,0.9883378165840858,0.9902969061584979,0.9902969061584979,0.9896472271539529,0.9883378165840858,0.9902969061584979,0.9874625777998337,0.9932500739284119,0.9920874311176265,0.9891534765447003,0.9817876800301648,0.9861860850996254,0.9933372390428485,0.9920725634858327,0.9920032915659137,0.9999999999999987,0.9959327084450965,0.9863995374530826,0.9931197439861116,0.9948000822917149,0.9948000822917149,0.9918692853016119
leisgeul,0.9882371805264538,0.9899987914580062,0.9881665341553455,0.9881665341553455,0.9894342180717943,0.9899987914580062,0.9881665341553455,0.9853828804894895,0.9924460928828482,0.989154597310418,0.9889778143610926,0.9801892797762168,0.9865580946307637,0.9909272532158195,0.9915410547629988,0.9929541317988325,0.9959327084450965,0.9999999999999996,0.98368646273648,0.9917166199981784,0.9940648450187641,0.9940648450187641,0.9886570037706106
duilichas,0.9819488934725594,0.982018570431341,0.9849801691065349,0.9849801691065349,0.9832264654580629,0.982018570431341,0.9849801691065349,0.9780166009174464,0.986840287036091,0.9886389689005095,0.983906102971986,0.9735895497854548,0.9800280030667178,0.9862834843312936,0.9864844073072728,0.9830049052921708,0.9863995374530826,0.98368646273648,0.9999999999999993,0.9870957296438461,0.9878204212939298,0.9878204212939298,0.985471457569611
gabh aithreachas,0.9940710716388177,0.9901181083543984,0.9918653480698547,0.9918653480698547,0.9936163408363194,0.9901181083543984,0.9918653480698547,0.9902969226997008,0.9957176867947525,0.9938360203345841,0.9943857794823748,0.9836543919062386,0.9903652744011717,0.9966110379087679,0.9960047681631473,0.9969549121963523,0.9931197439861116,0.9917166199981784,0.9870957296438461,0.9999999999999994,0.9979226394557367,0.9979226394557367,0.9952662060758101
gabh mo leisgeul,0.9927963413502777,0.9900064941211726,0.9913765695292394,0.9913765695292394,0.9938837721817418,0.9900064941211726,0.9913765695292394,0.9896926889787597,0.9960818581724836,0.9940468537400167,0.994192097796791,0.9833017121119361,0.9914538934809914,0.9973909037337128,0.9964744917173907,0.9961199413277023,0.9948000822917149,0.9940648450187641,0.9878204212939298,0.9979226394557367,0.9999999999999993,0.9999999999999993,0.995065320218951
gabh mo leisgeul,0.9927963413502777,0.9900064941211726,0.9913765695292394,0.9913765695292394,0.9938837721817418,0.9900064941211726,0.9913765695292394,0.9896926889787597,0.9960818581724836,0.9940468537400167,0.994192097796791,0.9833017121119361,0.9914538934809914,0.9973909037337128,0.9964744917173907,0.9961199413277023,0.9948000822917149,0.9940648450187641,0.9878204212939298,0.9979226394557367,0.9999999999999993,0.9999999999999993,0.995065320218951
math mo lochd,0.9943576873839091,0.9888346136879402,0.9932947725052773,0.9932947725052773,0.9909330698232072,0.9888346136879402,0.9932947725052773,0.9900027233967272,0.9923526333469251,0.9913752902630175,0.9922646230175579,0.9844098457410109,0.9884377848285636,0.9948278492262868,0.9924152152063188,0.9921171116441769,0.9918692853016119,0.9886570037706106,0.985471457569611,0.9952662060758101,0.995065320218951,0.995065320218951,1.0000000000000002
