,weertschaten,weertschatting,dankbaar,dankbaarkeit,dankbaarkeit,dank,dankbaar,dankbaarkeit,schuldig,schuldigkeit,verpflichtung,verpliggen,verpflichtet,verpliggt,verpflichtung,schuldich,schuld hebben,schuldig wesen,schuldig wesen,verschoelend,verschoelingen,verschoelen,verschoeling,leed,sorry,excuseer mi,vergeev mi
verpliggen,0.9559187652904889,0.9810962023358598,0.9955665120228989,0.9924838669082254,0.9924838669082254,0.9919214197964688,0.9955665120228989,0.9924838669082254,0.9952153362822342,0.9949332408384708,0.9959082424140487,0.9999999999999993,0.9876978301504584,0.9972889965038347,0.9959082424140487,0.994854698320731,0.9936045946341233,0.9936315677176312,0.9936315677176312,0.9865942923888608,0.9891158119510588,0.9802616017060581,0.9864660114660343,0.9920617844024625,0.9886004039311974,0.9926060536044139,0.9926941785138653
verpflichtet,0.9430730820532012,0.9681508238356092,0.9858424675931943,0.9833222929399948,0.9833222929399948,0.986615789717157,0.9858424675931943,0.9833222929399948,0.9882637012252208,0.9863313410173352,0.9885245456020885,0.9876978301504584,0.9999999999999997,0.9883446963732275,0.9885245456020885,0.9874875592315775,0.9853656685193725,0.9858335756693579,0.9858335756693579,0.9760122410685852,0.9771739007220304,0.971909061459624,0.9744013104254986,0.9835986154144306,0.9849361322163697,0.9846871584212539,0.9850770936945594
verpliggt,0.9522353240073429,0.9781537363353274,0.9945646901873239,0.9915920656104206,0.9915920656104206,0.9921149930307045,0.9945646901873239,0.9915920656104206,0.9945403813536854,0.9936635217841377,0.9944848133316482,0.9972889965038347,0.9883446963732275,0.9999999999999991,0.9944848133316482,0.9938245411112127,0.9928168065464248,0.993204713225147,0.993204713225147,0.9855049164387728,0.9863476177526816,0.9795330371814349,0.9843830873621228,0.990776918200917,0.989300564740725,0.9923367743649261,0.9924416267939242
verpflichtung,0.9552914055118026,0.9807812296309033,0.9943761052187507,0.9913254267982863,0.9913254267982863,0.9916202191066169,0.9943761052187507,0.9913254267982863,0.995693461396802,0.9968487664999539,0.9999999999999997,0.9959082424140487,0.9885245456020885,0.9944848133316482,0.9999999999999997,0.9942794192125123,0.9934028496738389,0.9940023294507466,0.9940023294507466,0.9820213380906788,0.9851115227884626,0.9767292940892,0.9823943522719021,0.9892158809030207,0.987619996228981,0.991588971697111,0.9911533137983184
schuldich,0.9505682658556522,0.9773431490839004,0.9917398063722305,0.9886820826104774,0.9886820826104774,0.989188754880492,0.9917398063722305,0.9886820826104774,0.9940624503686716,0.9931336482544888,0.9942794192125123,0.994854698320731,0.9874875592315775,0.9938245411112127,0.9942794192125123,1.0,0.9901548280949032,0.9914156239928748,0.9914156239928748,0.983030294289477,0.9848099548191362,0.979660031441942,0.9847183293227032,0.9875289870779446,0.9857779093070355,0.9886091983024852,0.9903835753083027
schuld hebben,0.9501317337174124,0.9764790775538378,0.9948009776979831,0.9923897483620069,0.9923897483620069,0.9936857655447463,0.9948009776979831,0.9923897483620069,0.9963686912298824,0.9951116719049108,0.9934028496738389,0.9936045946341233,0.9853656685193725,0.9928168065464248,0.9934028496738389,0.9901548280949032,0.9999999999999997,0.9957449482312276,0.9957449482312276,0.9824257766139198,0.9838107711525157,0.9758245832613052,0.9802307302732295,0.987351248969789,0.9900374028938516,0.9945675657151326,0.9934120014271024
schuldig wesen,0.9514138500687105,0.9777151941566965,0.9944695018680395,0.9918774955111084,0.9918774955111084,0.993507449103042,0.9944695018680395,0.9918774955111084,0.9975245135449229,0.9961154481909825,0.9940023294507466,0.9936315677176312,0.9858335756693579,0.993204713225147,0.9940023294507466,0.9914156239928748,0.9957449482312276,0.9999999999999993,0.9999999999999993,0.9822186526406045,0.9828600960326379,0.9751553559004691,0.9795649438181169,0.9883555747909152,0.991030996687152,0.9929611222268137,0.9925343005212943
schuldig wesen,0.9514138500687105,0.9777151941566965,0.9944695018680395,0.9918774955111084,0.9918774955111084,0.993507449103042,0.9944695018680395,0.9918774955111084,0.9975245135449229,0.9961154481909825,0.9940023294507466,0.9936315677176312,0.9858335756693579,0.993204713225147,0.9940023294507466,0.9914156239928748,0.9957449482312276,0.9999999999999993,0.9999999999999993,0.9822186526406045,0.9828600960326379,0.9751553559004691,0.9795649438181169,0.9883555747909152,0.991030996687152,0.9929611222268137,0.9925343005212943
verschoelend,0.944928217473203,0.9698538308148643,0.9845402179384894,0.9848618604446746,0.9848618604446746,0.9793497300526465,0.9845402179384894,0.9848618604446746,0.9837993972772555,0.9801947672305866,0.9820213380906788,0.9865942923888608,0.9760122410685852,0.9855049164387728,0.9820213380906788,0.983030294289477,0.9824257766139198,0.9822186526406045,0.9822186526406045,0.9999999999999994,0.9920260576739051,0.9934919870951315,0.9909231903411112,0.9800568076088909,0.9765474284327323,0.9801284759020435,0.9808552475106617
verschoelingen,0.9493453077351909,0.9718122626564786,0.9846937641316145,0.9853631329122815,0.9853631329122815,0.980499841016404,0.9846937641316145,0.9853631329122815,0.9843794487190481,0.9828455897054498,0.9851115227884626,0.9891158119510588,0.9771739007220304,0.9863476177526816,0.9851115227884626,0.9848099548191362,0.9838107711525157,0.9828600960326379,0.9828600960326379,0.9920260576739051,1.0,0.9901527595642864,0.995255258830626,0.9808956147262644,0.9768930715260966,0.9818830830693552,0.9818539536028209
verschoelen,0.9386206137130694,0.9633244290996805,0.9777480909600776,0.9794130411629216,0.9794130411629216,0.9730384287998965,0.9777480909600776,0.9794130411629216,0.9771484366737668,0.974367060127669,0.9767292940892,0.9802616017060581,0.971909061459624,0.9795330371814349,0.9767292940892,0.979660031441942,0.9758245832613052,0.9751553559004691,0.9751553559004691,0.9934919870951315,0.9901527595642864,0.9999999999999993,0.9911888040451587,0.9725529676684324,0.9705693074288401,0.9746164572437936,0.974763377365595
verschoeling,0.9452914062401052,0.969020907528747,0.9822494260565916,0.9824833509414931,0.9824833509414931,0.977506682309,0.9822494260565916,0.9824833509414931,0.9811580902332484,0.9799491519806015,0.9823943522719021,0.9864660114660343,0.9744013104254986,0.9843830873621228,0.9823943522719021,0.9847183293227032,0.9802307302732295,0.9795649438181169,0.9795649438181169,0.9909231903411112,0.995255258830626,0.9911888040451587,1.0000000000000002,0.9780336843782776,0.9741186098550899,0.9790381495047413,0.9794437598563059
leed,0.9570016485311936,0.9799035992070225,0.9896161280174763,0.9848930475004786,0.9848930475004786,0.9874580508316453,0.9896161280174763,0.9848930475004786,0.9892723570891888,0.9893459147307596,0.9892158809030207,0.9920617844024625,0.9835986154144306,0.990776918200917,0.9892158809030207,0.9875289870779446,0.987351248969789,0.9883555747909152,0.9883555747909152,0.9800568076088909,0.9808956147262644,0.9725529676684324,0.9780336843782776,0.9999999999999999,0.9848247771419577,0.9885595459982883,0.989122281651393
sorry,0.9442687069096067,0.9710507779539684,0.9910865563374363,0.9873856036715196,0.9873856036715196,0.9940087555550242,0.9910865563374363,0.9873856036715196,0.991498851527247,0.9890220974990086,0.987619996228981,0.9886004039311974,0.9849361322163697,0.989300564740725,0.987619996228981,0.9857779093070355,0.9900374028938516,0.991030996687152,0.991030996687152,0.9765474284327323,0.9768930715260966,0.9705693074288401,0.9741186098550899,0.9848247771419577,0.9999999999999996,0.9914741345057648,0.9894687126496942
excuseer mi,0.9485795934185018,0.9759179070913692,0.9942497271809329,0.9906604076187935,0.9906604076187935,0.9940393101040037,0.9942497271809329,0.9906604076187935,0.9936944140747238,0.9925064274785033,0.991588971697111,0.9926060536044139,0.9846871584212539,0.9923367743649261,0.991588971697111,0.9886091983024852,0.9945675657151326,0.9929611222268137,0.9929611222268137,0.9801284759020435,0.9818830830693552,0.9746164572437936,0.9790381495047413,0.9885595459982883,0.9914741345057648,0.9999999999999996,0.9942772681491646
vergeev mi,0.9473537300047329,0.9744799186365943,0.9932737043495675,0.9903069619682414,0.9903069619682414,0.9935429986880041,0.9932737043495675,0.9903069619682414,0.9931945467858543,0.9923183603004577,0.9911533137983184,0.9926941785138653,0.9850770936945594,0.9924416267939242,0.9911533137983184,0.9903835753083027,0.9934120014271024,0.9925343005212943,0.9925343005212943,0.9808552475106617,0.9818539536028209,0.974763377365595,0.9794437598563059,0.989122281651393,0.9894687126496942,0.9942772681491646,0.9999999999999994
