,सराहना,आभारी,आभार,आभार,धन्यवाद,आभारी,आभार,सराहना करना,कर्ज़दार,कर्ज़दारी,ज़िम्मेदारी,फर्ज़,बाध्य,मजबूर,ज़िम्मेदारी,फर्ज़,कर्ज़ बा,कर्ज़दार हो,माफियाँ,दुख,माफी,माफ़ करिए,माफ़ करिए,माफी माँगत,माफी माँगना,माफी माँगना,माफी दीजिए
ज़िम्मेदारी,0.9925084443627455,0.9918281315918466,0.9940181290645834,0.9940181290645834,0.9944835566231421,0.9918281315918466,0.9940181290645834,0.9943305273782644,0.995769902894975,0.9954148087946243,0.9999999999999991,0.9866117382797039,0.994592189657519,0.9939812183590864,0.9999999999999991,0.9866117382797039,0.9873853648753738,0.9939498693428738,0.9915387400912932,0.9873475938580586,0.9959635238477564,0.9943337914273366,0.9943337914273366,0.9950611464927354,0.9954246363446589,0.9954246363446589,0.9929853223038888
फर्ज़,0.9853542490557101,0.9879465521489088,0.9880753651380724,0.9880753651380724,0.9865758049647674,0.9879465521489088,0.9880753651380724,0.9847796950674516,0.9894644790608467,0.988986420250724,0.9866117382797039,0.9999999999999999,0.9894300294602416,0.992584839849532,0.9866117382797039,0.9999999999999999,0.9859318258812169,0.9880241429246345,0.9915225241231486,0.9822063151563633,0.9897994710917382,0.9884925686647598,0.9884925686647598,0.9892733230837916,0.987309384150543,0.987309384150543,0.9870666060952146
बाध्य,0.9921297296544335,0.9943083055507678,0.997139811565795,0.997139811565795,0.9968321944197212,0.9943083055507678,0.997139811565795,0.9930639384186984,0.9964759083218181,0.9960815915789019,0.994592189657519,0.9894300294602416,0.9999999999999994,0.9959687467973781,0.994592189657519,0.9894300294602416,0.9906241814476082,0.9956066628665652,0.9932642696644329,0.9888675386485805,0.9966529715227864,0.9957425397899011,0.9957425397899011,0.9966556540017968,0.9953387033589286,0.9953387033589286,0.9937170659581122
मजबूर,0.9911003636835566,0.9940861577571538,0.9964419721865234,0.9964419721865234,0.9943540083914303,0.9940861577571538,0.9964419721865234,0.9930812338947907,0.9950865512448728,0.994949011336642,0.9939812183590864,0.992584839849532,0.9959687467973781,0.9999999999999993,0.9939812183590864,0.992584839849532,0.9924727950181869,0.9946735684554713,0.9932912933685067,0.9869363409449893,0.9955547980481325,0.996478970656602,0.996478970656602,0.9954072097187768,0.9939783755455086,0.9939783755455086,0.9935005334594726
ज़िम्मेदारी,0.9925084443627455,0.9918281315918466,0.9940181290645834,0.9940181290645834,0.9944835566231421,0.9918281315918466,0.9940181290645834,0.9943305273782644,0.995769902894975,0.9954148087946243,0.9999999999999991,0.9866117382797039,0.994592189657519,0.9939812183590864,0.9999999999999991,0.9866117382797039,0.9873853648753738,0.9939498693428738,0.9915387400912932,0.9873475938580586,0.9959635238477564,0.9943337914273366,0.9943337914273366,0.9950611464927354,0.9954246363446589,0.9954246363446589,0.9929853223038888
फर्ज़,0.9853542490557101,0.9879465521489088,0.9880753651380724,0.9880753651380724,0.9865758049647674,0.9879465521489088,0.9880753651380724,0.9847796950674516,0.9894644790608467,0.988986420250724,0.9866117382797039,0.9999999999999999,0.9894300294602416,0.992584839849532,0.9866117382797039,0.9999999999999999,0.9859318258812169,0.9880241429246345,0.9915225241231486,0.9822063151563633,0.9897994710917382,0.9884925686647598,0.9884925686647598,0.9892733230837916,0.987309384150543,0.987309384150543,0.9870666060952146
कर्ज़ बा,0.9841910431645989,0.9909303634193408,0.991628874612252,0.991628874612252,0.988682866238123,0.9909303634193408,0.991628874612252,0.9886961494899694,0.9879625869243446,0.9876485275913889,0.9873853648753738,0.9859318258812169,0.9906241814476082,0.9924727950181869,0.9873853648753738,0.9859318258812169,0.9999999999999994,0.9892700333801194,0.9878680626479427,0.9815598215795031,0.9893290402984714,0.9908405387614015,0.9908405387614015,0.9888466626449393,0.9858747721230613,0.9858747721230613,0.9853669324643246
कर्ज़दार हो,0.9920917296543943,0.9932247594509453,0.9949441544497702,0.9949441544497702,0.9946142670998382,0.9932247594509453,0.9949441544497702,0.9932705578567944,0.996564488846148,0.9967243705676517,0.9939498693428738,0.9880241429246345,0.9956066628665652,0.9946735684554713,0.9939498693428738,0.9880241429246345,0.9892700333801194,1.0000000000000002,0.9937907700741165,0.9897394949947662,0.9953763454047587,0.9958656506385992,0.9958656506385992,0.9960561959916246,0.9954700490813096,0.9954700490813096,0.9932013653965607
माफियाँ,0.9912065739334756,0.9912352672971281,0.9918271903392732,0.9918271903392732,0.9914596152531135,0.9912352672971281,0.9918271903392732,0.9903837350600327,0.9935107706218465,0.9937963786626219,0.9915387400912932,0.9915225241231486,0.9932642696644329,0.9932912933685067,0.9915387400912932,0.9915225241231486,0.9878680626479427,0.9937907700741165,0.9999999999999998,0.9865533791626193,0.9948902930585047,0.9936565664882449,0.9936565664882449,0.994356421392766,0.9930191142811249,0.9930191142811249,0.9927123716967614
दुख,0.9852730195757681,0.9856784790132995,0.9881268655863843,0.9881268655863843,0.9871586126755619,0.9856784790132995,0.9881268655863843,0.9859001062626896,0.98838129457911,0.9877861485177568,0.9873475938580586,0.9822063151563633,0.9888675386485805,0.9869363409449893,0.9873475938580586,0.9822063151563633,0.9815598215795031,0.9897394949947662,0.9865533791626193,0.9999999999999996,0.9882450482380218,0.9897753134158902,0.9897753134158902,0.9878868098046698,0.9874867192426254,0.9874867192426254,0.9885553506069832
माफी,0.9923928413212812,0.9930534757146977,0.9958014308039572,0.9958014308039572,0.9948997871979184,0.9930534757146977,0.9958014308039572,0.9934347061386605,0.9963498675803353,0.9962202151330122,0.9959635238477564,0.9897994710917382,0.9966529715227864,0.9955547980481325,0.9959635238477564,0.9897994710917382,0.9893290402984714,0.9953763454047587,0.9948902930585047,0.9882450482380218,0.9999999999999996,0.9964490915956734,0.9964490915956734,0.9976686955478037,0.9967289659457955,0.9967289659457955,0.9952908088368833
माफ़ करिए,0.9924682021247645,0.9929220046946966,0.9955967729721704,0.9955967729721704,0.9946241433813132,0.9929220046946966,0.9955967729721704,0.9943404822964663,0.9952267579110937,0.9946955621771549,0.9943337914273366,0.9884925686647598,0.9957425397899011,0.996478970656602,0.9943337914273366,0.9884925686647598,0.9908405387614015,0.9958656506385992,0.9936565664882449,0.9897753134158902,0.9964490915956734,0.9999999999999996,0.9999999999999996,0.9961063880455523,0.9960603800268154,0.9960603800268154,0.9969811697073228
माफ़ करिए,0.9924682021247645,0.9929220046946966,0.9955967729721704,0.9955967729721704,0.9946241433813132,0.9929220046946966,0.9955967729721704,0.9943404822964663,0.9952267579110937,0.9946955621771549,0.9943337914273366,0.9884925686647598,0.9957425397899011,0.996478970656602,0.9943337914273366,0.9884925686647598,0.9908405387614015,0.9958656506385992,0.9936565664882449,0.9897753134158902,0.9964490915956734,0.9999999999999996,0.9999999999999996,0.9961063880455523,0.9960603800268154,0.9960603800268154,0.9969811697073228
माफी माँगत,0.9923772617505882,0.9936768397345522,0.9960625745995031,0.9960625745995031,0.9952425716662172,0.9936768397345522,0.9960625745995031,0.9927466851256881,0.9971153956664603,0.9971743188293885,0.9950611464927354,0.9892733230837916,0.9966556540017968,0.9954072097187768,0.9950611464927354,0.9892733230837916,0.9888466626449393,0.9960561959916246,0.994356421392766,0.9878868098046698,0.9976686955478037,0.9961063880455523,0.9961063880455523,0.9999999999999994,0.9978169806407557,0.9978169806407557,0.9954822626749704
माफी माँगना,0.9930369453944333,0.9916167650809081,0.994637638575683,0.994637638575683,0.9949523642435745,0.9916167650809081,0.994637638575683,0.9935586863169451,0.9964578418976663,0.9963445196057569,0.9954246363446589,0.987309384150543,0.9953387033589286,0.9939783755455086,0.9954246363446589,0.987309384150543,0.9858747721230613,0.9954700490813096,0.9930191142811249,0.9874867192426254,0.9967289659457955,0.9960603800268154,0.9960603800268154,0.9978169806407557,1.0000000000000004,1.0000000000000004,0.9959342419745988
माफी माँगना,0.9930369453944333,0.9916167650809081,0.994637638575683,0.994637638575683,0.9949523642435745,0.9916167650809081,0.994637638575683,0.9935586863169451,0.9964578418976663,0.9963445196057569,0.9954246363446589,0.987309384150543,0.9953387033589286,0.9939783755455086,0.9954246363446589,0.987309384150543,0.9858747721230613,0.9954700490813096,0.9930191142811249,0.9874867192426254,0.9967289659457955,0.9960603800268154,0.9960603800268154,0.9978169806407557,1.0000000000000004,1.0000000000000004,0.9959342419745988
माफी दीजिए,0.9905136111465335,0.9897276029914372,0.9929607532019479,0.9929607532019479,0.9926799163555996,0.9897276029914372,0.9929607532019479,0.9914698621336362,0.9935417440195,0.9932837603817876,0.9929853223038888,0.9870666060952146,0.9937170659581122,0.9935005334594726,0.9929853223038888,0.9870666060952146,0.9853669324643246,0.9932013653965607,0.9927123716967614,0.9885553506069832,0.9952908088368833,0.9969811697073228,0.9969811697073228,0.9954822626749704,0.9959342419745988,0.9959342419745988,0.9999999999999991
