,покшамо,покшамс,покшамс,спасибе,покшамо,покшамс,веле ведьме,веле ведьмась,паксято,паксязь,вельмема,вельмемс,вельмема,паксямс,паксязонзо,шкамсекс,шкамавтомс,шкамс,шкамось,шкамс,веле шкамост,веле шкамс,веле шкамс
вельмема,0.995645333651174,0.9945192569835146,0.9945192569835146,0.9928304662586105,0.995645333651174,0.9945192569835146,0.9913472563441105,0.9929109961791089,0.9957707603707555,0.9957297460516076,1.0,0.9979060038031955,1.0,0.9944273141021089,0.9962346981811205,0.997839164489922,0.9972247986108221,0.9953359374106683,0.9972888538940206,0.9953359374106683,0.9951891001178562,0.9943476146902346,0.9943476146902346
вельмемс,0.9943744148418002,0.9946171845352549,0.9946171845352549,0.9924425195396352,0.9943744148418002,0.9946171845352549,0.9917771963870882,0.9929996930589462,0.9946108230317792,0.9946547180714798,0.9979060038031955,0.9999999999999992,0.9979060038031955,0.9942160745321722,0.9954639346119905,0.9970072557498965,0.9963825001636304,0.9932643057771076,0.9955613309790882,0.9932643057771076,0.99438604560506,0.9938643850516249,0.9938643850516249
вельмема,0.995645333651174,0.9945192569835146,0.9945192569835146,0.9928304662586105,0.995645333651174,0.9945192569835146,0.9913472563441105,0.9929109961791089,0.9957707603707555,0.9957297460516076,1.0,0.9979060038031955,1.0,0.9944273141021089,0.9962346981811205,0.997839164489922,0.9972247986108221,0.9953359374106683,0.9972888538940206,0.9953359374106683,0.9951891001178562,0.9943476146902346,0.9943476146902346
паксямс,0.9940964694481469,0.9965794203992432,0.9965794203992432,0.9919752407055067,0.9940964694481469,0.9965794203992432,0.9917648301202849,0.9926343493847881,0.992628805730785,0.9945880494875343,0.9944273141021089,0.9942160745321722,0.9944273141021089,0.9999999999999994,0.9959280836117055,0.9939048264918837,0.9955273515846372,0.9945153555106168,0.9947964022953996,0.9945153555106168,0.9920501125445077,0.988489971288068,0.988489971288068
паксязонзо,0.9950736129045596,0.9945957330541355,0.9945957330541355,0.9934422434655039,0.9950736129045596,0.9945957330541355,0.9916908465029268,0.9934274489076452,0.9950130018497594,0.9968322399039135,0.9962346981811205,0.9954639346119905,0.9962346981811205,0.9959280836117055,0.9999999999999991,0.9964663103345579,0.996806785929297,0.9935455793795783,0.9957613504628258,0.9935455793795783,0.9943085377258606,0.9930073377672487,0.9930073377672487
шкамсекс,0.9952063512467754,0.9941980723759068,0.9941980723759068,0.9935022678480823,0.9952063512467754,0.9941980723759068,0.9915365040937064,0.9935429438305288,0.9951116277587703,0.9960973898606705,0.997839164489922,0.9970072557498965,0.997839164489922,0.9939048264918837,0.9964663103345579,0.9999999999999992,0.9982313160522517,0.9956700816762442,0.997145689047762,0.9956700816762442,0.9953685604113106,0.995757429958338,0.995757429958338
шкамавтомс,0.9951195006075831,0.995175760115494,0.995175760115494,0.994033851635996,0.9951195006075831,0.995175760115494,0.9923291273563732,0.99419022419313,0.9948707992415767,0.9964532209752162,0.9972247986108221,0.9963825001636304,0.9972247986108221,0.9955273515846372,0.996806785929297,0.9982313160522517,0.9999999999999998,0.9969091404071614,0.9971597629298077,0.9969091404071614,0.995208657234676,0.9945879294405217,0.9945879294405217
шкамс,0.9921094369914011,0.9935459870078642,0.9935459870078642,0.9887666539775549,0.9921094369914011,0.9935459870078642,0.9877778432148,0.9891800663741617,0.9910916323539738,0.9930255830582633,0.9953359374106683,0.9932643057771076,0.9953359374106683,0.9945153555106168,0.9935455793795783,0.9956700816762442,0.9969091404071614,1.0,0.9948783428214093,1.0,0.9910262730600521,0.9896480931188366,0.9896480931188366
шкамось,0.9960959202986426,0.9949265176678387,0.9949265176678387,0.9926571747465952,0.9960959202986426,0.9949265176678387,0.9907444485165139,0.9933057493208084,0.9966379419559404,0.9970255872045102,0.9972888538940206,0.9955613309790882,0.9972888538940206,0.9947964022953996,0.9957613504628258,0.997145689047762,0.9971597629298077,0.9948783428214093,1.0000000000000004,0.9948783428214093,0.995060010598104,0.9938069009220017,0.9938069009220017
шкамс,0.9921094369914011,0.9935459870078642,0.9935459870078642,0.9887666539775549,0.9921094369914011,0.9935459870078642,0.9877778432148,0.9891800663741617,0.9910916323539738,0.9930255830582633,0.9953359374106683,0.9932643057771076,0.9953359374106683,0.9945153555106168,0.9935455793795783,0.9956700816762442,0.9969091404071614,1.0,0.9948783428214093,1.0,0.9910262730600521,0.9896480931188366,0.9896480931188366
веле шкамост,0.993447287925923,0.9921419190395037,0.9921419190395037,0.9940976266873494,0.993447287925923,0.9921419190395037,0.9933387313614358,0.9950136526371263,0.9944641517697587,0.9944645408580526,0.9951891001178562,0.99438604560506,0.9951891001178562,0.9920501125445077,0.9943085377258606,0.9953685604113106,0.995208657234676,0.9910262730600521,0.995060010598104,0.9910262730600521,0.9999999999999993,0.9968731470562882,0.9968731470562882
веле шкамс,0.9920733543462411,0.9885543054759547,0.9885543054759547,0.9922664162320922,0.9920733543462411,0.9885543054759547,0.9902112056631347,0.9927253697842265,0.9930919037273382,0.9938636137404365,0.9943476146902346,0.9938643850516249,0.9943476146902346,0.988489971288068,0.9930073377672487,0.995757429958338,0.9945879294405217,0.9896480931188366,0.9938069009220017,0.9896480931188366,0.9968731470562882,0.9999999999999989,0.9999999999999989
веле шкамс,0.9920733543462411,0.9885543054759547,0.9885543054759547,0.9922664162320922,0.9920733543462411,0.9885543054759547,0.9902112056631347,0.9927253697842265,0.9930919037273382,0.9938636137404365,0.9943476146902346,0.9938643850516249,0.9943476146902346,0.988489971288068,0.9930073377672487,0.995757429958338,0.9945879294405217,0.9896480931188366,0.9938069009220017,0.9896480931188366,0.9968731470562882,0.9999999999999989,0.9999999999999989
