,værdsætte,værdsættelse,taknemmelig,taknemmelighed,taknemmelighed,tak,taknemmelig,taknemmelighed,forgældet,gældsætning,forpligtelse,forpligtet,forpligtelse,skylde,skyldende,undskyldende,undskyldninger,undskylde,undskyldning,beklagelse,undskyld,tilgiv mig,undskyld mig
forpligtelse,0.9916182048868112,0.9953030054191981,0.9927648704070634,0.9955934843142146,0.9955934843142146,0.988057035609141,0.9927648704070634,0.9955934843142146,0.9921873110538212,0.9940611823044228,0.9999999999999998,0.9933151028181348,0.9999999999999998,0.992095035429426,0.9893824251156202,0.9898221983364188,0.9944116653832388,0.9905571915188613,0.9913408099120599,0.9955850105823343,0.9910799745922789,0.9917922585113375,0.9899605543304909
forpligtet,0.9925134153816597,0.9920433445870473,0.991285251010075,0.9908788132145588,0.9908788132145588,0.9882829195944226,0.991285251010075,0.9908788132145588,0.9927085316857914,0.9906237272986108,0.9933151028181348,0.9999999999999994,0.9933151028181348,0.989482697184998,0.9873821014686417,0.9915156556409768,0.9903988423705311,0.9912480982214124,0.9867210353514763,0.9920662208591777,0.9913658211977348,0.9902704967828836,0.9905325391836705
forpligtelse,0.9916182048868112,0.9953030054191981,0.9927648704070634,0.9955934843142146,0.9955934843142146,0.988057035609141,0.9927648704070634,0.9955934843142146,0.9921873110538212,0.9940611823044228,0.9999999999999998,0.9933151028181348,0.9999999999999998,0.992095035429426,0.9893824251156202,0.9898221983364188,0.9944116653832388,0.9905571915188613,0.9913408099120599,0.9955850105823343,0.9910799745922789,0.9917922585113375,0.9899605543304909
skylde,0.9906102916962383,0.9940075108293689,0.995275049160338,0.9946996284268098,0.9946996284268098,0.9909582783970386,0.995275049160338,0.9946996284268098,0.9906451062543905,0.9922800849354376,0.992095035429426,0.989482697184998,0.992095035429426,1.0,0.9930895136240551,0.9919421429222169,0.9954403883873558,0.9935753568715316,0.9947815705824665,0.9950871969709058,0.9943040831695709,0.9922692802128955,0.9928508824224641
skyldende,0.9867982479525995,0.9904847050265105,0.9911622235442176,0.9910036244197638,0.9910036244197638,0.984886780988482,0.9911622235442176,0.9910036244197638,0.9897670843227081,0.9888919653110425,0.9893824251156202,0.9873821014686417,0.9893824251156202,0.9930895136240551,0.9999999999999998,0.9902113466961182,0.9922209511992955,0.9891543993781646,0.9909069220146581,0.9927629876991935,0.9899250962081803,0.987909820322991,0.9874705969492462
undskyldende,0.9912045976786416,0.9922239815790976,0.9934659132850281,0.9917828335442458,0.9917828335442458,0.9905779194945404,0.9934659132850281,0.9917828335442458,0.9893860370408543,0.9897845319727713,0.9898221983364188,0.9915156556409768,0.9898221983364188,0.9919421429222169,0.9902113466961182,0.9999999999999998,0.9932749508715688,0.9976016811226357,0.9896913167510308,0.9928575251498977,0.9972187118253465,0.9913713419778726,0.9957745798868829
undskyldninger,0.9917608515921367,0.9964443756378979,0.9957864620964846,0.9961883585065513,0.9961883585065513,0.9897036659986903,0.9957864620964846,0.9961883585065513,0.9931765883952255,0.9944259720308659,0.9944116653832388,0.9903988423705311,0.9944116653832388,0.9954403883873558,0.9922209511992955,0.9932749508715688,1.0000000000000002,0.9935991458200822,0.9960602931165073,0.9972202367483224,0.9946177322683352,0.9915266788831244,0.9924436030836847
undskylde,0.9918813743477699,0.993159738999323,0.9946263391110436,0.9927765222374739,0.9927765222374739,0.9918614711078789,0.9946263391110436,0.9927765222374739,0.9885382071167402,0.9905879240148007,0.9905571915188613,0.9912480982214124,0.9905571915188613,0.9935753568715316,0.9891543993781646,0.9976016811226357,0.9935991458200822,0.9999999999999997,0.9908568700290757,0.9933381550661927,0.9988470415039825,0.9929806012178748,0.9976266964563064
undskyldning,0.9886798393960518,0.9944699882124027,0.9932608833377546,0.9933403020635946,0.9933403020635946,0.9870258152762607,0.9932608833377546,0.9933403020635946,0.9900076930916979,0.992462802945799,0.9913408099120599,0.9867210353514763,0.9913408099120599,0.9947815705824665,0.9909069220146581,0.9896913167510308,0.9960602931165073,0.9908568700290757,0.9999999999999988,0.9941891276540747,0.9923506425282441,0.9892270095270178,0.9907417809723945
beklagelse,0.9920362792868591,0.9968327543711211,0.9958375020976176,0.9963961414916358,0.9963961414916358,0.9905235114716195,0.9958375020976176,0.9963961414916358,0.9924994069848118,0.994034621303329,0.9955850105823343,0.9920662208591777,0.9955850105823343,0.9950871969709058,0.9927629876991935,0.9928575251498977,0.9972202367483224,0.9933381550661927,0.9941891276540747,0.9999999999999998,0.9939180094735837,0.9924659072677776,0.9919962547134663
undskyld,0.9920315783953031,0.9939751576702965,0.9953255846220089,0.9935154335400783,0.9935154335400783,0.9918663004666978,0.9953255846220089,0.9935154335400783,0.9899318335966247,0.9919050764967028,0.9910799745922789,0.9913658211977348,0.9910799745922789,0.9943040831695709,0.9899250962081803,0.9972187118253465,0.9946177322683352,0.9988470415039825,0.9923506425282441,0.9939180094735837,0.9999999999999996,0.9928782912288476,0.9976206457274608
tilgiv mig,0.9929957999517055,0.9924157415249274,0.9933219214167305,0.9932260337773077,0.9932260337773077,0.9918506741076197,0.9933219214167305,0.9932260337773077,0.9886946300377829,0.9911246000145926,0.9917922585113375,0.9902704967828836,0.9917922585113375,0.9922692802128955,0.987909820322991,0.9913713419778726,0.9915266788831244,0.9929806012178748,0.9892270095270178,0.9924659072677776,0.9928782912288476,0.9999999999999996,0.9949376915814493
undskyld mig,0.9919335997144674,0.9924498581691045,0.9944131655131374,0.9924295747940911,0.9924295747940911,0.9927065332731217,0.9944131655131374,0.9924295747940911,0.9876558762663793,0.9908752135676044,0.9899605543304909,0.9905325391836705,0.9899605543304909,0.9928508824224641,0.9874705969492462,0.9957745798868829,0.9924436030836847,0.9976266964563064,0.9907417809723945,0.9919962547134663,0.9976206457274608,0.9949376915814493,0.9999999999999997
