,novērtēt,novērtējums,pateicīgs,pateicīga,pateicība,paldies,pateicīga,pateicīgs,pateicība,parādā,parādsaistības,pienākums,saistības,aizņēmies,piespiests,saistības,būt parādā,parādā esošs,atvainojošs,nožēlojošs,atvainošanās,atvainoties,atvainošanās,atvainojiet,nožēla,piedod,piedodiet ma
piespiests,0.9833886383828033,0.9768537666659948,0.9797616865605673,0.9821769380917825,0.9767950972601401,0.9831896478612604,0.9821769380917825,0.9797616865605673,0.9767950972601397,0.9831506267630052,0.9888719676811057,0.9882829188498862,0.9884426178902515,0.9896921832126335,1.0000000000000002,0.9884426178902515,0.981888477491372,0.9879149010006955,0.9913832249493313,0.987213327318104,0.9859403776441579,0.9872782097149462,0.9859403776441579,0.9833708074245261,0.9845729399433758,0.9851262165664718,0.9825091122051338
saistības,0.9903326670276537,0.9804225883119314,0.9891159593034033,0.9913032164113972,0.9870654895374494,0.9930614147163065,0.9913032164113972,0.9891159593034033,0.9870654895374497,0.9900928019280133,0.9980205770416049,0.9946771269292553,0.9999999999999998,0.9925150745023688,0.9884426178902515,0.9999999999999998,0.9894869049998437,0.9919102769553385,0.9927703875351913,0.9884531564242993,0.9897273179584355,0.9942404365766159,0.9897273179584355,0.9914164778935336,0.9916274428218971,0.9921982203464945,0.9888436343130954
būt parādā,0.9905982670172447,0.966589809371746,0.9843770398514564,0.9891562485499634,0.9830926258063007,0.9912777584015117,0.9891562485499634,0.9843770398514564,0.9830926258063007,0.9916166771833073,0.9868189505000183,0.9868240861370172,0.9894869049998437,0.9898835625082706,0.981888477491372,0.9894869049998437,0.9999999999999996,0.9910471351166034,0.9851111734137881,0.9775644944291969,0.9829778983144367,0.9935555726993398,0.9829778983144367,0.9868934396425783,0.9903862161809853,0.9930414954762322,0.9883163449176618
parādā esošs,0.9865538408517079,0.9780630101488309,0.9840594828739151,0.9861071746812131,0.980831900870662,0.9874588743657727,0.9861071746812131,0.9840594828739151,0.980831900870662,0.9881919134155209,0.991223050524091,0.9908188745751872,0.9919102769553385,0.9885224151757397,0.9879149010006955,0.9919102769553385,0.9910471351166034,0.999999999999999,0.9890561141480367,0.984075327585967,0.9841766277678335,0.9929330275363168,0.9841766277678335,0.9856592382143065,0.9874919143660467,0.990879357263953,0.9891929858706168
atvainojošs,0.9878180308342256,0.9774467464337896,0.98656661188575,0.9884512084405258,0.9838998484006147,0.9896008444374716,0.9884512084405258,0.98656661188575,0.9838998484006147,0.9868481693025302,0.9915723755620338,0.9912469885562608,0.9927703875351913,0.9920661587599967,0.9913832249493313,0.9927703875351913,0.9851111734137881,0.9890561141480367,0.9999999999999991,0.9898256545719177,0.9907262884552914,0.9924041305481875,0.9907262884552914,0.9909036905405675,0.9896523415984754,0.9884556020041905,0.986320250990443
nožēlojošs,0.9793767864683817,0.9807025941231589,0.9795038970414999,0.9805088917055963,0.9789380043857364,0.9815816323059634,0.9805088917055963,0.9795038970414999,0.9789380043857364,0.9778690636718419,0.9899112131871702,0.9853676285459086,0.9884531564242993,0.9825937637727038,0.987213327318104,0.9884531564242993,0.9775644944291969,0.984075327585967,0.9898256545719177,0.9999999999999999,0.9798480206166066,0.983661246429673,0.9798480206166066,0.9797285493561175,0.982944891428192,0.9832302517934963,0.9840903386700582
atvainošanās,0.9870299188341167,0.9729421798527912,0.9851851800025077,0.9870304051554578,0.982148490788157,0.987636634152907,0.9870304051554578,0.9851851800025077,0.982148490788157,0.9850232764182179,0.9877252157187908,0.9879668182943124,0.9897273179584355,0.9901708466293717,0.9859403776441579,0.9897273179584355,0.9829778983144367,0.9841766277678335,0.9907262884552914,0.9798480206166066,0.9999999999999996,0.9898658970875733,0.9999999999999996,0.9911047112018356,0.9870488747161252,0.9854698678731041,0.9809054429533832
atvainoties,0.9934648005292315,0.9754660766790287,0.9887677571754276,0.9924872769683488,0.9871240641657273,0.9939390314066215,0.9924872769683488,0.9887677571754276,0.9871240641657273,0.9909458485011858,0.9921918274182078,0.9924302777027405,0.9942404365766159,0.9940612793701507,0.9872782097149462,0.9942404365766159,0.9935555726993398,0.9929330275363168,0.9924041305481875,0.983661246429673,0.9898658970875733,0.9999999999999996,0.9898658970875733,0.992875535366023,0.9931771667636999,0.995321259547222,0.9901017234212397
atvainošanās,0.9870299188341167,0.9729421798527912,0.9851851800025077,0.9870304051554578,0.982148490788157,0.987636634152907,0.9870304051554578,0.9851851800025077,0.982148490788157,0.9850232764182179,0.9877252157187908,0.9879668182943124,0.9897273179584355,0.9901708466293717,0.9859403776441579,0.9897273179584355,0.9829778983144367,0.9841766277678335,0.9907262884552914,0.9798480206166066,0.9999999999999996,0.9898658970875733,0.9999999999999996,0.9911047112018356,0.9870488747161252,0.9854698678731041,0.9809054429533832
atvainojiet,0.9913193050368667,0.970362507580873,0.9880378117626171,0.9900096656294374,0.9869582403341561,0.9929971276600339,0.9900096656294374,0.9880378117626171,0.9869582403341561,0.9867750387726211,0.9887228180994583,0.9871870654124937,0.9914164778935336,0.9916580197612963,0.9833708074245261,0.9914164778935336,0.9868934396425783,0.9856592382143065,0.9909036905405675,0.9797285493561175,0.9911047112018356,0.992875535366023,0.9911047112018356,0.9999999999999991,0.9895967148148846,0.989002223392376,0.9856584260949562
nožēla,0.9924329099461665,0.9698764116028196,0.9873092930380968,0.9926738440595774,0.9875528699421999,0.9942889682102536,0.9926738440595774,0.9873092930380968,0.9875528699421999,0.9920358064913793,0.9889829680785638,0.9890661462133704,0.9916274428218971,0.9922718281221873,0.9845729399433758,0.9916274428218971,0.9903862161809853,0.9874919143660467,0.9896523415984754,0.982944891428192,0.9870488747161252,0.9931771667636999,0.9870488747161252,0.9895967148148846,0.9999999999999993,0.9910864776256639,0.9849148330096883
piedod,0.9918193780363678,0.9723452442596882,0.9867265569763335,0.9905896958406283,0.9860626819669192,0.9918551858303809,0.9905896958406283,0.9867265569763335,0.9860626819669192,0.9903424121077239,0.9906201528409351,0.9901821725660738,0.9921982203464945,0.9915126498477173,0.9851262165664718,0.9921982203464945,0.9930414954762322,0.990879357263953,0.9884556020041905,0.9832302517934963,0.9854698678731041,0.995321259547222,0.9854698678731041,0.989002223392376,0.9910864776256639,0.9999999999999999,0.9901793628507419
piedodiet ma,0.9865033568918755,0.9742891209158039,0.9821380988477276,0.9832613124673021,0.9799561748580531,0.9858879490082321,0.9832613124673021,0.9821380988477276,0.9799561748580531,0.983001629547577,0.9874412673031308,0.985329194569685,0.9888436343130954,0.9862456308402527,0.9825091122051338,0.9888436343130954,0.9883163449176618,0.9891929858706168,0.986320250990443,0.9840903386700582,0.9809054429533832,0.9901017234212397,0.9809054429533832,0.9856584260949562,0.9849148330096883,0.9901793628507419,0.9999999999999996
