,ساراھڻ,ساراھ,شڪرگذاري,شڪرگذاري,مهرباني,شڪرگذاري,شڪر گذار,شڪر گذار,قرضي,قرضداري,ذميواري,احسانمند,وعدو,قرض ڏيڻ,واجب الادا,معافيون,معافي,افسوس,معاف ڪجو,مون کي معاف ڪريو,معاف ڪجو,معافي وٺڻ,معذرت خواهه
ذميواري,0.9896160324864776,0.9916455140812688,0.9896160324864776,0.9896160324864776,0.9924461596432527,0.9896160324864776,0.9922518536859541,0.9922518536859541,0.9982594436308303,0.9965277731334726,0.9999999999999996,0.9960780608368982,0.9871228574081659,0.9953511860440072,0.9948956440815249,0.996130825234502,0.9966300453470224,0.9953625320271673,0.994258644130124,0.9949166723665852,0.994258644130124,0.9967526847550471,0.9941136251309759
احسانمند,0.988342929849178,0.9902312811691193,0.988342929849178,0.988342929849178,0.9957000506115585,0.988342929849178,0.9913354209387061,0.9913354209387061,0.996335795089029,0.9931873338316555,0.9960780608368982,0.9999999999999998,0.9852060837809395,0.9943732506812113,0.9924110502033964,0.9954908619215357,0.9966253286434477,0.9946471511813033,0.9931772946778903,0.9914309752150617,0.9931772946778903,0.9949999909572608,0.9933022320892763
وعدو,0.9812309081422783,0.97894614081317,0.9812309081422783,0.9812309081422783,0.9799933430543952,0.9812309081422783,0.9830009856695965,0.9830009856695965,0.9871124010262274,0.9857451549209937,0.9871228574081659,0.9852060837809395,0.9999999999999994,0.9873831198128058,0.9868171453957438,0.9881763458053958,0.9846133438863597,0.9860542031475713,0.9864535174454061,0.9862427837613911,0.9864535174454061,0.9872091754487811,0.9904007920761547
قرض ڏيڻ,0.9936421651493634,0.9877892262730801,0.9936421651493634,0.9936421651493634,0.9895281655008682,0.9936421651493634,0.994370599615643,0.994370599615643,0.9964008380815386,0.9948198460832026,0.9953511860440072,0.9943732506812113,0.9873831198128058,0.9999999999999994,0.9932827220036778,0.995767304041831,0.9932925817652991,0.9950895071543632,0.9972737636268423,0.9954226042101677,0.9972737636268423,0.9974718559365742,0.9952870373377432
واجب الادا,0.9852862191298218,0.988557470126086,0.9852862191298218,0.9852862191298218,0.9866318933384175,0.9852862191298218,0.9906473257426722,0.9906473257426722,0.9948772784290978,0.9952833281593231,0.9948956440815249,0.9924110502033964,0.9868171453957438,0.9932827220036778,0.9999999999999998,0.9939235141142266,0.9913979207934241,0.994317538605492,0.9912928058391127,0.9928774374548911,0.9912928058391127,0.9929619424512174,0.9914568708780716
معافيون,0.9902196076075934,0.9888244646045123,0.9902196076075934,0.9902196076075934,0.9919892112754632,0.9902196076075934,0.9912008697707488,0.9912008697707488,0.9963910720955164,0.994817836613425,0.996130825234502,0.9954908619215357,0.9881763458053958,0.995767304041831,0.9939235141142266,0.9999999999999998,0.9954235116871113,0.996441175947077,0.9955929344170078,0.9933891109064251,0.9955929344170078,0.9962442254998657,0.9954917272349937
معافي,0.9882164639627097,0.9888364571785326,0.9882164639627097,0.9882164639627097,0.9957709539939448,0.9882164639627097,0.9898994810675639,0.9898994810675639,0.9969629749448083,0.9935447472660262,0.9966300453470224,0.9966253286434477,0.9846133438863597,0.9932925817652991,0.9913979207934241,0.9954235116871113,1.0,0.9934203406342744,0.9930987879830612,0.9912238874971121,0.9930987879830612,0.9955652324897865,0.9917735998789184
افسوس,0.9890460286913333,0.9910714250768722,0.9890460286913333,0.9890460286913333,0.9906614546269228,0.9890460286913333,0.991893439516383,0.991893439516383,0.995522902091611,0.9948772320150522,0.9953625320271673,0.9946471511813033,0.9860542031475713,0.9950895071543632,0.994317538605492,0.996441175947077,0.9934203406342744,0.9999999999999998,0.9937199445911027,0.9925684664176146,0.9937199445911027,0.9944250566150249,0.9932814121299826
معاف ڪجو,0.9938794259467254,0.9871961891032403,0.9938794259467254,0.9938794259467254,0.988497642127649,0.9938794259467254,0.993500103401681,0.993500103401681,0.9942940278302834,0.9919906918626167,0.994258644130124,0.9931772946778903,0.9864535174454061,0.9972737636268423,0.9912928058391127,0.9955929344170078,0.9930987879830612,0.9937199445911027,1.0000000000000002,0.9961125505971766,1.0000000000000002,0.9986013984016809,0.9949019468183221
مون کي معاف ڪريو,0.990818271126678,0.9896234886995121,0.990818271126678,0.990818271126678,0.9862120368919298,0.990818271126678,0.9946549636899044,0.9946549636899044,0.9940708777877884,0.993524316964427,0.9949166723665852,0.9914309752150617,0.9862427837613911,0.9954226042101677,0.9928774374548911,0.9933891109064251,0.9912238874971121,0.9925684664176146,0.9961125505971766,0.9999999999999996,0.9961125505971766,0.9968252829282739,0.9926760363217524
معاف ڪجو,0.9938794259467254,0.9871961891032403,0.9938794259467254,0.9938794259467254,0.988497642127649,0.9938794259467254,0.993500103401681,0.993500103401681,0.9942940278302834,0.9919906918626167,0.994258644130124,0.9931772946778903,0.9864535174454061,0.9972737636268423,0.9912928058391127,0.9955929344170078,0.9930987879830612,0.9937199445911027,1.0000000000000002,0.9961125505971766,0.9999999999999999,0.9986013984016809,0.9949019468183221
معافي وٺڻ,0.9932572853296122,0.9888530525325079,0.9932572853296122,0.9932572853296122,0.9903247424693677,0.9932572853296122,0.9939546529274772,0.9939546529274772,0.9966289312710909,0.9945345640856726,0.9967526847550471,0.9949999909572608,0.9872091754487811,0.9974718559365742,0.9929619424512174,0.9962442254998657,0.9955652324897865,0.9944250566150249,0.9986013984016809,0.9968252829282739,0.9986013984016809,0.9999999999999997,0.9951647757108883
معذرت خواهه,0.9893212668389438,0.9859982822418621,0.9893212668389438,0.9893212668389438,0.988056647411441,0.9893212668389438,0.9910999562439065,0.9910999562439065,0.9941847586355925,0.9918752319328743,0.9941136251309759,0.9933022320892763,0.9904007920761547,0.9952870373377432,0.9914568708780716,0.9954917272349937,0.9917735998789184,0.9932814121299826,0.9949019468183221,0.9926760363217524,0.9949019468183221,0.9951647757108883,1.0000000000000002
