,arvostaa,arvostus,kiitollinen,kiitollisuus,kiitollisuus,kiitos,kiitollinen,kiitollisuus,velkaantunut,velkaantuneisuus,velvollisuus,pakotettu,velvoitettu,velvollisuus,olla velkaa,velkaa oleva,pahoitteleva,anteeksipyynnöt,anteeksipyyntö,anteeksi,pahoittelu,anteeksi,pyytää anteeksi,suo anteeksi
velvollisuus,0.9940687482251537,0.9931458258199347,0.994638086760397,0.9935788493902764,0.9935788493902764,0.992671712186648,0.994638086760397,0.9935788493902764,0.9917565188378945,0.99764962007573,0.9999999999999999,0.9944306796639838,0.9946220214582422,0.9999999999999999,0.9918855042394019,0.9942318687350938,0.9943201675716904,0.9958905587430049,0.9956080835474499,0.9922721883204271,0.9940802026464375,0.9922721883204271,0.9925746029533995,0.9918843348371836
pakotettu,0.9931885667230099,0.9925556805771079,0.9935589206643856,0.9908317759739633,0.9908317759739633,0.992461322564681,0.9935589206643856,0.9908317759739633,0.9928134978284251,0.9947641366599591,0.9944306796639838,1.0000000000000002,0.9965644704007024,0.9944306796639838,0.9907575370140691,0.9937541920723355,0.9936811017015914,0.9925340704114698,0.9928035878475231,0.992684373717468,0.9932336215230854,0.992684373717468,0.9927928897981787,0.9913205875153821
velvoitettu,0.9934029232560145,0.9945566306480075,0.9923638850902629,0.9916312452493653,0.9916312452493653,0.9924303465665675,0.9923638850902629,0.9916312452493653,0.9929137090933529,0.9953304263936158,0.9946220214582422,0.9965644704007024,0.9999999999999994,0.9946220214582422,0.991818648727795,0.9931722380821812,0.9940816056795388,0.9935953681551379,0.9931028448054973,0.9921574403945069,0.9935596096661604,0.9921574403945069,0.992209287375447,0.9911389488251605
velvollisuus,0.9940687482251537,0.9931458258199347,0.994638086760397,0.9935788493902764,0.9935788493902764,0.992671712186648,0.994638086760397,0.9935788493902764,0.9917565188378945,0.99764962007573,0.9999999999999999,0.9944306796639838,0.9946220214582422,0.9999999999999999,0.9918855042394019,0.9942318687350938,0.9943201675716904,0.9958905587430049,0.9956080835474499,0.9922721883204271,0.9940802026464375,0.9922721883204271,0.9925746029533995,0.9918843348371836
olla velkaa,0.9951446231589124,0.9917511537840356,0.9888541645118728,0.986425660453914,0.986425660453914,0.9938068193631192,0.9888541645118728,0.986425660453914,0.9930340645248145,0.9925822163830671,0.9918855042394019,0.9907575370140691,0.991818648727795,0.9918855042394019,0.9999999999999997,0.9946763899823072,0.9908736579439705,0.9913442539698004,0.991190628182669,0.9913516796500386,0.9904954246586755,0.9913516796500386,0.9917341026719139,0.9904891741229013
velkaa oleva,0.9946185202863839,0.9928288024857985,0.9926687020791239,0.9891184011765767,0.9891184011765767,0.9937015690568526,0.9926687020791239,0.9891184011765767,0.9948866493964101,0.9945013440516235,0.9942318687350938,0.9937541920723355,0.9931722380821812,0.9942318687350938,0.9946763899823072,0.9999999999999996,0.9929767560357528,0.9927229409930429,0.992886518509509,0.9934187026446384,0.991523795141442,0.9934187026446384,0.9921923818494771,0.9933623140359853
pahoitteleva,0.9921146480843305,0.9920355254421637,0.9918501148962449,0.9920499751940965,0.9920499751940965,0.9905570593523353,0.9918501148962449,0.9920499751940965,0.9897379407100617,0.9946999985869194,0.9943201675716904,0.9936811017015914,0.9940816056795388,0.9943201675716904,0.9908736579439705,0.9929767560357528,0.9999999999999994,0.9948917552673662,0.9947172416710087,0.990749914478528,0.9957723249726405,0.990749914478528,0.9898079172456886,0.9896360267079165
anteeksipyynnöt,0.9933126001769926,0.9930499278864267,0.9919618834433206,0.992375350204406,0.992375350204406,0.9915510391164963,0.9919618834433206,0.992375350204406,0.9900810747068426,0.9953398565087166,0.9958905587430049,0.9925340704114698,0.9935953681551379,0.9958905587430049,0.9913442539698004,0.9927229409930429,0.9948917552673662,1.0000000000000002,0.9972345153199709,0.9928935920150942,0.9946421925769555,0.9928935920150942,0.99223731496085,0.9917932380434107
anteeksipyyntö,0.9940388018384981,0.9930543893894883,0.9933273055307988,0.9917643796895868,0.9917643796895868,0.9918270671653724,0.9933273055307988,0.9917643796895868,0.9900160642710667,0.9947591227548304,0.9956080835474499,0.9928035878475231,0.9931028448054973,0.9956080835474499,0.991190628182669,0.992886518509509,0.9947172416710087,0.9972345153199709,0.9999999999999996,0.9921801095663555,0.9942315833120408,0.9921801095663555,0.9925326019855941,0.9915318573749066
anteeksi,0.99396358587056,0.9931056800225371,0.9899506548482456,0.9866427770516148,0.9866427770516148,0.9930069895680788,0.9899506548482456,0.9866427770516148,0.992724702528888,0.9924058086968839,0.9922721883204271,0.992684373717468,0.9921574403945069,0.9922721883204271,0.9913516796500386,0.9934187026446384,0.990749914478528,0.9928935920150942,0.9921801095663555,1.0,0.9904960068558178,1.0,0.9931229344165833,0.9956030601230322
pahoittelu,0.9917299150017193,0.992206345877953,0.989867626348525,0.9902689202989516,0.9902689202989516,0.9913947098440714,0.989867626348525,0.9902689202989516,0.9885199130279761,0.9943546276428225,0.9940802026464375,0.9932336215230854,0.9935596096661604,0.9940802026464375,0.9904954246586755,0.991523795141442,0.9957723249726405,0.9946421925769555,0.9942315833120408,0.9904960068558178,1.0000000000000002,0.9904960068558178,0.990132264757824,0.9899103603442843
anteeksi,0.99396358587056,0.9931056800225371,0.9899506548482456,0.9866427770516148,0.9866427770516148,0.9930069895680788,0.9899506548482456,0.9866427770516148,0.992724702528888,0.9924058086968839,0.9922721883204271,0.992684373717468,0.9921574403945069,0.9922721883204271,0.9913516796500386,0.9934187026446384,0.990749914478528,0.9928935920150942,0.9921801095663555,1.0,0.9904960068558178,1.0,0.9931229344165833,0.9956030601230322
pyytää anteeksi,0.9950974178042303,0.9918400340672343,0.9904350611921036,0.9869364631886908,0.9869364631886908,0.9918905677159962,0.9904350611921036,0.9869364631886908,0.9924799777836923,0.9921141193944739,0.9925746029533995,0.9927928897981787,0.992209287375447,0.9925746029533995,0.9917341026719139,0.9921923818494771,0.9898079172456886,0.99223731496085,0.9925326019855941,0.9931229344165833,0.990132264757824,0.9931229344165833,0.9999999999999991,0.992438271882995
suo anteeksi,0.9929430225061979,0.992110845022639,0.989430672678849,0.986631170973327,0.986631170973327,0.9927239722593464,0.989430672678849,0.986631170973327,0.9920772187732393,0.9916678646685716,0.9918843348371836,0.9913205875153821,0.9911389488251605,0.9918843348371836,0.9904891741229013,0.9933623140359853,0.9896360267079165,0.9917932380434107,0.9915318573749066,0.9956030601230322,0.9899103603442843,0.9956030601230322,0.992438271882995,0.9999999999999999
