,apresiar,apresiazion,grata,grato,gratitudin,gratitudin,grazie,grata,grato,gratitudin,inbità,inbitàda,inbitedura,obligazion,obligà,obligàda,obligamento,dever,devente,scusante,scuse,scusarse,scusa,scùsime,pardonime,despiaser,scùsa
inbità,0.9911440612888963,0.986050776180834,0.9963060031083346,0.9925088562321189,0.9822508797479163,0.9822508797479163,0.9800314625571294,0.9963060031083346,0.992508856232119,0.9822508797479164,0.9999999999999994,0.9957109666702371,0.9901039337816462,0.9896347067402245,0.9866721731221608,0.9896700757585137,0.9893993016260554,0.9907509623272936,0.9900204246765064,0.9914330128364384,0.991969917858491,0.9922915319963912,0.9928552853550304,0.9913380487855556,0.989267117244677,0.9910710696266534,0.9928552853550304
inbitàda,0.9922284889402674,0.9896277086848396,0.9930866438770204,0.9928438228238342,0.9863973329812575,0.9863973329812575,0.9805053956438224,0.9930866438770204,0.9928438228238345,0.986397332981257,0.9957109666702371,1.0,0.9929145337569004,0.9916468045788731,0.9880879244328298,0.9928994649066708,0.990964156173263,0.990941860387324,0.9916940469251473,0.9924977903654839,0.993890204481926,0.9945008270880178,0.9941334225278683,0.9931857176731628,0.991363404896805,0.9924418905627095,0.9941334225278683
inbitedura,0.9909304855735442,0.9900454465610842,0.9896222717236733,0.9929030857402774,0.9900143083423468,0.9900143083423468,0.9785826425633184,0.9896222717236733,0.9929030857402771,0.9900143083423469,0.9901039337816462,0.9929145337569004,0.9999999999999996,0.9927993170337628,0.987518375144949,0.9929832747837024,0.9954622225013997,0.9891900970561188,0.9920621353513224,0.9931890838987923,0.9944636869761353,0.993289200148387,0.9942203131282221,0.994418228407753,0.9939694499706676,0.9924554871994397,0.9942203131282221
obligazion,0.9908251556048829,0.9935113156016366,0.9906295297438644,0.9928504719600975,0.9853913817467975,0.9853913817467975,0.9792946868585686,0.9906295297438644,0.992850471960096,0.9853913817467974,0.9896347067402245,0.9916468045788731,0.9927993170337628,0.9999999999999996,0.9889836325602184,0.9926899370023874,0.9929590319852131,0.9900686130983577,0.9921158093608089,0.9927866239968335,0.9929696686568995,0.9931748643648037,0.9929252738068604,0.9924602168914707,0.9918386578578665,0.9909638342294276,0.9929252738068604
obligà,0.990446730087952,0.9843359744046181,0.9869801926917688,0.9906923816271673,0.9812401980926236,0.9812401980926236,0.9780114616150059,0.9869801926917688,0.9906923816271683,0.9812401980926245,0.9866721731221608,0.9880879244328298,0.987518375144949,0.9889836325602184,0.9999999999999989,0.9939102342111574,0.9894101302811541,0.9890556726019594,0.9900283656512715,0.9890361288402536,0.9889363584273385,0.9900182781617936,0.987787270231567,0.9891667313218729,0.9893109026370983,0.9888291279545667,0.987787270231567
obligàda,0.9930219144864115,0.9882632117447889,0.9906053792746711,0.9940720748065645,0.9864240049138081,0.9864240049138081,0.9811755765708131,0.9906053792746711,0.994072074806565,0.986424004913807,0.9896700757585137,0.9928994649066708,0.9929832747837024,0.9926899370023874,0.9939102342111574,0.9999999999999993,0.9942640953957327,0.9908915901661418,0.9933053721214125,0.9933633421110005,0.993427076219404,0.9940989434426861,0.9928372866206,0.993370744298148,0.9930486917052297,0.9929323688030448,0.9928372866206
obligamento,0.9908839230097956,0.9892577899816531,0.9897074735933588,0.9936163254570838,0.9880847845922414,0.9880847845922414,0.9818170467405918,0.9897074735933588,0.9936163254570838,0.9880847845922414,0.9893993016260554,0.990964156173263,0.9954622225013997,0.9929590319852131,0.9894101302811541,0.9942640953957327,0.9999999999999991,0.9890450268372961,0.9923521677708901,0.9932946191492115,0.9926897198940807,0.9924166073442054,0.9929721088976343,0.9933325928523201,0.9938723896922653,0.9922528897354866,0.9929721088976338
dever,0.9951316383419214,0.9875283390018966,0.9918436794093302,0.9944702329832805,0.983004247031261,0.983004247031261,0.9817917555896941,0.9918436794093302,0.9944702329832805,0.983004247031261,0.9907509623272936,0.990941860387324,0.9891900970561188,0.9900686130983577,0.9890556726019594,0.9908915901661418,0.9890450268372961,0.9999999999999992,0.9949427886562441,0.9929781016940558,0.9932788284902349,0.9938290461289159,0.9917484250654838,0.9931653336865055,0.9912656341200328,0.992135147359343,0.9917484250654838
devente,0.9960056521398337,0.9893231157819968,0.9912728799974385,0.9968877841123367,0.9863943869959398,0.9863943869959398,0.9853884732553777,0.9912728799974385,0.9968877841123367,0.9863943869959398,0.9900204246765064,0.9916940469251473,0.9920621353513224,0.9921158093608089,0.9900283656512715,0.9933053721214125,0.9923521677708901,0.9949427886562441,0.9999999999999996,0.9956657537557165,0.9941584607285562,0.9949713699787528,0.9933477314501065,0.9955683471311585,0.9953706876711108,0.9926973495213314,0.9933477314501068
scusante,0.994676445467474,0.9896533188932886,0.9922707936415757,0.9963509992274794,0.985868199944586,0.985868199944586,0.985412552035865,0.9922707936415757,0.9963509992274794,0.985868199944586,0.9914330128364384,0.9924977903654839,0.9931890838987923,0.9927866239968335,0.9890361288402536,0.9933633421110005,0.9932946191492115,0.9929781016940558,0.9956657537557165,0.9999999999999994,0.9950998650097518,0.9950625605292525,0.994716058086623,0.9971114746688653,0.9948071792711802,0.9942312477284874,0.9947160580866231
scuse,0.9940994408125503,0.9906252323794325,0.9927532110627718,0.9953530731947449,0.9875125750118592,0.9875125750118592,0.9817954875505939,0.9927532110627718,0.9953530731947449,0.9875125750118592,0.991969917858491,0.993890204481926,0.9944636869761353,0.9929696686568995,0.9889363584273385,0.993427076219404,0.9926897198940807,0.9932788284902349,0.9941584607285562,0.9950998650097518,0.9999999999999996,0.9973527296990058,0.9975942774893084,0.997623719953838,0.993699290512441,0.9959834119249764,0.9975942774893074
scusarse,0.995390700736716,0.9910197389285923,0.9924677120961495,0.9950673965444773,0.9865904430822054,0.9865904430822054,0.9821154751245317,0.9924677120961495,0.9950673965444773,0.9865904430822054,0.9922915319963912,0.9945008270880178,0.993289200148387,0.9931748643648037,0.9900182781617936,0.9940989434426861,0.9924166073442054,0.9938290461289159,0.9949713699787528,0.9950625605292525,0.9973527296990058,0.999999999999999,0.9967241932994774,0.9964676788159906,0.9937436608934608,0.9953258711419407,0.996724193299477
scusa,0.9925181155559053,0.989948692730141,0.9936362809893291,0.9952159443735744,0.9859133627552827,0.9859133627552827,0.9825612366063565,0.9936362809893291,0.9952159443735744,0.9859133627552827,0.9928552853550304,0.9941334225278683,0.9942203131282221,0.9929252738068604,0.987787270231567,0.9928372866206,0.9929721088976343,0.9917484250654838,0.9933477314501065,0.994716058086623,0.9975942774893084,0.9967241932994774,1.0,0.9959861163321684,0.9922200251880479,0.9947887674154714,1.0000000000000002
scùsime,0.9954683056915262,0.9906268742764457,0.9917714235464888,0.9962441975550669,0.9879868650899543,0.9879868650899543,0.9844746886985029,0.9917714235464888,0.9962441975550669,0.9879868650899543,0.9913380487855556,0.9931857176731628,0.994418228407753,0.9924602168914707,0.9891667313218729,0.993370744298148,0.9933325928523201,0.9931653336865055,0.9955683471311585,0.9971114746688653,0.997623719953838,0.9964676788159906,0.9959861163321684,0.9999999999999994,0.9962077717909674,0.9955347172721998,0.9959861163321697
pardonime,0.9937564214583383,0.9897496637249291,0.9892343444984125,0.9946418140066381,0.9892860766332559,0.9892860766332559,0.9820200187389688,0.9892343444984125,0.9946418140066381,0.9892860766332559,0.989267117244677,0.991363404896805,0.9939694499706676,0.9918386578578665,0.9893109026370983,0.9930486917052297,0.9938723896922653,0.9912656341200328,0.9953706876711108,0.9948071792711802,0.993699290512441,0.9937436608934608,0.9922200251880479,0.9962077717909674,0.9999999999999994,0.9929635713376614,0.992220025188048
despiaser,0.9937158641598279,0.9890404061899287,0.9914991949958292,0.9944839978784452,0.9846582846606535,0.9846582846606535,0.9805250351331811,0.9914991949958292,0.9944839978784452,0.9846582846606535,0.9910710696266534,0.9924418905627095,0.9924554871994397,0.9909638342294276,0.9888291279545667,0.9929323688030448,0.9922528897354866,0.992135147359343,0.9926973495213314,0.9942312477284874,0.9959834119249764,0.9953258711419407,0.9947887674154714,0.9955347172721998,0.9929635713376614,0.9999999999999992,0.9947887674154718
scùsa,0.9925181155559053,0.989948692730141,0.9936362809893291,0.9952159443735744,0.9859133627552827,0.9859133627552827,0.9825612366063565,0.9936362809893291,0.9952159443735744,0.9859133627552827,0.9928552853550304,0.9941334225278683,0.9942203131282221,0.9929252738068604,0.987787270231567,0.9928372866206,0.9929721088976338,0.9917484250654838,0.9933477314501068,0.9947160580866231,0.9975942774893074,0.996724193299477,1.0000000000000002,0.9959861163321697,0.992220025188048,0.9947887674154718,1.0
