,үнэлэх,үнэлэлт,талархсан,талархал,талархал,баярлалаа,талархсан,талархал,өртэй,үүрэг,албадсан,үүрэг,өртэй байдал,өртэй байх,өртэй байгаа,үүрэг хүлээсэн,уучлалтууд,уучлалт,өршөөгөөрэй,харамсал,уучлаарай,намайг уучлаарай,уучлалт хүссэн,уучлалт гуйх
өртэй байдал,0.9884708144486152,0.9890075141055699,0.9941009657535416,0.9957411222712977,0.9957411222712977,0.9948510506029251,0.9941009657535416,0.9957411222712977,0.9963770808332368,0.9891387460313699,0.994545444174229,0.9891387460313699,0.9999999999999997,0.9974080005153309,0.9980644198956486,0.9951575106178964,0.9937578335522269,0.9915614878682372,0.993765335358234,0.9928688666411823,0.9945935556864762,0.9938641813242673,0.9950095773095424,0.9888089953156162
өртэй байх,0.9901826451595969,0.990283035984126,0.9947519366895881,0.9959467083496599,0.9959467083496599,0.9947529551878195,0.9947519366895881,0.9959467083496599,0.9974099703294839,0.9910078254358431,0.9950583871829138,0.9910078254358431,0.9974080005153309,1.0,0.9981309361663953,0.9961770293045389,0.9937526785209697,0.9931787343526902,0.9955487288200194,0.9949234460735943,0.9958030126021176,0.9955556064568165,0.9969712906019598,0.992246255462915
өртэй байгаа,0.9899192379348642,0.9907837917029524,0.9936856187487182,0.995720303886654,0.995720303886654,0.9960968164751489,0.9936856187487182,0.995720303886654,0.9962737958842541,0.9895419279239088,0.9958961365354253,0.9895419279239088,0.9980644198956486,0.9981309361663953,1.0000000000000002,0.9963155930282802,0.9934065388476869,0.9921481019385144,0.9943840171499555,0.9941860936385774,0.9955815616197414,0.9954069114757219,0.9959793692539718,0.9894462167267105
үүрэг хүлээсэн,0.98937828199329,0.9902641298127232,0.9942281130017192,0.9953611648500268,0.9953611648500268,0.9938364202724305,0.9942281130017192,0.9953611648500268,0.9945869228485898,0.9933939211289715,0.9947663206397617,0.9933939211289715,0.9951575106178964,0.9961770293045389,0.9963155930282802,0.9999999999999992,0.9932217597871393,0.9910838609570845,0.9946287841945963,0.9939513402472,0.993989593105736,0.9950266973686096,0.9972948517504708,0.989282898023917
уучлалтууд,0.9880662830395901,0.9894388327927179,0.9945785992243201,0.9952578153764766,0.9952578153764766,0.9935019905814285,0.9945785992243201,0.9952578153764766,0.9939768842017127,0.9901550716710158,0.9924982813239479,0.9901550716710158,0.9937578335522269,0.9937526785209697,0.9934065388476869,0.9932217597871393,0.9999999999999996,0.9953068329046152,0.9947353604973976,0.9923546060918215,0.995390769053317,0.9929716793850144,0.994397543230592,0.9918187534324437
уучлалт,0.9899529764714007,0.9908220197183178,0.9933258102842577,0.9934796262452847,0.9934796262452847,0.9936720070570169,0.9933258102842577,0.9934796262452847,0.9935856730132703,0.9874049845835448,0.9926197692757048,0.9874049845835448,0.9915614878682372,0.9931787343526902,0.9921481019385144,0.9910838609570845,0.9953068329046152,0.9999999999999997,0.9937499765050607,0.9924163651440234,0.996082063511181,0.9931639127474744,0.99440250590128,0.9934312492847842
өршөөгөөрэй,0.9883426468840293,0.9895402557920029,0.99326443290961,0.9941773037598324,0.9941773037598324,0.9922767968182229,0.99326443290961,0.9941773037598324,0.9973998719925007,0.99344107363279,0.9925288745889688,0.99344107363279,0.993765335358234,0.9955487288200194,0.9943840171499555,0.9946287841945963,0.9947353604973976,0.9937499765050607,0.9999999999999999,0.9936074103047742,0.9943411170890872,0.9934020348611697,0.9953900076836565,0.9910210525916678
харамсал,0.9876598971137353,0.9902655432660094,0.9950411153510917,0.9963541818909698,0.9963541818909698,0.9950570967291839,0.9950411153510917,0.9963541818909698,0.9939231313745565,0.9894770984869072,0.9952300882167653,0.9894770984869072,0.9928688666411823,0.9949234460735943,0.9941860936385774,0.9939513402472,0.9923546060918215,0.9924163651440234,0.9936074103047742,0.9999999999999997,0.995322142347393,0.9949930294248509,0.9952761846362068,0.9911292601279897
уучлаарай,0.9897581364950866,0.9907188013783867,0.9955533710633684,0.9961185270952371,0.9961185270952371,0.9966080257652842,0.9955533710633684,0.9961185270952371,0.9944777894203534,0.9886032957648772,0.9950356178172644,0.9886032957648772,0.9945935556864762,0.9958030126021176,0.9955815616197414,0.993989593105736,0.995390769053317,0.996082063511181,0.9943411170890872,0.995322142347393,0.9999999999999998,0.9968192772686288,0.9955663398909176,0.9927253572088984
намайг уучлаарай,0.9898034313691451,0.9902051040692268,0.9933030492044844,0.9941145230696083,0.9941145230696083,0.9960165336135041,0.9933030492044844,0.9941145230696083,0.9932414865258711,0.9888048260713186,0.9951116780826018,0.9888048260713186,0.9938641813242673,0.9955556064568165,0.9954069114757219,0.9950266973686096,0.9929716793850144,0.9931639127474744,0.9934020348611697,0.9949930294248509,0.9968192772686288,0.9999999999999996,0.996353875026269,0.9928045978765633
уучлалт хүссэн,0.9908947725974392,0.9919378255034736,0.9950546995430253,0.9957453829135416,0.9957453829135416,0.9944456036861822,0.9950546995430253,0.9957453829135416,0.9957432857291505,0.9917528810713557,0.9953702941064477,0.9917528810713557,0.9950095773095424,0.9969712906019598,0.9959793692539718,0.9972948517504708,0.994397543230592,0.99440250590128,0.9953900076836565,0.9952761846362068,0.9955663398909176,0.996353875026269,0.9999999999999997,0.9932881766696041
уучлалт гуйх,0.9852465608929295,0.9855670019018645,0.9909981613775163,0.9902929362673183,0.9902929362673183,0.9905335823502193,0.9909981613775163,0.9902929362673183,0.9912941104723015,0.9865508589340268,0.9892370441833552,0.9865508589340268,0.9888089953156162,0.992246255462915,0.9894462167267105,0.989282898023917,0.9918187534324437,0.9934312492847842,0.9910210525916678,0.9911292601279897,0.9927253572088984,0.9928045978765633,0.9932881766696041,0.9999999999999997
