,löfikön,löfük,danöl,danöfik,danöf,danön,danöl,danöfik,delöl,delönav,mut,mutöl,mutam,delön,delöl,pardonik,pardons,pardonön,pardon,pardonobi,sorg,pardon,pardon osi
mutam,0.9932492596720958,0.9958769717578605,0.9933992577997086,0.9939498089492586,0.9898247737398693,0.9937767383273483,0.9933992577997086,0.9939498089492586,0.9932852498081441,0.9942970707758512,0.9930548841935405,0.9966674353417138,1.0,0.9933738311286255,0.9932852498081441,0.9930843169191823,0.9937463896555684,0.9917600870987503,0.9929864043782672,0.9942910744977589,0.9961021007947627,0.9929864043782672,0.9934924038393254
delön,0.9912987735851682,0.994122066475713,0.9952540600296828,0.9926536609983418,0.9915411911925368,0.9954220708190479,0.9952540600296828,0.9926536609983418,0.997319161488446,0.9977274454659388,0.9900405123739822,0.9953321291639113,0.9933738311286255,0.9999999999999999,0.997319161488446,0.9945436323816861,0.9933720655520657,0.9927722640005855,0.9944332848796723,0.9938512263752947,0.9933219089443147,0.9944332848796723,0.9949498215076629
delöl,0.9894334866136717,0.9929977862615661,0.9934896929164444,0.9910583768575738,0.9888803233213107,0.9930453054104876,0.9934896929164444,0.9910583768575738,0.999999999999999,0.9965935464926909,0.9898162412387171,0.9945659837592418,0.9932852498081441,0.997319161488446,0.999999999999999,0.9935254146039214,0.9916070990106433,0.9907883895476575,0.9926131532170327,0.9922158113160056,0.9938126420981284,0.9926131532170327,0.9934189451989709
pardonik,0.9944370964528011,0.9952370733707946,0.9944749527904303,0.9950765044292081,0.9908488335083306,0.9938322109808579,0.9944749527904303,0.9950765044292081,0.9935254146039214,0.9958409563343813,0.989791830609435,0.9952681740950606,0.9930843169191823,0.9945436323816861,0.9935254146039214,0.9999999999999996,0.9962498595638742,0.9963637663093218,0.9954978305516137,0.9967205031011024,0.99433099180494,0.9954978305516137,0.996820979934128
pardons,0.9935630580935171,0.9944324997600944,0.9937743643074188,0.994485526498354,0.9909554663699582,0.993823299480444,0.9937743643074188,0.994485526498354,0.9916070990106433,0.9944028931559619,0.989994246206288,0.9941087948949822,0.9937463896555684,0.9933720655520657,0.9916070990106433,0.9962498595638742,0.9999999999999992,0.9968973006056033,0.99683969717867,0.9960400497142798,0.9937890941652322,0.99683969717867,0.99614063449764
pardonön,0.9935501792310935,0.9937469728779271,0.9931362751276344,0.9933214547339658,0.9899004785167501,0.9933169673996064,0.9931362751276344,0.9933214547339658,0.9907883895476575,0.9933667292859282,0.9884406612741296,0.9934628903152286,0.9917600870987503,0.9927722640005855,0.9907883895476575,0.9963637663093218,0.9968973006056033,1.0,0.9964435719649876,0.9965008366075768,0.9925908791442026,0.9964435719649876,0.9959756521166062
pardon,0.9919156108774531,0.9942195827910182,0.9937845179455601,0.9923899302634562,0.9894082745064646,0.994050774432827,0.9937845179455601,0.9923899302634562,0.9926131532170327,0.9940828146925949,0.9912955308018919,0.994834571063871,0.9929864043782672,0.9944332848796723,0.9926131532170327,0.9954978305516137,0.99683969717867,0.9964435719649876,0.9999999999999998,0.9953477023322094,0.9929660267313534,0.9999999999999998,0.9974963060376782
pardonobi,0.9944848697086265,0.9955689637631072,0.9951678507540143,0.9951930672650146,0.9917696051571777,0.9949052320919203,0.9951678507540143,0.9951930672650146,0.9922158113160056,0.9955869190195348,0.9892194940757822,0.9958567199618463,0.9942910744977589,0.9938512263752947,0.9922158113160056,0.9967205031011024,0.9960400497142798,0.9965008366075768,0.9953477023322094,0.9999999999999997,0.9936922145820271,0.9953477023322094,0.9959069973321575
sorg,0.9941497331391673,0.9958056183055248,0.9936222343160174,0.9940833941523054,0.9902195395954332,0.9936480196820611,0.9936222343160174,0.9940833941523054,0.9938126420981284,0.9943125714819874,0.9912314367290229,0.9950464587954593,0.9961021007947627,0.9933219089443147,0.9938126420981284,0.99433099180494,0.9937890941652322,0.9925908791442026,0.9929660267313534,0.9936922145820271,0.9999999999999998,0.9929660267313534,0.9940223872101509
pardon,0.9919156108774531,0.9942195827910182,0.9937845179455601,0.9923899302634562,0.9894082745064646,0.994050774432827,0.9937845179455601,0.9923899302634562,0.9926131532170327,0.9940828146925949,0.9912955308018919,0.994834571063871,0.9929864043782672,0.9944332848796723,0.9926131532170327,0.9954978305516137,0.99683969717867,0.9964435719649876,0.9999999999999998,0.9953477023322094,0.9929660267313534,0.9999999999999998,0.9974963060376784
pardon osi,0.9931269002724035,0.9950448809186483,0.9948091039958931,0.9939190923054865,0.9909798583060999,0.9949140698390251,0.9948091039958931,0.9939190923054865,0.9934189451989709,0.995037389511143,0.992179047375704,0.9953868579006137,0.9934924038393254,0.9949498215076629,0.9934189451989709,0.996820979934128,0.99614063449764,0.9959756521166062,0.9974963060376782,0.9959069973321575,0.9940223872101509,0.9974963060376784,1.0
