,गुणपूजा (guṇapūjā),गुणपूजा (guṇapūjā),गुणपूजा (guṇapūjā),पुजाः त्येगु (pūjaḥ tyegu),पुजाः (pūjaḥ),सुजः यायेके (sujaḥ yāyeke),सुजः (sujaḥ),सुजः यायेके (sujaḥ yāyeke),थ्येधिं,बन्ध्य,बन्ध्य,थ्येधिं,ग्वय् वने,ग्वय् थ्ये,ग्वय् ख्वाः,ग्वय् ख्वाः,तपिं धय्,गुबाय,दुखःया,गुबाय,माफ ग्वयम्ह,माफ ग्वय,माफ ग्वया,माफ ग्वय,माफ ग्वया
बन्ध्य,0.992842749602003,0.992842749602003,0.992842749602003,0.9946270816203637,0.9946117833099969,0.9956201435711322,0.9942037695772011,0.9956201435711322,0.9962638762660843,0.9999999999999992,0.9999999999999992,0.9962638762660843,0.9960904322343775,0.9824299961107519,0.9951276066461001,0.9951276066461001,0.9916527068902052,0.9972800113564835,0.9922705159739579,0.9972800113564835,0.9970735450345044,0.9965822910548549,0.9966353567622072,0.9965822910548549,0.9966353567622072
थ्येधिं,0.9914432368723793,0.9914432368723793,0.9914432368723793,0.9932464666362106,0.9932288388344026,0.993856599200744,0.992426108980252,0.993856599200744,0.9999999999999993,0.9962638762660843,0.9962638762660843,0.9999999999999993,0.9949427960066956,0.9864366774384566,0.99345408772153,0.99345408772153,0.9898677094885623,0.9966515514766211,0.9921096661706329,0.9966515514766211,0.9962252625561958,0.9956359113545592,0.9957599245563997,0.9956359113545592,0.9957599245563997
ग्वय् वने,0.9933994238868721,0.9933994238868721,0.9933994238868721,0.9936284813854023,0.993570873626574,0.9934000173467009,0.9924286411850141,0.9934000173467009,0.9949427960066956,0.9960904322343775,0.9960904322343775,0.9949427960066956,0.9999999999999988,0.9825660017104836,0.9942639441319421,0.9942639441319421,0.9900229581193664,0.9963823194724079,0.9905053313865911,0.9963823194724079,0.9955805910674146,0.9956471785892707,0.995564390285052,0.9956471785892707,0.995564390285052
ग्वय् थ्ये,0.9761653316386362,0.9761653316386362,0.9761653316386362,0.9799615149339305,0.9795694814958521,0.9810084429602972,0.9795234677391952,0.9810084429602972,0.9864366774384566,0.9824299961107519,0.9824299961107519,0.9864366774384566,0.9825660017104836,0.9999999999999996,0.984729002385859,0.984729002385859,0.9830181732449516,0.9838999494529299,0.9802424694944042,0.9838999494529299,0.9836475268078421,0.9836991433520097,0.9818122745262304,0.9836991433520097,0.9818122745262304
ग्वय् ख्वाः,0.9902010447758722,0.9902010447758722,0.9902010447758722,0.9943734841764699,0.9951204505372143,0.9952426012073342,0.9950961961365743,0.9952426012073342,0.99345408772153,0.9951276066461001,0.9951276066461001,0.99345408772153,0.9942639441319421,0.984729002385859,0.9999999999999989,0.9999999999999989,0.9922156438681085,0.9950270501385693,0.9909612672653827,0.9950270501385693,0.9948347243309646,0.9946703290041724,0.9938225636221432,0.9946703290041724,0.9938225636221432
ग्वय् ख्वाः,0.9902010447758722,0.9902010447758722,0.9902010447758722,0.9943734841764699,0.9951204505372143,0.9952426012073342,0.9950961961365743,0.9952426012073342,0.99345408772153,0.9951276066461001,0.9951276066461001,0.99345408772153,0.9942639441319421,0.984729002385859,0.9999999999999989,0.9999999999999989,0.9922156438681085,0.9950270501385693,0.9909612672653827,0.9950270501385693,0.9948347243309646,0.9946703290041724,0.9938225636221432,0.9946703290041724,0.9938225636221432
तपिं धय्,0.984179323320141,0.984179323320141,0.984179323320141,0.988770763798732,0.9891713846399407,0.989533774484375,0.988675081541916,0.989533774484375,0.9898677094885623,0.9916527068902052,0.9916527068902052,0.9898677094885623,0.9900229581193664,0.9830181732449516,0.9922156438681085,0.9922156438681085,0.9999999999999993,0.9914049882809672,0.9868372104778594,0.9914049882809672,0.9903715321856916,0.9902804893240617,0.9899274492082702,0.9902804893240617,0.989927449208271
गुबाय,0.9936351463704236,0.9936351463704236,0.9936351463704236,0.9949049155271691,0.9945406190954502,0.9956592384200519,0.9940476467536561,0.9956592384200519,0.9966515514766211,0.9972800113564835,0.9972800113564835,0.9966515514766211,0.9963823194724079,0.9838999494529299,0.9950270501385693,0.9950270501385693,0.9914049882809672,1.0,0.9929023056711955,1.0,0.9969009294652771,0.99625041746253,0.9967857799823518,0.99625041746253,0.9967857799823523
दुखःया,0.9889294005913022,0.9889294005913022,0.9889294005913022,0.9907588004434386,0.9911795483327942,0.9920012193750867,0.9900406990816704,0.9920012193750867,0.9921096661706329,0.9922705159739579,0.9922705159739579,0.9921096661706329,0.9905053313865911,0.9802424694944042,0.9909612672653827,0.9909612672653827,0.9868372104778594,0.9929023056711955,0.9999999999999997,0.9929023056711955,0.992795026982816,0.9913334412189622,0.9919672182784655,0.9913334412189622,0.9919672182784651
गुबाय,0.9936351463704236,0.9936351463704236,0.9936351463704236,0.9949049155271691,0.9945406190954502,0.9956592384200519,0.9940476467536561,0.9956592384200519,0.9966515514766211,0.9972800113564835,0.9972800113564835,0.9966515514766211,0.9963823194724079,0.9838999494529299,0.9950270501385693,0.9950270501385693,0.9914049882809672,1.0,0.9929023056711955,1.0,0.9969009294652771,0.99625041746253,0.9967857799823518,0.99625041746253,0.9967857799823523
माफ ग्वयम्ह,0.991912667020301,0.991912667020301,0.991912667020301,0.9940778318785949,0.9936601339177064,0.994652376024388,0.9929444150240515,0.994652376024388,0.9962252625561958,0.9970735450345044,0.9970735450345044,0.9962252625561958,0.9955805910674146,0.9836475268078421,0.9948347243309646,0.9948347243309646,0.9903715321856916,0.9969009294652771,0.992795026982816,0.9969009294652771,0.9999999999999992,0.9981487700557454,0.9978138969271731,0.9981487700557454,0.9978138969271727
माफ ग्वय,0.9916987639372573,0.9916987639372573,0.9916987639372573,0.9933136816351231,0.9932037998087242,0.9936975191616657,0.9924420722393533,0.9936975191616657,0.9956359113545592,0.9965822910548549,0.9965822910548549,0.9956359113545592,0.9956471785892707,0.9836991433520097,0.9946703290041724,0.9946703290041724,0.9902804893240617,0.99625041746253,0.9913334412189622,0.99625041746253,0.9981487700557454,0.9999999999999992,0.9988045455772104,0.9999999999999992,0.9988045455772102
माफ ग्वया,0.9922890534502732,0.9922890534502732,0.9922890534502732,0.9938696384669959,0.9932109086851556,0.9936039329904682,0.9920214958228164,0.9936039329904682,0.9957599245563997,0.9966353567622072,0.9966353567622072,0.9957599245563997,0.995564390285052,0.9818122745262304,0.9938225636221432,0.9938225636221432,0.9899274492082702,0.9967857799823518,0.9919672182784655,0.9967857799823518,0.9978138969271731,0.9988045455772104,1.0000000000000002,0.9988045455772104,1.0
माफ ग्वय,0.9916987639372573,0.9916987639372573,0.9916987639372573,0.9933136816351231,0.9932037998087242,0.9936975191616657,0.9924420722393533,0.9936975191616657,0.9956359113545592,0.9965822910548549,0.9965822910548549,0.9956359113545592,0.9956471785892707,0.9836991433520097,0.9946703290041724,0.9946703290041724,0.9902804893240617,0.99625041746253,0.9913334412189622,0.99625041746253,0.9981487700557454,0.9999999999999992,0.9988045455772104,0.9999999999999992,0.9988045455772102
माफ ग्वया,0.9922890534502732,0.9922890534502732,0.9922890534502732,0.9938696384669959,0.9932109086851556,0.9936039329904682,0.9920214958228164,0.9936039329904682,0.9957599245563997,0.9966353567622072,0.9966353567622072,0.9957599245563997,0.995564390285052,0.9818122745262304,0.9938225636221432,0.9938225636221432,0.989927449208271,0.9967857799823523,0.9919672182784651,0.9967857799823523,0.9978138969271727,0.9988045455772102,1.0,0.9988045455772102,1.0
