,apreciar,apreciation,gratiose,gratitude,gratitude,gratias,gratiose,gratitude,indebitate,indebitamento,obligation,obligate,obligation,deber,debite,excusatori,excusas,excusar,excusa,tristessa,regrettabile,excusa me,pardon me
obligation,0.9829308755772185,0.9897223886864663,0.9859740935152567,0.9888470479962653,0.9888470479962653,0.987531291707251,0.9859740935152567,0.9888470479962653,0.9869375701814005,0.9869872709120984,0.9999999999999999,0.990036759231572,0.9999999999999999,0.989540105005077,0.9868477781912475,0.987043799013709,0.9889742386956132,0.9905743588495313,0.9892689934279275,0.9878120685944239,0.9891743275519351,0.9840347964466466,0.9857765814971261
obligate,0.988592341361002,0.9932364000190479,0.9894585961712955,0.9886646114802692,0.9886646114802692,0.9924158840709448,0.9894585961712955,0.9886646114802692,0.9954550916243877,0.9933959106285413,0.990036759231572,0.9999999999999998,0.990036759231572,0.9940957591694835,0.9937054917908896,0.9926508445555399,0.9948158617413538,0.9952470048823543,0.9936540332080767,0.993124263105864,0.9936869462147886,0.989907613661818,0.9902411699825465
obligation,0.9829308755772185,0.9897223886864663,0.9859740935152567,0.9888470479962653,0.9888470479962653,0.987531291707251,0.9859740935152567,0.9888470479962653,0.9869375701814005,0.9869872709120984,0.9999999999999999,0.990036759231572,0.9999999999999999,0.989540105005077,0.9868477781912475,0.987043799013709,0.9889742386956132,0.9905743588495313,0.9892689934279275,0.9878120685944239,0.9891743275519351,0.9840347964466466,0.9857765814971261
deber,0.9862046802253007,0.9939474190602097,0.9884455827698058,0.9878540314032799,0.9878540314032799,0.9926111141739402,0.9884455827698058,0.9878540314032799,0.9927587531940578,0.9951891895147916,0.989540105005077,0.9940957591694835,0.989540105005077,0.9999999999999996,0.9936759049444135,0.9921465306138243,0.9946730283403182,0.9945574976195977,0.9935225459229762,0.9933768161629521,0.9911282535975056,0.9891651217182134,0.9895123480669356
debite,0.9851859494306379,0.993011257635446,0.9880273129338341,0.9858372111584524,0.9858372111584524,0.9914557055134939,0.9880273129338341,0.9858372111584524,0.9934530395468678,0.9935321965073003,0.9868477781912475,0.9937054917908896,0.9868477781912475,0.9936759049444135,1.0,0.9920400750090501,0.9937277913389807,0.9937659081860417,0.9927810081451676,0.9919532654775073,0.9904566519341647,0.989355004916723,0.9882533805842068
excusatori,0.9859087380816598,0.9919942668389313,0.989345445347214,0.9861112227148535,0.9861112227148535,0.9922937476971236,0.989345445347214,0.9861112227148535,0.9923589329162693,0.9935078534460349,0.987043799013709,0.9926508445555399,0.987043799013709,0.9921465306138243,0.9920400750090501,0.9999999999999998,0.9959301414865962,0.9941884345461561,0.994445651203574,0.9928772060109121,0.9940891989838351,0.9885505575679837,0.9872967697804655
excusas,0.9872823645565018,0.9944763515304653,0.9909638954528147,0.9888499233867377,0.9888499233867377,0.9952096753240861,0.9909638954528147,0.9888499233867377,0.9940839845203074,0.9948930802499586,0.9889742386956132,0.9948158617413538,0.9889742386956132,0.9946730283403182,0.9937277913389807,0.9959301414865962,0.9999999999999992,0.997137985634741,0.9970375815433554,0.9951439780999252,0.9929787111066123,0.9923774050530746,0.9913998984113108
excusar,0.9890561122585014,0.9951964061226748,0.9908511988859197,0.9911546770576952,0.9911546770576952,0.9940903615267989,0.9908511988859197,0.9911546770576952,0.9935752831284824,0.9934719682414425,0.9905743588495313,0.9952470048823543,0.9905743588495313,0.9945574976195977,0.9937659081860417,0.9941884345461561,0.997137985634741,0.9999999999999993,0.9971685181543953,0.9957253847783142,0.9938864158986983,0.9939309316833533,0.994544569846532
excusa,0.9864427291562133,0.9935317079027369,0.9909173723107303,0.99117566483308,0.99117566483308,0.9954008140775387,0.9909173723107303,0.99117566483308,0.9917298784810265,0.992692770393665,0.9892689934279275,0.9936540332080767,0.9892689934279275,0.9935225459229762,0.9927810081451676,0.994445651203574,0.9970375815433554,0.9971685181543953,1.0000000000000004,0.9958891767677464,0.9940684983750603,0.9918879129017742,0.9924356534233066
tristessa,0.986445842621911,0.992329397627101,0.9893403873382282,0.989885895876186,0.989885895876186,0.9935488242611847,0.9893403873382282,0.989885895876186,0.991926569462669,0.9932777570271933,0.9878120685944239,0.993124263105864,0.9878120685944239,0.9933768161629521,0.9919532654775073,0.9928772060109121,0.9951439780999252,0.9957253847783142,0.9958891767677464,0.9999999999999992,0.9940319921783338,0.9905543939234667,0.9928611231128445
regrettabile,0.986494606510705,0.9908955700747597,0.9906554370819023,0.988879147653811,0.988879147653811,0.9916775546415352,0.9906554370819023,0.988879147653811,0.9915222621002101,0.9922868832156976,0.9891743275519351,0.9936869462147886,0.9891743275519351,0.9911282535975056,0.9904566519341647,0.9940891989838351,0.9929787111066123,0.9938864158986983,0.9940684983750603,0.9940319921783338,1.0,0.9873394687907827,0.9884563456784655
excusa me,0.9832190040535413,0.9890989389387117,0.9835729323767436,0.9846897528682071,0.9846897528682071,0.9886059439882388,0.9835729323767436,0.9846897528682071,0.9888391200738117,0.9876302220005339,0.9840347964466466,0.989907613661818,0.9840347964466466,0.9891651217182134,0.989355004916723,0.9885505575679837,0.9923774050530746,0.9939309316833533,0.9918879129017742,0.9905543939234667,0.9873394687907827,0.9999999999999994,0.994739842475706
pardon me,0.9847878347600169,0.9890257544233911,0.9830020115912266,0.9881649831611928,0.9881649831611928,0.9888702031301855,0.9830020115912266,0.9881649831611928,0.9874780437916215,0.9874106094212199,0.9857765814971261,0.9902411699825465,0.9857765814971261,0.9895123480669356,0.9882533805842068,0.9872967697804655,0.9913998984113108,0.994544569846532,0.9924356534233066,0.9928611231128445,0.9884563456784655,0.994739842475706,0.9999999999999994
