,schätzen,unerkennung,dankbar,dankbarkeet,dankbarkeet,merci,dankbar,dankbarkeet,verschold,verscholdung,verflichtung,gebonnen,verflicht,verflichtung,schëlleg,schëlleg sinn,scholden hunn,entschëllegend,entschëllegungen,entschëllegen,entschëllegung,leed,entschëllegt,entschëllegt mech,verzeiht mir
verflichtung,0.9962866688582993,0.9958224502583275,0.9942329276995951,0.9951812870145758,0.9951812870145758,0.9912743812217647,0.9942329276995951,0.9951812870145758,0.9942582143507744,0.9940298854073081,1.0000000000000002,0.9939714250201761,0.9981548719948207,1.0000000000000002,0.994463572107975,0.9929212144277636,0.9919915288491407,0.9962644408581464,0.9929715190504763,0.9955285976209526,0.9968574733491283,0.990549321046588,0.9951697324091846,0.9948986862975959,0.9942319037731738
gebonnen,0.9927102684138032,0.9909753157102498,0.9919846621427332,0.9914926211137396,0.9914926211137396,0.9891397207326761,0.9919846621427332,0.9914926211137396,0.9941713735100541,0.9906067973645976,0.9939714250201761,1.0000000000000002,0.9944460396878483,0.9939714250201761,0.9930843440215174,0.9916765527658915,0.9895955122065063,0.9931463634028791,0.9920589634415652,0.9936149988803153,0.9931857452458276,0.988570543319332,0.9947649750747513,0.9942571937499853,0.9938366303371923
verflicht,0.9958533533767915,0.9950458464349115,0.9951240556318274,0.9961328582967548,0.9961328582967548,0.9918444563265411,0.9951240556318274,0.9961328582967548,0.9945371616939948,0.9938434574896098,0.9981548719948207,0.9944460396878483,1.0000000000000002,0.9981548719948207,0.9945788653886994,0.9928505921270443,0.9928770475250992,0.9965171555030377,0.9928715421431735,0.9957269014016294,0.9962232471695247,0.9917290233005929,0.9955672510900463,0.995770605855648,0.9951125151820431
verflichtung,0.9962866688582993,0.9958224502583275,0.9942329276995951,0.9951812870145758,0.9951812870145758,0.9912743812217647,0.9942329276995951,0.9951812870145758,0.9942582143507744,0.9940298854073081,1.0000000000000002,0.9939714250201761,0.9981548719948207,1.0000000000000002,0.994463572107975,0.9929212144277636,0.9919915288491407,0.9962644408581464,0.9929715190504763,0.9955285976209526,0.9968574733491283,0.990549321046588,0.9951697324091846,0.9948986862975959,0.9942319037731738
schëlleg,0.9933973002539648,0.9919298493832422,0.9928083636951297,0.9929078385761589,0.9929078385761589,0.9914557344430538,0.9928083636951297,0.9929078385761589,0.9917986272095081,0.9904956548616515,0.994463572107975,0.9930843440215174,0.9945788653886994,0.994463572107975,0.9999999999999993,0.9960968204544255,0.9912938149522937,0.9933865642987586,0.9908416145418463,0.9927758360568527,0.9939476556888606,0.9897815886763563,0.9930156680039688,0.9936387928923196,0.9922433878542379
schëlleg sinn,0.9919017772862305,0.9912823648316215,0.9924553816151132,0.9930955547140249,0.9930955547140249,0.9920550233576678,0.9924553816151132,0.9930955547140249,0.9903498781624772,0.9897832425364945,0.9929212144277636,0.9916765527658915,0.9928505921270443,0.9929212144277636,0.9960968204544255,0.9999999999999992,0.9937949430868961,0.9916616307928307,0.9890248214098764,0.9914890902675644,0.9921350780301108,0.9895408595694247,0.991374968466426,0.9922494206995457,0.9916840862651147
scholden hunn,0.9915989475276228,0.9914792663729131,0.9917966512351353,0.9941984159602707,0.9941984159602707,0.9920601543297238,0.9917966512351353,0.9941984159602707,0.9911145973250364,0.9915478876269972,0.9919915288491407,0.9895955122065063,0.9928770475250992,0.9919915288491407,0.9912938149522937,0.9937949430868961,0.9999999999999991,0.9915557216924596,0.9868449056276991,0.9909410194235351,0.9917539824197049,0.9903234846130882,0.9896297507831637,0.9910653527952504,0.9903990676184896
entschëllegend,0.9956117667370946,0.9936921631084445,0.9937134078567494,0.9949289748208027,0.9949289748208027,0.9915640637524323,0.9937134078567494,0.9949289748208027,0.9938068829498348,0.9927429877708553,0.9962644408581464,0.9931463634028791,0.9965171555030377,0.9962644408581464,0.9933865642987586,0.9916616307928307,0.9915557216924596,1.0000000000000004,0.9959123312879816,0.9985746072873454,0.9979328229445324,0.9903226538383559,0.9966763171287961,0.9962478974169855,0.9941343428951417
entschëllegungen,0.9928006152981715,0.9908535021652666,0.9911697527636787,0.9894962837837653,0.9894962837837653,0.9877963484758272,0.9911697527636787,0.9894962837837653,0.9900583499724056,0.9880866585100525,0.9929715190504763,0.9920589634415652,0.9928715421431735,0.9929715190504763,0.9908416145418463,0.9890248214098764,0.9868449056276991,0.9959123312879816,1.0000000000000002,0.9960369709969623,0.9965996827326784,0.9859060502009442,0.9955005914089703,0.994075238222958,0.9919088336685873
entschëllegen,0.9958524919591781,0.9924331327854227,0.9927127265066392,0.9941780566009847,0.9941780566009847,0.9909075892076717,0.9927127265066392,0.9941780566009847,0.9935312808969312,0.9920715236756312,0.9955285976209526,0.9936149988803153,0.9957269014016294,0.9955285976209526,0.9927758360568527,0.9914890902675644,0.9909410194235351,0.9985746072873454,0.9960369709969623,1.0,0.997335632555573,0.9893545443233208,0.9969844341380694,0.9959767911927192,0.9935440772859432
entschëllegung,0.9953485473002608,0.9940367176868724,0.993864539768806,0.9942321740182065,0.9942321740182065,0.9914130763703034,0.993864539768806,0.9942321740182065,0.9935858602067544,0.9927445790754585,0.9968574733491283,0.9931857452458276,0.9962232471695247,0.9968574733491283,0.9939476556888606,0.9921350780301108,0.9917539824197049,0.9979328229445324,0.9965996827326784,0.997335632555573,0.9999999999999991,0.9897728460089602,0.9964394338648757,0.9961515361100732,0.9938164035192625
leed,0.989455645271728,0.9893356125793551,0.9904579239831256,0.9921874807647345,0.9921874807647345,0.9897488305928633,0.9904579239831256,0.9921874807647345,0.9900386464522859,0.9898165273872599,0.990549321046588,0.988570543319332,0.9917290233005929,0.990549321046588,0.9897815886763563,0.9895408595694247,0.9903234846130882,0.9903226538383559,0.9859060502009442,0.9893545443233208,0.9897728460089602,0.9999999999999999,0.9882715123884023,0.9890355386293365,0.9893910876958221
entschëllegt,0.9946112645040404,0.9930190371523715,0.9929965386573295,0.9930623420049526,0.9930623420049526,0.9899232162350948,0.9929965386573295,0.9930623420049526,0.9942517409558668,0.9912556825758908,0.9951697324091846,0.9947649750747513,0.9955672510900463,0.9951697324091846,0.9930156680039688,0.991374968466426,0.9896297507831637,0.9966763171287961,0.9955005914089703,0.9969844341380694,0.9964394338648757,0.9882715123884023,0.9999999999999993,0.9977327083172896,0.9954189251974037
entschëllegt mech,0.9940082467263585,0.9931022375557003,0.9937641208261256,0.9938105381536798,0.9938105381536798,0.990877085939331,0.9937641208261256,0.9938105381536798,0.9936340689230398,0.9909681856923925,0.9948986862975959,0.9942571937499853,0.995770605855648,0.9948986862975959,0.9936387928923196,0.9922494206995457,0.9910653527952504,0.9962478974169855,0.994075238222958,0.9959767911927192,0.9961515361100732,0.9890355386293365,0.9977327083172896,0.9999999999999994,0.9958382374812927
verzeiht mir,0.9938402445234421,0.9927743218024714,0.9946607513445405,0.9935951676703149,0.9935951676703149,0.9905207401162709,0.9946607513445405,0.9935951676703149,0.9924205959785908,0.9897196093297665,0.9942319037731738,0.9938366303371923,0.9951125151820431,0.9942319037731738,0.9922433878542379,0.9916840862651147,0.9903990676184896,0.9941343428951417,0.9919088336685873,0.9935440772859432,0.9938164035192625,0.9893910876958221,0.9954189251974037,0.9958382374812927,0.9999999999999993
