,εκτιμώ,εκτίμηση,ευγνώμων,ευγνωμοσύνη,ευγνωμοσύνη,ευχαριστώ,ευγνώμων,ευγνωμοσύνη,χρεωμένη,χρεωμένος,υποχρέωση,χρέος,υποχρέωση,υποχρεωμένη,υποχρεωμένος,υποχρέωση,οφείλω,οφειλόμενη,οφειλόμενος,απολογητικός,συγγνώμες,συγγνώμη,λύπη,συγγνώμη,ζητώ συγγνώμη,με συγχωρείτε,συγχωρέστε με
υποχρέωση,0.9845467080114533,0.9853729008225324,0.9876490297917597,0.9931514325025143,0.9931514325025143,0.9937150675152713,0.9876490297917597,0.9931514325025143,0.9956749812137192,0.991003968571307,0.9999999999999996,0.9948381514859399,0.9999999999999996,0.9947884625455133,0.9943531856055143,0.9999999999999996,0.9939580044376154,0.9940192562797756,0.9904535544840773,0.9938155014990158,0.9947160887193731,0.9950180360949924,0.9942947367509425,0.9950180360949924,0.9944855769179501,0.993555971182018,0.9926044685862451
χρέος,0.9859634018308585,0.9860161723440973,0.9907093773296128,0.993604857877986,0.993604857877986,0.9952642676748231,0.9907093773296128,0.993604857877986,0.9966595881053746,0.9943076740830625,0.9948381514859399,0.9999999999999996,0.9948381514859399,0.9928990243152099,0.9938136007793821,0.9948381514859399,0.9952051046984599,0.992960685922671,0.9915242300663362,0.9937350765803272,0.9950363385471558,0.9955464495334789,0.9957595966269603,0.9955464495334789,0.9951218055040899,0.9925623469673432,0.994747150303202
υποχρέωση,0.9845467080114533,0.9853729008225324,0.9876490297917597,0.9931514325025143,0.9931514325025143,0.9937150675152713,0.9876490297917597,0.9931514325025143,0.9956749812137192,0.991003968571307,0.9999999999999996,0.9948381514859399,0.9999999999999996,0.9947884625455133,0.9943531856055143,0.9999999999999996,0.9939580044376154,0.9940192562797756,0.9904535544840773,0.9938155014990158,0.9947160887193731,0.9950180360949924,0.9942947367509425,0.9950180360949924,0.9944855769179501,0.993555971182018,0.9926044685862451
υποχρεωμένη,0.9836645435049027,0.9854898840904157,0.9869497315996983,0.9891421906163692,0.9891421906163692,0.9925681998291229,0.9869497315996983,0.9891421906163692,0.9969783492904407,0.9923474805066853,0.9947884625455133,0.9928990243152099,0.9947884625455133,0.9999999999999998,0.9934739661463838,0.9947884625455133,0.9922384197989732,0.9927863427025342,0.9904497054197039,0.9907438867694478,0.991545986097376,0.9916541492972198,0.9924510752639475,0.9916541492972198,0.9921287659530903,0.9905546668744859,0.992021631754977
υποχρεωμένος,0.9834195637835367,0.9851432505873752,0.9885083456505516,0.9906648072530025,0.9906648072530025,0.9916315830436271,0.9885083456505516,0.9906648072530025,0.9944789690054177,0.9970488543387774,0.9943531856055143,0.9938136007793821,0.9943531856055143,0.9934739661463838,0.9999999999999998,0.9943531856055143,0.9915562855039985,0.9922131350758954,0.9911437483226594,0.9958982332465852,0.9922165846274822,0.992594185980988,0.9936240647528313,0.992594185980988,0.9918793058366556,0.990504223418486,0.9909867576459082
υποχρέωση,0.9845467080114533,0.9853729008225324,0.9876490297917597,0.9931514325025143,0.9931514325025143,0.9937150675152713,0.9876490297917597,0.9931514325025143,0.9956749812137192,0.991003968571307,0.9999999999999996,0.9948381514859399,0.9999999999999996,0.9947884625455133,0.9943531856055143,0.9999999999999996,0.9939580044376154,0.9940192562797756,0.9904535544840773,0.9938155014990158,0.9947160887193731,0.9950180360949924,0.9942947367509425,0.9950180360949924,0.9944855769179501,0.993555971182018,0.9926044685862451
οφείλω,0.9883977764328615,0.9834460979912472,0.9885890310200939,0.9914006742780855,0.9914006742780855,0.9964744657005318,0.9885890310200939,0.9914006742780855,0.9950893450562446,0.9908165631599294,0.9939580044376154,0.9952051046984599,0.9939580044376154,0.9922384197989732,0.9915562855039985,0.9939580044376154,0.9999999999999994,0.9944858692134863,0.9926051731670613,0.9909597616541476,0.9946923705482581,0.9934527573516765,0.9927804261303346,0.9934527573516765,0.9945655431421517,0.9936975446455443,0.9943775991879309
οφειλόμενη,0.9854724380530385,0.9866378816822422,0.988338896590313,0.9931113472356317,0.9931113472356317,0.9922893093021696,0.988338896590313,0.9931113472356317,0.9956176395977924,0.9910030866833294,0.9940192562797756,0.992960685922671,0.9940192562797756,0.9927863427025342,0.9922131350758954,0.9940192562797756,0.9944858692134863,1.0,0.9963876449529352,0.9919144991124446,0.9934523716922576,0.993980272363214,0.9923465303122766,0.993980272363214,0.9934555428225593,0.9936415229634489,0.9915717922323082
οφειλόμενος,0.987447149008693,0.9858630125114458,0.9878212624327352,0.9890147652979799,0.9890147652979799,0.9896336655705218,0.9878212624327352,0.9890147652979799,0.9926709388944479,0.9919946840461126,0.9904535544840773,0.9915242300663362,0.9904535544840773,0.9904497054197039,0.9911437483226594,0.9904535544840773,0.9926051731670613,0.9963876449529352,0.9999999999999997,0.9892601951341775,0.9895219906651938,0.9904060699584417,0.9894166782632074,0.9904060699584417,0.9898997588614741,0.9895674307456619,0.9893372959173222
απολογητικός,0.9832494559937855,0.9855374210789665,0.9889481207522045,0.9927917367074345,0.9927917367074345,0.9918923656972671,0.9889481207522045,0.9927917367074345,0.9934024302460855,0.9934052885355228,0.9938155014990158,0.9937350765803272,0.9938155014990158,0.9907438867694478,0.9958982332465852,0.9938155014990158,0.9909597616541476,0.9919144991124446,0.9892601951341775,0.9999999999999998,0.9939314842280668,0.994408052308957,0.9950669806207858,0.994408052308957,0.9934620141333353,0.9920638799401047,0.9911700292126386
συγγνώμες,0.9857550877046514,0.983617874222736,0.9916480386024075,0.9946520247395179,0.9946520247395179,0.995101425699608,0.9916480386024075,0.9946520247395179,0.9953144462396447,0.9903908029993751,0.9947160887193731,0.9950363385471558,0.9947160887193731,0.991545986097376,0.9922165846274822,0.9947160887193731,0.9946923705482581,0.9934523716922576,0.9895219906651938,0.9939314842280668,0.9999999999999993,0.9972158384837856,0.9945845916415287,0.9972158384837856,0.9954460226878952,0.9948024169108953,0.9939543441493619
συγγνώμη,0.9851486709770346,0.986286478006379,0.9918070846469889,0.9965613149055539,0.9965613149055539,0.9946393359730368,0.9918070846469889,0.9965613149055539,0.9956660225466586,0.990984816861015,0.9950180360949924,0.9955464495334789,0.9950180360949924,0.9916541492972198,0.992594185980988,0.9950180360949924,0.9934527573516765,0.993980272363214,0.9904060699584417,0.994408052308957,0.9972158384837856,0.9999999999999996,0.9956609526938754,0.9999999999999996,0.9970920054596256,0.9940788583125615,0.9937362269298002
λύπη,0.9850726477863061,0.9858317439961464,0.9911891783874819,0.9933609007559775,0.9933609007559775,0.9938603617337544,0.9911891783874819,0.9933609007559775,0.995501192910673,0.9930777656519143,0.9942947367509425,0.9957595966269603,0.9942947367509425,0.9924510752639475,0.9936240647528313,0.9942947367509425,0.9927804261303346,0.9923465303122766,0.9894166782632074,0.9950669806207858,0.9945845916415287,0.9956609526938754,0.9999999999999992,0.9956609526938754,0.9943973787709554,0.9925025520045088,0.9931786957371355
συγγνώμη,0.9851486709770346,0.986286478006379,0.9918070846469889,0.9965613149055539,0.9965613149055539,0.9946393359730368,0.9918070846469889,0.9965613149055539,0.9956660225466586,0.990984816861015,0.9950180360949924,0.9955464495334789,0.9950180360949924,0.9916541492972198,0.992594185980988,0.9950180360949924,0.9934527573516765,0.993980272363214,0.9904060699584417,0.994408052308957,0.9972158384837856,0.9999999999999996,0.9956609526938754,0.9999999999999996,0.9970920054596256,0.9940788583125615,0.9937362269298002
ζητώ συγγνώμη,0.9846817094877653,0.9859207483424466,0.9885398098594134,0.9946496642501467,0.9946496642501467,0.9963619240502972,0.9885398098594134,0.9946496642501467,0.9954687989605288,0.9905984672861299,0.9944855769179501,0.9951218055040899,0.9944855769179501,0.9921287659530903,0.9918793058366556,0.9944855769179501,0.9945655431421517,0.9934555428225593,0.9898997588614741,0.9934620141333353,0.9954460226878952,0.9970920054596256,0.9943973787709554,0.9970920054596256,0.9999999999999991,0.995559485884228,0.9962657837510186
με συγχωρείτε,0.9849169737926332,0.9844325926895439,0.9872740488844055,0.9929030925715727,0.9929030925715727,0.9945713144366379,0.9872740488844055,0.9929030925715727,0.9939846486668619,0.9885572554805367,0.993555971182018,0.9925623469673432,0.993555971182018,0.9905546668744859,0.990504223418486,0.993555971182018,0.9936975446455443,0.9936415229634489,0.9895674307456619,0.9920638799401047,0.9948024169108953,0.9940788583125615,0.9925025520045088,0.9940788583125615,0.995559485884228,0.9999999999999996,0.9953743807639827
συγχωρέστε με,0.9851424653181227,0.9841862745703233,0.9873700445361081,0.9915598540335543,0.9915598540335543,0.9968341601024702,0.9873700445361081,0.9915598540335543,0.9951860521701014,0.9911826464706693,0.9926044685862451,0.994747150303202,0.9926044685862451,0.992021631754977,0.9909867576459082,0.9926044685862451,0.9943775991879309,0.9915717922323082,0.9893372959173222,0.9911700292126386,0.9939543441493619,0.9937362269298002,0.9931786957371355,0.9937362269298002,0.9962657837510186,0.9953743807639827,0.9999999999999999
