,oceniť,ocenenie,vďačný,vďačnosť,vďačnosť,ďakujem,vďačný,vďačnosť,zadĺžená,zadĺžený,zadĺženosť,povinnosť,zaviazaná,zaviazaný,záväzok,dlhovať,dlžná,dlžný,ospravedlňujúci,ospravedlnenia,ospravedlnenie,ľútosť,prepáč,odpusť mi,ospravedlniť sa,ospravedlňte ma
zadĺženosť,0.9916345220522345,0.9896203603701047,0.9901551925605264,0.9928980974992074,0.9928980974992074,0.98346165256493,0.9901551925605264,0.9928980974992074,0.9932687557514749,0.9902570971548265,0.9999999999999997,0.9945974670623503,0.9916556948649711,0.9851080826192814,0.992175273336255,0.9894603130090125,0.9884536012065331,0.9878100477575869,0.9916975745308805,0.9913732928684771,0.9910695039035915,0.9901833044137022,0.9876724081298908,0.9904732137235501,0.9873083299573108,0.9891439966915829
povinnosť,0.9950310938696769,0.9908528574092296,0.99485660865496,0.9967257880474787,0.9967257880474787,0.9870979167026058,0.99485660865496,0.9967257880474787,0.994551154118427,0.9937369170149082,0.9945974670623503,1.0,0.9933352564365852,0.9856050859647406,0.9938171619381078,0.9929161293251272,0.9925849955917826,0.9924907483610299,0.9944681882414202,0.994261087926666,0.9928398747820311,0.9942635909102228,0.9923913971469752,0.9946007013663989,0.9895036019613145,0.9930313001237657
zaviazaná,0.9944826401104062,0.9915960197644382,0.9933453484386712,0.9929505368400802,0.9929505368400802,0.9899418006093671,0.9933453484386712,0.9929505368400802,0.994118618891525,0.9922617074703894,0.9916556948649711,0.9933352564365852,1.0,0.9927417235193928,0.9946382281873296,0.9940590530514577,0.9918820073696524,0.9919699829552868,0.9930057772394727,0.9920178146424281,0.9901248090131498,0.9945964364253177,0.9921532093281604,0.9914107582214596,0.9861240888808173,0.9903840215676014
zaviazaný,0.9865316605406526,0.9870047142509641,0.9876347428495887,0.9853904433669184,0.9853904433669184,0.9825586506616241,0.9876347428495887,0.9853904433669184,0.9868319333784181,0.9870126192305331,0.9851080826192814,0.9856050859647406,0.9927417235193928,0.9999999999999994,0.9888231908704311,0.9908738635064367,0.9854260692172798,0.9855565216919318,0.9858996606623099,0.9861611440419008,0.9858125835145579,0.987986412499352,0.9853228772066221,0.9830428457207213,0.980691819458277,0.9822947820713337
záväzok,0.9945454122662262,0.9938672745745704,0.9933303605122383,0.9933689581391616,0.9933689581391616,0.9870143228357374,0.9933303605122383,0.9933689581391616,0.9928988863621296,0.991930843733062,0.992175273336255,0.9938171619381078,0.9946382281873296,0.9888231908704311,0.9999999999999998,0.9932818258519558,0.9912747488348216,0.9911463443466639,0.9929058633985338,0.9930895411699433,0.9922600102252411,0.9928955625272675,0.9916471764260922,0.9914687604685596,0.9868057410853603,0.9898707058347154
dlhovať,0.9945463163392702,0.9894354098738289,0.9952904121187844,0.993535271993667,0.993535271993667,0.9874679185583343,0.9952904121187844,0.993535271993667,0.9937962910065883,0.9939457751955344,0.9894603130090125,0.9929161293251272,0.9940590530514577,0.9908738635064367,0.9932818258519558,0.9999999999999996,0.9931962926064147,0.9933810862903917,0.9928368815587117,0.9923791880923916,0.9912558611361569,0.995601662172712,0.9926052960072081,0.9920167849543168,0.9882113185514259,0.9908526615382506
dlžná,0.9925594710159727,0.9873802657473485,0.9944354603545955,0.9932933754266685,0.9932933754266685,0.9865615566036514,0.9944354603545955,0.9932933754266685,0.9927348720020264,0.9924191014319436,0.9884536012065331,0.9925849955917826,0.9918820073696524,0.9854260692172798,0.9912747488348216,0.9931962926064147,0.9999999999999998,0.9984427326810763,0.9918752881751925,0.991149767329938,0.9884315225215768,0.9935835625680655,0.9923062654368213,0.9915889581081486,0.986794734541266,0.9904692217767997
dlžný,0.9928318729426523,0.9869796935846694,0.9946354929357966,0.9929004585991591,0.9929004585991591,0.9871110703053252,0.9946354929357966,0.9929004585991591,0.9928225802237391,0.9926308691109634,0.9878100477575869,0.9924907483610299,0.9919699829552868,0.9855565216919318,0.9911463443466639,0.9933810862903917,0.9984427326810763,0.9999999999999998,0.9917402913252666,0.9905474670941975,0.9877968021568203,0.9939510847638295,0.9924009143821667,0.9915475952523546,0.9861556295194768,0.9905407973803199
ospravedlňujúci,0.9946061509358811,0.9907869907144612,0.9964037231150081,0.9956681838435625,0.9956681838435625,0.987125016919122,0.9964037231150081,0.9956681838435625,0.9945101068583557,0.9946854839667146,0.9916975745308805,0.9944681882414202,0.9930057772394727,0.9858996606623099,0.9929058633985338,0.9928368815587117,0.9918752881751925,0.9917402913252666,0.9999999999999994,0.9947843917417049,0.9930338248100558,0.9940147105377156,0.9930531027423367,0.9956223348397302,0.9919962503312165,0.9952888513051085
ospravedlnenia,0.9936107854037096,0.991236846724664,0.9940625277886878,0.9946162016466157,0.9946162016466157,0.9850787816314468,0.9940625277886878,0.9946162016466157,0.991605115979788,0.9913810646500227,0.9913732928684771,0.994261087926666,0.9920178146424281,0.9861611440419008,0.9930895411699433,0.9923791880923916,0.991149767329938,0.9905474670941975,0.9947843917417049,0.999999999999999,0.998391114284113,0.9920813883019113,0.9904615441458162,0.9918093021368287,0.9918325160994519,0.9921527259640207
ospravedlnenie,0.9919943252296887,0.9914819979865908,0.9919568976027718,0.9928775281067995,0.9928775281067995,0.9831892488979302,0.9919568976027718,0.9928775281067995,0.9899680353208354,0.9897719676088125,0.9910695039035915,0.9928398747820311,0.9901248090131498,0.9858125835145579,0.9922600102252411,0.9912558611361569,0.9884315225215768,0.9877968021568203,0.9930338248100558,0.998391114284113,1.0,0.9901383454262508,0.9886044823034563,0.9903114530604183,0.9918688980831086,0.9900701591574996
ľútosť,0.9959499267439105,0.9886733425218507,0.9958569774517761,0.9946626761277538,0.9946626761277538,0.989921718333471,0.9958569774517761,0.9946626761277538,0.9944238104054047,0.9940971224738823,0.9901833044137022,0.9942635909102228,0.9945964364253177,0.987986412499352,0.9928955625272675,0.995601662172712,0.9935835625680655,0.9939510847638295,0.9940147105377156,0.9920813883019113,0.9901383454262508,0.9999999999999993,0.9944267360129924,0.9940847055170285,0.9887031518908693,0.9927215383695053
prepáč,0.9926922437981073,0.9886728861059222,0.9948071089409478,0.9924510229879538,0.9924510229879538,0.9890630397233694,0.9948071089409478,0.9924510229879538,0.991799126379606,0.9923665406335571,0.9876724081298908,0.9923913971469752,0.9921532093281604,0.9853228772066221,0.9916471764260922,0.9926052960072081,0.9923062654368213,0.9924009143821667,0.9930531027423367,0.9904615441458162,0.9886044823034563,0.9944267360129924,0.9999999999999993,0.9914198696558447,0.9870528010686215,0.989966137627985
odpusť mi,0.9934648929770792,0.9881982266793145,0.994738918027118,0.9957615662410632,0.9957615662410632,0.9863167836093989,0.994738918027118,0.9957615662410632,0.9935604808566763,0.9944471333950891,0.9904732137235501,0.9946007013663989,0.9914107582214596,0.9830428457207213,0.9914687604685596,0.9920167849543168,0.9915889581081486,0.9915475952523546,0.9956223348397302,0.9918093021368287,0.9903114530604183,0.9940847055170285,0.9914198696558447,0.9999999999999992,0.9914379058870256,0.9961450658300226
ospravedlniť sa,0.9882528078854901,0.985141375646952,0.9902832418174272,0.9904669421157338,0.9904669421157338,0.9818140375448815,0.9902832418174272,0.9904669421157338,0.9890168945850235,0.9901658948726378,0.9873083299573108,0.9895036019613145,0.9861240888808173,0.980691819458277,0.9868057410853603,0.9882113185514259,0.986794734541266,0.9861556295194768,0.9919962503312165,0.9918325160994519,0.9918688980831086,0.9887031518908693,0.9870528010686215,0.9914379058870256,0.9999999999999996,0.9916050340097069
ospravedlňte ma,0.9922302657748612,0.9874071057386372,0.9939799499325316,0.994646295328925,0.994646295328925,0.984140325160855,0.9939799499325316,0.994646295328925,0.9924677258278121,0.9936583274876017,0.9891439966915829,0.9930313001237657,0.9903840215676014,0.9822947820713337,0.9898707058347154,0.9908526615382506,0.9904692217767997,0.9905407973803199,0.9952888513051085,0.9921527259640207,0.9900701591574996,0.9927215383695053,0.989966137627985,0.9961450658300226,0.9916050340097069,1.0000000000000002
