,დაფასება,დაფასება,მადლიერი,მადლიერება,მადლიერება,გმადლობ,მადლიერი,მადლიერება,დავალებული,ვალდებულება,ვალდებულება,ვალდებული,ვალდებულება,ვალი მაქვს,ვალში მყოფი,ბოდიშები,ბოდიში,უკაცრავად,მომიტევეთ,წუხილი,ბოდიში,ბოდიშის მთხოვნელი,ბოდიშის მოხდა
ვალდებულება,0.9867701866542047,0.9867701866542047,0.9855832285893641,0.9967311544285129,0.9967311544285129,0.9905093812550491,0.9855832285893641,0.9967311544285129,0.9891138454974234,0.9999999999999993,0.9999999999999993,0.9957894295260113,0.9999999999999993,0.9920001270521821,0.994965443939941,0.9953566786189607,0.9909540554790397,0.9941548096099794,0.9932051846303406,0.9929518516661504,0.9909540554790397,0.9873688378511123,0.9895818753063634
ვალდებული,0.9848078875778549,0.9848078875778549,0.9918867759959784,0.9957716124946513,0.9957716124946513,0.9939563355895461,0.9918867759959784,0.9957716124946513,0.9907350337134457,0.9957894295260113,0.9957894295260113,0.9999999999999997,0.9957894295260113,0.9946434991278811,0.9960156180439332,0.996595181180669,0.9937627493037791,0.9951542826742166,0.9948402527920522,0.9967968112413489,0.9937627493037791,0.991930814601113,0.9924382010683418
ვალდებულება,0.9867701866542047,0.9867701866542047,0.9855832285893641,0.9967311544285129,0.9967311544285129,0.9905093812550491,0.9855832285893641,0.9967311544285129,0.9891138454974234,0.9999999999999993,0.9999999999999993,0.9957894295260113,0.9999999999999993,0.9920001270521821,0.994965443939941,0.9953566786189607,0.9909540554790397,0.9941548096099794,0.9932051846303406,0.9929518516661504,0.9909540554790397,0.9873688378511123,0.9895818753063634
ვალი მაქვს,0.9808173201525278,0.9808173201525278,0.9878462171146591,0.9941593771412354,0.9941593771412354,0.9948522070934321,0.9878462171146591,0.9941593771412354,0.9858043203082258,0.9920001270521821,0.9920001270521821,0.9946434991278811,0.9920001270521821,0.9999999999999996,0.9932530992101509,0.993849313141842,0.9907725810224641,0.9946052172108596,0.9950539405013631,0.9920535196974059,0.9907725810224641,0.9891415573794108,0.9917195574510624
ვალში მყოფი,0.9842183273770544,0.9842183273770544,0.9890723741966436,0.99513073286159,0.99513073286159,0.992643707121996,0.9890723741966436,0.99513073286159,0.990725148439518,0.994965443939941,0.994965443939941,0.9960156180439332,0.994965443939941,0.9932530992101509,1.0,0.9955474183346292,0.9926563183600682,0.9950936665128407,0.9945831001082439,0.9938974360059399,0.9926563183600682,0.9907983953142856,0.991858839753257
ბოდიშები,0.984560474248813,0.984560474248813,0.9921067099300792,0.9965561124650714,0.9965561124650714,0.9937676111197684,0.9921067099300792,0.9965561124650714,0.98949138918636,0.9953566786189607,0.9953566786189607,0.996595181180669,0.9953566786189607,0.993849313141842,0.9955474183346292,0.9999999999999993,0.9957662112486582,0.9944454646531622,0.9942175826833674,0.9949293043132816,0.9957662112486582,0.9929335476766459,0.9943423760909819
ბოდიში,0.983933660692804,0.983933660692804,0.9901867023326411,0.9928325252260439,0.9928325252260439,0.9911405478240597,0.9901867023326411,0.9928325252260439,0.9888672874294911,0.9909540554790397,0.9909540554790397,0.9937627493037791,0.9909540554790397,0.9907725810224641,0.9926563183600682,0.9957662112486582,0.9999999999999996,0.9910655359970344,0.9909800424650078,0.9917214021951578,0.9999999999999996,0.9908871540919116,0.9915701013418845
უკაცრავად,0.9827016311177603,0.9827016311177603,0.9884384336367886,0.9956589494746445,0.9956589494746445,0.9929491121801114,0.9884384336367886,0.9956589494746445,0.9879282423451183,0.9941548096099794,0.9941548096099794,0.9951542826742166,0.9941548096099794,0.9946052172108596,0.9950936665128407,0.9944454646531622,0.9910655359970344,0.9999999999999989,0.994946139912777,0.9941316819825193,0.9910655359970344,0.9896283065317338,0.9919632820602116
მომიტევეთ,0.9837869150907291,0.9837869150907291,0.9873546252029316,0.9948055932862947,0.9948055932862947,0.9943863164898884,0.9873546252029316,0.9948055932862947,0.9866587029596542,0.9932051846303406,0.9932051846303406,0.9948402527920522,0.9932051846303406,0.9950539405013631,0.9945831001082439,0.9942175826833674,0.9909800424650078,0.994946139912777,0.9999999999999997,0.9930986646197839,0.9909800424650078,0.9882299865234264,0.9904359419106965
წუხილი,0.9825009994715803,0.9825009994715803,0.9928897127070081,0.9944598145387518,0.9944598145387518,0.992506070526821,0.9928897127070081,0.9944598145387518,0.9882921144292999,0.9929518516661504,0.9929518516661504,0.9967968112413489,0.9929518516661504,0.9920535196974059,0.9938974360059399,0.9949293043132816,0.9917214021951578,0.9941316819825193,0.9930986646197839,0.9999999999999994,0.9917214021951578,0.9917269045468697,0.9915260823103826
ბოდიში,0.983933660692804,0.983933660692804,0.9901867023326411,0.9928325252260439,0.9928325252260439,0.9911405478240597,0.9901867023326411,0.9928325252260439,0.9888672874294911,0.9909540554790397,0.9909540554790397,0.9937627493037791,0.9909540554790397,0.9907725810224641,0.9926563183600682,0.9957662112486582,0.9999999999999996,0.9910655359970344,0.9909800424650078,0.9917214021951578,0.9999999999999996,0.9908871540919117,0.9915701013418841
ბოდიშის მთხოვნელი,0.977971776260988,0.977971776260988,0.9965562959016365,0.9898702892169854,0.9898702892169854,0.9925046925480597,0.9965562959016365,0.9898702892169854,0.984724343480785,0.9873688378511123,0.9873688378511123,0.991930814601113,0.9873688378511123,0.9891415573794108,0.9907983953142856,0.9929335476766459,0.9908871540919116,0.9896283065317338,0.9882299865234264,0.9917269045468697,0.9908871540919117,0.9999999999999994,0.9946316195711054
ბოდიშის მოხდა,0.9804180332358546,0.9804180332358546,0.9930831671233992,0.993061845695648,0.993061845695648,0.9925309931205557,0.9930831671233992,0.993061845695648,0.9853626034284872,0.9895818753063634,0.9895818753063634,0.9924382010683418,0.9895818753063634,0.9917195574510624,0.991858839753257,0.9943423760909819,0.9915701013418845,0.9919632820602116,0.9904359419106965,0.9915260823103826,0.9915701013418841,0.9946316195711054,0.9999999999999993
