,ngapresiasi,apresiasi,syaukur,syaukur,syaukur,matur nuwun,matur nuwun,matur nuwun,utangan,kewajiban,kewajiban,kewajibané,kewajiban,utangan,duwé utang,utang-piutang,duwé utang,pangapunten,nyesel,ngapunten kula,nuwun sewu,nuwun sewu,nyuwun pangapunten,kang nyuwun pangapunten,pangapunten-pangapunten
kewajiban,0.9914845931846347,0.9862905967831196,0.9778205578568506,0.9778205578568506,0.9778205578568506,0.9897259291919323,0.9897259291919323,0.9897259291919323,0.9905593226051678,0.9999999999999997,0.9999999999999997,0.9938111944232921,0.9999999999999997,0.9905593226051678,0.9788907553332212,0.9909485924947983,0.9788907553332212,0.9877875398851702,0.9872898777256433,0.9889933840988336,0.989186370633562,0.989186370633562,0.987410755205483,0.987573137766577,0.9897143168355972
kewajibané,0.9936605734006586,0.9885414585416843,0.9787287411774634,0.9787287411774634,0.9787287411774634,0.991564593585778,0.991564593585778,0.991564593585778,0.9912617572509058,0.9938111944232921,0.9938111944232921,1.0,0.9938111944232921,0.9912617572509058,0.9809993993208289,0.9903770131718233,0.9809993993208278,0.9889105796103765,0.989460742625904,0.9908745633927517,0.9915218536300943,0.9915218536300943,0.9876349974264376,0.9895662973301911,0.9908575960202272
kewajiban,0.9914845931846347,0.9862905967831196,0.9778205578568506,0.9778205578568506,0.9778205578568506,0.9897259291919323,0.9897259291919323,0.9897259291919323,0.9905593226051678,0.9999999999999997,0.9999999999999997,0.9938111944232921,0.9999999999999997,0.9905593226051678,0.9788907553332212,0.9909485924947983,0.9788907553332212,0.9877875398851702,0.9872898777256433,0.9889933840988336,0.989186370633562,0.989186370633562,0.987410755205483,0.987573137766577,0.9897143168355972
utangan,0.9932467371285271,0.9915060892710963,0.9773837056503456,0.9773837056503456,0.9773837056503456,0.9921605319706163,0.9921605319706163,0.9921605319706163,0.9999999999999998,0.9905593226051678,0.9905593226051678,0.9912617572509058,0.9905593226051678,0.9999999999999998,0.9839316545175965,0.9942708928058079,0.9839316545175963,0.9888452165945701,0.992380088527241,0.9912404391907376,0.9898712446830138,0.9898712446830138,0.990031364741267,0.9917800328669151,0.9914620474872604
duwé utang,0.983567899326575,0.9812251863433873,0.9724582613523834,0.9724582613523834,0.9724582613523834,0.9849011728563782,0.9849011728563782,0.9849011728563782,0.9839316545175965,0.9788907553332212,0.9788907553332212,0.9809993993208289,0.9788907553332212,0.9839316545175965,0.9999999999999997,0.9824377404215477,0.9999999999999988,0.9827175323806555,0.9817069929078226,0.9833654152469166,0.9842543870490567,0.9842543870490567,0.9865717737070211,0.989064688877459,0.9847939751753307
utang-piutang,0.9929033527554912,0.9875981317757004,0.976404951279243,0.976404951279243,0.976404951279243,0.9909227635852144,0.9909227635852144,0.9909227635852144,0.9942708928058079,0.9909485924947983,0.9909485924947983,0.9903770131718233,0.9909485924947983,0.9942708928058079,0.9824377404215477,1.0000000000000004,0.9824377404215476,0.9881049639564098,0.9899962445594427,0.9907834663632746,0.9905330134002056,0.9905330134002056,0.9888176413595741,0.9899468939529668,0.9912588648363692
duwé utang,0.983567899326575,0.9812251863433873,0.9724582613523834,0.9724582613523834,0.9724582613523834,0.9849011728563782,0.9849011728563782,0.9849011728563782,0.9839316545175963,0.9788907553332212,0.9788907553332212,0.9809993993208278,0.9788907553332212,0.9839316545175963,0.9999999999999988,0.9824377404215476,0.9999999999999997,0.9827175323806535,0.9817069929078227,0.9833654152469172,0.9842543870490572,0.9842543870490572,0.986571773707021,0.9890646888774597,0.9847939751753307
pangapunten,0.991340401555314,0.9856936721618594,0.9780167990118921,0.9780167990118921,0.9780167990118921,0.992119420035704,0.992119420035704,0.992119420035704,0.9888452165945701,0.9877875398851702,0.9877875398851702,0.9889105796103765,0.9877875398851702,0.9888452165945701,0.9827175323806555,0.9881049639564098,0.9827175323806535,0.9999999999999988,0.9857135503814819,0.9907015631068143,0.9929448592392053,0.9929448592392053,0.996688637239671,0.9900636620297841,0.9976882249848408
nyesel,0.991883082685535,0.9894576959394796,0.9763927775083755,0.9763927775083755,0.9763927775083755,0.9899478636099759,0.9899478636099759,0.9899478636099759,0.992380088527241,0.9872898777256433,0.9872898777256433,0.989460742625904,0.9872898777256433,0.992380088527241,0.9817069929078226,0.9899962445594427,0.9817069929078227,0.9857135503814819,0.999999999999999,0.9899125640613113,0.9899937634159378,0.9899937634159378,0.9867498581219202,0.9907476193845998,0.9886430875031516
ngapunten kula,0.9941828745324883,0.9894157073283161,0.9779226248128112,0.9779226248128112,0.9779226248128112,0.9921678680906849,0.9921678680906849,0.9921678680906849,0.9912404391907376,0.9889933840988336,0.9889933840988336,0.9908745633927517,0.9889933840988336,0.9912404391907376,0.9833654152469166,0.9907834663632746,0.9833654152469172,0.9907015631068143,0.9899125640613113,0.9999999999999996,0.992896436760147,0.992896436760147,0.9912550809439972,0.9903527279293881,0.9923212525276255
nuwun sewu,0.9943085885375584,0.9889146140913468,0.9789769135785209,0.9789769135785209,0.9789769135785209,0.9951557476661081,0.9951557476661081,0.9951557476661081,0.9898712446830138,0.989186370633562,0.989186370633562,0.9915218536300943,0.989186370633562,0.9898712446830138,0.9842543870490567,0.9905330134002056,0.9842543870490572,0.9929448592392053,0.9899937634159378,0.992896436760147,0.9999999999999994,0.9999999999999994,0.9930806574633779,0.9919986043419056,0.9945960779440591
nuwun sewu,0.9943085885375584,0.9889146140913468,0.9789769135785209,0.9789769135785209,0.9789769135785209,0.9951557476661081,0.9951557476661081,0.9951557476661081,0.9898712446830138,0.989186370633562,0.989186370633562,0.9915218536300943,0.989186370633562,0.9898712446830138,0.9842543870490567,0.9905330134002056,0.9842543870490572,0.9929448592392053,0.9899937634159378,0.992896436760147,0.9999999999999994,0.9999999999999994,0.9930806574633779,0.9919986043419056,0.9945960779440591
nyuwun pangapunten,0.9912550307442416,0.9884501421618797,0.9778483942050823,0.9778483942050823,0.9778483942050823,0.993087103683452,0.993087103683452,0.993087103683452,0.990031364741267,0.987410755205483,0.987410755205483,0.9876349974264376,0.987410755205483,0.990031364741267,0.9865717737070211,0.9888176413595741,0.986571773707021,0.996688637239671,0.9867498581219202,0.9912550809439972,0.9930806574633779,0.9930806574633779,1.0,0.9937072682652506,0.9965830283545737
kang nyuwun pangapunten,0.9927355047167109,0.9912934245514538,0.9779826492076898,0.9779826492076898,0.9779826492076898,0.9925546445778677,0.9925546445778677,0.9925546445778677,0.9917800328669151,0.987573137766577,0.987573137766577,0.9895662973301911,0.987573137766577,0.9917800328669151,0.989064688877459,0.9899468939529668,0.9890646888774597,0.9900636620297841,0.9907476193845998,0.9903527279293881,0.9919986043419056,0.9919986043419056,0.9937072682652506,0.9999999999999998,0.992932405461538
pangapunten-pangapunten,0.9933280219494639,0.9882439155689486,0.9801654450580193,0.9801654450580193,0.9801654450580193,0.9942545216554837,0.9942545216554837,0.9942545216554837,0.9914620474872604,0.9897143168355972,0.9897143168355972,0.9908575960202272,0.9897143168355972,0.9914620474872604,0.9847939751753307,0.9912588648363692,0.9847939751753307,0.9976882249848408,0.9886430875031516,0.9923212525276255,0.9945960779440591,0.9945960779440591,0.9965830283545737,0.992932405461538,0.9999999999999998
