,appreciate,appreciation,gratitude,gratefu',gratefu'ness,gratitude,thankfu'ness,thank,thankfu',thankfu'ness,gie due credit,gie thanks,indebit,indebitness,obleegation,obleeged,obleegement,awe,awin,apologetic,apologies,apologeeze,apologie,sorrowfu'ness,sorry,pardone me,scuse me
gie due credit,0.9925693157826654,0.9930316185689867,0.9878983052541706,0.9900447228619947,0.9900403117161867,0.9878983052541706,0.9912327055027704,0.9868288627152312,0.9872619250571543,0.9912327055027707,1.0,0.995156058169658,0.9915628473848379,0.9882933841935129,0.9930113913604572,0.9915686082203626,0.9910835315185692,0.9907886704061335,0.9900795139215701,0.9905615906823946,0.992257752299452,0.9918349702458913,0.9929882050570095,0.9904259514781867,0.9901099694256419,0.9901763319476443,0.9898777385685597
gie thanks,0.9899379887470643,0.9895203604617169,0.9860414951436692,0.9884717140422302,0.9883877738643971,0.9860414951436692,0.9903360707021047,0.9868202327901188,0.9860791859504769,0.9903360707021039,0.995156058169658,0.9999999999999999,0.9888343245864394,0.9853293255480409,0.9893519010847269,0.9912559817943647,0.9883068418012417,0.9883859761611369,0.9879521245171584,0.9868264621303643,0.9885869929697977,0.9884649436349022,0.9896214754612995,0.9895793454296697,0.9896756766237131,0.9885510043521178,0.9880393664522996
indebit,0.9931454634984225,0.9934894462080135,0.9889224094392619,0.9890728781148104,0.989998721493177,0.9889224094392619,0.9906098753094832,0.9860181479602473,0.9855952361382849,0.9906098753094827,0.9915628473848379,0.9888343245864394,0.9999999999999988,0.9929987772769522,0.9939917596829786,0.9922519463048913,0.9927458312721134,0.9899073455872667,0.9881786744966968,0.9924774573933126,0.9922456431058336,0.9912581717546164,0.9931767732086768,0.9907062067624851,0.9886426540950876,0.9880673892886613,0.989460407395833
indebitness,0.9914970672225047,0.9926730500638447,0.990524734031938,0.9866425396614403,0.9890539248411155,0.990524734031938,0.9891432316498749,0.9862788040376211,0.9834456726093722,0.9891432316498739,0.9882933841935129,0.9853293255480409,0.9929987772769522,0.9999999999999998,0.9924794093209974,0.9891740226377,0.9929039477664038,0.9858400910035245,0.9848805238098043,0.9915770094479093,0.9909134254330514,0.9890532363798378,0.9901849656277967,0.9903122518629144,0.9868305173328485,0.9850836167734681,0.9854464793348312
obleegation,0.9932566529307751,0.995278997375588,0.9891629960252544,0.9910973138214287,0.9931667434989133,0.9891629960252544,0.9925114547051638,0.9865423776355104,0.9877164012600456,0.9925114547051643,0.9930113913604572,0.9893519010847269,0.9939917596829786,0.9924794093209974,1.0,0.9940791863116667,0.99659985147469,0.991053371342036,0.9895655240389571,0.993982183905976,0.9947598374696399,0.994265694745362,0.9947166382018789,0.9924172488209986,0.9880344538069336,0.9902069099451091,0.9914186388853954
obleeged,0.9931970210626639,0.9935477800540915,0.9880050173847946,0.9917149513694584,0.9919821016154156,0.9880050173847946,0.9928090528958258,0.9866215454744105,0.9882833466990733,0.9928090528958239,0.9915686082203626,0.9912559817943647,0.9922519463048913,0.9891740226377,0.9940791863116667,0.999999999999999,0.9949692115134823,0.9912873672507574,0.9890646994449914,0.9918227003271969,0.9935380097656831,0.992605909914081,0.9940607311013822,0.9927799756059527,0.9887493696962216,0.9905513391948079,0.9920593029702443
obleegement,0.9937245973538789,0.9963436217584943,0.9893332211621627,0.991959060246177,0.9931789260211746,0.9893332211621627,0.9928355475457098,0.9871336079229099,0.9885916917478051,0.9928355475457098,0.9910835315185692,0.9883068418012417,0.9927458312721134,0.9929039477664038,0.99659985147469,0.9949692115134823,0.9999999999999994,0.9909926419513772,0.9896032953171529,0.9946909307535337,0.9954757256675688,0.9941670507544149,0.9947910868274853,0.992645593642945,0.9876346372167912,0.9890990956646619,0.9910470191802463
awe,0.989427004752002,0.9922582630539927,0.9836771139295749,0.9911911836560062,0.9901012266217398,0.9836771139295749,0.9913621702831931,0.9823957943289069,0.9880797152476577,0.9913621702831931,0.9907886704061335,0.9883859761611369,0.9899073455872667,0.9858400910035245,0.991053371342036,0.9912873672507574,0.9909926419513772,0.9999999999999999,0.9966107981791011,0.9908160214772291,0.9919093307944644,0.9922014620558064,0.9925329081914598,0.9881369770236964,0.9860404715316459,0.9884837652923664,0.9912278170887103
awin,0.9876566186268677,0.9907685327528482,0.9822605331474001,0.9888732027022556,0.9892668635171936,0.9822605331474001,0.9894174539199865,0.9811047785184165,0.9854156515253268,0.9894174539199865,0.9900795139215701,0.9879521245171584,0.9881786744966968,0.9848805238098043,0.9895655240389571,0.9890646994449914,0.9896032953171529,0.9966107981791011,0.9999999999999993,0.9903428959415496,0.9903531651942378,0.9906322663020132,0.9903906394197702,0.9874843095932767,0.9845754367342127,0.9863553940992553,0.988584616955257
apologetic,0.9932370083981895,0.9950294843046491,0.9874770997547492,0.9902333998683335,0.9923326039537783,0.9874770997547492,0.9911901311050799,0.9837452333069119,0.9861703361681171,0.9911901311050799,0.9905615906823946,0.9868264621303643,0.9924774573933126,0.9915770094479093,0.993982183905976,0.9918227003271969,0.9946909307535337,0.9908160214772291,0.9903428959415496,0.9999999999999998,0.9944435534739973,0.9945464875857247,0.9942633990620606,0.9911788972576264,0.9865422102386999,0.9872822647466235,0.990030816633392
apologies,0.9939669822983326,0.9960925131387522,0.9892173130053893,0.9911983540981114,0.9919629403564846,0.9892173130053893,0.9922352336261138,0.9853419689826632,0.9880537031030879,0.9922352336261138,0.992257752299452,0.9885869929697977,0.9922456431058336,0.9909134254330514,0.9947598374696399,0.9935380097656831,0.9954757256675688,0.9919093307944644,0.9903531651942378,0.9944435534739973,0.9999999999999999,0.9961952499926074,0.997732831128131,0.9917607600176234,0.9887710520739484,0.990097940419113,0.9911668185515686
apologeeze,0.9915441326979268,0.9941262904759677,0.9864067575332671,0.9901080939657181,0.991288779179377,0.9864067575332671,0.9911087273442997,0.9836979683680527,0.9862683238628083,0.9911087273442997,0.9918349702458913,0.9884649436349022,0.9912581717546164,0.9890532363798378,0.994265694745362,0.992605909914081,0.9941670507544149,0.9922014620558064,0.9906322663020132,0.9945464875857247,0.9961952499926074,0.9999999999999997,0.9961066843413304,0.9901136086443698,0.9861773686115471,0.9903098507336626,0.9909918656517622
apologie,0.9940733888116686,0.9959102101638491,0.9895496372047714,0.9911031397019451,0.9914466651014363,0.9895496372047714,0.9921912359092029,0.9852711000031895,0.988352190206858,0.9921912359092029,0.9929882050570095,0.9896214754612995,0.9931767732086768,0.9901849656277967,0.9947166382018789,0.9940607311013822,0.9947910868274853,0.9925329081914598,0.9903906394197702,0.9942633990620606,0.997732831128131,0.9961066843413304,0.9999999999999996,0.991513381453698,0.9897395332500611,0.9903549769969107,0.9913851283856765
sorrowfu'ness,0.992788204806035,0.9931659017455551,0.9883067591545686,0.992729797516183,0.997443782348755,0.9883067591545686,0.9959591297619088,0.9864288475028208,0.9902475903131742,0.9959591297619088,0.9904259514781867,0.9895793454296697,0.9907062067624851,0.9903122518629144,0.9924172488209986,0.9927799756059527,0.992645593642945,0.9881369770236964,0.9874843095932767,0.9911788972576264,0.9917607600176234,0.9901136086443698,0.991513381453698,0.9999999999999998,0.989577399620916,0.9882954268362367,0.990034638673452
sorry,0.9918884765764596,0.9900852545817638,0.9882796612565468,0.9887132809893922,0.9884068248625405,0.9882796612565468,0.9910270937624346,0.9891058380825674,0.9884037269904412,0.9910270937624346,0.9901099694256419,0.9896756766237131,0.9886426540950876,0.9868305173328485,0.9880344538069336,0.9887493696962216,0.9876346372167912,0.9860404715316459,0.9845754367342127,0.9865422102386999,0.9887710520739484,0.9861773686115471,0.9897395332500611,0.989577399620916,0.9999999999999996,0.9873117184344031,0.9883891087091446
pardone me,0.9898327655965298,0.9894531103485401,0.9851199589047053,0.9875796455958074,0.9888330910915867,0.9851199589047053,0.9895131717672161,0.9841481542015413,0.9852414891897581,0.9895131717672161,0.9901763319476443,0.9885510043521178,0.9880673892886613,0.9850836167734681,0.9902069099451091,0.9905513391948079,0.9890990956646619,0.9884837652923664,0.9863553940992553,0.9872822647466235,0.990097940419113,0.9903098507336626,0.9903549769969107,0.9882954268362367,0.9873117184344031,0.9999999999999996,0.9942273242678749
scuse me,0.9916115890063646,0.9917170777889261,0.9858177312123584,0.9915065253975638,0.9918745098656325,0.9858177312123584,0.9927038073517948,0.9851110783725039,0.9890423082231947,0.9927038073517948,0.9898777385685597,0.9880393664522996,0.989460407395833,0.9854464793348312,0.9914186388853954,0.9920593029702443,0.9910470191802463,0.9912278170887103,0.988584616955257,0.990030816633392,0.9911668185515686,0.9909918656517622,0.9913851283856765,0.990034638673452,0.9883891087091446,0.9942273242678749,1.0000000000000002
