,menghargai,apresiasi,bersyukur,bersyukur,rasa syukur,rasa syukur,terima kasih,rasa terima kasih,berhutang,kewajiban,terpaksa,wajib,kewajiban,berhutang,hutang piutang,hutang yang belum dibayar,maaf,permisi,penyesalan,maaf,bersikap menyesal,maafkan saya,meminta maaf,permintaan maaf,permintaan maaf
terpaksa,0.9860373226440287,0.985875396741427,0.9845074689026568,0.9845074689026568,0.9873845253145688,0.9873845253145688,0.9885823295835529,0.9868555085329519,0.9875788271883081,0.982299604039347,1.0,0.9758615866752572,0.982299604039347,0.9875788271883081,0.9708961458820876,0.9886198207668473,0.9836537797153968,0.9861873719639622,0.9805978344989305,0.9836537797153968,0.984417735889806,0.9871719918311773,0.9871357496921469,0.983329037634659,0.983329037634659
wajib,0.9821833889322953,0.9800471629141858,0.981472583399084,0.981472583399084,0.9807978718548128,0.9807978718548128,0.9823709105493662,0.982516014996057,0.9810730104065921,0.9797740713028444,0.9758615866752572,1.0000000000000002,0.9797740713028444,0.9810730104065921,0.9727679240626207,0.9783917122187518,0.9832727633680538,0.980842578401176,0.9802076532319799,0.9832727633680538,0.9826692889284392,0.9775125466469371,0.9789852284009483,0.9811598932115235,0.9811598932115235
kewajiban,0.9902473718857998,0.9862905967831196,0.9891237500926771,0.9891237500926771,0.9891356576523961,0.9891356576523961,0.9896348490827018,0.9895898865620977,0.9879059229401909,0.9999999999999997,0.982299604039347,0.9797740713028444,0.9999999999999997,0.9879059229401909,0.9801404042128539,0.9868364907605363,0.9908736625205223,0.9891030367015184,0.9876875020914208,0.9908736625205223,0.9909312952535313,0.9844046237417868,0.9873279074152638,0.9915159135593901,0.9915159135593901
berhutang,0.9904834365479946,0.98776340385702,0.993631405273835,0.993631405273835,0.9924107933389237,0.9924107933389237,0.9916969762800671,0.9924445003449286,0.9999999999999993,0.9879059229401909,0.9875788271883081,0.9810730104065921,0.9879059229401909,0.9999999999999993,0.9857108565686659,0.9912828347341427,0.9893311626172191,0.9893429265931113,0.9891320190047499,0.9893311626172191,0.9923102629875633,0.9895255461805823,0.99026210563455,0.9899503275016243,0.9899503275016243
hutang piutang,0.9806352138897132,0.9736716081597646,0.982865446260505,0.982865446260505,0.9813582027752739,0.9813582027752739,0.9799789407222346,0.9822379974646397,0.9857108565686659,0.9801404042128539,0.9708961458820876,0.9727679240626207,0.9801404042128539,0.9857108565686659,1.0000000000000002,0.9800683735610739,0.98034771718952,0.9781843906304577,0.9831743272499736,0.98034771718952,0.9831345408490201,0.9766095186175533,0.9773290927788776,0.9823873484829626,0.9823873484829626
hutang yang belum dibayar,0.988909315850135,0.9900420581495879,0.9892726059194851,0.9892726059194851,0.9933593376352494,0.9933593376352494,0.9913461084467137,0.991987891122918,0.9912828347341427,0.9868364907605363,0.9886198207668473,0.9783917122187518,0.9868364907605363,0.9912828347341427,0.9800683735610739,0.9999999999999997,0.9883191221629049,0.9919561541169555,0.9866214400867843,0.9883191221629049,0.9910948741863144,0.9918173466672409,0.9948574563232435,0.9896503483536165,0.9896503483536165
maaf,0.993426199372648,0.9904321211606665,0.9902920276768767,0.9902920276768767,0.9923236874585759,0.9923236874585759,0.9930581072478974,0.9937225653529019,0.9893311626172191,0.9908736625205223,0.9836537797153968,0.9832727633680538,0.9908736625205223,0.9893311626172191,0.98034771718952,0.9883191221629049,0.999999999999999,0.9912646102787676,0.9875832689897093,0.999999999999999,0.9918424496868269,0.9882581525648765,0.9900757161729314,0.9951910603447292,0.9951910603447298
permisi,0.9918579692054555,0.9944825452212176,0.9900307589739961,0.9900307589739961,0.9926842134805487,0.9926842134805487,0.9936561882904176,0.993775455224238,0.9893429265931113,0.9891030367015184,0.9861873719639622,0.980842578401176,0.9891030367015184,0.9893429265931113,0.9781843906304577,0.9919561541169555,0.9912646102787676,0.9999999999999994,0.9873931516892928,0.9912646102787676,0.9914999706220615,0.9891475083438339,0.9912612460364204,0.9924011107964542,0.9924011107964545
penyesalan,0.987801610019031,0.9845328792509923,0.9898921827165832,0.9898921827165832,0.989784087354164,0.989784087354164,0.988944446644893,0.989348101027929,0.9891320190047499,0.9876875020914208,0.9805978344989305,0.9802076532319799,0.9876875020914208,0.9891320190047499,0.9831743272499736,0.9866214400867843,0.9875832689897093,0.9873931516892928,1.0,0.9875832689897093,0.9923538121804074,0.9861938344161872,0.986892053978584,0.9899080138256406,0.9899080138256402
maaf,0.993426199372648,0.9904321211606665,0.9902920276768767,0.9902920276768767,0.9923236874585759,0.9923236874585759,0.9930581072478974,0.9937225653529019,0.9893311626172191,0.9908736625205223,0.9836537797153968,0.9832727633680538,0.9908736625205223,0.9893311626172191,0.98034771718952,0.9883191221629049,0.999999999999999,0.9912646102787676,0.9875832689897093,0.999999999999999,0.9918424496868269,0.9882581525648765,0.9900757161729314,0.9951910603447292,0.9951910603447298
bersikap menyesal,0.9922630487414906,0.9896490130469268,0.9942826292678424,0.9942826292678424,0.9946916020176846,0.9946916020176846,0.9938914436076284,0.9945807638819059,0.9923102629875633,0.9909312952535313,0.984417735889806,0.9826692889284392,0.9909312952535313,0.9923102629875633,0.9831345408490201,0.9910948741863144,0.9918424496868269,0.9914999706220615,0.9923538121804074,0.9918424496868269,1.0,0.9912795562408776,0.9914817675956263,0.9931932613341186,0.993193261334118
maafkan saya,0.9890213611767101,0.9915771071191317,0.9898397811942061,0.9898397811942061,0.9942647904728419,0.9942647904728419,0.9908046153870326,0.9913855526405114,0.9895255461805823,0.9844046237417868,0.9871719918311773,0.9775125466469371,0.9844046237417868,0.9895255461805823,0.9766095186175533,0.9918173466672409,0.9882581525648765,0.9891475083438339,0.9861938344161872,0.9882581525648765,0.9912795562408776,1.0000000000000002,0.9920685366359294,0.9887242124718492,0.9887242124718496
meminta maaf,0.9883566787567359,0.9900102193283438,0.9882776702707933,0.9882776702707933,0.9925832745970881,0.9925832745970881,0.9916408063124982,0.9914886540035106,0.99026210563455,0.9873279074152638,0.9871357496921469,0.9789852284009483,0.9873279074152638,0.99026210563455,0.9773290927788776,0.9948574563232435,0.9900757161729314,0.9912612460364204,0.986892053978584,0.9900757161729314,0.9914817675956263,0.9920685366359294,0.9999999999999997,0.9904356770639546,0.9904356770639549
permintaan maaf,0.9930162256920232,0.9896157083971078,0.9912634723508944,0.9912634723508944,0.994099858897684,0.994099858897684,0.9938960814590233,0.9947817924663778,0.9899503275016243,0.9915159135593901,0.983329037634659,0.9811598932115235,0.9915159135593901,0.9899503275016243,0.9823873484829626,0.9896503483536165,0.9951910603447292,0.9924011107964542,0.9899080138256406,0.9951910603447292,0.9931932613341186,0.9887242124718492,0.9904356770639546,0.9999999999999997,0.999999999999999
permintaan maaf,0.9930162256920232,0.9896157083971078,0.9912634723508944,0.9912634723508944,0.994099858897684,0.994099858897684,0.9938960814590233,0.9947817924663778,0.9899503275016243,0.9915159135593901,0.983329037634659,0.9811598932115235,0.9915159135593901,0.9899503275016243,0.9823873484829626,0.9896503483536165,0.9951910603447298,0.9924011107964545,0.9899080138256402,0.9951910603447298,0.993193261334118,0.9887242124718496,0.9904356770639549,0.999999999999999,0.9999999999999997
