,aprecia,apreciere,recunoscătoare,recunoscător,recunoștință,recunoștință,mulțumesc,recunoscătoare,recunoscător,recunoștință,îndatorat,îndatorată,îndatorare,obligație,obligat,obligată,obligatoriu,obligație,datorat,datorie,a datora,regretabil,scuzabil,scuze,scuză,regret,scuze,a-și cere scuze,iertați-mă,scuzați-mă
îndatorat,0.9924526324280447,0.9920532581066321,0.9880278498324288,0.9865160237337398,0.9907249786232836,0.9907249786232836,0.9912282056075743,0.9880278498324288,0.9865160237337389,0.9907249786232838,0.9999999999999997,0.9974113831681211,0.9958233448469459,0.9913767079567212,0.9916612859860244,0.99080641586588,0.9929964211044429,0.9913767079567213,0.9926383832774739,0.9951819612826504,0.9904791498999205,0.9884511370064571,0.9933415320370165,0.9913356378847094,0.9929164088551456,0.9914310702833936,0.9913356378847094,0.9921343898204359,0.9877990089688051,0.9911397272611665
îndatorată,0.9921755616215119,0.9917784786615705,0.9912347591044317,0.9871162128297757,0.9920973106276955,0.9920973106276955,0.9912038274003416,0.9912347591044317,0.987116212829775,0.9920973106276966,0.9974113831681211,0.9999999999999992,0.9976030379900889,0.9904089600779135,0.9910534494798181,0.9917125212510063,0.9937333216648754,0.9904089600779136,0.9915926206899195,0.9945572899929388,0.9901198153965015,0.9883718025941198,0.9936747581379206,0.9925082190520237,0.9938624244421526,0.990530922261384,0.9925082190520237,0.9924125380198845,0.986813697802179,0.9905992770875655
îndatorare,0.9909198297254832,0.9906209358578454,0.9914441912756544,0.9872324078463787,0.9903931781425694,0.9903931781425694,0.991481658139817,0.9914441912756544,0.9872324078463779,0.9903931781425691,0.9958233448469459,0.9976030379900889,0.9999999999999998,0.9900463360481424,0.990470476021157,0.9903866593235705,0.992838203911003,0.990046336048142,0.9915537142562427,0.9935192637428922,0.9883097148160068,0.9889317136054839,0.9925093171133613,0.990893620864203,0.9920754006394198,0.99047086825,0.990893620864203,0.9925057817582089,0.9868553662875511,0.9895023106723089
obligație,0.9911501063313076,0.9911690890219198,0.9871476034458894,0.9850218510507688,0.9892642460487002,0.9892642460487002,0.9865667120225948,0.9871476034458894,0.9850218510507693,0.9892642460487012,0.9913767079567212,0.9904089600779135,0.9900463360481424,0.9999999999999997,0.9917820240216757,0.9921651405695863,0.9938608273684237,0.9999999999999997,0.9908436675319193,0.9947262387284569,0.9895774276388992,0.9868579793856207,0.9916459523436868,0.9899835116366105,0.9911998507676135,0.9900007362069844,0.9899835116366105,0.9891934821765278,0.9836176871482755,0.9890195842039362
obligat,0.9928313340847185,0.9932519174854371,0.9873395556261755,0.9872904139412519,0.9920142003622663,0.9920142003622663,0.9897180798602505,0.9873395556261755,0.9872904139412501,0.9920142003622664,0.9916612859860244,0.9910534494798181,0.990470476021157,0.9917820240216757,1.0,0.9971097152973997,0.9927856621477694,0.9917820240216758,0.9910476006167809,0.9929415145383694,0.9904270569248493,0.9865312928503731,0.9918490612113269,0.9917620688176605,0.9931198596742141,0.9920861667854154,0.9917620688176605,0.9914614762755192,0.985282979656994,0.9917383047192496
obligată,0.993816581537552,0.9939165103147172,0.9885640100844746,0.9887441055936075,0.9931353587007075,0.9931353587007075,0.9890570970776584,0.9885640100844746,0.9887441055936076,0.9931353587007061,0.99080641586588,0.9917125212510063,0.9903866593235705,0.9921651405695863,0.9971097152973997,0.9999999999999993,0.9937136192883258,0.9921651405695857,0.990914093659779,0.993461275392839,0.991748366642725,0.9879558920191525,0.9926246901982851,0.9924539575493772,0.9943898979448398,0.9915530879457212,0.9924539575493772,0.9915117898519121,0.9855557583376366,0.9920197810239082
obligatoriu,0.9926542141903065,0.9925816791047519,0.9919455535971344,0.9889483844329721,0.9927409791218377,0.9927409791218377,0.9912246592925709,0.9919455535971344,0.9889483844329721,0.9927409791218377,0.9929964211044429,0.9937333216648754,0.992838203911003,0.9938608273684237,0.9927856621477694,0.9937136192883258,0.9999999999999988,0.9938608273684233,0.990860190761692,0.9937186516369091,0.9906191602527287,0.9882402545433085,0.992851932532208,0.9917055279386344,0.9935719290982229,0.9910669765234174,0.9917055279386342,0.9916880986578775,0.9866482097414194,0.9913645963999332
obligație,0.9911501063313076,0.9911690890219198,0.9871476034458894,0.9850218510507688,0.9892642460487002,0.9892642460487002,0.9865667120225948,0.9871476034458894,0.9850218510507688,0.9892642460487002,0.9913767079567213,0.9904089600779136,0.990046336048142,0.9999999999999997,0.9917820240216758,0.9921651405695857,0.9938608273684233,0.9999999999999997,0.9908436675319199,0.9947262387284576,0.9895774276388993,0.9868579793856206,0.9916459523436865,0.9899835116366108,0.9911998507676135,0.9900007362069844,0.9899835116366105,0.9891934821765278,0.9836176871482755,0.9890195842039362
datorat,0.9911927463770349,0.991004084981793,0.9858765287407824,0.9857791214416767,0.9903120603432345,0.9903120603432345,0.9882570525229082,0.9858765287407824,0.9857791214416767,0.9903120603432345,0.9926383832774739,0.9915926206899195,0.9915537142562427,0.9908436675319193,0.9910476006167809,0.990914093659779,0.990860190761692,0.9908436675319199,0.9999999999999998,0.9952726327596509,0.9913070106082517,0.9890914542951491,0.9931197933553396,0.990132132807958,0.9921490527533797,0.9909314028179939,0.9901321328079583,0.9897587132761712,0.9868121352563578,0.9895167608162939
datorie,0.994572653197612,0.9948590772028444,0.9878128799790179,0.9865650047771506,0.9918440514634131,0.9918440514634131,0.9896318593199783,0.9878128799790179,0.9865650047771506,0.9918440514634131,0.9951819612826504,0.9945572899929388,0.9935192637428922,0.9947262387284569,0.9929415145383694,0.993461275392839,0.9937186516369091,0.9947262387284576,0.9952726327596509,1.0,0.993936006572014,0.9896006924866345,0.9956431103435468,0.9929813574035921,0.9951992160745834,0.9932524881722445,0.9929813574035922,0.9922165043824431,0.9868167866836858,0.9926695584259155
a datora,0.9921667139787885,0.9928628416510572,0.9828301867492342,0.9830646953789277,0.9904827989520019,0.9904827989520019,0.9873957469299587,0.9828301867492342,0.9830646953789277,0.9904827989520019,0.9904791498999205,0.9901198153965015,0.9883097148160068,0.9895774276388992,0.9904270569248493,0.991748366642725,0.9906191602527287,0.9895774276388993,0.9913070106082517,0.993936006572014,0.9999999999999997,0.9844238874012637,0.9921457007809251,0.9926743293992255,0.9941245381652994,0.9897966878471104,0.9926743293992261,0.991936343340534,0.9846081292152964,0.9921252868875877
regretabil,0.9873584785325611,0.986696448659386,0.9855198438923892,0.9822088470480793,0.984606776692243,0.984606776692243,0.9838759533552032,0.9855198438923892,0.9822088470480793,0.984606776692243,0.9884511370064571,0.9883718025941198,0.9889317136054839,0.9868579793856207,0.9865312928503731,0.9879558920191525,0.9882402545433085,0.9868579793856206,0.9890914542951491,0.9896006924866345,0.9844238874012637,1.0000000000000009,0.990284111860262,0.9855099611369956,0.9881989942964887,0.9874889012994317,0.9855099611369955,0.984815159767514,0.9817242542425456,0.9851558772330695
scuzabil,0.9938549914393876,0.9938529276464305,0.9879114996026181,0.9866046884348832,0.9915483861509524,0.9915483861509524,0.9886252238854841,0.9879114996026181,0.9866046884348832,0.9915483861509524,0.9933415320370165,0.9936747581379206,0.9925093171133613,0.9916459523436868,0.9918490612113269,0.9926246901982851,0.992851932532208,0.9916459523436865,0.9931197933553396,0.9956431103435468,0.9921457007809251,0.990284111860262,0.999999999999999,0.995532821083389,0.9972130583336848,0.9922270763140179,0.9955328210833886,0.9918170281586562,0.9862851345814709,0.9935788510503262
scuze,0.9935974014044922,0.993416297818917,0.9860439246268462,0.9844001693494653,0.9916031568956174,0.9916031568956174,0.9882914222698332,0.9860439246268462,0.9844001693494653,0.9916031568956174,0.9913356378847094,0.9925082190520237,0.990893620864203,0.9899835116366105,0.9917620688176605,0.9924539575493772,0.9917055279386344,0.9899835116366108,0.990132132807958,0.9929813574035921,0.9926743293992255,0.9855099611369956,0.995532821083389,0.9999999999999997,0.9979216962147823,0.9905160914954189,0.9999999999999999,0.9921857524445536,0.9851912349810736,0.9932725046902263
scuză,0.9955312314342577,0.9950950471111956,0.9877115573321559,0.9869956966919013,0.9934754708591355,0.9934754708591355,0.9893406533541117,0.9877115573321559,0.9869956966919013,0.9934754708591355,0.9929164088551456,0.9938624244421526,0.9920754006394198,0.9911998507676135,0.9931198596742141,0.9943898979448398,0.9935719290982229,0.9911998507676135,0.9921490527533797,0.9951992160745834,0.9941245381652994,0.9881989942964887,0.9972130583336848,0.9979216962147823,0.9999999999999991,0.9920606721467673,0.9979216962147817,0.9931425767224639,0.9866652366401536,0.9944623399863965
regret,0.9922925703026578,0.9925689700012192,0.9852389664764379,0.9846581441253555,0.9897210359417102,0.9897210359417102,0.9877549036968792,0.9852389664764379,0.9846581441253555,0.9897210359417102,0.9914310702833936,0.990530922261384,0.99047086825,0.9900007362069844,0.9920861667854154,0.9915530879457212,0.9910669765234174,0.9900007362069844,0.9909314028179939,0.9932524881722445,0.9897966878471104,0.9874889012994317,0.9922270763140179,0.9905160914954189,0.9920606721467673,1.0,0.9905160914954194,0.9908924116624453,0.9857509614807436,0.9903300183735233
scuze,0.9935974014044922,0.993416297818917,0.9860439246268462,0.9844001693494653,0.9916031568956174,0.9916031568956174,0.9882914222698332,0.9860439246268462,0.9844001693494653,0.9916031568956174,0.9913356378847094,0.9925082190520237,0.990893620864203,0.9899835116366105,0.9917620688176605,0.9924539575493772,0.9917055279386342,0.9899835116366105,0.9901321328079583,0.9929813574035922,0.9926743293992261,0.9855099611369955,0.9955328210833886,0.9999999999999999,0.9979216962147817,0.9905160914954194,0.9999999999999997,0.9921857524445543,0.9851912349810736,0.9932725046902262
a-și cere scuze,0.9944966606380855,0.9953947765378265,0.9870057368336503,0.984978228138619,0.9914696726746486,0.9914696726746486,0.9953376842748619,0.9870057368336503,0.984978228138619,0.9914696726746486,0.9921343898204359,0.9924125380198845,0.9925057817582089,0.9891934821765278,0.9914614762755192,0.9915117898519121,0.9916880986578775,0.9891934821765278,0.9897587132761712,0.9922165043824431,0.991936343340534,0.984815159767514,0.9918170281586562,0.9921857524445536,0.9931425767224639,0.9908924116624453,0.9921857524445543,0.9999999999999997,0.9896133296565451,0.9950818939925419
iertați-mă,0.988238485883314,0.9888920120656907,0.9809440385610169,0.9799965984525102,0.9855117827516336,0.9855117827516336,0.9888296349497234,0.9809440385610169,0.9799965984525102,0.9855117827516336,0.9877990089688051,0.986813697802179,0.9868553662875511,0.9836176871482755,0.985282979656994,0.9855557583376366,0.9866482097414194,0.9836176871482755,0.9868121352563578,0.9868167866836858,0.9846081292152964,0.9817242542425456,0.9862851345814709,0.9851912349810736,0.9866652366401536,0.9857509614807436,0.9851912349810736,0.9896133296565451,0.9999999999999997,0.9892783140292468
scuzați-mă,0.9943596495341928,0.995350129414157,0.9846011688525358,0.9845949300577197,0.9912507678480297,0.9912507678480297,0.9922554620154843,0.9846011688525358,0.9845949300577197,0.9912507678480297,0.9911397272611665,0.9905992770875655,0.9895023106723089,0.9890195842039362,0.9917383047192496,0.9920197810239082,0.9913645963999332,0.9890195842039362,0.9895167608162939,0.9926695584259155,0.9921252868875877,0.9851558772330695,0.9935788510503262,0.9932725046902263,0.9944623399863965,0.9903300183735233,0.9932725046902262,0.9950818939925419,0.9892783140292468,0.9999999999999998
