,تعریف,شکرگزاری,شکرگزاری,شکریہ,شکرگزاری,شکر گزار,شکر گزار,قدر کرنا,مقروض,قرضداری,مجبور,وعدہ,احسان مند,ذمہ داری,قرض ہونا,واجب الادا,معذرتیں,معذرت,افسوس,معاف کرنا,مجھے معاف کریں,معاف کرنا,معافی مانگنا,معذرت خواہ
مجبور,0.9807697404349732,0.992837121626737,0.992837121626737,0.9944988953825432,0.992837121626737,0.9923988959558842,0.9923988959558842,0.9930143952363479,0.9962460859520194,0.9938914949412473,1.0,0.9949067071414017,0.9950449138777802,0.9960999303655618,0.9947297903692022,0.9930534939670386,0.9909530244373297,0.9941517146415044,0.9944494934183585,0.9944144177189602,0.9935809405845887,0.9944144177189602,0.9955058826200661,0.9947203655113753
وعدہ,0.9810688270006896,0.9935194411944788,0.9935194411944788,0.9958335067520944,0.9935194411944788,0.9928375504624256,0.9928375504624256,0.9929008183281812,0.9945014328944292,0.9943289200567498,0.9949067071414017,0.9999999999999998,0.9954670419433471,0.9954848739364861,0.9953346675351367,0.9926403706930993,0.9923251502992068,0.9941099089643117,0.9948282216023998,0.9937812943379197,0.9942468762656499,0.9937812943379197,0.9952313927718244,0.9964148976309705
احسان مند,0.9794576338610252,0.9947211664617949,0.9947211664617949,0.995499326168758,0.9947211664617949,0.9942847496079338,0.9942847496079338,0.9915088145472376,0.996282528777776,0.9948173628462925,0.9950449138777802,0.9954670419433471,0.9999999999999987,0.9944606410150246,0.9934592536004523,0.994996877469935,0.9922553988866621,0.9941082885919993,0.9962215255552651,0.9928293714971386,0.9933803911693939,0.9928293714971386,0.996510755641998,0.9949247454001021
ذمہ داری,0.9809512956441003,0.9937257889331812,0.9937257889331812,0.9950690861452058,0.9937257889331812,0.9926445478558957,0.9926445478558957,0.9944200763701736,0.9948932971873112,0.9950389095711686,0.9960999303655618,0.9954848739364861,0.9944606410150246,0.9999999999999991,0.9952861676383209,0.9919808103902505,0.9916591010525225,0.9932280932835006,0.9941077345296184,0.9948913184464938,0.9938945581274333,0.9948913184464938,0.9954488341645986,0.9947008362757294
قرض ہونا,0.9830246845250193,0.9918362224496269,0.9918362224496269,0.9942803223055284,0.9918362224496269,0.992442428620547,0.992442428620547,0.9958365168199275,0.9929225311002894,0.9945192741217306,0.9947297903692022,0.9953346675351367,0.9934592536004523,0.9952861676383209,0.9999999999999998,0.9911361761663724,0.9907636552147856,0.9933172099438262,0.9933139244510587,0.9963148773570556,0.9957881094076143,0.9963148773570556,0.9944305987117543,0.9950954723522476
واجب الادا,0.9760870896030118,0.9930916946073577,0.9930916946073577,0.9932327781313447,0.9930916946073577,0.9938259122333386,0.9938259122333386,0.9895457126680784,0.9943178063222344,0.9934221944170653,0.9930534939670386,0.9926403706930993,0.994996877469935,0.9919808103902505,0.9911361761663724,0.9999999999999998,0.9918518133457032,0.9915237347270306,0.994317538605492,0.9903671797884394,0.9900051787968318,0.9903671797884394,0.9940930526061186,0.9922746508099964
معذرتیں,0.9746597330880087,0.9941584655051864,0.9941584655051864,0.9936833133087339,0.9941584655051864,0.9947622965483784,0.9947622965483784,0.988905282113413,0.9925612061295724,0.9935670034474285,0.9909530244373297,0.9923251502992068,0.9922553988866621,0.9916591010525225,0.9907636552147856,0.9918518133457032,0.9999999999999993,0.989728277980729,0.9932921087601488,0.9901096683787886,0.9901085952292452,0.9901096683787886,0.9937114506104042,0.9921854451236469
معذرت,0.9822601894746648,0.99056670289368,0.99056670289368,0.9930759564690674,0.99056670289368,0.9901389476398622,0.9901389476398622,0.9920177236763956,0.993597419417985,0.991854452406099,0.9941517146415044,0.9941099089643117,0.9941082885919993,0.9932280932835006,0.9933172099438262,0.9915237347270306,0.989728277980729,0.9999999999999992,0.993388116152321,0.9934022801624628,0.9932911331304997,0.9934022801624628,0.9935514192883228,0.9968205475697616
افسوس,0.980551607803966,0.9948289598059804,0.9948289598059804,0.9958175756190888,0.9948289598059804,0.9944125433002117,0.9944125433002117,0.9920214240477161,0.9957274138935311,0.9951096588327889,0.9944494934183585,0.9948282216023998,0.9962215255552651,0.9941077345296184,0.9933139244510587,0.994317538605492,0.9932921087601488,0.993388116152321,0.9999999999999998,0.9926861442841284,0.9917940655293583,0.9926861442841284,0.996144804300436,0.9942983404540058
معاف کرنا,0.9815935676620077,0.9900948980211923,0.9900948980211923,0.9933614539857802,0.9900948980211923,0.9912559910459351,0.9912559910459351,0.998465967816583,0.9924952328511288,0.9927861626626445,0.9944144177189602,0.9937812943379197,0.9928293714971386,0.9948913184464938,0.9963148773570556,0.9903671797884394,0.9901096683787886,0.9934022801624628,0.9926861442841284,0.9999999999999996,0.9941516841572605,0.9999999999999996,0.9938143346710242,0.9943897632638108
مجھے معاف کریں,0.9804504272139554,0.9910127948928057,0.9910127948928057,0.9930873385122954,0.9910127948928057,0.9912578030499463,0.9912578030499463,0.9928614573362629,0.9920595619877339,0.9916547016968976,0.9935809405845887,0.9942468762656499,0.9933803911693939,0.9938945581274333,0.9957881094076143,0.9900051787968318,0.9901085952292452,0.9932911331304997,0.9917940655293583,0.9941516841572605,1.0,0.9941516841572605,0.993551434571943,0.9952838960309895
معاف کرنا,0.9815935676620077,0.9900948980211923,0.9900948980211923,0.9933614539857802,0.9900948980211923,0.9912559910459351,0.9912559910459351,0.998465967816583,0.9924952328511288,0.9927861626626445,0.9944144177189602,0.9937812943379197,0.9928293714971386,0.9948913184464938,0.9963148773570556,0.9903671797884394,0.9901096683787886,0.9934022801624628,0.9926861442841284,0.9999999999999996,0.9941516841572605,0.9999999999999996,0.9938143346710242,0.9943897632638108
معافی مانگنا,0.9788147874345189,0.9954550007832705,0.9954550007832705,0.9968705349390479,0.9954550007832705,0.9963175902654476,0.9963175902654476,0.9928284884775899,0.9962352735153153,0.9952018310147419,0.9955058826200661,0.9952313927718244,0.996510755641998,0.9954488341645986,0.9944305987117543,0.9940930526061186,0.9937114506104042,0.9935514192883228,0.996144804300436,0.9938143346710242,0.993551434571943,0.9938143346710242,0.9999999999999993,0.9956086814034358
معذرت خواہ,0.9812009558754909,0.9933708040606225,0.9933708040606225,0.9947479245537665,0.9933708040606225,0.9935932495320577,0.9935932495320577,0.9931289884085008,0.994149558821535,0.9938619601838065,0.9947203655113753,0.9964148976309705,0.9949247454001021,0.9947008362757294,0.9950954723522476,0.9922746508099964,0.9921854451236469,0.9968205475697616,0.9942983404540058,0.9943897632638108,0.9952838960309895,0.9943897632638108,0.9956086814034358,0.9999999999999989
