,pahalagahan,pagpapahalaga,mapagpasalamat,pasasalamat,pasasalamat,salamat,mapagpasalamat,pasasalamat,pagkakautang,obligasyon,napilitang,obligado,pananagutan,utang,may utang,utang na dapat bayaran,mapagpaumanhin,paumanhin,pasensya,paumanhin,pagkalungkot,patawad,humingi ng paumanhin,patawarin mo ako,mga paumanhin
utang,0.9909500539692442,0.9872426344320288,0.9903237346810723,0.9901319457861889,0.9901319457861889,0.9927804427537726,0.9903237346810723,0.9901319457861889,0.9771099560472145,0.9838646854627024,0.9933892670942115,0.9836190683083604,0.9890994671758249,0.9999999999999994,0.9976756398983867,0.9933512597719394,0.9913120252287483,0.9905956520679645,0.9918034711189683,0.9905956520679645,0.9878929323133234,0.9918730989236978,0.987502556516086,0.9922542051723087,0.9864437334112776
may utang,0.992588437602455,0.9900204996199629,0.9916181285221841,0.9916034884961713,0.9916034884961713,0.9936210106398787,0.9916181285221841,0.9916034884961713,0.9791040231959162,0.9852131982049284,0.9942211526753473,0.9833906668004323,0.9908505636756834,0.9976756398983867,0.9999999999999997,0.9942911274196717,0.9923151905880332,0.9905980935506161,0.993103084453725,0.9905980935506161,0.9904051618177854,0.9939497193870179,0.9899625252937515,0.9932964569725818,0.9888548552607477
utang na dapat bayaran,0.9943125206937544,0.9921344583583497,0.9922997512386754,0.9926453889318759,0.9926453889318759,0.9946288003552252,0.9922997512386754,0.9926453889318759,0.9795865806410797,0.9870424157768686,0.9948886848826883,0.9833207663647354,0.9935508668294095,0.9933512597719394,0.9942911274196717,0.9999999999999996,0.9933500491289108,0.9914425424335332,0.9938800818425305,0.9914425424335332,0.9904756382585648,0.9942402497451233,0.9913661758801212,0.9929719192411974,0.9905238522715263
mapagpaumanhin,0.9967843544031979,0.9932599282828933,0.9970377928362221,0.9954304125968052,0.9954304125968052,0.9957699676116714,0.9970377928362221,0.9954304125968052,0.9797836798893359,0.990709033568192,0.994528342431356,0.9816823934636774,0.9954957392065887,0.9913120252287483,0.9923151905880332,0.9933500491289108,1.0000000000000004,0.9940419521421123,0.9950049085860049,0.9940419521421123,0.9912165291357806,0.996002758466441,0.9942347640087619,0.9929207456269576,0.9936234312873223
paumanhin,0.9930437824248746,0.9864332560701293,0.990185621576671,0.9922735508761674,0.9922735508761674,0.994702915902333,0.990185621576671,0.9922735508761674,0.9771501753784106,0.9850553900349839,0.9929518322497637,0.9875382705913552,0.9907370922570086,0.9905956520679645,0.9905980935506161,0.9914425424335332,0.9940419521421123,1.0,0.9943003476033164,1.0,0.9868748383105339,0.993589046734475,0.9876545758049696,0.9923635724011145,0.9868867651713137
pasensya,0.9960948010236245,0.9921871816622221,0.9936621042223677,0.9944935927514673,0.9944935927514673,0.9972671251276297,0.9936621042223677,0.9944935927514673,0.9797967010689292,0.9882862302551734,0.9956297602597454,0.9859248110376204,0.994076978861563,0.9918034711189683,0.993103084453725,0.9938800818425305,0.9950049085860049,0.9943003476033164,0.9999999999999991,0.9943003476033164,0.9895936071169947,0.9966510927510784,0.9900241362896206,0.9941364792109276,0.9907589461763266
paumanhin,0.9930437824248746,0.9864332560701293,0.990185621576671,0.9922735508761674,0.9922735508761674,0.994702915902333,0.990185621576671,0.9922735508761674,0.9771501753784106,0.9850553900349839,0.9929518322497637,0.9875382705913552,0.9907370922570086,0.9905956520679645,0.9905980935506161,0.9914425424335332,0.9940419521421123,1.0,0.9943003476033164,1.0,0.9868748383105339,0.993589046734475,0.9876545758049696,0.9923635724011145,0.9868867651713137
pagkalungkot,0.9905055854975617,0.9913200164619711,0.9897513904527502,0.9893273349415471,0.9893273349415471,0.989701318474307,0.9897513904527502,0.9893273349415471,0.9864404834669317,0.9832130520545725,0.9915095788036645,0.9787664189354064,0.9932027262656147,0.9878929323133234,0.9904051618177854,0.9904756382585648,0.9912165291357806,0.9868748383105339,0.9895936071169947,0.9868748383105339,0.9999999999999999,0.9920252475504466,0.9927954379042975,0.9888624038302043,0.9903787414984244
patawad,0.9973238208540811,0.994020500344308,0.994348818056456,0.9952704332421801,0.9952704332421801,0.9974769110318553,0.994348818056456,0.9952704332421801,0.9797912601796774,0.9882644941870525,0.9953409464376284,0.9848086103529052,0.9952912380530917,0.9918730989236978,0.9939497193870179,0.9942402497451233,0.996002758466441,0.993589046734475,0.9966510927510784,0.993589046734475,0.9920252475504466,0.9999999999999994,0.9917115007136705,0.9945971698460969,0.9911684342579326
humingi ng paumanhin,0.9922905648656876,0.9930160668275557,0.9915327770764679,0.9896650799985649,0.9896650799985649,0.9902595004755144,0.9915327770764679,0.9896650799985649,0.9814946024409524,0.9900561105882634,0.991547271129003,0.9766408158512072,0.9941111121000181,0.987502556516086,0.9899625252937515,0.9913661758801212,0.9942347640087619,0.9876545758049696,0.9900241362896206,0.9876545758049696,0.9927954379042975,0.9917115007136705,0.9999999999999992,0.9890089448298858,0.9968890612835468
patawarin mo ako,0.9924840729661492,0.988994292671276,0.9911241095951941,0.9905863993315998,0.9905863993315998,0.9942169908937138,0.9911241095951941,0.9905863993315998,0.9798604943730952,0.9850220642620603,0.9948520282490019,0.9843655593619115,0.9908016139094105,0.9922542051723087,0.9932964569725818,0.9929719192411974,0.9929207456269576,0.9923635724011145,0.9941364792109276,0.9923635724011145,0.9888624038302043,0.9945971698460969,0.9890089448298858,0.9999999999999999,0.9890227401867181
mga paumanhin,0.9919260615950414,0.9930207099805336,0.9912116555132066,0.989905498193713,0.989905498193713,0.9901161269156649,0.9912116555132066,0.989905498193713,0.9801579898739109,0.9888870582859854,0.9906213843811824,0.9753266786227895,0.9930134690867288,0.9864437334112776,0.9888548552607477,0.9905238522715263,0.9936234312873223,0.9868867651713137,0.9907589461763266,0.9868867651713137,0.9903787414984244,0.9911684342579326,0.9968890612835468,0.9890227401867181,0.9999999999999996
