,verdsetjing,takksam,takksamheit,takksamheit,takk,takksam,takksamheit,setje pris på,forgjelda,gjeldssett,gjeldsforplikting,forplikting,forplikta,tvungen,forplikting,skylde,skyldande,unnskyldande,unnskyldningar,unnskyldning,sorg,beklagar,tilgjev meg,unnskyld meg,be om unnskyldning
forplikting,0.9907737643449464,0.9938761525765514,0.9854438233933289,0.9854438233933289,0.9935133405966041,0.9938761525765514,0.9854438233933289,0.9920111617756883,0.9841248146126782,0.9844662426859044,0.9894504894425721,0.9999999999999999,0.9943876466392264,0.9917283999614146,0.9999999999999999,0.9931091375869572,0.9925335127753994,0.9930733382557981,0.9914688266374011,0.9932517710144888,0.9922169191787297,0.9941294388805981,0.9885157844098664,0.9898160065124042,0.9920727972910979
forplikta,0.9898750885192762,0.9945226842318113,0.9841360907405678,0.9841360907405678,0.9946883381158982,0.9945226842318113,0.9841360907405678,0.9933723536735714,0.9856762835620587,0.9875488361303798,0.9906157939522762,0.9943876466392264,0.9999999999999994,0.9931068367782384,0.9943876466392264,0.9956340391144198,0.9949805013785865,0.9953038326197087,0.9936487410564794,0.995316159988908,0.9940243487063852,0.9934772744637205,0.9894591565630915,0.9918025116534043,0.994322136731907
tvungen,0.9890620628217454,0.9939569152113334,0.9833042184705728,0.9833042184705728,0.9948914195050398,0.9939569152113334,0.9833042184705728,0.9928328850190061,0.9847711068843353,0.9843352801209699,0.9888073099431598,0.9917283999614146,0.9931068367782384,0.9999999999999998,0.9917283999614146,0.9958486022083097,0.9940678987084435,0.993575251121772,0.991769448825454,0.9917626380677935,0.9929539162843289,0.9922657985220656,0.9887083721975716,0.9913821695244066,0.9923454654686464
forplikting,0.9907737643449464,0.9938761525765514,0.9854438233933289,0.9854438233933289,0.9935133405966041,0.9938761525765514,0.9854438233933289,0.9920111617756883,0.9841248146126782,0.9844662426859044,0.9894504894425721,0.9999999999999999,0.9943876466392264,0.9917283999614146,0.9999999999999999,0.9931091375869572,0.9925335127753994,0.9930733382557981,0.9914688266374011,0.9932517710144888,0.9922169191787297,0.9941294388805981,0.9885157844098664,0.9898160065124042,0.9920727972910979
skylde,0.9903140027779619,0.9944986541416192,0.9865654372189033,0.9865654372189033,0.995358574174956,0.9944986541416192,0.9865654372189033,0.9936631129851893,0.9878304498113947,0.9876299556146493,0.9911927191794109,0.9931091375869572,0.9956340391144198,0.9958486022083097,0.9931091375869572,1.0,0.9960610464396592,0.995156736693112,0.9933850352200557,0.9942611530982545,0.994253443738955,0.9938793555499472,0.9909623774331807,0.992255748820765,0.993391236881798
skyldande,0.9902047804310741,0.992519822740824,0.9842101587371646,0.9842101587371646,0.9934853968984818,0.992519822740824,0.9842101587371646,0.993183165799577,0.9862761864758375,0.9884480012220459,0.9921916097934383,0.9925335127753994,0.9949805013785865,0.9940678987084435,0.9925335127753994,0.9960610464396592,0.999999999999999,0.9981184150413828,0.9944023246438093,0.9945233238556623,0.9922744740479567,0.9936874848307731,0.9884689166762927,0.9897928096364156,0.9947053703862683
unnskyldande,0.9909156604091383,0.9929374816198248,0.9849529628662702,0.9849529628662702,0.9934685016097436,0.9929374816198248,0.9849529628662702,0.9936025713212606,0.9852978767026442,0.988590215492022,0.9925702578816683,0.9930733382557981,0.9953038326197087,0.993575251121772,0.9930733382557981,0.995156736693112,0.9981184150413828,1.0,0.9963375125116242,0.9963986869830922,0.9922144947970699,0.993940812574818,0.9882888123026623,0.9903790473659951,0.9961075960315736
unnskyldningar,0.9884022760381713,0.9913955392300148,0.9829482930581324,0.9829482930581324,0.9916607488686415,0.9913955392300148,0.9829482930581324,0.9926125361981235,0.9841827748730557,0.9876058246260082,0.9907552363829771,0.9914688266374011,0.9936487410564794,0.991769448825454,0.9914688266374011,0.9933850352200557,0.9944023246438093,0.9963375125116242,0.9999999999999996,0.9965538063447461,0.9905756339759528,0.9904844288227084,0.9868740301720802,0.9899848302416804,0.9946307296482387
unnskyldning,0.9905338991657725,0.9915331439292016,0.9841606433237772,0.9841606433237772,0.9922721468864628,0.9915331439292016,0.9841606433237772,0.9924771785129108,0.9846788484804955,0.9885146858300148,0.9926495788847547,0.9932517710144888,0.995316159988908,0.9917626380677935,0.9932517710144888,0.9942611530982545,0.9945233238556623,0.9963986869830922,0.9965538063447461,0.9999999999999994,0.9917140430933133,0.9926833218186832,0.9882588519058678,0.990729980731184,0.9964397965026086
sorg,0.988693262926797,0.9952614266485872,0.9841407097571578,0.9841407097571578,0.9961418093639104,0.9952614266485872,0.9841407097571578,0.9928948486535143,0.9839690195384752,0.9828091915320135,0.9871593819761113,0.9922169191787297,0.9940243487063852,0.9929539162843289,0.9922169191787297,0.994253443738955,0.9922744740479567,0.9922144947970699,0.9905756339759528,0.9917140430933133,0.9999999999999998,0.9938297666251245,0.9886873797732041,0.991718061700932,0.9915270675197886
beklagar,0.990458852283219,0.9941822918305372,0.9861981182936056,0.9861981182936056,0.9948983453665265,0.9941822918305372,0.9861981182936056,0.9934865294667579,0.9834828810520297,0.9837004808334289,0.989601109898712,0.9941294388805981,0.9934772744637205,0.9922657985220656,0.9941294388805981,0.9938793555499472,0.9936874848307731,0.993940812574818,0.9904844288227084,0.9926833218186832,0.9938297666251245,1.0000000000000004,0.9877131111121169,0.9906922205859708,0.9921818935255402
tilgjev meg,0.9862009631075993,0.9884249608608716,0.9799005288267989,0.9799005288267989,0.9890226588416293,0.9884249608608716,0.9799005288267989,0.9889242309968854,0.9890927533533322,0.9848028330281754,0.9864188912979015,0.9885157844098664,0.9894591565630915,0.9887083721975716,0.9885157844098664,0.9909623774331807,0.9884689166762927,0.9882888123026623,0.9868740301720802,0.9882588519058678,0.9886873797732041,0.9877131111121169,0.9999999999999998,0.9872963189008218,0.9889666304479853
unnskyld meg,0.9850061159513731,0.9942411732397509,0.980871998180676,0.980871998180676,0.9933634974944355,0.9942411732397509,0.980871998180676,0.992577084755721,0.9807680158146233,0.980344786230239,0.9842173966859358,0.9898160065124042,0.9918025116534043,0.9913821695244066,0.9898160065124042,0.992255748820765,0.9897928096364156,0.9903790473659951,0.9899848302416804,0.990729980731184,0.991718061700932,0.9906922205859708,0.9872963189008218,0.9999999999999998,0.989372337835094
be om unnskyldning,0.99098415610875,0.9909798846845647,0.9836073276772078,0.9836073276772078,0.9921524159168634,0.9909798846845647,0.9836073276772078,0.9927153424064082,0.9860779687821926,0.989449881174164,0.9928352976201827,0.9920727972910979,0.994322136731907,0.9923454654686464,0.9920727972910979,0.993391236881798,0.9947053703862683,0.9961075960315736,0.9946307296482387,0.9964397965026086,0.9915270675197886,0.9921818935255402,0.9889666304479853,0.989372337835094,0.9999999999999991
