,schätze,wertschätzung,dankbar,dankbarkeit,dankbarkeit,danke,dankbar,danbarkeit,schuldig,verschuld,schuldigkeit,verpflichtung,gebund,verpflichtet,verpflichtung,schuld habbe,schuldig sei,eschduldichend,eschduldigunge,eschduldiche,eschduldigung,eschduldich,bedauerlich,eschduldich,verzeih mer
schuldigkeit,0.9948480353052961,0.9965127014549334,0.9954148815852227,0.9958402099528716,0.9958402099528716,0.9949422767278153,0.9954148815852227,0.9934346184397614,0.9970554996439831,0.9946986429313295,0.9999999999999996,0.9968487664999539,0.9946936593070915,0.9863313410173352,0.9968487664999539,0.9953816979028438,0.9928218355295655,0.9942364406893545,0.9936237589059406,0.9935971834970821,0.9967798804936008,0.9930037548767928,0.9957851626715001,0.9930037548767928,0.9922240761582727
verpflichtung,0.9946681992998109,0.9977410039319996,0.9943902608687448,0.9944337506983505,0.9944337506983505,0.9951862456660507,0.9943902608687448,0.9926998305470753,0.995693461396802,0.9958658613770448,0.9968487664999539,0.9999999999999997,0.9953720630409189,0.9885245456020885,0.9999999999999997,0.9932454425585585,0.9908639908885409,0.9942295566904138,0.9934739734700716,0.9940836096294235,0.9967593590886551,0.9931937868364059,0.9960443945145435,0.9931937868364059,0.9934392908490172
gebund,0.9937794946144262,0.994361226314856,0.9952140411193603,0.9928352278096814,0.9928352278096814,0.9960700713278318,0.9952140411193603,0.9916116104875935,0.9956193297047609,0.9961559778981539,0.9946936593070915,0.9953720630409189,0.9999999999999994,0.9888570852432665,0.9953720630409189,0.9942834666730933,0.9909180549499067,0.994562193560963,0.9929119695013907,0.994351029338716,0.9951014381457743,0.9933601527399455,0.9955791853980033,0.9933601527399455,0.9936173376578673
verpflichtet,0.9853362487038423,0.9877837408257033,0.9870721884095451,0.9834121396944489,0.9834121396944489,0.9880633681539933,0.9870721884095451,0.9861157736876616,0.9882637012252208,0.9874387726141335,0.9863313410173352,0.9885245456020885,0.9888570852432665,0.9999999999999997,0.9885245456020885,0.9851786294195488,0.9836512275305783,0.9858045400924929,0.9841413449263787,0.9859292112280742,0.985581609125847,0.9847831359687548,0.9879642658547215,0.9847831359687548,0.9861162421899029
verpflichtung,0.9946681992998109,0.9977410039319996,0.9943902608687448,0.9944337506983505,0.9944337506983505,0.9951862456660507,0.9943902608687448,0.9926998305470753,0.995693461396802,0.9958658613770448,0.9968487664999539,0.9999999999999997,0.9953720630409189,0.9885245456020885,0.9999999999999997,0.9932454425585585,0.9908639908885409,0.9942295566904138,0.9934739734700716,0.9940836096294235,0.9967593590886551,0.9931937868364059,0.9960443945145435,0.9931937868364059,0.9934392908490172
schuld habbe,0.9923746114240317,0.9923269952367955,0.9960177721412348,0.9915719454247146,0.9915719454247146,0.9949020369231114,0.9960177721412348,0.9909252807984429,0.9966945174678933,0.9923529219105099,0.9953816979028438,0.9932454425585585,0.9942834666730933,0.9851786294195488,0.9932454425585585,0.9999999999999993,0.9937354277409758,0.9935447056399755,0.9915051093732884,0.9931484549130277,0.9936606587631966,0.9917498017668551,0.9946089301303643,0.9917498017668551,0.989960813954054
schuldig sei,0.9885399915160805,0.9909383926240602,0.9907186551542242,0.988625434319583,0.988625434319583,0.9905924906550962,0.9907186551542242,0.9876678670703135,0.9953188935434583,0.9894244904969154,0.9928218355295655,0.9908639908885409,0.9909180549499067,0.9836512275305783,0.9908639908885409,0.9937354277409758,0.9999999999999998,0.9888264073729975,0.9872399613487939,0.9878043081974919,0.9901100525699498,0.9867239649515162,0.9933472240947805,0.9867239649515162,0.985856359843961
eschduldichend,0.9943142711532545,0.9937040934092419,0.9942654599337937,0.9914579105322557,0.9914579105322557,0.994363664508334,0.9942654599337937,0.992502466070771,0.9939695252451807,0.9943001119669501,0.9942364406893545,0.9942295566904138,0.994562193560963,0.9858045400924929,0.9942295566904138,0.9935447056399755,0.9888264073729975,0.9999999999999998,0.9956438220611863,0.9982643240247284,0.9958683209898477,0.9971103580668027,0.9943730071723873,0.9971103580668027,0.9929309543168084
eschduldigunge,0.9942149169709467,0.9930733381180269,0.9931322198018275,0.9908596656118658,0.9908596656118658,0.9941941289195506,0.9931322198018275,0.9915924691467898,0.9925275256528735,0.9932000820445122,0.9936237589059406,0.9934739734700716,0.9929119695013907,0.9841413449263787,0.9934739734700716,0.9915051093732884,0.9872399613487939,0.9956438220611863,0.9999999999999994,0.9960092439989858,0.995361459043777,0.9954215559337035,0.9921122881376867,0.9954215559337035,0.9923595623310668
eschduldiche,0.9949925937731815,0.9934067113557135,0.9941287723354504,0.9906890028311645,0.9906890028311645,0.9946988532796169,0.9941287723354504,0.9914572112070419,0.9933819784487504,0.9940076383258941,0.9935971834970821,0.9940836096294235,0.994351029338716,0.9859292112280742,0.9940836096294235,0.9931484549130277,0.9878043081974919,0.9982643240247284,0.9960092439989858,1.0,0.9951428318681349,0.9980938792431043,0.9933826708094813,0.9980938792431043,0.9928509068485188
eschduldigung,0.9944899342096009,0.9961665538085646,0.9938295061946256,0.9936215249286146,0.9936215249286146,0.9939888275113963,0.9938295061946256,0.9916415819251854,0.9950250700782057,0.9948554121843324,0.9967798804936008,0.9967593590886551,0.9951014381457743,0.985581609125847,0.9967593590886551,0.9936606587631966,0.9901100525699498,0.9958683209898477,0.995361459043777,0.9951428318681349,1.0,0.9944309910710054,0.9948878307773331,0.9944309910710054,0.9923232100053223
eschduldich,0.9938147802568403,0.9927462907278762,0.993305905787606,0.9902781137511912,0.9902781137511912,0.9940219144767195,0.993305905787606,0.9906273704107325,0.9922958418017496,0.9936549776349471,0.9930037548767928,0.9931937868364059,0.9933601527399455,0.9847831359687548,0.9931937868364059,0.9917498017668551,0.9867239649515162,0.9971103580668027,0.9954215559337035,0.9980938792431043,0.9944309910710054,0.9999999999999999,0.9920245265748829,0.9999999999999999,0.993014246972309
bedauerlich,0.9929241930300859,0.994993850666516,0.9945166514223974,0.9927521075674038,0.9927521075674038,0.9945402647907278,0.9945166514223974,0.9921776373056181,0.9971170218009507,0.9950978044365839,0.9957851626715001,0.9960443945145435,0.9955791853980033,0.9879642658547215,0.9960443945145435,0.9946089301303643,0.9933472240947805,0.9943730071723873,0.9921122881376867,0.9933826708094813,0.9948878307773331,0.9920245265748829,1.0,0.9920245265748829,0.991494493228474
eschduldich,0.9938147802568403,0.9927462907278762,0.993305905787606,0.9902781137511912,0.9902781137511912,0.9940219144767195,0.993305905787606,0.9906273704107325,0.9922958418017496,0.9936549776349471,0.9930037548767928,0.9931937868364059,0.9933601527399455,0.9847831359687548,0.9931937868364059,0.9917498017668551,0.9867239649515162,0.9971103580668027,0.9954215559337035,0.9980938792431043,0.9944309910710054,0.9999999999999999,0.9920245265748829,0.9999999999999999,0.993014246972309
verzeih mer,0.9922526090234066,0.992269783442746,0.9921672864510509,0.9899331403401005,0.9899331403401005,0.9934084265348783,0.9921672864510509,0.9911558732465106,0.990865102733279,0.9935385287667866,0.9922240761582727,0.9934392908490172,0.9936173376578673,0.9861162421899029,0.9934392908490172,0.989960813954054,0.985856359843961,0.9929309543168084,0.9923595623310668,0.9928509068485188,0.9923232100053223,0.993014246972309,0.991494493228474,0.993014246972309,1.0000000000000002
