,takdir,minnettar,minnettarlık,minnettarlık,teşekkür,minnettar,minnettarlık,takdir etmek,borçlu,borçluluk,yükümlülük,minnettar,zorunlu,taahhüt,borçlu,borçlu olmak,özürler,özür,affedersiniz,pardon,üzüntü,beni affedin,özür dileyen,özür dilemek,özür dilerim
taahhüt,0.9959075911661864,0.9937751789420315,0.9953284990464746,0.9953284990464746,0.993203500222296,0.9937751789420315,0.9953284990464746,0.9951660922063077,0.9949238167058777,0.9955628737221811,0.9946602242978897,0.9937751789420315,0.9951621350699971,0.9999999999999992,0.9949238167058777,0.990082925215962,0.9910610661625987,0.9935932464984926,0.9948688794909388,0.993910874717721,0.9913536005741093,0.9944510860503383,0.9933766147669214,0.9932211510029039,0.9934470049754592
borçlu,0.9932504376329969,0.9923282230447877,0.9933560529634619,0.9933560529634619,0.9908018209375374,0.9923282230447877,0.9933560529634619,0.9930578754641111,0.9999999999999998,0.995505687937481,0.9923262814637597,0.9923282230447878,0.9946838395947529,0.9949238167058777,0.9999999999999998,0.989644584791568,0.988824792255499,0.9914419976510546,0.9940769461119067,0.9928874048003801,0.989245873603733,0.9931049603500726,0.9912354623790096,0.9916428066062996,0.9916499241705422
borçlu olmak,0.9906772781467631,0.987911220088685,0.993669555672268,0.993669555672268,0.9897375154915194,0.987911220088685,0.993669555672268,0.9926706339818827,0.989644584791568,0.9936290801171175,0.9928744032488125,0.9879112200886855,0.9889732645549412,0.990082925215962,0.989644584791568,0.9999999999999997,0.9944436961588278,0.9910023449847408,0.9876441236288611,0.9900770630264439,0.9895959699809214,0.9876567269518977,0.9933855083557593,0.9932986174915184,0.9918321122009078
özürler,0.9922230225664024,0.9907994867300929,0.9935090947095122,0.9935090947095122,0.9914036629216613,0.9907994867300929,0.9935090947095122,0.992686144744572,0.988824792255499,0.9928784614813698,0.9933040821722797,0.9907994867300929,0.988946103026375,0.9910610661625987,0.988824792255499,0.9944436961588278,0.9999999999999997,0.9948300742797789,0.9894047697562341,0.9915586912213091,0.9880029045591368,0.9876645385256222,0.9951690144926685,0.9950742353400348,0.9940311885801663
özür,0.9947270819404563,0.9930672617699966,0.9917709260795605,0.9917709260795605,0.9934716287740724,0.9930672617699966,0.9917709260795605,0.9938825873785277,0.9914419976510546,0.9930473900770856,0.9927705362768803,0.9930672617699966,0.991672328498953,0.9935932464984926,0.9914419976510546,0.9910023449847408,0.9948300742797789,0.9999999999999994,0.9919954078543984,0.9940185730817434,0.9899309599876015,0.989091428793536,0.9950844418256801,0.9948388761463437,0.9959113720098285
affedersiniz,0.9941195831813063,0.9924428592808361,0.9930651301487663,0.9930651301487663,0.9907397342152343,0.9924428592808361,0.9930651301487663,0.993755512334041,0.9940769461119067,0.9945566887190718,0.9936277099151561,0.9924428592808361,0.994526939279406,0.9948688794909388,0.9940769461119067,0.9876441236288611,0.9894047697562341,0.9919954078543984,1.0,0.9930642239139751,0.9890791295761853,0.9938529190433227,0.9924581772295692,0.9923765006876936,0.9927528651829419
pardon,0.9941193752285779,0.9935509128280944,0.9924294787357202,0.9924294787357202,0.9927858508529476,0.9935509128280944,0.9924294787357202,0.9945643060332953,0.9928874048003801,0.9935088694080815,0.9927362071861561,0.9935509128280944,0.9923207558289858,0.993910874717721,0.9928874048003801,0.9900770630264439,0.9915586912213091,0.9940185730817434,0.9930642239139751,0.9999999999999998,0.9872383632388155,0.990755706209257,0.9935403580151405,0.9932394078759751,0.9930725661746709
üzüntü,0.9908325183588504,0.9870013583523749,0.9917429544864028,0.9917429544864028,0.9879095212584187,0.9870013583523749,0.9917429544864028,0.9918545684903763,0.989245873603733,0.9924089103584243,0.9929512276635876,0.9870013583523749,0.9921639035719502,0.9913536005741093,0.989245873603733,0.9895959699809214,0.9880029045591368,0.9899309599876015,0.9890791295761853,0.9872383632388155,0.9999999999999991,0.988866759380415,0.990564372909076,0.990465056213371,0.9906438770818522
beni affedin,0.9930856684355924,0.9912363930837751,0.994212783734532,0.994212783734532,0.9908690555226799,0.9912363930837751,0.994212783734532,0.9931870201834424,0.9931049603500726,0.9938005780560264,0.9917164584249173,0.9912363930837751,0.9937753614158236,0.9944510860503383,0.9931049603500726,0.9876567269518977,0.9876645385256222,0.989091428793536,0.9938529190433227,0.990755706209257,0.988866759380415,0.9999999999999998,0.991700556697448,0.9918638122203146,0.9922323604405384
özür dileyen,0.9945879670538454,0.9919232443336083,0.9948993216856649,0.9948993216856649,0.9922049637288604,0.9919232443336083,0.9948993216856649,0.9958709748924461,0.9912354623790096,0.9951905138995925,0.9949027954994656,0.9919232443336083,0.9927673805886773,0.9933766147669214,0.9912354623790096,0.9933855083557593,0.9951690144926685,0.9950844418256801,0.9924581772295692,0.9935403580151405,0.990564372909076,0.991700556697448,0.9999999999999996,0.9989296786713353,0.9984277325647564
özür dilemek,0.9941460000883797,0.9921186141523753,0.9949617615655119,0.9949617615655119,0.9920495622868946,0.9921186141523753,0.9949617615655119,0.9963268179629802,0.9916428066062996,0.9951210131814775,0.9945902865453625,0.9921186141523753,0.9924549548607409,0.9932211510029039,0.9916428066062996,0.9932986174915184,0.9950742353400348,0.9948388761463437,0.9923765006876936,0.9932394078759751,0.990465056213371,0.9918638122203146,0.9989296786713353,0.9999999999999993,0.998628378098944
özür dilerim,0.9946853144322367,0.992440054672565,0.9939304996423984,0.9939304996423984,0.9924323564477129,0.992440054672565,0.9939304996423984,0.9953978042961469,0.9916499241705422,0.9945433640928273,0.9938385397961036,0.992440054672565,0.9926843090215315,0.9934470049754592,0.9916499241705422,0.9918321122009078,0.9940311885801663,0.9959113720098285,0.9927528651829419,0.9930725661746709,0.9906438770818522,0.9922323604405384,0.9984277325647564,0.998628378098944,0.9999999999999998
