,ценам,ценење,благодарност,благодарност,благодарам,благодарност,благодарен / благодарна,благодарен / благодарна,задолжен,задолжена,задолженост,обврска,обврзан,обврзана,обврска,должи,должи,со долг,извинувачки,извинувања,извинување,извинете,жал,извини,се извинувам,простете ми
обврзана,0.9919709909067406,0.9939630071922728,0.9914031857208766,0.9914031857208766,0.9902597724618211,0.9914031857208766,0.9902777366104244,0.9902777366104244,0.988005465529359,0.9890131305437373,0.9910289140497666,0.9875179132149304,0.9927665339359717,0.9999999999999993,0.9875179132149304,0.9893527340628077,0.989352734062807,0.985852704674631,0.9907746093833592,0.9938717454605984,0.9932878624783685,0.9904840933949967,0.9785649581748692,0.9889901421434831,0.9884974967792205,0.9884466134150505
обврска,0.9795433974245036,0.9836864335113553,0.9811281884206265,0.9811281884206265,0.9793716747563407,0.9811281884206265,0.980084898350542,0.980084898350542,0.9783014546288893,0.9793618836555473,0.9816483559752651,0.9999999999999999,0.9824391887973276,0.9875179132149304,0.9999999999999999,0.9777200109371085,0.9777200109371086,0.976757405005476,0.9833871584238665,0.9862478399504125,0.9847652202481963,0.9810400497420708,0.9683383300190329,0.9792061803240022,0.9796592666875095,0.9778828158002995
должи,0.9941858079991243,0.9908936348992049,0.9925270750067061,0.9925270750067061,0.9918728251871277,0.9925270750067061,0.9899138535835482,0.9899138535835482,0.9913102664547496,0.99056272405802,0.9907053440332682,0.9777200109371085,0.9925664441687594,0.9893527340628077,0.9777200109371085,0.9999999999999996,0.999999999999999,0.9937137282177771,0.9890383973828256,0.9903098622429031,0.9876306298978299,0.9877863008480752,0.984999411319313,0.9898650858208187,0.987880333400595,0.9880500629897875
должи,0.9941858079991243,0.9908936348992049,0.9925270750067061,0.9925270750067061,0.9918728251871277,0.9925270750067061,0.9899138535835482,0.9899138535835482,0.9913102664547501,0.9905627240580218,0.9907053440332683,0.9777200109371086,0.9925664441687598,0.989352734062807,0.9777200109371086,0.999999999999999,0.9999999999999996,0.9937137282177765,0.9890383973828253,0.9903098622429024,0.9876306298978298,0.9877863008480758,0.9849994113193129,0.9898650858208188,0.987880333400595,0.9880500629897875
со долг,0.9903522730692939,0.98794888396693,0.9895578352116076,0.9895578352116076,0.988930071924089,0.9895578352116076,0.9875472633521208,0.9875472633521208,0.9885826664842556,0.9875267057027918,0.9873019026995316,0.976757405005476,0.9894835803569326,0.985852704674631,0.976757405005476,0.9937137282177771,0.9937137282177765,0.9999999999999997,0.9869343239949742,0.9876497764239988,0.9861572637668229,0.9850378980808521,0.9826841339655801,0.9880835527768017,0.9873233988157402,0.9866017531598108
извинувачки,0.9894137613340117,0.990573926240708,0.9898338528518629,0.9898338528518629,0.990702265983179,0.9898338528518629,0.9898075595509113,0.9898075595509113,0.9895544256131421,0.991110820659243,0.9919264882373658,0.9833871584238665,0.9912982748553669,0.9907746093833592,0.9833871584238665,0.9890383973828256,0.9890383973828253,0.9869343239949742,0.9999999999999997,0.9919122205138006,0.99049693311549,0.9903093742686218,0.9804544687234561,0.9902464959443122,0.9890778127914318,0.9890192738545092
извинувања,0.9919277323428591,0.9962845464136646,0.9929992775621647,0.9929992775621647,0.991830115585345,0.9929992775621647,0.9918432158859781,0.9918432158859781,0.9888007073086683,0.9898481468623508,0.9919646004539512,0.9862478399504125,0.9915763673347799,0.9938717454605984,0.9862478399504125,0.9903098622429031,0.9903098622429024,0.9876497764239988,0.9919122205138006,0.9999999999999994,0.9958499339942788,0.9927354842399673,0.9792078784312204,0.9912332933196618,0.9916778982474452,0.9901321945500319
извинување,0.9898886894644195,0.9954961901343934,0.9902481564906391,0.9902481564906391,0.9899574554750022,0.9902481564906391,0.9901824403685945,0.9901824403685945,0.9866832057889163,0.9881260882147384,0.9905372726793534,0.9847652202481963,0.9898174136385584,0.9932878624783685,0.9847652202481963,0.9876306298978299,0.9876306298978298,0.9861572637668229,0.99049693311549,0.9958499339942788,0.9999999999999991,0.9910922632534606,0.9779027329970469,0.988762970454078,0.9904281261419333,0.9885988364149102
извинете,0.9895088531517238,0.9923557479241198,0.9894130984186639,0.9894130984186639,0.9931001461886405,0.9894130984186639,0.9918533979647939,0.9918533979647939,0.9892651750328695,0.9904002546911933,0.9915057756319272,0.9810400497420708,0.991767206124822,0.9904840933949967,0.9810400497420708,0.9877863008480752,0.9877863008480758,0.9850378980808521,0.9903093742686218,0.9927354842399673,0.9910922632534606,0.9999999999999993,0.9783920144145337,0.9945067263152392,0.993861382539347,0.9932990840676206
жал,0.9823853570763883,0.9808296054235439,0.9786583171874648,0.9786583171874648,0.9830982355424198,0.9786583171874648,0.9803692138808553,0.9803692138808553,0.9819453491993099,0.9828472197969429,0.9802194410063431,0.9683383300190329,0.9840426498720934,0.9785649581748692,0.9683383300190329,0.984999411319313,0.9849994113193129,0.9826841339655801,0.9804544687234561,0.9792078784312204,0.9779027329970469,0.9783920144145337,0.9999999999999998,0.9814321525655051,0.9806644769931725,0.9813196595812507
извини,0.9903829575286465,0.9910137217167031,0.9901278174153857,0.9901278174153857,0.9942115784027052,0.9901278174153857,0.992959558335195,0.992959558335195,0.9928461023603009,0.9928837150320212,0.9925294426883516,0.9792061803240022,0.9944048680665917,0.9889901421434831,0.9792061803240022,0.9898650858208187,0.9898650858208188,0.9880835527768017,0.9902464959443122,0.9912332933196618,0.988762970454078,0.9945067263152392,0.9814321525655051,0.9999999999999993,0.9944698002086292,0.9944686943031115
се извинувам,0.9896827089143774,0.9913458965915647,0.9887140292178046,0.9887140292178046,0.9939174205356702,0.9887140292178046,0.9918430528318238,0.9918430528318238,0.9900180756782996,0.991267672790075,0.9906270758124933,0.9796592666875095,0.9926257773248687,0.9884974967792205,0.9796592666875095,0.987880333400595,0.987880333400595,0.9873233988157402,0.9890778127914318,0.9916778982474452,0.9904281261419333,0.993861382539347,0.9806644769931725,0.9944698002086292,0.9999999999999996,0.9947794380225661
простете ми,0.9896843616434963,0.9915108208847596,0.9903492320888114,0.9903492320888114,0.9952707038254854,0.9903492320888114,0.993663169210335,0.993663169210335,0.9903423794986803,0.9917422588808361,0.9923788977518025,0.9778828158002995,0.9927650375701194,0.9884466134150505,0.9778828158002995,0.9880500629897875,0.9880500629897875,0.9866017531598108,0.9890192738545092,0.9901321945500319,0.9885988364149102,0.9932990840676206,0.9813196595812507,0.9944686943031115,0.9947794380225661,0.9999999999999998
