,цінувати,вдячність,оцінка,вдячна,вдячний,вдячність,вдячність,дякую,вдячна,вдячний,вдячність,заборгована,заборгований,заборгованість,зобов'язання,зобов'язана,зобов'язаний,обов'язок,винна,винний,бути винним,вибачливий,вибачення,вибачатися,вибачення,вибачте,жаль,вибач,пробачте мене
вдячність,0.9945625721981564,0.9999999999999989,0.9922322274199901,0.9951014338245654,0.996328344271179,0.9999999999999989,0.9999999999999989,0.9939194355819775,0.9951014338245645,0.9963283442711789,0.9999999999999996,0.9914613122745461,0.9935960750770491,0.9956882572170179,0.9955519256769441,0.9902463695377919,0.9928308683078856,0.9931465642987837,0.9932124594710283,0.9938869798458775,0.9945862615926947,0.9948276894478336,0.994652416675042,0.9929150469056064,0.994652416675042,0.9847071262618388,0.9928197600331522,0.9907211551764642,0.9927886051654748
заборгована,0.9917267664575958,0.9914613122745461,0.991807224489522,0.9942052441861378,0.9925486886286814,0.9914613122745461,0.9914613122745461,0.9929574695209501,0.9942052441861378,0.9925486886286828,0.9914613122745461,1.0000000000000002,0.9971178830295101,0.9934938414005364,0.9919166206008383,0.9881978567298454,0.9894292837759399,0.9885531988067631,0.9925158410070384,0.9941736382538544,0.9909575049288135,0.9926973790217568,0.9938007046211356,0.9894957363023948,0.9938007046211356,0.9835214715595262,0.9907125683380852,0.990268126728701,0.9888034801796818
заборгований,0.9938172241125404,0.9935960750770482,0.9929046719062701,0.9953356338330983,0.9956262921949187,0.9935960750770482,0.9935960750770482,0.9946724618624976,0.9953356338330994,0.995626292194919,0.9935960750770491,0.9971178830295101,0.9999999999999996,0.9947494713519585,0.9946562085525805,0.9904773844564868,0.9929935848907918,0.9911712204156385,0.9938781828184173,0.9967937486472324,0.9936524999287999,0.9962545152932383,0.9951160404674072,0.9923872458677055,0.9951160404674072,0.9841920840730345,0.9925829428624586,0.9917394209002668,0.9909195614464132
заборгованість,0.9941527532238268,0.995688257217018,0.9936936504207886,0.9935463669101074,0.9933866016724845,0.995688257217018,0.995688257217018,0.9921139232649688,0.9935463669101066,0.9933866016724842,0.9956882572170179,0.9934938414005364,0.9947494713519585,0.9999999999999993,0.9944706794152272,0.9900726779957111,0.9918564346318545,0.9908974024230522,0.9919797297797037,0.9937308254069656,0.9932686086813439,0.9950737279657795,0.9952606669175088,0.9932360435701956,0.9952606669175088,0.9860102507574445,0.9905467584112737,0.9917147608352264,0.9895409137454636
зобов'язання,0.9940381460513981,0.9955519256769432,0.993192638019047,0.993575870550412,0.9945763204164264,0.9955519256769432,0.9955519256769432,0.9941391913061147,0.9935758705504113,0.9945763204164257,0.9955519256769441,0.9919166206008383,0.9946562085525805,0.9944706794152272,1.0000000000000002,0.9929354678438667,0.9973995391012174,0.9942604646317443,0.9938095557688528,0.9952127336879073,0.9951916151235749,0.9948439339264532,0.9955639557527435,0.9928359266607231,0.9955639557527435,0.983422367119403,0.9922206952052776,0.9910455520202495,0.9915343617544488
зобов'язана,0.9919320865790195,0.9902463695377913,0.989995486821752,0.9896949493445758,0.9906502098918617,0.9902463695377913,0.9902463695377913,0.9905165742471078,0.9896949493445754,0.9906502098918628,0.9902463695377919,0.9881978567298454,0.9904773844564868,0.9900726779957111,0.9929354678438667,1.0,0.9918839383122018,0.9894065790363492,0.9880677464496835,0.9900161371226308,0.9907930542233189,0.9911645091296548,0.9921735160210798,0.9897043052853762,0.9921735160210798,0.9844825225732764,0.9892150961016934,0.9904940530088032,0.9886070631984788
зобов'язаний,0.9925305907157871,0.9928308683078856,0.9908031921524895,0.9919695033224556,0.9932223372408331,0.9928308683078856,0.9928308683078856,0.9930116627032521,0.9919695033224556,0.9932223372408331,0.9928308683078856,0.9894292837759399,0.9929935848907918,0.9918564346318545,0.9973995391012174,0.9918839383122018,1.0000000000000002,0.9917609291986478,0.9919546891137104,0.9936219951112523,0.9934408976041548,0.9933910031156079,0.9928503073347219,0.9908294819862346,0.9928503073347221,0.9814774130947674,0.9900706835387256,0.989397925586261,0.9890732458010406
обов'язок,0.9917552443663882,0.9931465642987837,0.9894740361821236,0.9904671873189478,0.9920804305467823,0.9931465642987837,0.9931465642987837,0.991017458991746,0.9904671873189478,0.9920804305467823,0.9931465642987837,0.9885531988067631,0.9911712204156385,0.9908974024230522,0.9942604646317443,0.9894065790363492,0.9917609291986478,1.0000000000000004,0.9900557367976706,0.9919264647518906,0.9917466875425851,0.9929411877498509,0.9923906592578902,0.9894576761595963,0.9923906592578896,0.9824684757542922,0.9896733953142339,0.9887524054083843,0.9885399311881901
винна,0.991798510871899,0.9932124594710283,0.9915156509198028,0.994731274093801,0.9942302634213261,0.9932124594710283,0.9932124594710283,0.9944762444077743,0.994731274093801,0.9942302634213261,0.9932124594710283,0.9925158410070384,0.9938781828184173,0.9919797297797037,0.9938095557688528,0.9880677464496835,0.9919546891137104,0.9900557367976706,0.9999999999999992,0.9957082982900088,0.9921416563217221,0.9930573795697424,0.9930982132250252,0.99082738891238,0.9930982132250247,0.9820434538086752,0.9916594947770712,0.9903053195384778,0.9900417942127462
винний,0.9943373911703822,0.9938869798458775,0.9924698325868423,0.9957230173304981,0.9962334556209737,0.9938869798458775,0.9938869798458775,0.9956169247446301,0.9957230173304981,0.9962334556209737,0.9938869798458775,0.9941736382538544,0.9967937486472324,0.9937308254069656,0.9952127336879073,0.9900161371226308,0.9936219951112523,0.9919264647518906,0.9957082982900088,0.999999999999999,0.9945556550859292,0.9962119292239419,0.9951655635911636,0.9930310259144788,0.9951655635911634,0.9842284778444043,0.99353207446941,0.9921996273516024,0.9916638194704892
бути винним,0.9954635086047751,0.9945862615926947,0.9909787382419386,0.9943444949042684,0.9960511952727421,0.9945862615926947,0.9945862615926947,0.994769401293774,0.9943444949042684,0.9960511952727421,0.9945862615926947,0.9909575049288135,0.9936524999287999,0.9932686086813439,0.9951916151235749,0.9907930542233189,0.9934408976041548,0.9917466875425851,0.9921416563217221,0.9945556550859292,0.9999999999999993,0.9952595791356893,0.9939843141537731,0.9947211377844947,0.9939843141537733,0.9852286756800036,0.9937764610162536,0.9905612329142726,0.9942411582703905
вибачливий,0.9946143059771649,0.9948276894478336,0.9922873051281867,0.9954849092695808,0.9969098461832004,0.9948276894478336,0.9948276894478336,0.9940350889712266,0.9954849092695808,0.9969098461832004,0.9948276894478336,0.9926973790217568,0.9962545152932383,0.9950737279657795,0.9948439339264532,0.9911645091296548,0.9933910031156079,0.9929411877498509,0.9930573795697424,0.9962119292239419,0.9952595791356893,0.9999999999999996,0.9954210671197924,0.9938207640135828,0.9954210671197932,0.9864295076651349,0.9928583243651121,0.9927875395102608,0.9917849409292462
вибачення,0.9948284767988427,0.994652416675042,0.9943446929587805,0.9948572079553121,0.9948210739805307,0.994652416675042,0.994652416675042,0.9949157412146135,0.9948572079553121,0.9948210739805307,0.994652416675042,0.9938007046211356,0.9951160404674072,0.9952606669175088,0.9955639557527435,0.9921735160210798,0.9928503073347219,0.9923906592578902,0.9930982132250252,0.9951655635911636,0.9939843141537731,0.9954210671197924,0.9999999999999997,0.9939402248448583,0.9999999999999998,0.9884183070221305,0.9924209991373937,0.9946379033954936,0.9920029898732802
вибачатися,0.9945151169433964,0.9929150469056064,0.9907190075748519,0.9926771025534487,0.9934534842604557,0.9929150469056064,0.9929150469056064,0.9927948156206341,0.9926771025534487,0.9934534842604557,0.9929150469056064,0.9894957363023948,0.9923872458677055,0.9932360435701956,0.9928359266607231,0.9897043052853762,0.9908294819862346,0.9894576761595963,0.99082738891238,0.9930310259144788,0.9947211377844947,0.9938207640135828,0.9939402248448583,1.0,0.9939402248448584,0.9874511171160554,0.9910639733240756,0.9922094671103098,0.9914020939617527
вибачення,0.9948284767988427,0.994652416675042,0.9943446929587805,0.9948572079553121,0.9948210739805307,0.994652416675042,0.994652416675042,0.9949157412146135,0.9948572079553121,0.9948210739805307,0.994652416675042,0.9938007046211356,0.9951160404674072,0.9952606669175088,0.9955639557527435,0.9921735160210798,0.9928503073347221,0.9923906592578896,0.9930982132250247,0.9951655635911634,0.9939843141537733,0.9954210671197932,0.9999999999999998,0.9939402248448584,0.9999999999999997,0.9884183070221307,0.9924209991373935,0.9946379033954941,0.9920029898732805
вибачте,0.9859035310910964,0.9847071262618388,0.98555615965398,0.9845925926577866,0.9846616154430167,0.9847071262618388,0.9847071262618388,0.9860491750024104,0.9845925926577866,0.9846616154430167,0.9847071262618388,0.9835214715595262,0.9841920840730345,0.9860102507574445,0.983422367119403,0.9844825225732764,0.9814774130947674,0.9824684757542922,0.9820434538086752,0.9842284778444043,0.9852286756800036,0.9864295076651349,0.9884183070221305,0.9874511171160554,0.9884183070221307,0.9999999999999998,0.985533727379752,0.9935617330751121,0.9861443955096771
жаль,0.9928696864757367,0.9928197600331522,0.9889351768518533,0.9935536495765886,0.9948750830406096,0.9928197600331522,0.9928197600331522,0.9959449180907585,0.9935536495765886,0.9948750830406096,0.9928197600331522,0.9907125683380852,0.9925829428624586,0.9905467584112737,0.9922206952052776,0.9892150961016934,0.9900706835387256,0.9896733953142339,0.9916594947770712,0.99353207446941,0.9937764610162536,0.9928583243651121,0.9924209991373937,0.9910639733240756,0.9924209991373935,0.985533727379752,1.0,0.9905750754649103,0.9954077460171434
вибач,0.9918383565832506,0.9907211551764642,0.9920988404864914,0.9910104958452195,0.9912289668727207,0.9907211551764642,0.9907211551764642,0.9920416410153469,0.9910104958452195,0.9912289668727207,0.9907211551764642,0.990268126728701,0.9917394209002668,0.9917147608352264,0.9910455520202495,0.9904940530088032,0.989397925586261,0.9887524054083843,0.9903053195384778,0.9921996273516024,0.9905612329142726,0.9927875395102608,0.9946379033954936,0.9922094671103098,0.9946379033954941,0.9935617330751121,0.9905750754649103,1.0000000000000002,0.9896952820025802
пробачте мене,0.9919071984037159,0.9927886051654748,0.9879358039848226,0.9923909193823256,0.9942608788294863,0.9927886051654748,0.9927886051654748,0.9942184483947515,0.9923909193823256,0.9942608788294863,0.9927886051654748,0.9888034801796818,0.9909195614464132,0.9895409137454636,0.9915343617544488,0.9886070631984788,0.9890732458010406,0.9885399311881901,0.9900417942127462,0.9916638194704892,0.9942411582703905,0.9917849409292462,0.9920029898732802,0.9914020939617527,0.9920029898732805,0.9861443955096771,0.9954077460171434,0.9896952820025802,1.0000000000000004
