,मूल्याङ्कनम्,कृतज्ञ,कृतज्ञता,कृतज्ञता,धन्यवाद,कृतज्ञ,कृतज्ञता,मूल्याङ्कनं करोति,ऋणी,ऋणिता,कर्तव्य,कृतज्ञ,प्रतिज्ञा,ऋणित,ऋणं ददाति,क्षमाप्रार्थक,क्षम्यताम्,माऽनुजानीहि,दुःखम्,क्षम्यताम्,क्षमा याचनाः,क्षमां याचते,क्षमा याचना
कर्तव्य,0.9928287008882326,0.9946833472098121,0.9951536762655464,0.9951536762655464,0.9953133783268239,0.9946833472098121,0.9951536762655464,0.9936220478359576,0.9949973276872871,0.9947041309090434,0.9999999999999999,0.9946833472098118,0.9946121975934674,0.9941691489412647,0.9935576525827647,0.9931795003587127,0.9928611656868793,0.9924028097458203,0.9936971466456713,0.9928611656868793,0.9938256860492655,0.9920741772465067,0.990421245807145
कृतज्ञ,0.9944185035890285,0.9999999999999986,0.9966230327924525,0.9966230327924525,0.9955891195985398,0.9999999999999986,0.9966230327924525,0.9953017644029432,0.9959413567477663,0.9960431016499958,0.9946833472098118,0.9999999999999997,0.9948935695528209,0.9949263945395949,0.9958702069966757,0.9971215424777664,0.9957214977910664,0.9943057680130576,0.9946861307100384,0.9957214977910664,0.9950079425743327,0.9941683430106922,0.9915446915951207
प्रतिज्ञा,0.9951979012590182,0.994893569552821,0.996997739299159,0.996997739299159,0.9961913354941657,0.994893569552821,0.996997739299159,0.9961671311973153,0.996261525359157,0.9950894628608915,0.9946121975934674,0.9948935695528209,0.9999999999999993,0.9956403056983275,0.994700239388137,0.9956846591061512,0.9935262228407652,0.9923640847364731,0.9963016116705113,0.9935262228407652,0.9944220340773245,0.9943536619484475,0.9944241762083357
ऋणित,0.9945080336843687,0.9949263945395956,0.9973047203076788,0.9973047203076788,0.9961250867402146,0.9949263945395956,0.9973047203076788,0.9950128630275428,0.9967039944071177,0.9978520469308093,0.9941691489412647,0.9949263945395949,0.9956403056983275,0.9999999999999994,0.9967641349749707,0.9953390795894441,0.9942310952589888,0.9929040027721231,0.9947850821754277,0.9942310952589888,0.9933604562138264,0.9931811166119252,0.9925356899214013
ऋणं ददाति,0.9937532401436718,0.9958702069966759,0.9963124864968415,0.9963124864968415,0.9951361217351623,0.9958702069966759,0.9963124864968415,0.9949241210795119,0.9974940517776592,0.9973824202955759,0.9935576525827647,0.9958702069966757,0.994700239388137,0.9967641349749707,0.9999999999999994,0.995830682816027,0.9948413557058179,0.9952568253941655,0.9948824772934797,0.9948413557058179,0.9940896152867708,0.9926702610315595,0.9913401900963819
क्षमाप्रार्थक,0.9956126912896756,0.9971215424777673,0.9966710360983329,0.9966710360983329,0.9958865580958088,0.9971215424777673,0.9966710360983329,0.9961764501887342,0.9954008708091466,0.9957370497283559,0.9931795003587127,0.9971215424777664,0.9956846591061512,0.9953390795894441,0.995830682816027,0.9999999999999997,0.995824148587438,0.9930395391006291,0.995556379917609,0.995824148587438,0.9954403424829196,0.9954943541676924,0.9944748364914592
क्षम्यताम्,0.9951349246373005,0.9957214977910664,0.9959901092299498,0.9959901092299498,0.9950052083563952,0.9957214977910664,0.9959901092299498,0.9943136483443638,0.9942291572000231,0.9951021072048433,0.9928611656868793,0.9957214977910664,0.9935262228407652,0.9942310952589888,0.9948413557058179,0.995824148587438,1.0000000000000004,0.9934219262508486,0.9958190692525027,1.0000000000000004,0.9955077075428038,0.9934149395157033,0.9923486642474997
माऽनुजानीहि,0.9924317207739766,0.9943057680130576,0.9937877245963873,0.9937877245963873,0.9927807526566669,0.9943057680130576,0.9937877245963873,0.9937909855762173,0.9945400816170911,0.9938642697103015,0.9924028097458203,0.9943057680130576,0.9923640847364731,0.9929040027721231,0.9952568253941655,0.9930395391006291,0.9934219262508486,0.9999999999999991,0.9938476713137036,0.9934219262508486,0.9934198990797227,0.9906704338189143,0.9883133881336791
दुःखम्,0.9959878429857818,0.9946861307100384,0.9961435470161585,0.9961435470161585,0.9963952920889886,0.9946861307100384,0.9961435470161585,0.9960332841285617,0.9947663092301177,0.9949974569238437,0.9936971466456713,0.9946861307100384,0.9963016116705113,0.9947850821754277,0.9948824772934797,0.995556379917609,0.9958190692525027,0.9938476713137036,1.0,0.9958190692525027,0.9963538429996083,0.9943336398209179,0.9942271779558868
क्षम्यताम्,0.9951349246373005,0.9957214977910664,0.9959901092299498,0.9959901092299498,0.9950052083563952,0.9957214977910664,0.9959901092299498,0.9943136483443638,0.9942291572000231,0.9951021072048433,0.9928611656868793,0.9957214977910664,0.9935262228407652,0.9942310952589888,0.9948413557058179,0.995824148587438,1.0000000000000004,0.9934219262508486,0.9958190692525027,1.0000000000000004,0.9955077075428038,0.9934149395157033,0.9923486642474997
क्षमा याचनाः,0.9939006977396843,0.9950079425743327,0.9949750980957531,0.9949750980957531,0.9952149355259706,0.9950079425743327,0.9949750980957531,0.9950703351657506,0.9944606992883154,0.9944509774014241,0.9938256860492655,0.9950079425743327,0.9944220340773245,0.9933604562138264,0.9940896152867708,0.9954403424829196,0.9955077075428038,0.9934198990797227,0.9963538429996083,0.9955077075428038,0.9999999999999999,0.9952763187450704,0.9949983170433674
क्षमां याचते,0.9954263092434894,0.9941683430106922,0.9946201566982407,0.9946201566982407,0.9942580307420872,0.9941683430106922,0.9946201566982407,0.9948062839097167,0.9934658696023918,0.9935847682017422,0.9920741772465067,0.9941683430106922,0.9943536619484475,0.9931811166119252,0.9926702610315595,0.9954943541676924,0.9934149395157033,0.9906704338189143,0.9943336398209179,0.9934149395157033,0.9952763187450704,0.9999999999999999,0.9964685681917491
क्षमा याचना,0.9936347436421874,0.9915446915951207,0.9937888427420501,0.9937888427420501,0.9940076103868267,0.9915446915951207,0.9937888427420501,0.9933158724655512,0.9921343351589546,0.9923257188544595,0.990421245807145,0.9915446915951207,0.9944241762083357,0.9925356899214013,0.9913401900963819,0.9944748364914592,0.9923486642474997,0.9883133881336791,0.9942271779558868,0.9923486642474997,0.9949983170433674,0.9964685681917491,0.9999999999999999
