,قدرداني,مننه,شکر,منندوی,مننې,شکر ګزار,شکر ګزاري,قدرداني کول,پوروړی,قرضدار,پوروالی,قرضداري,مکلفیت,اړ,مجبور,مکلفیت,پوروړی,قرضدار,پوروړی کېدل,ذمه واري,ذمه واري,قرض لرل,بښنې,بښنه,خواشيني,بخښنه غواړئ,بخښنه غواړم,بښنه غوښتونکی,بښنه غوښتل,ما وبښه
مکلفیت,0.9924475666527206,0.9945509012599897,0.9944236818691994,0.9949830441889567,0.9873685983649807,0.9927247410913036,0.9927247410913036,0.983222039386904,0.987368598364981,0.9969869637115198,0.9935220840244371,0.9963590009750012,0.9999999999999996,0.987368598364981,0.9938416957017071,0.9999999999999996,0.9873685983649807,0.9969869637115195,0.9880532247709376,0.9949219719694439,0.9949219719694439,0.9953979985393446,0.9873685983649807,0.9873685983649807,0.9928455066162729,0.9880532247709376,0.9880532247709376,0.9880532247709376,0.9880532247709376,0.9922984845186624
اړ,0.9857676424369083,0.9898670844482523,0.9909948679740146,0.9888336722303559,0.9999999999999997,0.9943918519779953,0.9943918519779953,0.9733356085593221,0.9999999999999996,0.9890393458012049,0.9882316041929846,0.98764627480129,0.987368598364981,0.9999999999999996,0.9899020779303097,0.987368598364981,0.9999999999999997,0.989039345801205,0.9969010283935453,0.9903763802051251,0.9903763802051251,0.9889216711554178,0.9999999999999997,0.9999999999999997,0.9877899568580024,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928485778324126
مجبور,0.9919584698972902,0.9949354352113717,0.9957266880966296,0.9936189343359885,0.9899020779303104,0.9949483457902983,0.9949483457902983,0.9805490822755243,0.9899020779303097,0.9960827354758224,0.993318842685008,0.995052473162499,0.9938416957017071,0.9899020779303097,1.0,0.9938416957017071,0.9899020779303104,0.9960827354758223,0.9904984009843788,0.9957366608600632,0.9957366608600632,0.9958262383284219,0.9899020779303104,0.9899020779303104,0.9939700774093728,0.9904984009843788,0.9904984009843788,0.9904984009843788,0.9904984009843788,0.9942826509926248
مکلفیت,0.9924475666527206,0.9945509012599897,0.9944236818691994,0.9949830441889567,0.9873685983649807,0.9927247410913036,0.9927247410913036,0.983222039386904,0.987368598364981,0.9969869637115198,0.9935220840244371,0.9963590009750012,0.9999999999999996,0.987368598364981,0.9938416957017071,0.9999999999999996,0.9873685983649807,0.9969869637115195,0.9880532247709376,0.9949219719694439,0.9949219719694439,0.9953979985393446,0.9873685983649807,0.9873685983649807,0.9928455066162729,0.9880532247709376,0.9880532247709376,0.9880532247709376,0.9880532247709376,0.9922984845186624
پوروړی,0.9857676424369083,0.9898670844482523,0.9909948679740146,0.9888336722303559,0.9999999999999997,0.9943918519779953,0.9943918519779953,0.9733356085593221,0.9999999999999997,0.989039345801205,0.9882316041929856,0.9876462748012899,0.9873685983649807,0.9999999999999997,0.9899020779303104,0.9873685983649807,0.9999999999999996,0.9890393458012049,0.9969010283935443,0.9903763802051251,0.9903763802051251,0.9889216711554187,0.9999999999999996,0.9999999999999996,0.9877899568580024,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928485778324126
قرضدار,0.9936757910895893,0.9955126906801325,0.9954704226517783,0.995668696519242,0.989039345801205,0.9942724388124661,0.9942724388124661,0.9841710164335025,0.989039345801205,1.0000000000000002,0.9945641780658037,0.9983599625453554,0.9969869637115195,0.989039345801205,0.9960827354758223,0.9969869637115195,0.9890393458012049,1.0,0.9897151164160046,0.9962477923391162,0.9962477923391162,0.9968741921099178,0.9890393458012049,0.9890393458012049,0.9943188431639373,0.9897151164160046,0.9897151164160046,0.9897151164160046,0.9897151164160046,0.9936140859157991
پوروړی کېدل,0.986823359998599,0.9911574432293242,0.9909436484006628,0.988826591393702,0.9969010283935453,0.9953446460686974,0.9953446460686974,0.9754109130556877,0.9969010283935453,0.9897151164160046,0.9882452430456532,0.9887346237619152,0.9880532247709376,0.9969010283935453,0.9904984009843788,0.9880532247709376,0.9969010283935443,0.9897151164160046,0.9999999999999998,0.9919514975147246,0.9919514975147246,0.9895231626193116,0.9969010283935443,0.9969010283935443,0.9876667981533254,0.9999999999999988,0.9999999999999988,0.9999999999999988,0.9999999999999988,0.9944722692203771
ذمه واري,0.9921293285166675,0.9968421699636145,0.9967073514512974,0.9944715322225824,0.9903763802051251,0.9965390575026697,0.9965390575026697,0.9817221935856084,0.9903763802051251,0.9962477923391159,0.994446830968558,0.9959351582542031,0.9949219719694439,0.9903763802051251,0.9957366608600632,0.9949219719694439,0.9903763802051251,0.9962477923391162,0.9919514975147246,0.9999999999999994,0.9999999999999994,0.9968017573214237,0.9903763802051251,0.9903763802051251,0.994426810202647,0.9919514975147248,0.9919514975147248,0.9919514975147248,0.9919514975147248,0.9962760971868952
ذمه واري,0.9921293285166675,0.9968421699636145,0.9967073514512974,0.9944715322225824,0.9903763802051251,0.9965390575026697,0.9965390575026697,0.9817221935856084,0.9903763802051251,0.9962477923391159,0.994446830968558,0.9959351582542031,0.9949219719694439,0.9903763802051251,0.9957366608600632,0.9949219719694439,0.9903763802051251,0.9962477923391162,0.9919514975147246,0.9999999999999994,0.9999999999999994,0.9968017573214237,0.9903763802051251,0.9903763802051251,0.994426810202647,0.9919514975147248,0.9919514975147248,0.9919514975147248,0.9919514975147248,0.9962760971868952
قرض لرل,0.9924101662275072,0.9952236667392315,0.9961010323468963,0.9941960904005501,0.9889216711554178,0.9948102205071269,0.9948102205071269,0.9832782499997605,0.9889216711554178,0.9968741921099179,0.9936251983403275,0.996116033331299,0.9953979985393446,0.9889216711554178,0.9958262383284219,0.9953979985393446,0.9889216711554187,0.9968741921099178,0.9895231626193116,0.9968017573214237,0.9968017573214237,0.999999999999999,0.9889216711554187,0.9889216711554187,0.9946074331141884,0.9895231626193123,0.9895231626193123,0.9895231626193123,0.9895231626193123,0.9938034068888948
بښنې,0.9857676424369083,0.9898670844482523,0.9909948679740146,0.9888336722303559,0.9999999999999997,0.9943918519779953,0.9943918519779953,0.9733356085593221,0.9999999999999997,0.989039345801205,0.9882316041929856,0.9876462748012899,0.9873685983649807,0.9999999999999997,0.9899020779303104,0.9873685983649807,0.9999999999999996,0.9890393458012049,0.9969010283935443,0.9903763802051251,0.9903763802051251,0.9889216711554187,0.9999999999999996,0.9999999999999996,0.9877899568580024,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928485778324126
بښنه,0.9857676424369083,0.9898670844482523,0.9909948679740146,0.9888336722303559,0.9999999999999997,0.9943918519779953,0.9943918519779953,0.9733356085593221,0.9999999999999997,0.989039345801205,0.9882316041929856,0.9876462748012899,0.9873685983649807,0.9999999999999997,0.9899020779303104,0.9873685983649807,0.9999999999999996,0.9890393458012049,0.9969010283935443,0.9903763802051251,0.9903763802051251,0.9889216711554187,0.9999999999999996,0.9999999999999996,0.9877899568580024,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9969010283935453,0.9928485778324126
خواشيني,0.9901916743697943,0.9944861783534754,0.9941892843066807,0.9949547964870068,0.9877899568580024,0.99199327648146,0.99199327648146,0.9786911130984702,0.9877899568580024,0.9943188431639373,0.9938329320186953,0.9942056549617241,0.9928455066162729,0.9877899568580024,0.9939700774093728,0.9928455066162729,0.9877899568580024,0.9943188431639373,0.9876667981533254,0.994426810202647,0.994426810202647,0.9946074331141884,0.9877899568580024,0.9877899568580024,0.9999999999999993,0.9876667981533255,0.9876667981533255,0.9876667981533255,0.9876667981533255,0.9909297043675115
بخښنه غواړئ,0.986823359998599,0.9911574432293242,0.9909436484006628,0.988826591393702,0.9969010283935453,0.9953446460686974,0.9953446460686974,0.9754109130556877,0.9969010283935453,0.9897151164160046,0.9882452430456532,0.9887346237619152,0.9880532247709376,0.9969010283935453,0.9904984009843788,0.9880532247709376,0.9969010283935453,0.9897151164160046,0.9999999999999988,0.9919514975147248,0.9919514975147248,0.9895231626193123,0.9969010283935453,0.9969010283935453,0.9876667981533255,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.994472269220376
بخښنه غواړم,0.986823359998599,0.9911574432293242,0.9909436484006628,0.988826591393702,0.9969010283935453,0.9953446460686974,0.9953446460686974,0.9754109130556877,0.9969010283935453,0.9897151164160046,0.9882452430456532,0.9887346237619152,0.9880532247709376,0.9969010283935453,0.9904984009843788,0.9880532247709376,0.9969010283935453,0.9897151164160046,0.9999999999999988,0.9919514975147248,0.9919514975147248,0.9895231626193123,0.9969010283935453,0.9969010283935453,0.9876667981533255,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.994472269220376
بښنه غوښتونکی,0.986823359998599,0.9911574432293242,0.9909436484006628,0.988826591393702,0.9969010283935453,0.9953446460686974,0.9953446460686974,0.9754109130556877,0.9969010283935453,0.9897151164160046,0.9882452430456532,0.9887346237619152,0.9880532247709376,0.9969010283935453,0.9904984009843788,0.9880532247709376,0.9969010283935453,0.9897151164160046,0.9999999999999988,0.9919514975147248,0.9919514975147248,0.9895231626193123,0.9969010283935453,0.9969010283935453,0.9876667981533255,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.994472269220376
بښنه غوښتل,0.986823359998599,0.9911574432293242,0.9909436484006628,0.988826591393702,0.9969010283935453,0.9953446460686974,0.9953446460686974,0.9754109130556877,0.9969010283935453,0.9897151164160046,0.9882452430456532,0.9887346237619152,0.9880532247709376,0.9969010283935453,0.9904984009843788,0.9880532247709376,0.9969010283935453,0.9897151164160046,0.9999999999999988,0.9919514975147248,0.9919514975147248,0.9895231626193123,0.9969010283935453,0.9969010283935453,0.9876667981533255,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.9999999999999998,0.994472269220376
ما وبښه,0.9891857785923276,0.9947491728187081,0.9957652735103905,0.9915280329692266,0.9928485778324126,0.9975837643123554,0.9975837643123554,0.9772942720683808,0.9928485778324126,0.9936140859157991,0.991414485880603,0.9926251335893258,0.9922984845186624,0.9928485778324126,0.9942826509926248,0.9922984845186624,0.9928485778324126,0.9936140859157991,0.9944722692203771,0.9962760971868952,0.9962760971868952,0.9938034068888948,0.9928485778324126,0.9928485778324126,0.9909297043675115,0.994472269220376,0.994472269220376,0.994472269220376,0.994472269220376,1.0
