,баалоо,баалоо,ыраазы,ыраазылык,ыраазылык,рахмат,ыраазы,ыраазылык,карыздар,карыздарлык,милдет,милдеттүү,милдет,карыз болуу,карызы бар,кечиримдер,кечирим,кечириңиз,өкүнүч,кечирим сураган,кечирим сура,мени кечириңиз,кечирип коюңуз
милдет,0.9928007964343322,0.9928007964343322,0.9930822523317488,0.9896466477750611,0.9896466477750611,0.9909938444031855,0.9930822523317488,0.9896466477750611,0.9919720149860507,0.9944585473730685,0.999999999999999,0.9928210858591261,0.999999999999999,0.9911730088595668,0.9901360049454258,0.992510462952879,0.9944827623182275,0.9897667430810211,0.9884396295528166,0.9941345734642567,0.9948219619823219,0.9881340307699774,0.9927247849922046
милдеттүү,0.9880774217812464,0.9880774217812464,0.9907771954087112,0.9877704549104711,0.9877704549104711,0.9901536875850023,0.9907771954087112,0.9877704549104711,0.9918391513642723,0.9942076787329178,0.9928210858591261,0.9999999999999997,0.9928210858591261,0.9931189601292665,0.9905738185383712,0.9922764069061908,0.9929730037999698,0.9919522068530628,0.9892379000815499,0.99202434056692,0.991809153705063,0.9914765748650509,0.9933931151696953
милдет,0.9928007964343322,0.9928007964343322,0.9930822523317488,0.9896466477750611,0.9896466477750611,0.9909938444031855,0.9930822523317488,0.9896466477750611,0.9919720149860507,0.9944585473730685,0.999999999999999,0.9928210858591261,0.999999999999999,0.9911730088595668,0.9901360049454258,0.992510462952879,0.9944827623182275,0.9897667430810211,0.9884396295528166,0.9941345734642567,0.9948219619823219,0.9881340307699774,0.9927247849922046
карыз болуу,0.9906421130399272,0.9906421130399272,0.9923024473466895,0.9906453247753382,0.9906453247753382,0.9871377974368475,0.9923024473466895,0.9906453247753382,0.9945648694853826,0.9949002500357652,0.9911730088595668,0.9931189601292665,0.9911730088595668,0.9999999999999993,0.9917721229465432,0.9918799127730507,0.991974763871887,0.9896355375480964,0.9890984507686353,0.993802642926352,0.9934110016555177,0.9890496390820273,0.993366815328568
карызы бар,0.9877007923832741,0.9877007923832741,0.9913284732591339,0.9880510327522991,0.9880510327522991,0.9865300009148738,0.9913284732591339,0.9880510327522991,0.9931733189812391,0.9933129349468831,0.9901360049454258,0.9905738185383712,0.9901360049454258,0.9917721229465432,0.9999999999999997,0.9910964702723927,0.9914419810088537,0.9888377496075273,0.9851111028772089,0.9917281212472716,0.992191345593795,0.9888575564141298,0.9914335419380167
кечиримдер,0.9900701640904762,0.9900701640904762,0.9943283713125183,0.9898093282602448,0.9898093282602448,0.9898391203551333,0.9943283713125183,0.9898093282602448,0.9931784233692554,0.9936896857709137,0.992510462952879,0.9922764069061908,0.992510462952879,0.9918799127730507,0.9910964702723927,0.9999999999999994,0.9964766843277112,0.9955190502737066,0.988645425443822,0.9952739804747052,0.995866089635136,0.9936920017354363,0.9954950285602956
кечирим,0.9929447079790558,0.9929447079790558,0.9943227557249865,0.9914781053165174,0.9914781053165174,0.9904228229655035,0.9943227557249865,0.9914781053165174,0.9936846795861155,0.994583151922211,0.9944827623182275,0.9929730037999698,0.9944827623182275,0.991974763871887,0.9914419810088537,0.9964766843277112,0.9999999999999998,0.993052563460784,0.9888044182769624,0.997035611349161,0.9977743785427945,0.9909590439790499,0.9951754940574241
кечириңиз,0.9858803680173954,0.9858803680173954,0.9908071434335918,0.9867457481441471,0.9867457481441471,0.9882352404536066,0.9908071434335918,0.9867457481441471,0.98953287722813,0.9906893806053296,0.9897667430810211,0.9919522068530628,0.9897667430810211,0.9896355375480964,0.9888377496075273,0.9955190502737066,0.993052563460784,0.9999999999999999,0.9871523350481504,0.9915972803561176,0.9922314707922268,0.9971384004757524,0.9961423465173841
өкүнүч,0.9869827522361911,0.9869827522361911,0.9889056198968735,0.9889690233594218,0.9889690233594218,0.9841771714556747,0.9889056198968735,0.9889690233594218,0.9883209149860617,0.9911499857589966,0.9884396295528166,0.9892379000815499,0.9884396295528166,0.9890984507686353,0.9851111028772089,0.988645425443822,0.9888044182769624,0.9871523350481504,0.9999999999999998,0.9893922233600955,0.9892744876604845,0.9854446884774263,0.9889446927810736
кечирим сураган,0.9938214169647045,0.9938214169647045,0.9948169864620511,0.9927176717845284,0.9927176717845284,0.9900592363931405,0.9948169864620511,0.9927176717845284,0.9943188653090926,0.995371569433521,0.9941345734642567,0.99202434056692,0.9941345734642567,0.993802642926352,0.9917281212472716,0.9952739804747052,0.997035611349161,0.9915972803561176,0.9893922233600955,0.9999999999999991,0.9981951239672068,0.9901234687126447,0.9948649203194567
кечирим сура,0.9946449682921261,0.9946449682921261,0.9956936819073585,0.9934775212682803,0.9934775212682803,0.9908166508793594,0.9956936819073585,0.9934775212682803,0.9945598505699521,0.9954985669726266,0.9948219619823219,0.991809153705063,0.9948219619823219,0.9934110016555177,0.992191345593795,0.995866089635136,0.9977743785427945,0.9922314707922268,0.9892744876604845,0.9981951239672068,0.9999999999999993,0.9905277907836245,0.9952816624752439
мени кечириңиз,0.9848608850147841,0.9848608850147841,0.9887765690699033,0.9843872814357844,0.9843872814357844,0.9882719157909087,0.9887765690699033,0.9843872814357844,0.9886066919005517,0.9895277020022848,0.9881340307699774,0.9914765748650509,0.9881340307699774,0.9890496390820273,0.9888575564141298,0.9936920017354363,0.9909590439790499,0.9971384004757524,0.9854446884774263,0.9901234687126447,0.9905277907836245,1.0,0.9945111167899956
кечирип коюңуз,0.990298139090549,0.990298139090549,0.9932572555595418,0.9903597779186298,0.9903597779186298,0.9893996823679347,0.9932572555595418,0.9903597779186298,0.9929521729137961,0.9942220924209726,0.9927247849922046,0.9933931151696953,0.9927247849922046,0.993366815328568,0.9914335419380167,0.9954950285602956,0.9951754940574241,0.9961423465173841,0.9889446927810736,0.9948649203194567,0.9952816624752439,0.9945111167899956,0.9999999999999998
