,apreciar,apreciacion,gratitud,gratitud,mercé,gratitud,gratus / reconéisser,reconéisser / gratus,endebitada,endebitat,endebitament,obligacion,obligada,obligat,obligacion,dever,devent,en deute,excusant,excusas,s'excusar,excusa,tristesa,desolat,excusatz-me,pardonatz-me
endebitament,0.9839728827570816,0.988890439363048,0.9908461082700377,0.9908461082700377,0.9879489397970805,0.9908461082700377,0.9901684321279905,0.9911936131252473,0.9953965274849745,0.9962062880560903,0.9999999999999993,0.9875831959622797,0.9904997020221318,0.9907803884529187,0.9875831959622797,0.9885993368466196,0.9897745546532335,0.9908252057605056,0.9922665307886717,0.9919056867790792,0.9899008369610526,0.9903465090491123,0.9917751556007636,0.9912175746843223,0.9787284430209034,0.9874968287067211
obligacion,0.9837219604736029,0.9928028595666463,0.9896086697667057,0.9896086697667057,0.9848787163183279,0.9896086697667057,0.9880334276571233,0.989204477225639,0.9863807329827206,0.9875608079108277,0.9875831959622797,1.0,0.9920358658977029,0.9908594592971282,1.0,0.984162909238637,0.9860687996157502,0.987446307263722,0.9888115560965343,0.9904430106824459,0.9873605394924009,0.9889440915134338,0.9897840172282026,0.9891809510110819,0.9773272759237562,0.9859246746523838
obligada,0.9874624211933349,0.9899699987241265,0.9941613703816268,0.9941613703816268,0.9902525227286679,0.9941613703816268,0.992323647395256,0.9937656383074194,0.992027164957509,0.991288671288644,0.9904997020221318,0.9920358658977029,0.9999999999999993,0.9967150869519236,0.9920358658977029,0.9908915901661413,0.9925509455273499,0.990746725727239,0.9936607597928363,0.993454800225937,0.9917183708555091,0.993670275778356,0.9938485810869375,0.9940546563441243,0.980951115753931,0.9901154994066758
obligat,0.9868095182667435,0.9892112947023327,0.9942713989623214,0.9942713989623214,0.9890683306685294,0.9942713989623214,0.992727723391595,0.9938931989970059,0.9904715029855834,0.9918641806202959,0.9907803884529187,0.9908594592971282,0.9967150869519236,1.0,0.9908594592971282,0.990903963658242,0.991968990555162,0.9907804389817769,0.9940154169493787,0.9936548406404263,0.9917806476279669,0.9929186924751718,0.9929684502613306,0.9935814976926822,0.9814591445130975,0.9911380972269017
obligacion,0.9837219604736029,0.9928028595666463,0.9896086697667057,0.9896086697667057,0.9848787163183279,0.9896086697667057,0.9880334276571233,0.989204477225639,0.9863807329827206,0.9875608079108277,0.9875831959622797,1.0,0.9920358658977029,0.9908594592971282,1.0,0.984162909238637,0.9860687996157502,0.987446307263722,0.9888115560965343,0.9904430106824459,0.9873605394924009,0.9889440915134338,0.9897840172282026,0.9891809510110819,0.9773272759237562,0.9859246746523838
dever,0.9843160118176056,0.984501648402439,0.9910827925702456,0.9910827925702456,0.9906865859218925,0.9910827925702456,0.9916311321255382,0.9922931032554324,0.9904537592236414,0.9897303908826836,0.9885993368466196,0.984162909238637,0.9908915901661413,0.990903963658242,0.984162909238637,0.9999999999999992,0.9973025658329667,0.9902604528890581,0.9948738810977565,0.9913246715924641,0.9914810523428708,0.9925347416579428,0.9919420474115286,0.9929573658702683,0.9794932241805797,0.9875350533946108
devent,0.9856286204250454,0.9865209814022847,0.9917161938003286,0.9917161938003286,0.9919278474764535,0.9917161938003286,0.9930558621540816,0.9936930474017485,0.9920952011544969,0.9911930086106547,0.9897745546532335,0.9860687996157502,0.9925509455273499,0.991968990555162,0.9860687996157502,0.9973025658329667,0.9999999999999998,0.9911931561679622,0.9955266932554306,0.9926993972084847,0.9923908685178329,0.9934013878153388,0.9937308963695105,0.9948138191837096,0.980289893009591,0.9892974663091649
en deute,0.9844812205211707,0.9885100139871527,0.9905392753414959,0.9905392753414959,0.9897295319437931,0.9905392753414959,0.9924513931272446,0.9930358271394978,0.9901746744727747,0.9908806551718238,0.9908252057605056,0.987446307263722,0.990746725727239,0.9907804389817769,0.987446307263722,0.9902604528890581,0.9911931561679622,0.9999999999999996,0.9931204791213549,0.9926110635496609,0.9922985167829749,0.991580049037316,0.9912763172068709,0.9933687596965766,0.9835602098571873,0.9907722629704764
excusant,0.9874091629660143,0.990042071137992,0.9942671096161302,0.9942671096161302,0.9915078450915729,0.9942671096161302,0.9952161575465505,0.9957610750359629,0.9933293965427988,0.9931720201301453,0.9922665307886717,0.9888115560965343,0.9936607597928363,0.9940154169493787,0.9888115560965343,0.9948738810977565,0.9955266932554306,0.9931204791213549,1.0,0.9968934552805988,0.994937216620203,0.9971577812445843,0.9965001676425437,0.9968302867524453,0.9846210782282594,0.9922714013595305
excusas,0.9872823645565018,0.9920706543541035,0.9936574923075493,0.9936574923075493,0.9902174727676204,0.9936574923075493,0.9937076155971007,0.9945121581016408,0.9923792484064636,0.9931999816918101,0.9919056867790792,0.9904430106824459,0.993454800225937,0.9936548406404263,0.9904430106824459,0.9913246715924641,0.9926993972084847,0.9926110635496609,0.9968934552805988,0.9999999999999992,0.9944510422729536,0.9970375815433554,0.9958956503098153,0.995383346678981,0.9853307982292062,0.9930832475297482
s'excusar,0.9877680160387835,0.9887372514704152,0.9911212321430694,0.9911212321430694,0.9887904804984373,0.9911212321430694,0.9936606382360339,0.9940758319912003,0.9904557344781179,0.9912532877989136,0.9899008369610526,0.9873605394924009,0.9917183708555091,0.9917806476279669,0.9873605394924009,0.9914810523428708,0.9923908685178329,0.9922985167829749,0.994937216620203,0.9944510422729536,1.0000000000000002,0.9934741570754587,0.9934723672367975,0.9946703280857875,0.983651041196135,0.9915350819548516
excusa,0.9864427291562133,0.9889698487318053,0.9937210098697221,0.9937210098697221,0.9912998041765677,0.9937210098697221,0.9938071552247841,0.9946207934711432,0.9920060886570315,0.99131065830677,0.9903465090491123,0.9889440915134338,0.993670275778356,0.9929186924751718,0.9889440915134338,0.9925347416579428,0.9934013878153388,0.991580049037316,0.9971577812445843,0.9970375815433554,0.9934741570754587,1.0000000000000004,0.9956101219456249,0.9955360175747145,0.9835586503241245,0.9914447496698974
tristesa,0.987082489643336,0.9910436857636667,0.9929250691726781,0.9929250691726781,0.9924798581691594,0.9929250691726781,0.9938654823186319,0.9948771347448954,0.9927467841942292,0.9924083418777802,0.9917751556007636,0.9897840172282026,0.9938485810869375,0.9929684502613306,0.9897840172282026,0.9919420474115286,0.9937308963695105,0.9912763172068709,0.9965001676425437,0.9958956503098153,0.9934723672367975,0.9956101219456249,0.9999999999999996,0.9966507979757336,0.9822715103935642,0.9916446147009361
desolat,0.9881054011277371,0.9902091437083753,0.9935037124894521,0.9935037124894521,0.9917870296126923,0.9935037124894521,0.9952317695390915,0.9960637461462611,0.99203551520828,0.9924103101466912,0.9912175746843223,0.9891809510110819,0.9940546563441243,0.9935814976926822,0.9891809510110819,0.9929573658702683,0.9948138191837096,0.9933687596965766,0.9968302867524453,0.995383346678981,0.9946703280857875,0.9955360175747145,0.9966507979757336,0.9999999999999999,0.9842119978414843,0.992958378512182
excusatz-me,0.9777465040141743,0.978444009098153,0.9814924877586675,0.9814924877586675,0.9778651712554273,0.9814924877586675,0.9817924288173941,0.9824784374749187,0.9784162022938274,0.9808217240330046,0.9787284430209034,0.9773272759237562,0.980951115753931,0.9814591445130975,0.9773272759237562,0.9794932241805797,0.980289893009591,0.9835602098571873,0.9846210782282594,0.9853307982292062,0.983651041196135,0.9835586503241245,0.9822715103935642,0.9842119978414843,0.9999999999999996,0.9895610089630533
pardonatz-me,0.9861756634501039,0.9869418778378307,0.9898874026202888,0.9898874026202888,0.987008961616981,0.9898874026202888,0.9901679406905688,0.9912164058005816,0.9876197415971861,0.9900919561554538,0.9874968287067211,0.9859246746523838,0.9901154994066758,0.9911380972269017,0.9859246746523838,0.9875350533946108,0.9892974663091649,0.9907722629704764,0.9922714013595305,0.9930832475297482,0.9915350819548516,0.9914447496698974,0.9916446147009361,0.992958378512182,0.9895610089630533,1.0000000000000002
