,אַריבערשיצן,אַפּרישעציִע,דאַנקבאַר,דאַנקבאַרקייט,אָדאַנק,דאַנקבאַר,דאַנקבאַרקייט,הכרת הטוב,שולדיק,שולדיקייט,פליכט,מחויב,פארפליכטונג,שולדיק,שולדיק זײַן,אַנטשולדיקנדיק,אַנטשולדיקונגען,אַנטשולדיקונג,חרטה,אנטשולדיגונג,אַנטשולדיקן זיך,אנטשולדיגט מיר,פֿאַרלאָז מיר
פליכט,0.9948043438364643,0.9943409985384243,0.9960787215849398,0.9956131282306008,0.9958500799596993,0.9960787215849398,0.9956131282306008,0.9911735119995199,0.9952697285963907,0.9950470767343723,0.9999999999999996,0.995656506560546,0.9971434926171503,0.9952697285963907,0.9940317405787361,0.9955123042862489,0.9942561851962036,0.9949021718276718,0.9947843697820234,0.9950530126023395,0.9952043412566569,0.9961800841974263,0.9953591218078246
מחויב,0.9958849499020384,0.9966136135879212,0.996252400759191,0.9959588027908783,0.996107793640581,0.996252400759191,0.9959588027908783,0.9943236449078641,0.9942455709932597,0.9954893774732412,0.995656506560546,0.9999999999999999,0.9961206774371313,0.9942455709932597,0.9951623579391121,0.9970851320566242,0.9959925343903626,0.9963708864547305,0.9959635951418665,0.9967302244539674,0.9959820031193829,0.9957318426839428,0.9954086815802186
פארפליכטונג,0.9954416268416286,0.9952720446182015,0.9980312229662524,0.9978980352030806,0.9968666184760745,0.9980312229662524,0.9978980352030806,0.9928338975294382,0.9943880862615513,0.996477992423208,0.9971434926171503,0.9961206774371313,1.0000000000000004,0.9943880862615513,0.9949112109638166,0.9978217253147857,0.9964768797445935,0.9982950804368679,0.9953541060378648,0.998017987807961,0.9962922094384813,0.9973616793029992,0.9975270713417974
שולדיק,0.9962186843068364,0.9940427204990334,0.9949361004817079,0.9939648898034905,0.995097131024935,0.9949361004817079,0.9939648898034905,0.9909192148581275,0.9999999999999993,0.9962259242270739,0.9952697285963907,0.9942455709932597,0.9943880862615513,0.9999999999999993,0.9939704773917306,0.9942362199552408,0.9940540300680056,0.9940852430801675,0.9946939627333382,0.9935743777377719,0.9942634079243913,0.99490092326991,0.9931349878005324
שולדיק זײַן,0.9946732049587445,0.9962807945727519,0.9954314053545067,0.9949937760984161,0.9950828811161954,0.9954314053545067,0.9949937760984161,0.9951609357770996,0.9939704773917306,0.9959285993324759,0.9940317405787361,0.9951623579391121,0.9949112109638166,0.9939704773917306,1.0,0.9956229699738809,0.9961093783370686,0.9956390916206618,0.9962000261878514,0.9955776256686061,0.9970049921816907,0.9958850293952525,0.9944784193143829
אַנטשולדיקנדיק,0.9963814363578505,0.9962939770994809,0.9978494167349637,0.9978727761126878,0.9967745238616142,0.9978494167349637,0.9978727761126878,0.9936121033100822,0.9942362199552408,0.9970422082008666,0.9955123042862489,0.9970851320566242,0.9978217253147857,0.9942362199552408,0.9956229699738809,0.9999999999999999,0.9978788039113804,0.998754794568293,0.9962696700100655,0.9987010982690417,0.9969967832975533,0.9974519409270305,0.9970713578468579
אַנטשולדיקונגען,0.9966613061838273,0.9966900982311906,0.9971509925276825,0.9966270204520602,0.9959338599937366,0.9971509925276825,0.9966270204520602,0.9939867088415016,0.9940540300680056,0.9968877007845074,0.9942561851962036,0.9959925343903626,0.9964768797445935,0.9940540300680056,0.9961093783370686,0.9978788039113804,0.9999999999999998,0.99832368227714,0.996642450265621,0.9979702621388217,0.9981615023463484,0.9977708317740608,0.996125323856293
אַנטשולדיקונג,0.9960646410419425,0.9958235591819068,0.9980409973735115,0.9978264014045747,0.9970069940805082,0.9980409973735115,0.9978264014045747,0.9936197496600447,0.9940852430801675,0.9974206310004077,0.9949021718276718,0.9963708864547305,0.9982950804368679,0.9940852430801675,0.9956390916206618,0.998754794568293,0.99832368227714,0.9999999999999998,0.9960292924994737,0.9993390302181956,0.9970128049952907,0.9978212036020166,0.9970707771886526
חרטה,0.9966065783861361,0.997130295016299,0.996700554741343,0.995866314810699,0.9952348138743615,0.996700554741343,0.995866314810699,0.9942556925854281,0.9946939627333382,0.9963102287555982,0.9947843697820234,0.9959635951418665,0.9953541060378648,0.9946939627333382,0.9962000261878514,0.9962696700100655,0.996642450265621,0.9960292924994737,0.9999999999999994,0.9960083975319399,0.9965718723372141,0.9964903465409927,0.9955053044747146
אנטשולדיגונג,0.9959715182733683,0.9959092472371892,0.9976761006611585,0.9975991833955953,0.996960365119947,0.9976761006611585,0.9975991833955953,0.9940570960693784,0.9935743777377719,0.9967595774245535,0.9950530126023395,0.9967302244539674,0.998017987807961,0.9935743777377719,0.9955776256686061,0.9987010982690417,0.9979702621388217,0.9993390302181956,0.9960083975319399,1.0,0.9970662323438138,0.9977509808202203,0.9970656657451437
אַנטשולדיקן זיך,0.9961729696033593,0.9971282026124956,0.9967715382894573,0.9959792507356041,0.9962682622699394,0.9967715382894573,0.9959792507356041,0.99469740631684,0.9942634079243913,0.9963669428422918,0.9952043412566569,0.9959820031193829,0.9962922094384813,0.9942634079243913,0.9970049921816907,0.9969967832975533,0.9981615023463484,0.9970128049952907,0.9965718723372141,0.9970662323438138,0.9999999999999999,0.9984335784166137,0.996310672662994
אנטשולדיגט מיר,0.9959914992847185,0.9963648210544084,0.9979720704551881,0.9968888315782839,0.9971809919615103,0.9979720704551881,0.9968888315782839,0.9934639159225549,0.99490092326991,0.9968706132785056,0.9961800841974263,0.9957318426839428,0.9973616793029992,0.99490092326991,0.9958850293952525,0.9974519409270305,0.9977708317740608,0.9978212036020166,0.9964903465409927,0.9977509808202203,0.9984335784166137,0.9999999999999992,0.9981766365864292
פֿאַרלאָז מיר,0.9943349252677934,0.995104737844606,0.9974499998447233,0.9967276766729114,0.9969544110333934,0.9974499998447233,0.9967276766729114,0.9928543017703946,0.9931349878005324,0.9951095892646405,0.9953591218078246,0.9954086815802186,0.9975270713417974,0.9931349878005324,0.9944784193143829,0.9970713578468579,0.996125323856293,0.9970707771886526,0.9955053044747146,0.9970656657451437,0.996310672662994,0.9981766365864292,0.9999999999999992
