,apreciar,apreciación,agradecida,agradecido,agradecemento,gratitude,grazas,agradecida,agradecido,agradecemento,endebedada,endebedado,endebedamento,obrigación,obrigada,obrigado,obrigación,deber,debendo,con débeda,desculpante,desculpas,desculparse,desculpa,desculpa,perdoa,perdóame,pena,síntoo
endebedada,0.9854615575571513,0.9901851807440986,0.9908274254508395,0.9898744940842557,0.9922826176950619,0.9832636028765922,0.97146471958776,0.9908274254508395,0.989874494084256,0.9922826176950615,0.9999999999999994,0.9950752102139545,0.9970711073821428,0.9886661813348485,0.9883575257595769,0.9889554326305839,0.9886661813348481,0.9932288701823863,0.9940245709479562,0.9919788993843652,0.993758038598612,0.9930408630309001,0.9935838299011118,0.9929198304087358,0.9929198304087358,0.9943962258429311,0.9928001787062982,0.9913929913498382,0.9943745394586164
endebedado,0.9834943658635739,0.9908920467005858,0.9884902996432412,0.989440832388595,0.989538726395008,0.9821583502047757,0.9698327506285586,0.9884902996432412,0.9894408323885945,0.9895387263950086,0.9950752102139545,1.0,0.9945691526106069,0.9915649458193824,0.9864151659152678,0.991246569157015,0.9915649458193813,0.9903025861193502,0.9930696641822326,0.9908078008515626,0.9911447261907933,0.9899623619419801,0.9906618192729946,0.9905798102424217,0.9905798102424217,0.9929379890839723,0.991843187360414,0.9910727714195782,0.990882306334988
endebedamento,0.9876242168374441,0.990771366615153,0.9925063786164221,0.9923278171932759,0.993949237294607,0.9862871610789555,0.9703157643582881,0.9925063786164221,0.9923278171932771,0.9939492372946066,0.9970711073821428,0.9945691526106069,0.9999999999999993,0.9898256968727135,0.9897996432466357,0.9907570111981308,0.9898256968727136,0.9933417300853734,0.9948075758761697,0.9937017964578063,0.9942145820804204,0.9939438488629887,0.9951695873144645,0.9948184912378404,0.9948184912378404,0.9938388317669256,0.9933651189713407,0.993951744547522,0.9950746958322891
obrigación,0.9829793653182523,0.99353741624722,0.9887356135089479,0.9895066215283574,0.9900864225854136,0.983536329079698,0.9676590007400115,0.9887356135089479,0.9895066215283581,0.9900864225854131,0.9886661813348485,0.9915649458193824,0.9898256968727135,1.0000000000000004,0.9893856242580203,0.9933239390449289,0.9999999999999994,0.9916163130645548,0.9917668251774318,0.9922912752883281,0.9888911941123034,0.9871247090134525,0.988376847965898,0.9884948328298173,0.9884948328298173,0.9916425873428354,0.9896935772974631,0.9908104574977488,0.9889242892864414
obrigada,0.9856309921555655,0.9863397811487568,0.9903811330850554,0.9904510968291745,0.9908930092205013,0.9847606822863952,0.967525712339051,0.9903811330850554,0.9904510968291738,0.9908930092205013,0.9883575257595769,0.9864151659152678,0.9897996432466357,0.9893856242580203,0.9999999999999998,0.9928109309868236,0.9893856242580208,0.9889595421139692,0.9903027835924894,0.9917525370852275,0.9898939593432582,0.9877216284983912,0.9898226844177742,0.9890508961943786,0.9890508961943786,0.9881376040263014,0.9868386801497239,0.9902505285094942,0.9905325724995083
obrigado,0.986443999779415,0.9900910184312152,0.9920999198384384,0.9931294983885326,0.9916935519699032,0.9868078066534502,0.9690534790401825,0.9920999198384384,0.9931294983885322,0.9916935519699024,0.9889554326305839,0.991246569157015,0.9907570111981308,0.9933239390449289,0.9928109309868236,1.0,0.9933239390449283,0.9919442219946304,0.9938272021058844,0.9939307438646692,0.9922636170275267,0.9897351577176958,0.9919160906130121,0.9915033090563389,0.9915033090563389,0.9906088885371519,0.989703560611787,0.9918112486000278,0.990678766476232
obrigación,0.9829793653182523,0.99353741624722,0.9887356135089479,0.9895066215283574,0.9900864225854136,0.983536329079698,0.9676590007400115,0.9887356135089479,0.9895066215283574,0.9900864225854136,0.9886661813348481,0.9915649458193813,0.9898256968727136,0.9999999999999994,0.9893856242580208,0.9933239390449283,1.0000000000000004,0.9916163130645553,0.9917668251774321,0.9922912752883278,0.9888911941123031,0.9871247090134522,0.9883768479658973,0.9884948328298164,0.9884948328298173,0.9916425873428354,0.9896935772974631,0.9908104574977488,0.9889242892864414
deber,0.9862046802253007,0.991840698464913,0.9923199821711465,0.9915083255222953,0.9941406470488381,0.9878540314032799,0.9710797589141452,0.9923199821711465,0.9915083255222953,0.9941406470488381,0.9932288701823863,0.9903025861193502,0.9933417300853734,0.9916163130645548,0.9889595421139692,0.9919442219946304,0.9916163130645553,0.9999999999999996,0.9965847157331169,0.9954868416863113,0.9936782179700117,0.9913370404613874,0.9934584872611681,0.9924757940577873,0.9924757940577873,0.9940744482876405,0.9909713684618944,0.9927809593773946,0.9941690427210506
debendo,0.986689285282311,0.9915567416751202,0.9934668600759935,0.9935981197014827,0.9944090362092216,0.9880485869438669,0.9722788780293818,0.9934668600759935,0.9935981197014827,0.9944090362092216,0.9940245709479562,0.9930696641822326,0.9948075758761697,0.9917668251774318,0.9903027835924894,0.9938272021058844,0.9917668251774321,0.9965847157331169,0.9999999999999996,0.9967944676270203,0.9955091126991874,0.9927433948266751,0.9950590854988179,0.9940351030001147,0.9940351030001146,0.9941724806416349,0.9917802610651691,0.9945390641097874,0.9943088401471051
con débeda,0.9878925358807216,0.99134339959241,0.9943110256179623,0.9945041478234236,0.9951777287028698,0.9891286069024012,0.9707977318555479,0.9943110256179623,0.9945041478234236,0.9951777287028698,0.9919788993843652,0.9908078008515626,0.9937017964578063,0.9922912752883281,0.9917525370852275,0.9939307438646692,0.9922912752883278,0.9954868416863113,0.9967944676270203,0.9999999999999992,0.9943118832914827,0.9918923893391929,0.9944479421341185,0.9934157818352412,0.993415781835241,0.9923332403996011,0.9905949861361648,0.9942082590913129,0.9935198167666062
desculpante,0.9862969399540275,0.9904665503711049,0.9936124831096994,0.99228185874373,0.9933851813573371,0.9859867929728232,0.9708928352355726,0.9936124831096994,0.99228185874373,0.9933851813573371,0.993758038598612,0.9911447261907933,0.9942145820804204,0.9888911941123034,0.9898939593432582,0.9922636170275267,0.9888911941123031,0.9936782179700117,0.9955091126991874,0.9943118832914827,0.9999999999999999,0.9950466663265325,0.9971605494069892,0.9955808041982822,0.9955808041982827,0.9930562409424328,0.9910901494511365,0.9925409929387013,0.9943632624415168
desculpas,0.9866642294548695,0.9886802375761843,0.9923614535367166,0.9913686819636697,0.9929831827325388,0.9849234621778766,0.9697115794284816,0.9923614535367166,0.9913686819636697,0.9929831827325388,0.9930408630309001,0.9899623619419801,0.9939438488629887,0.9871247090134525,0.9877216284983912,0.9897351577176958,0.9871247090134522,0.9913370404613874,0.9927433948266751,0.9918923893391929,0.9950466663265325,0.9999999999999993,0.9961338381922943,0.9967479436484953,0.9967479436484946,0.9922497810905967,0.9917279822719895,0.990984888457884,0.9927755950921315
desculparse,0.9875883096951,0.9901679537594188,0.9940326546407913,0.9927845534052055,0.9939250941189345,0.9869604310372694,0.9715151571441987,0.9940326546407913,0.9927845534052055,0.9939250941189345,0.9935838299011118,0.9906618192729946,0.9951695873144645,0.988376847965898,0.9898226844177742,0.9919160906130121,0.9883768479658973,0.9934584872611681,0.9950590854988179,0.9944479421341185,0.9971605494069892,0.9961338381922943,0.9999999999999989,0.9964413217910518,0.9964413217910515,0.9928741303582459,0.9919806682121601,0.992752487007982,0.9949041779601357
desculpa,0.9878232109678858,0.9899378255102568,0.9935133707628053,0.9925733063669057,0.9932705989875666,0.986716859726275,0.9698187124374085,0.9935133707628053,0.9925733063669057,0.9932705989875666,0.9929198304087358,0.9905798102424217,0.9948184912378404,0.9884948328298173,0.9890508961943786,0.9915033090563389,0.9884948328298164,0.9924757940577873,0.9940351030001147,0.9934157818352412,0.9955808041982822,0.9967479436484953,0.9964413217910518,0.9999999999999998,1.0000000000000007,0.9930517931303351,0.992787597317802,0.9925831798626568,0.9937684435206519
desculpa,0.9878232109678858,0.9899378255102568,0.9935133707628053,0.9925733063669057,0.9932705989875666,0.986716859726275,0.9698187124374085,0.9935133707628053,0.9925733063669057,0.9932705989875666,0.9929198304087358,0.9905798102424217,0.9948184912378404,0.9884948328298173,0.9890508961943786,0.9915033090563389,0.9884948328298173,0.9924757940577873,0.9940351030001146,0.993415781835241,0.9955808041982827,0.9967479436484946,0.9964413217910515,1.0000000000000007,0.9999999999999998,0.9930517931303352,0.9927875973178026,0.9925831798626565,0.9937684435206511
perdoa,0.9866904621035406,0.9933448307116364,0.9905067325649338,0.9898539587928814,0.9919411162972152,0.9837827601017183,0.9735012301733067,0.9905067325649338,0.9898539587928814,0.9919411162972152,0.9943962258429311,0.9929379890839723,0.9938388317669256,0.9916425873428354,0.9881376040263014,0.9906088885371519,0.9916425873428354,0.9940744482876405,0.9941724806416349,0.9923332403996011,0.9930562409424328,0.9922497810905967,0.9928741303582459,0.9930517931303351,0.9930517931303352,0.9999999999999992,0.9960172617870143,0.9927585890406172,0.9944819783215695
perdóame,0.9865943921813207,0.9911309442143975,0.9897291834050485,0.9890872884865545,0.9911252418159483,0.9827402138771915,0.9687337296864319,0.9897291834050485,0.9890872884865545,0.9911252418159483,0.9928001787062982,0.991843187360414,0.9933651189713407,0.9896935772974631,0.9868386801497239,0.989703560611787,0.9896935772974631,0.9909713684618944,0.9917802610651691,0.9905949861361648,0.9910901494511365,0.9917279822719895,0.9919806682121601,0.992787597317802,0.9927875973178026,0.9960172617870143,0.9999999999999993,0.9911101069241709,0.992470042742536
pena,0.9868341608593068,0.9898160451288847,0.9922143571296002,0.9925217934105706,0.9929012818651911,0.9872722491894045,0.9731991929192564,0.9922143571296002,0.9925217934105706,0.9929012818651911,0.9913929913498382,0.9910727714195782,0.993951744547522,0.9908104574977488,0.9902505285094942,0.9918112486000278,0.9908104574977488,0.9927809593773946,0.9945390641097874,0.9942082590913129,0.9925409929387013,0.990984888457884,0.992752487007982,0.9925831798626568,0.9925831798626565,0.9927585890406172,0.9911101069241709,0.9999999999999996,0.9941781720694686
síntoo,0.9876369905171695,0.990769994944612,0.9923551643018004,0.9912617257514953,0.9936611761725879,0.9871428267903997,0.9723283713543145,0.9923551643018004,0.9912617257514953,0.9936611761725879,0.9943745394586164,0.990882306334988,0.9950746958322891,0.9889242892864414,0.9905325724995083,0.990678766476232,0.9889242892864414,0.9941690427210506,0.9943088401471051,0.9935198167666062,0.9943632624415168,0.9927755950921315,0.9949041779601357,0.9937684435206519,0.9937684435206511,0.9944819783215695,0.992470042742536,0.9941781720694686,1.0000000000000002
