,ceniti,cenjenje,hvaležen,hvaležna,hvaležnost,hvaležnost,hvala,hvaležen,hvaležna,hvaležnost,zadolgovan,zadolžena,zadolženost,obveznost,zavezan,zavezana,zaveza,dolgovati,dolžen,dolžna,opravičujoč,opravičila,opravičilo,oprostite,žalost,oprosti,odpustite mi,opravičiti se,pomagajte mi
zadolgovan,0.993145437763751,0.9918605145567357,0.9941106163797891,0.9922000815100185,0.9920967952271854,0.9920967952271854,0.9898033625230708,0.9941106163797891,0.9922000815100198,0.992096795227185,0.9999999999999993,0.9934380472566056,0.9925036974966852,0.99172166734369,0.9925800157051563,0.9943860138485741,0.9916808163651049,0.9921345674421069,0.9942579227503117,0.9933344635514375,0.9939257081064286,0.9831055913507852,0.9885215392493003,0.9930666494875154,0.9930442787937566,0.9932256123613259,0.9901621745830751,0.9905378317789005,0.9904006155179661
zadolžena,0.9932338047005684,0.9914300168507058,0.9948045524341034,0.9954208582827286,0.9925983869873117,0.9925983869873117,0.9892753328592722,0.9948045524341034,0.995420858282728,0.9925983869873124,0.9934380472566056,0.9999999999999993,0.9934886333792388,0.9916456208148667,0.9914457279422126,0.9944176064036399,0.9913309640995241,0.9935567929575825,0.9936228403720725,0.9924935879691028,0.9935084293807358,0.9834257391826583,0.9888000230847702,0.9936908452623903,0.9933619414702001,0.9937437182223474,0.9924851346517298,0.9926729437657364,0.992913621119372
zadolženost,0.9919771069064248,0.993126612790303,0.9925038676909679,0.9917505176618049,0.9944067170615174,0.9944067170615174,0.9898279413801774,0.9925038676909679,0.9917505176618053,0.9944067170615181,0.9925036974966852,0.9934886333792388,1.0,0.9934146646521536,0.9907499801676207,0.9920778072140974,0.9910368765426608,0.9926577727823638,0.9936475051880039,0.9912753487349946,0.9912007106685179,0.9808232630504906,0.9869592653767926,0.992350039247731,0.9916459410330276,0.9918309225462355,0.9902016067184077,0.9908871818947118,0.9908700442777487
obveznost,0.9912889790896297,0.9908043722009285,0.993073097114568,0.9926652203349894,0.9937432378509595,0.9937432378509595,0.9910950940259815,0.993073097114568,0.9926652203349889,0.9937432378509605,0.99172166734369,0.9916456208148667,0.9934146646521536,0.9999999999999997,0.9910788702452847,0.9936856681386141,0.9918394867468535,0.9914306938447021,0.9927820005104123,0.9910912177832215,0.9915636935810996,0.9837526377264036,0.988782905001552,0.9916306105019194,0.9915020878532882,0.9912740208228364,0.9889567430513855,0.9915804195310974,0.9898872302121383
zavezan,0.9917690737829574,0.9890158277304476,0.9924002001767098,0.9906725755847042,0.9900232194554698,0.9900232194554698,0.9904223943953451,0.9924002001767098,0.9906725755847045,0.990023219455471,0.9925800157051563,0.9914457279422126,0.9907499801676207,0.9910788702452847,0.9999999999999992,0.9946345692452971,0.9977116757462264,0.9900741229839408,0.9931899782839426,0.9933330534313781,0.9907299599760434,0.9819579125231354,0.9878771986825279,0.9914465667943652,0.9933312843029385,0.9913767858170852,0.9883963231644363,0.9883587550196574,0.9894893872965624
zavezana,0.9924773580135887,0.9920548868480435,0.9948531391768274,0.9947448612346,0.9926848130344336,0.9926848130344336,0.9918333124360185,0.9948531391768274,0.9947448612345994,0.992684813034432,0.9943860138485741,0.9944176064036399,0.9920778072140974,0.9936856681386141,0.9946345692452971,0.9999999999999993,0.9960676589059891,0.9919242555612742,0.9933107490206006,0.9927452678905596,0.9939389996331154,0.9840951836185748,0.9892680328709346,0.992813823254948,0.9933680280436971,0.9926787802888754,0.9900099617723441,0.9915847726464571,0.9904628041577941
zaveza,0.9901995380082271,0.9888445833880815,0.9923618368103724,0.9915712387174153,0.9905783447364517,0.9905783447364517,0.9910046165297491,0.9923618368103724,0.9915712387174153,0.9905783447364517,0.9916808163651049,0.9913309640995241,0.9910368765426608,0.9918394867468535,0.9977116757462264,0.9960676589059891,0.9999999999999991,0.9896582683502353,0.9923108988371049,0.9921080514627028,0.9908497670679353,0.9816539004877377,0.9871622861898857,0.9907786221580239,0.9925601264282279,0.990517155257406,0.9879275163373056,0.9884038744933985,0.988691343057935
dolgovati,0.9935206455263467,0.9914441367451224,0.9952568265252482,0.9943758711910733,0.9942672030823698,0.9942672030823698,0.9889999059950785,0.9952568265252482,0.9943758711910733,0.9942672030823698,0.9921345674421069,0.9935567929575825,0.9926577727823638,0.9914306938447021,0.9900741229839408,0.9919242555612742,0.9896582683502353,0.9999999999999993,0.9937059274654948,0.9913822475055081,0.9934401555173566,0.9815609644850342,0.9880310341646855,0.9932377539571149,0.9914109908688786,0.9949000201652065,0.9952615869944023,0.9945000898303001,0.9959297725672891
dolžen,0.9966951036117273,0.992739945873757,0.995089988672635,0.9932108761248359,0.9938024569968553,0.9938024569968553,0.9919674110046558,0.995089988672635,0.9932108761248359,0.9938024569968553,0.9942579227503117,0.9936228403720725,0.9936475051880039,0.9927820005104123,0.9931899782839426,0.9933107490206006,0.9923108988371049,0.9937059274654948,0.9999999999999998,0.9967176100461392,0.9915108055330422,0.9846655476483185,0.990676702226022,0.9967983711053551,0.9957724454795702,0.9961784583041136,0.9917585132004848,0.9930318315428862,0.9921878108539769
dolžna,0.9944305128051911,0.9897458479443524,0.9934517184007404,0.9920270544477975,0.9910800679129967,0.9910800679129967,0.9903941486706161,0.9934517184007404,0.9920270544477975,0.9910800679129967,0.9933344635514375,0.9924935879691028,0.9912753487349946,0.9910912177832215,0.9933330534313781,0.9927452678905596,0.9921080514627028,0.9913822475055081,0.9967176100461392,0.9999999999999999,0.9899161438957815,0.9846332500219621,0.9898523861022336,0.9942628122624632,0.9961490878084222,0.9941961064605749,0.9898836607285709,0.9908165871857247,0.9902710976676404
opravičujoč,0.9918472977096381,0.9915914634605875,0.9955278696814166,0.9948991243237405,0.9934632658508209,0.9934632658508209,0.990357476805293,0.9955278696814166,0.9948991243237405,0.9934632658508209,0.9939257081064286,0.9935084293807358,0.9912007106685179,0.9915636935810996,0.9907299599760434,0.9939389996331154,0.9908497670679353,0.9934401555173566,0.9915108055330422,0.9899161438957815,0.9999999999999994,0.9841544370379408,0.9893906493956794,0.99190184808807,0.9912413428373062,0.9923897541060409,0.9919971615962155,0.9922707841057998,0.9923249702373009
opravičila,0.9865061882985726,0.9815049088158871,0.9858176618851866,0.9842642962805463,0.9837783943338257,0.9837783943338257,0.9851416812321293,0.9858176618851866,0.9842642962805463,0.9837783943338257,0.9831055913507852,0.9834257391826583,0.9808232630504906,0.9837526377264036,0.9819579125231354,0.9840951836185748,0.9816539004877377,0.9815609644850342,0.9846655476483185,0.9846332500219621,0.9841544370379408,0.9999999999999997,0.9965885843458017,0.9856392972261907,0.9864616298663396,0.9851166179346851,0.9795963473454844,0.9842832763625569,0.9809908255872426
opravičilo,0.9916175538230165,0.9872647507678476,0.9914977290046328,0.9898166738276326,0.9899084357194141,0.9899084357194141,0.9890790715820262,0.9914977290046328,0.9898166738276326,0.9899084357194141,0.9885215392493003,0.9888000230847702,0.9869592653767926,0.988782905001552,0.9878771986825279,0.9892680328709346,0.9871622861898857,0.9880310341646855,0.990676702226022,0.9898523861022336,0.9893906493956794,0.9965885843458017,0.9999999999999998,0.9915458817775276,0.9910533561128839,0.9908633668673527,0.9860714743461564,0.9893406534372097,0.9871314257264296
oprostite,0.9960862553647587,0.9911527853148968,0.9948526285269788,0.9932334723792122,0.9932632094032747,0.9932632094032747,0.9908535937415739,0.9948526285269788,0.9932334723792122,0.9932632094032747,0.9930666494875154,0.9936908452623903,0.992350039247731,0.9916306105019194,0.9914465667943652,0.992813823254948,0.9907786221580239,0.9932377539571149,0.9967983711053551,0.9942628122624632,0.99190184808807,0.9856392972261907,0.9915458817775276,1.0,0.9949644155545576,0.9972009435703764,0.9921379251874934,0.9930819263346923,0.9921205474859196
žalost,0.9943056688498721,0.9895618280880136,0.9938614126333124,0.9923673211010379,0.991537292608796,0.991537292608796,0.9910726298223479,0.9938614126333124,0.9923673211010379,0.991537292608796,0.9930442787937566,0.9933619414702001,0.9916459410330276,0.9915020878532882,0.9933312843029385,0.9933680280436971,0.9925601264282279,0.9914109908688786,0.9957724454795702,0.9961490878084222,0.9912413428373062,0.9864616298663396,0.9910533561128839,0.9949644155545576,0.9999999999999996,0.995021638339314,0.990551476451666,0.9915312012244204,0.990485775710018
oprosti,0.9960204644179714,0.9913603170454028,0.995220753761725,0.9937291608115868,0.9933405949566886,0.9933405949566886,0.9902504121962188,0.995220753761725,0.9937291608115868,0.9933405949566886,0.9932256123613259,0.9937437182223474,0.9918309225462355,0.9912740208228364,0.9913767858170852,0.9926787802888754,0.990517155257406,0.9949000201652065,0.9961784583041136,0.9941961064605749,0.9923897541060409,0.9851166179346851,0.9908633668673527,0.9972009435703764,0.995021638339314,0.9999999999999993,0.9935262746486404,0.9948445703652616,0.9936210244930107
odpustite mi,0.9919211144955324,0.9877303747735182,0.9930234469430795,0.9919960255347728,0.9914454347579222,0.9914454347579222,0.9871495526834883,0.9930234469430795,0.9919960255347728,0.9914454347579222,0.9901621745830751,0.9924851346517298,0.9902016067184077,0.9889567430513855,0.9883963231644363,0.9900099617723441,0.9879275163373056,0.9952615869944023,0.9917585132004848,0.9898836607285709,0.9919971615962155,0.9795963473454844,0.9860714743461564,0.9921379251874934,0.990551476451666,0.9935262746486404,0.9999999999999997,0.9933411990569841,0.9967269978069742
opravičiti se,0.9931913600614904,0.990895094111035,0.9934570177450536,0.9929762501545761,0.991987492163292,0.991987492163292,0.9892518029776138,0.9934570177450536,0.9929762501545761,0.991987492163292,0.9905378317789005,0.9926729437657364,0.9908871818947118,0.9915804195310974,0.9883587550196574,0.9915847726464571,0.9884038744933985,0.9945000898303001,0.9930318315428862,0.9908165871857247,0.9922707841057998,0.9842832763625569,0.9893406534372097,0.9930819263346923,0.9915312012244204,0.9948445703652616,0.9933411990569841,1.0,0.9939740693716317
pomagajte mi,0.9920807704985299,0.9887398187754171,0.9934744456755751,0.992354314471052,0.9914422371081821,0.9914422371081821,0.9880927602784294,0.9934744456755751,0.992354314471052,0.9914422371081821,0.9904006155179661,0.992913621119372,0.9908700442777487,0.9898872302121383,0.9894893872965624,0.9904628041577941,0.988691343057935,0.9959297725672891,0.9921878108539769,0.9902710976676404,0.9923249702373009,0.9809908255872426,0.9871314257264296,0.9921205474859196,0.990485775710018,0.9936210244930107,0.9967269978069742,0.9939740693716317,0.9999999999999999
