,വിലമതിക്കുക,വിലമതിക്കല്‍,നന്ദിയുള്ള,നന്ദിയുള്ളത്,കൃതജ്ഞത,നന്ദി,നന്ദിയുള്ള,കൃതജ്ഞത,കടപ്പെട്ട,കടബാധ്യത,നിർബന്ധം,ബാധ്യത,നിർബന്ധിതൻ,ബാധ്യസ്ഥൻ,ബാധ്യത,കടമുള്ള,കടം ഉള്ളത്,ക്ഷമാപ്രാർത്ഥനയുള്ള,ക്ഷമാപണങ്ങൾ,ക്ഷമാപണം,ക്ഷമിക്കൂ,ദു:ഖം,ക്ഷമിക്കണം,ക്ഷമ ചോദിക്കുക,എന്നെ ക്ഷമിക്കൂ
ബാധ്യത,0.9923821573939469,0.9898995466792949,0.9926457058897882,0.9934013581312738,0.993689585650293,0.9888551235218024,0.9926457058897882,0.993689585650293,0.9931466349236265,0.9982399263904502,0.9922829110316841,0.9999999999999987,0.9902332893785435,0.9931259910953681,0.9999999999999987,0.9909999369498648,0.992771727175092,0.9938372296679236,0.9950658079165994,0.9946685437113276,0.9931748648045743,0.9893680823952006,0.9904486773907827,0.9936174804488404,0.9913284686721789
നിർബന്ധിതൻ,0.9907756103932068,0.9954462470786978,0.9924254704493864,0.9919542459198263,0.9929319664818476,0.9895786065518032,0.9924254704493864,0.9929319664818476,0.9938386474285997,0.9912507161109874,0.9921513963033499,0.9902332893785435,0.9999999999999994,0.9978976351168817,0.9902332893785435,0.9935014626852464,0.9921707533490993,0.9928232443563253,0.9935524672873515,0.9934352216516305,0.9955830529698313,0.990901084208558,0.9902318476588778,0.9911967586750542,0.992204427433108
ബാധ്യസ്ഥൻ,0.9926068568310882,0.9963724636678096,0.9939809325685358,0.9938847405116792,0.9955925025500605,0.9907828258312492,0.9939809325685358,0.9955925025500605,0.9945225205622832,0.9938314665669091,0.9923643275772154,0.9931259910953681,0.9978976351168817,0.9999999999999998,0.9931259910953681,0.9934495078574936,0.9935361279958472,0.9951543255188848,0.9957531262948216,0.9957137548828436,0.9969625309571779,0.9923565362895721,0.9920507838796189,0.9931507619462568,0.9937209148966049
ബാധ്യത,0.9923821573939469,0.9898995466792949,0.9926457058897882,0.9934013581312738,0.993689585650293,0.9888551235218024,0.9926457058897882,0.993689585650293,0.9931466349236265,0.9982399263904502,0.9922829110316841,0.9999999999999987,0.9902332893785435,0.9931259910953681,0.9999999999999987,0.9909999369498648,0.992771727175092,0.9938372296679236,0.9950658079165994,0.9946685437113276,0.9931748648045743,0.9893680823952006,0.9904486773907827,0.9936174804488404,0.9913284686721789
കടമുള്ള,0.9919451531458023,0.9915021723711879,0.9948278913217076,0.9930083646662515,0.9926569776027941,0.9901470879667047,0.9948278913217076,0.9926569776027941,0.9964441034632496,0.9917477168213185,0.9909082780600273,0.9909999369498648,0.9935014626852464,0.9934495078574936,0.9909999369498648,1.0,0.9927950480045128,0.9931447806030624,0.9930147722247761,0.9943034462839746,0.9950585649696917,0.9919236203109666,0.9926922909907174,0.9921839940228419,0.9936743271000875
കടം ഉള്ളത്,0.9912782987733696,0.9912154057526417,0.9941846033877136,0.9955459689343409,0.9937078860788636,0.9898595712218334,0.9941846033877136,0.9937078860788636,0.9947315866632779,0.9942220546956859,0.9914936883022322,0.992771727175092,0.9921707533490993,0.9935361279958472,0.992771727175092,0.9927950480045128,0.9999999999999991,0.9940939167120071,0.9950673331656918,0.9945086033087346,0.9945101467402495,0.9910564913715748,0.9913316041917138,0.9921388976114477,0.9924035005608232
ക്ഷമാപ്രാർത്ഥനയുള്ള,0.9952044216856275,0.9924237697757692,0.9961825529274217,0.9960854917100084,0.9968210694801535,0.9898808550570721,0.9961825529274217,0.9968210694801535,0.9939772713721713,0.9947075740401021,0.9921760373491832,0.9938372296679236,0.9928232443563253,0.9951543255188848,0.9938372296679236,0.9931447806030624,0.9940939167120071,0.9999999999999994,0.9959088516454992,0.9967359041072862,0.9970722950575146,0.9934442434683981,0.9949842741401544,0.9962232496188836,0.9966778985981414
ക്ഷമാപണങ്ങൾ,0.9930388847891222,0.9925184165637914,0.9944320067628959,0.995134371240851,0.9964663358911946,0.9915178336296079,0.9944320067628959,0.9964663358911946,0.9950282236470152,0.9963726184294248,0.9927847843481097,0.9950658079165994,0.9935524672873515,0.9957531262948216,0.9950658079165994,0.9930147722247761,0.9950673331656918,0.9959088516454992,1.0,0.9969142146236674,0.99672785272007,0.9921632038192387,0.9927460760926045,0.9940492143325449,0.9942881255762661
ക്ഷമാപണം,0.9958268314835373,0.9940708043670548,0.9948367562981671,0.9955342257857951,0.9972751311321426,0.9908920004773792,0.9948367562981671,0.9972751311321426,0.9954161815557425,0.994975859239057,0.9930645839832484,0.9946685437113276,0.9934352216516305,0.9957137548828436,0.9946685437113276,0.9943034462839746,0.9945086033087346,0.9967359041072862,0.9969142146236674,0.9999999999999992,0.9971605948759757,0.9939468477055116,0.9964943130587562,0.9959942525216454,0.9959193211867978
ക്ഷമിക്കൂ,0.9952982346712057,0.9951579259208072,0.9953645377773874,0.9956590814723908,0.9967928906771887,0.9916788693715403,0.9953645377773874,0.9967928906771887,0.9954756212386309,0.9943205999405775,0.9921133611628511,0.9931748648045743,0.9955830529698313,0.9969625309571779,0.9931748648045743,0.9950585649696917,0.9945101467402495,0.9970722950575146,0.99672785272007,0.9971605948759757,1.0,0.9945252303546801,0.9951976431629062,0.9959885329991348,0.9973129447836938
ദു:ഖം,0.990824716266626,0.9906555748300795,0.992400302088421,0.9926666163736935,0.9943388017371798,0.9895365250594752,0.992400302088421,0.9943388017371798,0.992442603630626,0.9907295633576311,0.9875995953582665,0.9893680823952006,0.990901084208558,0.9923565362895721,0.9893680823952006,0.9919236203109666,0.9910564913715748,0.9934442434683981,0.9921632038192387,0.9939468477055116,0.9945252303546801,1.0000000000000004,0.9914462059552543,0.993028729060779,0.993850245128689
ക്ഷമിക്കണം,0.9971371389150054,0.9913230632237902,0.9924170863302528,0.9935032443523114,0.9941875691237715,0.987983413801619,0.9924170863302528,0.9941875691237715,0.9924182831391423,0.9906718343201314,0.9901153589691667,0.9904486773907827,0.9902318476588778,0.9920507838796189,0.9904486773907827,0.9926922909907174,0.9913316041917138,0.9949842741401544,0.9927460760926045,0.9964943130587562,0.9951976431629062,0.9914462059552543,0.9999999999999989,0.9968346122248126,0.9967698835243409
ക്ഷമ ചോദിക്കുക,0.9979887849509197,0.9915439411452956,0.9932823490009676,0.9945268832984051,0.994927703103011,0.989067614576487,0.9932823490009676,0.994927703103011,0.9926917895437071,0.993546271232892,0.9901872253845939,0.9936174804488404,0.9911967586750542,0.9931507619462568,0.9936174804488404,0.9921839940228419,0.9921388976114477,0.9962232496188836,0.9940492143325449,0.9959942525216454,0.9959885329991348,0.993028729060779,0.9968346122248126,0.9999999999999996,0.9971832853189443
എന്നെ ക്ഷമിക്കൂ,0.996245110884647,0.9921830579555091,0.9943272514729131,0.9950430231538157,0.9953187339273559,0.9896738091721214,0.9943272514729131,0.9953187339273559,0.9936870802934735,0.9920361943422267,0.9903269010082723,0.9913284686721789,0.992204427433108,0.9937209148966049,0.9913284686721789,0.9936743271000875,0.9924035005608232,0.9966778985981414,0.9942881255762661,0.9959193211867978,0.9973129447836938,0.993850245128689,0.9967698835243409,0.9971832853189443,1.0
