,қадршиносӣ,сипосгузор,сипосгузорӣ,миннатдорӣ,ташаккур,миннатдор,миннатдорӣ,қадр кардан,қарздор,қарздории,мулзим,қарздор,қарздор будан,ӯҳдадорӣ (ūҳdadorī),ӯҳдадори́ (ūҳdadorī),узрхоҳона,узрхоҳона,узрҳо,узрҳо,узр,узр,бубахшед,бубахшед,мебахшед,афсӯс,афсӯс,мебахшед,маро бубахшед,маро бубахшед,узр пурсидан,узр пурсидан
мулзим,0.9941546728172235,0.9939527328163846,0.9936114791932121,0.991873282226613,0.9913213994165931,0.9896971477792977,0.991873282226613,0.9928973612255243,0.990329759893289,0.9909674454405781,0.9999999999999996,0.990329759893289,0.9917901340225554,0.9898664999464083,0.9898664999464083,0.9896685115159591,0.9896685115159595,0.9891951443369719,0.9891951443369719,0.9893703773674775,0.9893703773674775,0.9944515603682672,0.9944515603682672,0.993361816335225,0.9956970934665191,0.9956970934665191,0.993361816335225,0.9926319786424717,0.9926319786424717,0.9909336689896833,0.9909336689896833
қарздор,0.9942861874691465,0.9915865288754899,0.9929316829102119,0.9909989358973869,0.9942520496078814,0.9902849172822867,0.9909989358973869,0.9924731116359374,0.9999999999999993,0.9979373780116071,0.990329759893289,0.9999999999999993,0.9937637426404635,0.9911912169654455,0.9911912169654455,0.9916082490572721,0.9916082490572725,0.9916997272889858,0.9916997272889858,0.9881313231974779,0.9881313231974779,0.9934201638784854,0.9934201638784854,0.9909723665295402,0.9920823499748345,0.9920823499748345,0.9909723665295402,0.9911310704443824,0.9911310704443824,0.9919364346430292,0.9919364346430292
қарздор будан,0.9937816200250332,0.9904077350049098,0.9904061473705723,0.9905104871508563,0.9897852098024615,0.9878488158012476,0.9905104871508563,0.9938177778839933,0.9937637426404635,0.9929509468516731,0.9917901340225554,0.9937637426404635,0.9999999999999993,0.9871899239633475,0.9871899239633475,0.9882376401818522,0.9882376401818527,0.9869994149395819,0.9869994149395819,0.986983732763348,0.986983732763348,0.9914663084394342,0.9914663084394342,0.9899254337717729,0.9919683167674908,0.9919683167674908,0.9899254337717729,0.9892987225203371,0.9892987225203371,0.9893836565326553,0.9893836565326553
ӯҳдадорӣ (ūҳdadorī),0.9906266891426768,0.9924249361439893,0.9941102715547385,0.9926689256148968,0.9913177898519318,0.990101147620182,0.9926689256148968,0.9901032958707998,0.9911912169654455,0.9903105482567948,0.9898664999464083,0.9911912169654455,0.9871899239633475,0.9999999999999996,0.9999999999999996,0.9931597912097603,0.9931597912097617,0.9945835203190622,0.9945835203190622,0.9884042671576015,0.9884042671576015,0.9941844869215729,0.9941844869215729,0.9934000417678474,0.9921154942096061,0.9921154942096061,0.9934000417678474,0.9925580175471351,0.9925580175471351,0.9928120898908365,0.9928120898908365
ӯҳдадори́ (ūҳdadorī),0.9906266891426768,0.9924249361439893,0.9941102715547385,0.9926689256148968,0.9913177898519318,0.990101147620182,0.9926689256148968,0.9901032958707998,0.9911912169654455,0.9903105482567948,0.9898664999464083,0.9911912169654455,0.9871899239633475,0.9999999999999996,0.9999999999999996,0.9931597912097603,0.9931597912097617,0.9945835203190622,0.9945835203190622,0.9884042671576015,0.9884042671576015,0.9941844869215729,0.9941844869215729,0.9934000417678474,0.9921154942096061,0.9921154942096061,0.9934000417678474,0.9925580175471351,0.9925580175471351,0.9928120898908365,0.9928120898908365
узрхоҳона,0.9917230583244251,0.9921107712893361,0.9940774280894914,0.9925742495756658,0.9918954702325155,0.9911852941762462,0.9925742495756658,0.991010148660425,0.9916082490572721,0.9912296005634866,0.9896685115159591,0.9916082490572721,0.9882376401818522,0.9931597912097603,0.9931597912097603,1.0000000000000002,0.9999999999999994,0.995576266920393,0.995576266920393,0.9884216938961723,0.9884216938961723,0.9946250513596071,0.9946250513596071,0.9932299976062475,0.9921290512708878,0.9921290512708878,0.9932299976062475,0.9925013384836139,0.9925013384836139,0.9934656889463833,0.9934656889463833
узрхоҳона,0.9917230583244251,0.9921107712893361,0.9940774280894914,0.9925742495756658,0.9918954702325155,0.9911852941762462,0.9925742495756658,0.991010148660425,0.9916082490572725,0.9912296005634872,0.9896685115159595,0.9916082490572725,0.9882376401818527,0.9931597912097617,0.9931597912097617,0.9999999999999994,1.0000000000000002,0.9955762669203921,0.9955762669203921,0.9884216938961717,0.9884216938961717,0.9946250513596081,0.9946250513596081,0.9932299976062484,0.9921290512708878,0.9921290512708878,0.9932299976062475,0.9925013384836139,0.9925013384836139,0.9934656889463833,0.9934656889463833
узрҳо,0.9911230398556411,0.9928237209979597,0.994677016452148,0.9923555909810882,0.9927000981954733,0.9910680464000299,0.9923555909810882,0.990479674472236,0.9916997272889858,0.9908583237852616,0.9891951443369719,0.9916997272889858,0.9869994149395819,0.9945835203190622,0.9945835203190622,0.995576266920393,0.9955762669203921,0.999999999999999,0.999999999999999,0.9894345785140837,0.9894345785140837,0.9945195887975906,0.9945195887975906,0.9938806749281268,0.9921773677541262,0.9921773677541262,0.9938806749281267,0.9927849866565465,0.9927849866565465,0.9943625959807625,0.9943625959807625
узрҳо,0.9911230398556411,0.9928237209979597,0.994677016452148,0.9923555909810882,0.9927000981954733,0.9910680464000299,0.9923555909810882,0.990479674472236,0.9916997272889858,0.9908583237852616,0.9891951443369719,0.9916997272889858,0.9869994149395819,0.9945835203190622,0.9945835203190622,0.995576266920393,0.9955762669203921,0.999999999999999,0.999999999999999,0.9894345785140837,0.9894345785140837,0.9945195887975906,0.9945195887975906,0.9938806749281268,0.9921773677541262,0.9921773677541262,0.9938806749281267,0.9927849866565465,0.9927849866565465,0.9943625959807625,0.9943625959807625
узр,0.9915969879867843,0.9914558087928135,0.9914757916441085,0.9890179117358119,0.988262464511993,0.9878772848048127,0.9890179117358119,0.9885319982273983,0.9881313231974779,0.98851878157391,0.9893703773674775,0.9881313231974779,0.986983732763348,0.9884042671576015,0.9884042671576015,0.9884216938961723,0.9884216938961717,0.9894345785140837,0.9894345785140837,0.9999999999999994,0.9999999999999994,0.9902139997182879,0.9902139997182879,0.9899039740266092,0.991114194514305,0.991114194514305,0.9899039740266096,0.9883229868994271,0.9883229868994271,0.9891552565001136,0.9891552565001136
узр,0.9915969879867843,0.9914558087928135,0.9914757916441085,0.9890179117358119,0.988262464511993,0.9878772848048127,0.9890179117358119,0.9885319982273983,0.9881313231974779,0.98851878157391,0.9893703773674775,0.9881313231974779,0.986983732763348,0.9884042671576015,0.9884042671576015,0.9884216938961723,0.9884216938961717,0.9894345785140837,0.9894345785140837,0.9999999999999994,0.9999999999999994,0.9902139997182879,0.9902139997182879,0.9899039740266092,0.991114194514305,0.991114194514305,0.9899039740266096,0.9883229868994271,0.9883229868994271,0.9891552565001136,0.9891552565001136
бубахшед,0.9946310556011072,0.9960851147463968,0.9966374452294886,0.9951777331960904,0.9957928762607989,0.9933012773331662,0.9951777331960904,0.9928261172404821,0.9934201638784854,0.9933160835170253,0.9944515603682672,0.9934201638784854,0.9914663084394342,0.9941844869215729,0.9941844869215729,0.9946250513596071,0.9946250513596081,0.9945195887975906,0.9945195887975906,0.9902139997182879,0.9902139997182879,0.9999999999999998,0.9999999999999998,0.9980546951569735,0.9967411626515853,0.9967411626515853,0.9980546951569735,0.9973921919381916,0.9973921919381916,0.9949925134415175,0.9949925134415175
бубахшед,0.9946310556011072,0.9960851147463968,0.9966374452294886,0.9951777331960904,0.9957928762607989,0.9933012773331662,0.9951777331960904,0.9928261172404821,0.9934201638784854,0.9933160835170253,0.9944515603682672,0.9934201638784854,0.9914663084394342,0.9941844869215729,0.9941844869215729,0.9946250513596071,0.9946250513596081,0.9945195887975906,0.9945195887975906,0.9902139997182879,0.9902139997182879,0.9999999999999998,0.9999999999999998,0.9980546951569735,0.9967411626515853,0.9967411626515853,0.9980546951569735,0.9973921919381916,0.9973921919381916,0.9949925134415175,0.9949925134415175
мебахшед,0.9928076978525892,0.994647476557657,0.9949217687596663,0.9928611913915977,0.9930656559751538,0.9908793689867502,0.9928611913915977,0.9915931236344436,0.9909723665295402,0.9910814304710794,0.993361816335225,0.9909723665295402,0.9899254337717729,0.9934000417678474,0.9934000417678474,0.9932299976062475,0.9932299976062484,0.9938806749281268,0.9938806749281268,0.9899039740266092,0.9899039740266092,0.9980546951569735,0.9980546951569735,1.0,0.9947879098422878,0.9947879098422878,1.0,0.9957820400729831,0.9957820400729831,0.9933897552460436,0.9933897552460436
афсӯс,0.9954423709458549,0.9963522730164429,0.9965240422608447,0.9947615025175959,0.9935266070948041,0.9918466435322824,0.9947615025175959,0.99308634378134,0.9920823499748345,0.9926565963774278,0.9956970934665191,0.9920823499748345,0.9919683167674908,0.9921154942096061,0.9921154942096061,0.9921290512708878,0.9921290512708878,0.9921773677541262,0.9921773677541262,0.991114194514305,0.991114194514305,0.9967411626515853,0.9967411626515853,0.9947879098422878,0.9999999999999999,0.9999999999999999,0.9947879098422877,0.9955558994723136,0.9955558994723136,0.993297605161781,0.993297605161781
афсӯс,0.9954423709458549,0.9963522730164429,0.9965240422608447,0.9947615025175959,0.9935266070948041,0.9918466435322824,0.9947615025175959,0.99308634378134,0.9920823499748345,0.9926565963774278,0.9956970934665191,0.9920823499748345,0.9919683167674908,0.9921154942096061,0.9921154942096061,0.9921290512708878,0.9921290512708878,0.9921773677541262,0.9921773677541262,0.991114194514305,0.991114194514305,0.9967411626515853,0.9967411626515853,0.9947879098422878,0.9999999999999999,0.9999999999999999,0.9947879098422877,0.9955558994723136,0.9955558994723136,0.993297605161781,0.993297605161781
мебахшед,0.9928076978525892,0.994647476557657,0.9949217687596663,0.9928611913915977,0.9930656559751538,0.9908793689867502,0.9928611913915977,0.9915931236344436,0.9909723665295402,0.9910814304710794,0.993361816335225,0.9909723665295402,0.9899254337717729,0.9934000417678474,0.9934000417678474,0.9932299976062475,0.9932299976062475,0.9938806749281267,0.9938806749281267,0.9899039740266096,0.9899039740266096,0.9980546951569735,0.9980546951569735,1.0,0.9947879098422877,0.9947879098422877,1.0,0.9957820400729827,0.9957820400729827,0.9933897552460438,0.9933897552460438
маро бубахшед,0.99285140672327,0.9950368029873559,0.9950606975870462,0.993138504555819,0.9932024763863375,0.9909603963435563,0.993138504555819,0.9914137222208155,0.9911310704443824,0.990458489442899,0.9926319786424717,0.9911310704443824,0.9892987225203371,0.9925580175471351,0.9925580175471351,0.9925013384836139,0.9925013384836139,0.9927849866565465,0.9927849866565465,0.9883229868994271,0.9883229868994271,0.9973921919381916,0.9973921919381916,0.9957820400729831,0.9955558994723136,0.9955558994723136,0.9957820400729827,0.9999999999999998,0.9999999999999998,0.9927505657340546,0.9927505657340546
маро бубахшед,0.99285140672327,0.9950368029873559,0.9950606975870462,0.993138504555819,0.9932024763863375,0.9909603963435563,0.993138504555819,0.9914137222208155,0.9911310704443824,0.990458489442899,0.9926319786424717,0.9911310704443824,0.9892987225203371,0.9925580175471351,0.9925580175471351,0.9925013384836139,0.9925013384836139,0.9927849866565465,0.9927849866565465,0.9883229868994271,0.9883229868994271,0.9973921919381916,0.9973921919381916,0.9957820400729831,0.9955558994723136,0.9955558994723136,0.9957820400729827,0.9999999999999998,0.9999999999999997,0.9927505657340548,0.9927505657340548
узр пурсидан,0.9917287231550972,0.9931237925787468,0.9944602942855094,0.9928980605709877,0.9938714301514333,0.9911053117692215,0.9928980605709877,0.9924582757566165,0.9919364346430292,0.9914795688270187,0.9909336689896833,0.9919364346430292,0.9893836565326553,0.9928120898908365,0.9928120898908365,0.9934656889463833,0.9934656889463833,0.9943625959807625,0.9943625959807625,0.9891552565001136,0.9891552565001136,0.9949925134415175,0.9949925134415175,0.9933897552460436,0.993297605161781,0.993297605161781,0.9933897552460438,0.9927505657340546,0.9927505657340548,1.0,1.0
узр пурсидан,0.9917287231550972,0.9931237925787468,0.9944602942855094,0.9928980605709877,0.9938714301514333,0.9911053117692215,0.9928980605709877,0.9924582757566165,0.9919364346430292,0.9914795688270187,0.9909336689896833,0.9919364346430292,0.9893836565326553,0.9928120898908365,0.9928120898908365,0.9934656889463833,0.9934656889463833,0.9943625959807625,0.9943625959807625,0.9891552565001136,0.9891552565001136,0.9949925134415175,0.9949925134415175,0.9933897552460436,0.993297605161781,0.993297605161781,0.9933897552460438,0.9927505657340546,0.9927505657340548,1.0,1.0
