,értékel,értékelés,méltányolás,hálás,hála,hála,köszönöm,hálás,hála,eladósodott,eladósodottság,kötelezettség,köteles,kötelezett,kötelezettség,tartozik,adós,tartozásban lévő,bocsánatkérő,bocsánatkérések,bocsánatkérés,elnézést,bánat,sajnálom,bocsánatot kér,bocsáss meg
tartozik,0.9842609691261284,0.9870771153084741,0.9820118589037847,0.9861720815340496,0.9885859121892748,0.9885859121892748,0.978548953235089,0.9861720815340496,0.9885859121892755,0.9864296698688284,0.9783006577935971,0.9837795850490169,0.9851619282974434,0.9868544818131858,0.9837795850490169,0.9999999999999996,0.9872000722929328,0.9904699160912137,0.9832555630578939,0.9817680828110671,0.984055350110854,0.985705437360577,0.9850073120010427,0.9826942773769117,0.9833453008435821,0.9864403025521912
adós,0.9879573087494974,0.9900837057575747,0.9923131736466031,0.9951514686128065,0.9943361836927451,0.9943361836927451,0.9787951346641575,0.9951514686128065,0.9943361836927451,0.9928964562469815,0.9863839820287442,0.9913487161704962,0.9945414052517743,0.9925635309773845,0.9913487161704962,0.9872000722929328,0.9999999999999996,0.992061723102444,0.9928220777631203,0.9882851895295687,0.9936012016085463,0.9950491009951833,0.9934206505970207,0.9913741743849669,0.9923908948051798,0.9929171660178324
tartozásban lévő,0.9892404669917955,0.9910209652674481,0.9874778479971801,0.9909835172281816,0.9918386459630244,0.9918386459630244,0.977545623480117,0.9909835172281816,0.9918386459630244,0.9910023721542286,0.9865055327925428,0.9920343671241078,0.9898704614482733,0.9935513797426686,0.9920343671241078,0.9904699160912137,0.992061723102444,0.9999999999999991,0.9914820843075104,0.9891973099636565,0.991603386572917,0.9899961462520933,0.990962261034231,0.9878603340911636,0.9906109867233149,0.9909533223729258
bocsánatkérő,0.985483705505673,0.9870502678990056,0.9942478343973407,0.9922711873064155,0.991920466732474,0.991920466732474,0.9714221653873578,0.9922711873064155,0.991920466732474,0.9879428533294509,0.9930654199927258,0.9952689731152147,0.993504447095984,0.9937695138381087,0.9952689731152147,0.9832555630578939,0.9928220777631203,0.9914820843075104,0.9999999999999997,0.9949762567665914,0.998975718577013,0.9915001335604169,0.9943595163404501,0.9885042221138214,0.9943699789048496,0.9897346051872248
bocsánatkérések,0.9846009489175446,0.9862262479028141,0.9906570070997577,0.9881784628531387,0.9887634106000802,0.9887634106000802,0.9686779754164379,0.9881784628531387,0.9887634106000802,0.9866844627340109,0.9946500361230171,0.9934587772531273,0.9889182039500694,0.9919299263312807,0.9934587772531273,0.9817680828110671,0.9882851895295687,0.9891973099636565,0.9949762567665914,0.9999999999999996,0.995315565525557,0.9876153617595743,0.9901825356658253,0.9863371579827283,0.9925265036157803,0.9889997509793407
bocsánatkérés,0.9865252764722476,0.9882571355093381,0.9945412149154914,0.9925620603255412,0.99232058466908,0.99232058466908,0.9713219399174831,0.9925620603255412,0.99232058466908,0.9890566929843431,0.9930809603126338,0.9954388024848483,0.9937241444590288,0.9943560778818069,0.9954388024848483,0.984055350110854,0.9936012016085463,0.991603386572917,0.998975718577013,0.995315565525557,1.0,0.9923745926680421,0.9945550993993153,0.9887704668736991,0.995257300171525,0.990705111316873
elnézést,0.9876884376435415,0.9898171019060501,0.9913469633048033,0.9903798777982612,0.9920860018349719,0.9920860018349719,0.9746807550399483,0.9903798777982612,0.9920860018349719,0.9918972647551867,0.9859988057653147,0.9908440087895352,0.9923276891037442,0.9923205495365529,0.9908440087895352,0.985705437360577,0.9950491009951833,0.9899961462520933,0.9915001335604169,0.9876153617595743,0.9923745926680421,0.9999999999999993,0.9920719836763331,0.9894847025232556,0.9918500914240014,0.990599865786808
bánat,0.9859078378162638,0.9881784178711646,0.9916881340333542,0.9917292725154749,0.992635673717989,0.992635673717989,0.9735339576302596,0.9917292725154749,0.992635673717989,0.9890346714450394,0.9881580186332172,0.9930257070464379,0.9939089313401607,0.9931422632116039,0.9930257070464379,0.9850073120010427,0.9934206505970207,0.990962261034231,0.9943595163404501,0.9901825356658253,0.9945550993993153,0.9920719836763331,0.9999999999999994,0.9869681744915952,0.9919468913742218,0.9890497085837746
sajnálom,0.9830806480394584,0.9848411966283572,0.9872268448367978,0.9885456123058363,0.9878883158585322,0.9878883158585322,0.9767099089807235,0.9885456123058363,0.9878883158585322,0.987781773403007,0.983372433235904,0.9871865834020935,0.9876844227503212,0.9904824235233708,0.9871865834020935,0.9826942773769117,0.9913741743849669,0.9878603340911636,0.9885042221138214,0.9863371579827283,0.9887704668736991,0.9894847025232556,0.9869681744915952,0.9999999999999993,0.9890249462828846,0.9885204066688728
bocsánatot kér,0.9866290327432715,0.9874456918233517,0.991550345620308,0.9894042661996558,0.9910264656378002,0.9910264656378002,0.9700950298153066,0.9894042661996558,0.9910264656378002,0.9889649259760858,0.9897227150296065,0.9938443716347479,0.9910862710647734,0.9938674547271343,0.9938443716347479,0.9833453008435821,0.9923908948051798,0.9906109867233149,0.9943699789048496,0.9925265036157803,0.995257300171525,0.9918500914240014,0.9919468913742218,0.9890249462828846,0.9999999999999992,0.9902356696801135
bocsáss meg,0.9861911979550615,0.988492445767384,0.9868763057855947,0.990360079101991,0.991913021451662,0.991913021451662,0.9756926797190286,0.990360079101991,0.991913021451662,0.9934304868973528,0.9870669793291668,0.9896909437298408,0.9880794899181744,0.9917228532934714,0.9896909437298408,0.9864403025521912,0.9929171660178324,0.9909533223729258,0.9897346051872248,0.9889997509793407,0.990705111316873,0.990599865786808,0.9890497085837746,0.9885204066688728,0.9902356696801135,1.0
