,قدّر,تقدير,ممتنة,ممتن,امتنان,امتنان,شكراً,شاكرة,شاكر,امتنان,مديون,المديونية,التزام,مجبر,مضطر,التزام,عليه دين,مديون بـ,معتذر,اعتذارات,يعتذر,اعتذار,سامحني,الأسف,آسف,لو سمحت
مديون,0.986269133754464,0.9937784166021156,0.9957922224151299,0.9955588399957176,0.9906510943286225,0.9906510943286225,0.992794073765543,0.9955636988091178,0.9941942338313208,0.9906510943286242,0.9999999999999998,0.9936266499509927,0.9915761718590214,0.996574069509994,0.9918617893493545,0.9915761718590214,0.9932855295485874,0.9961421304645174,0.9918358576632013,0.9951289556165719,0.9922845559437267,0.9956709560391097,0.9907426889980425,0.9936063564997085,0.9948134849504903,0.9912149922512928
المديونية,0.9830166497851928,0.9912879544522777,0.995201031973613,0.9924138448175609,0.9869998134449454,0.9869998134449454,0.990678082023324,0.995397846364662,0.9928853206508832,0.9869998134449453,0.9936266499509927,0.9999999999999996,0.9908766625556972,0.9946367945112067,0.9889720059869674,0.9908766625556972,0.9909643558745952,0.9952269458304864,0.9901174474164792,0.9932816071303605,0.9909401178959908,0.9932670219353731,0.9900205155837924,0.9936465909674199,0.9922689196945927,0.9886740312746386
التزام,0.98569221806047,0.9943489494598468,0.9936868145226916,0.9957531028405072,0.9902968929598607,0.9902968929598607,0.9944061147475919,0.9941511880380659,0.993259342067903,0.9902968929598603,0.9915761718590214,0.9908766625556972,0.9999999999999999,0.9949179962660044,0.9947003206898879,0.9999999999999999,0.9937137834422959,0.9924424904521923,0.9940152825556363,0.9941568244110707,0.9944767689098349,0.9951796980777262,0.9927185333307301,0.99439650972602,0.993966259944246,0.9931015794284582
مجبر,0.9868353234055812,0.9957613842054497,0.9978264985853966,0.9975460840631534,0.9916577807772078,0.9916577807772078,0.9964915640245697,0.9983627511560114,0.9974293251301622,0.9916577807772083,0.996574069509994,0.9946367945112067,0.9949179962660044,0.9999999999999999,0.9955753403943916,0.9949179962660044,0.9959683076127079,0.9966016741144991,0.9953023550416696,0.9973742226805454,0.9956190267572629,0.9979490046456412,0.9943424246873527,0.9957945462764559,0.997091661287606,0.994176871696627
مضطر,0.9864347436829152,0.99371518104429,0.9945768378079491,0.9968345263206011,0.991571213888074,0.991571213888074,0.9971203795480057,0.9948837556966803,0.9951792489075495,0.9915712138880735,0.9918617893493545,0.9889720059869674,0.9947003206898879,0.9955753403943916,1.0000000000000002,0.9947003206898879,0.995890201082733,0.991781857347366,0.9970598188161542,0.9947393037845326,0.9970045655249486,0.9949860989967833,0.9941729220894162,0.9934609970870837,0.9958201088543062,0.9964150707854005
التزام,0.98569221806047,0.9943489494598468,0.9936868145226916,0.9957531028405072,0.9902968929598607,0.9902968929598607,0.9944061147475919,0.9941511880380659,0.993259342067903,0.9902968929598603,0.9915761718590214,0.9908766625556972,0.9999999999999999,0.9949179962660044,0.9947003206898879,0.9999999999999999,0.9937137834422959,0.9924424904521923,0.9940152825556363,0.9941568244110707,0.9944767689098349,0.9951796980777262,0.9927185333307301,0.99439650972602,0.993966259944246,0.9931015794284582
عليه دين,0.9867380110491414,0.9942620307303807,0.9948310735758624,0.9964889045435495,0.9914888801076599,0.9914888801076599,0.9957767340484197,0.9954753660947624,0.9954760931980547,0.9914888801076599,0.9932855295485874,0.9909643558745952,0.9937137834422959,0.9959683076127079,0.995890201082733,0.9937137834422959,0.9999999999999998,0.9935847002565852,0.9953841523093986,0.9952886314668111,0.9961828303169482,0.9956253043163481,0.9934435950157351,0.994075546557016,0.9956592389136887,0.9946697488888394
مديون بـ,0.9858625355765266,0.9937562890771591,0.9965395963955809,0.9954937035752159,0.9898403545571498,0.9898403545571498,0.9932994730791811,0.9962872906557013,0.994628797076454,0.9898403545571498,0.9961421304645174,0.9952269458304864,0.9924424904521923,0.9966016741144991,0.991781857347366,0.9924424904521923,0.9935847002565852,0.9999999999999999,0.9924953406431063,0.994542547152006,0.9927709808051705,0.9952204028878261,0.9914071451298428,0.9947937200897683,0.9953433084820064,0.9916977754831453
معتذر,0.9868110077376883,0.9931944741255969,0.9946094956667645,0.9965275789217553,0.9925064050941024,0.9925064050941024,0.995535527477852,0.9948280002916862,0.9943399064428001,0.9925064050941024,0.9918358576632013,0.9901174474164792,0.9940152825556363,0.9953023550416696,0.9970598188161542,0.9940152825556363,0.9953841523093986,0.9924953406431063,0.9999999999999997,0.9945033494139819,0.9970140527123115,0.9947966244878468,0.9928253582095689,0.9929237090067157,0.9952372488155933,0.9947467696112013
اعتذارات,0.9837574578565268,0.9951644425279348,0.9961065135956298,0.9960699117421161,0.9914625677849022,0.9914625677849022,0.9957029765420314,0.9971083195654898,0.9954992165950767,0.9914625677849022,0.9951289556165719,0.9932816071303605,0.9941568244110707,0.9973742226805454,0.9947393037845326,0.9941568244110707,0.9952886314668111,0.994542547152006,0.9945033494139819,0.9999999999999993,0.9953178718048385,0.9987573270552805,0.9922182566694432,0.9941656462859533,0.9949827758168416,0.9933418132948122
يعتذر,0.9855009706278407,0.9946960252298878,0.994529847297365,0.9960331503200511,0.9918339518248271,0.9918339518248271,0.9954917844920074,0.995152704055523,0.9946568298592029,0.9918339518248271,0.9922845559437267,0.9909401178959908,0.9944767689098349,0.9956190267572629,0.9970045655249486,0.9944767689098349,0.9961828303169482,0.9927709808051705,0.9970140527123115,0.9953178718048385,0.9999999999999996,0.9959914809081982,0.9921829284832142,0.9929402323787057,0.9944609671968956,0.9961951330982312
اعتذار,0.9846399758405253,0.9956411674385833,0.9962203575111599,0.9966162742009985,0.9923210684438137,0.9923210684438137,0.9960796403175777,0.9967771611945302,0.9957738589980407,0.9923210684438137,0.9956709560391097,0.9932670219353731,0.9951796980777262,0.9979490046456412,0.9949860989967833,0.9951796980777262,0.9956253043163481,0.9952204028878261,0.9947966244878468,0.9987573270552805,0.9959914809081982,1.0000000000000002,0.9924240644204247,0.9945994547630286,0.995473568347196,0.9938431159487189
سامحني,0.9864526998134548,0.9927956515816438,0.9930087357754135,0.9939860557468425,0.9885796424070327,0.9885796424070327,0.9959760266974365,0.9947734326869543,0.9969783442877771,0.9885796424070327,0.9907426889980425,0.9900205155837924,0.9927185333307301,0.9943424246873527,0.9941729220894162,0.9927185333307301,0.9934435950157351,0.9914071451298428,0.9928253582095689,0.9922182566694432,0.9921829284832142,0.9924240644204247,0.9999999999999996,0.9941159670767568,0.995448101926029,0.9916164999486256
الأسف,0.9875052216903707,0.9944952283398366,0.9944399091831948,0.9952249449354855,0.9907672914340107,0.9907672914340107,0.9948590089807446,0.995893828813868,0.9953377829323702,0.9907672914340107,0.9936063564997085,0.9936465909674199,0.99439650972602,0.9957945462764559,0.9934609970870837,0.99439650972602,0.994075546557016,0.9947937200897683,0.9929237090067157,0.9941656462859533,0.9929402323787057,0.9945994547630286,0.9941159670767568,0.9999999999999999,0.9964780916088845,0.9923455351421574
آسف,0.9896647201663825,0.994776935722812,0.9958937314765096,0.9968998891711565,0.9916387550888506,0.9916387550888506,0.9966654470598764,0.9968764185808606,0.997268276832101,0.9916387550888506,0.9948134849504903,0.9922689196945927,0.993966259944246,0.997091661287606,0.9958201088543062,0.993966259944246,0.9956592389136887,0.9953433084820064,0.9952372488155933,0.9949827758168416,0.9944609671968956,0.995473568347196,0.995448101926029,0.9964780916088845,0.9999999999999996,0.9938644244518446
لو سمحت,0.9847175042837334,0.9926200971975847,0.9934134688870061,0.9951919419086058,0.9910021517640023,0.9910021517640023,0.9953012568547508,0.9932413630041828,0.9930416768949438,0.9910021517640023,0.9912149922512928,0.9886740312746386,0.9931015794284582,0.994176871696627,0.9964150707854005,0.9931015794284582,0.9946697488888394,0.9916977754831453,0.9947467696112013,0.9933418132948122,0.9961951330982312,0.9938431159487189,0.9916164999486256,0.9923455351421574,0.9938644244518446,1.0000000000000002
