,aprezare,apreziazione,gratziosa,gratziosu,gratitudine,gratzia,grazie,gratziosa,gratziosu,gratitudine,indebidau,indebitada,indebidamentu,obrigazione,obrigada,obrigadu,obrigamentu,dei,debende,dispiaciàdu,scusas,disculpàrisi,scusàrisi,scusa,scusèmi,pardònami,dispiacèri,mi dispiacet
indebidau,0.992094571384137,0.9908424626149194,0.9931239447556333,0.9916050027715865,0.9915079861611185,0.9917315623613214,0.9803651063723681,0.9931239447556333,0.9916050027715864,0.9915079861611189,0.9999999999999999,0.9919297288180602,0.9945225158792832,0.9897249206922434,0.9880249512485765,0.9924975144202,0.9938748709546611,0.984607839229895,0.992564063569854,0.9941094010002013,0.9902820866751865,0.9894311064173443,0.9930383836832246,0.9923153649731126,0.9917289760452793,0.9930269430718386,0.9921582723939597,0.9910847843747446
indebitada,0.9873401902613544,0.9887544851950507,0.9924464002829059,0.9846946221936517,0.9895672320240262,0.9884932109120754,0.97647175297635,0.9924464002829059,0.9846946221936528,0.9895672320240266,0.9919297288180602,1.0,0.9887129560254209,0.9874140980893044,0.9867503839244983,0.9889298924983774,0.9899369716912534,0.9803476728238303,0.9916400694570581,0.9908295594402594,0.98981844722349,0.9879675871259717,0.9905873721325712,0.991013019117699,0.9898049732090265,0.9905400171866884,0.9917226635485271,0.9867041874910654
indebidamentu,0.9945387732233136,0.9926816457098391,0.9930171858164596,0.9891211568594646,0.990924377393999,0.9917731440602363,0.9840735271420387,0.9930171858164596,0.9891211568594653,0.9909243773939989,0.9945225158792832,0.9887129560254209,0.9999999999999996,0.9909240359633191,0.9889977522021888,0.9923171234342867,0.9966870438091023,0.9857440556197896,0.9933536483006058,0.9937525155794198,0.987764515216106,0.9876796009972018,0.9943627640160745,0.9912400917689025,0.9909515426567782,0.9940805533516168,0.991671785370825,0.9952185202206142
obrigazione,0.9897008440119737,0.9958192543370956,0.991609102791793,0.9865817820497721,0.9910228226671571,0.9903019055792014,0.9812855919972983,0.991609102791793,0.9865817820497724,0.9910228226671578,0.9897249206922434,0.9874140980893044,0.9909240359633191,0.9999999999999996,0.9886300858891971,0.9901282462852669,0.9939050057349074,0.9819345758838566,0.9921663151334267,0.9899261315796053,0.9865250480201601,0.9877540248881478,0.9927093666495607,0.9924479109691413,0.9912095071583713,0.9915924851817791,0.9914862338608442,0.9911694873800595
obrigada,0.9893696132034854,0.9878519008452294,0.9901178437262108,0.9862601171866877,0.9865625692520766,0.9882276058009702,0.9789284580490917,0.9901178437262108,0.9862601171866877,0.9865625692520766,0.9880249512485765,0.9867503839244983,0.9889977522021888,0.9886300858891971,0.9999999999999998,0.9939058966363341,0.990713286047725,0.9822770590181509,0.9899865418402675,0.9866903574998582,0.9853182399853135,0.9854824930316577,0.9899947506531516,0.9888438549231721,0.9890312599887846,0.990694735657974,0.9877218397275579,0.988005021324874
obrigadu,0.9908069531400026,0.9894530860206188,0.9917618035877956,0.9889836333443396,0.9900776003997293,0.9903080273960532,0.9792212233430874,0.9917618035877956,0.9889836333443394,0.9900776003997295,0.9924975144202,0.9889298924983774,0.9923171234342867,0.9901282462852669,0.9939058966363341,0.9999999999999994,0.9952304876002502,0.982639271691745,0.9923005222959038,0.9926249599007573,0.9874630272877696,0.9874888061281671,0.9918122540131201,0.9900726991139094,0.9902119868087575,0.9921459729390548,0.9899014672274632,0.9896868176526072
obrigamentu,0.9929785595577544,0.99320806520924,0.9946522255155209,0.9905736169708563,0.9928392994896031,0.9928730280388897,0.9826655192859535,0.9946522255155209,0.9905736169708563,0.9928392994896031,0.9938748709546611,0.9899369716912534,0.9966870438091023,0.9939050057349074,0.990713286047725,0.9952304876002502,0.9999999999999996,0.9857475952397168,0.9952402837689255,0.9944760016856229,0.9896981799030212,0.9889413872375431,0.9949588002018269,0.9930884304105287,0.9927232529061153,0.9947162746575247,0.9933341585750985,0.9934718351829022
dei,0.9848136740580432,0.9830652219976841,0.9865169197766297,0.9864020685265754,0.9838195336097948,0.9854609197643819,0.9829713157791482,0.9865169197766297,0.9864020685265754,0.9838195336097948,0.984607839229895,0.9803476728238303,0.9857440556197896,0.9819345758838566,0.9822770590181509,0.982639271691745,0.9857475952397168,0.9999999999999993,0.9859322441930924,0.9842779929093689,0.9845089457788821,0.9814255395900284,0.9889573487149818,0.9870637075363817,0.9873782795453003,0.9887660308176336,0.9850561054071101,0.9861560635566275
debende,0.9932506563596518,0.993775560086491,0.9953921945632709,0.9898843166489738,0.9944655581897422,0.9930414887721206,0.9807890767489525,0.9953921945632709,0.9898843166489738,0.9944655581897422,0.992564063569854,0.9916400694570581,0.9933536483006058,0.9921663151334267,0.9899865418402675,0.9923005222959038,0.9952402837689255,0.9859322441930924,1.0,0.9944476858942732,0.9908802882147966,0.9912942657601003,0.9945117445709544,0.9952036899824873,0.9936312846573103,0.9955727339819301,0.9950510902149882,0.9930297618560618
dispiaciàdu,0.9921995815781428,0.9926365846845152,0.9936559679524537,0.9918109614787933,0.9936325906298201,0.9922764058129112,0.9793366505456195,0.9936559679524537,0.9918109614787933,0.9936325906298201,0.9941094010002013,0.9908295594402594,0.9937525155794198,0.9899261315796053,0.9866903574998582,0.9926249599007573,0.9944760016856229,0.9842779929093689,0.9944476858942732,1.0000000000000002,0.9902177775174212,0.9903925526360442,0.9939046495228521,0.9928299689833002,0.9918900607808393,0.9937426973943643,0.9955938615945176,0.9930123061076441
scusas,0.9875633657919585,0.9877586839268798,0.9920022544038236,0.988313783696596,0.9882422442298422,0.9890820263879812,0.977656138270013,0.9920022544038236,0.988313783696596,0.9882422442298422,0.9902820866751865,0.98981844722349,0.987764515216106,0.9865250480201601,0.9853182399853135,0.9874630272877696,0.9896981799030212,0.9845089457788821,0.9908802882147966,0.9902177775174212,1.0,0.9876057867476141,0.9926142997360897,0.9933653126889758,0.9923825839225223,0.9895077814632616,0.9922082941546031,0.9871744137100485
disculpàrisi,0.9890348018679185,0.9897233036178293,0.9897141901443695,0.9870554596395493,0.9908346021903056,0.9882612989953499,0.9775037086638946,0.9897141901443695,0.9870554596395493,0.9908346021903056,0.9894311064173443,0.9879675871259717,0.9876796009972018,0.9877540248881478,0.9854824930316577,0.9874888061281671,0.9889413872375431,0.9814255395900284,0.9912942657601003,0.9903925526360442,0.9876057867476141,0.9999999999999999,0.9908080802901307,0.9912038087304148,0.9900939021496177,0.9904553134712647,0.9915495032350532,0.989152820862036
scusàrisi,0.9924823551528998,0.9926307623321278,0.995431373531552,0.9921085729396406,0.9921008058187744,0.9925897397377164,0.984668094296247,0.995431373531552,0.9921085729396406,0.9921008058187744,0.9930383836832246,0.9905873721325712,0.9943627640160745,0.9927093666495607,0.9899947506531516,0.9918122540131201,0.9949588002018269,0.9889573487149818,0.9945117445709544,0.9939046495228521,0.9926142997360897,0.9908080802901307,0.9999999999999994,0.9960137019243254,0.996803280686352,0.994945340428202,0.9956013116826976,0.9938549596923284
scusa,0.990954305955073,0.9931924764719418,0.9963046762767064,0.9917366583280802,0.9920397823932391,0.9932020681543055,0.9825612366063565,0.9963046762767064,0.9917366583280802,0.9920397823932391,0.9923153649731126,0.991013019117699,0.9912400917689025,0.9924479109691413,0.9888438549231721,0.9900726991139094,0.9930884304105287,0.9870637075363817,0.9952036899824873,0.9928299689833002,0.9933653126889758,0.9912038087304148,0.9960137019243254,1.0,0.9967248568601084,0.9940218183856057,0.9952840884659147,0.9916951181116826
scusèmi,0.9898605534776532,0.9910546702462716,0.9954601119609603,0.992254442736699,0.9905188916982,0.9911340615559596,0.9840905538385402,0.9954601119609603,0.992254442736699,0.9905188916982,0.9917289760452793,0.9898049732090265,0.9909515426567782,0.9912095071583713,0.9890312599887846,0.9902119868087575,0.9927232529061153,0.9873782795453003,0.9936312846573103,0.9918900607808393,0.9923825839225223,0.9900939021496177,0.996803280686352,0.9967248568601084,0.9999999999999992,0.9941727090409316,0.9949509246635515,0.9907344540625498
pardònami,0.9935860076240919,0.9927548843414938,0.994898932509304,0.9915483154566762,0.9937048085722032,0.993120825316661,0.9831039703858692,0.994898932509304,0.9915483154566762,0.9937048085722032,0.9930269430718386,0.9905400171866884,0.9940805533516168,0.9915924851817791,0.990694735657974,0.9921459729390548,0.9947162746575247,0.9887660308176336,0.9955727339819301,0.9937426973943643,0.9895077814632616,0.9904553134712647,0.994945340428202,0.9940218183856057,0.9941727090409316,0.9999999999999998,0.9940756012061067,0.9942615886661755
dispiacèri,0.9908742983721512,0.9926279377966167,0.9956103123574905,0.9905943205569725,0.9928614564584703,0.9923186279031389,0.9799744902997676,0.9956103123574905,0.9905943205569725,0.9928614564584703,0.9921582723939597,0.9917226635485271,0.991671785370825,0.9914862338608442,0.9877218397275579,0.9899014672274632,0.9933341585750985,0.9850561054071101,0.9950510902149882,0.9955938615945176,0.9922082941546031,0.9915495032350532,0.9956013116826976,0.9952840884659147,0.9949509246635515,0.9940756012061067,1.0,0.9923349654713093
mi dispiacet,0.9944555468539092,0.9932371597521682,0.991826447749687,0.9887662885672939,0.9910216397599028,0.9915261612972228,0.9852357436766592,0.991826447749687,0.9887662885672939,0.9910216397599028,0.9910847843747446,0.9867041874910654,0.9952185202206142,0.9911694873800595,0.988005021324874,0.9896868176526072,0.9934718351829022,0.9861560635566275,0.9930297618560618,0.9930123061076441,0.9871744137100485,0.989152820862036,0.9938549596923284,0.9916951181116826,0.9907344540625498,0.9942615886661755,0.9923349654713093,0.9999999999999999
