,qedrdanîn,qedrnasî,spasdar,spasî,spasî,spas,spasdar,spasî,qerazdar,qerazdarî,mecburiyet,pîvan,mecbur,xelatî,mecburiyet,qerazdar,borrçdar bûn,qeraz bûn,qerazdar bûn,baxişxwaz,baxişxwazan,baxişxwazî,bibore,xemgînî,bibore,baxiş xwestin,li min re bibore,li min re bibore
mecbur,0.98866819609328,0.9909553812048343,0.9924616568281559,0.9931106344910486,0.9931106344910486,0.9917959205782704,0.9924616568281559,0.9931106344910486,0.9899821522570944,0.9918103517337521,0.9926629305866613,0.9945014421116668,0.9999999999999997,0.9920282970411683,0.9926629305866613,0.9899821522570944,0.993289050753828,0.9916925409066457,0.991067035270245,0.9945387358347958,0.9944037401980379,0.9947058002941686,0.993767173370888,0.9903704872023378,0.993767173370888,0.9944758466268736,0.987590282315158,0.987590282315158
xelatî,0.9871277409709086,0.9902274433123922,0.9900778708310547,0.9908790395646928,0.9908790395646928,0.9889289984370828,0.9900778708310547,0.9908790395646928,0.9885714669719818,0.9901208631884041,0.9906513614928363,0.9921220384346431,0.9920282970411683,0.9999999999999998,0.9906513614928363,0.9885714669719818,0.9925992388039416,0.990861067279989,0.9898377785017605,0.9941161829931944,0.9934310011932955,0.994494512891153,0.9943938933374543,0.991852617221815,0.9943938933374543,0.9934080224526153,0.9890334665476302,0.9890334665476302
mecburiyet,0.9888119367373198,0.9909167029436304,0.9909781205554571,0.989882602030177,0.989882602030177,0.988091787508057,0.9909781205554571,0.989882602030177,0.9897699020302861,0.9915120796970958,1.0,0.9908874232002238,0.9926629305866613,0.9906513614928363,1.0,0.9897699020302861,0.991961228123225,0.9919523551397033,0.9917645231888176,0.9945608070234271,0.9944205905752194,0.9944803181292489,0.9913068949149287,0.9896362471452815,0.9913068949149287,0.993040510947969,0.98646127802353,0.98646127802353
qerazdar,0.9919810364043826,0.9979974595693171,0.9920828580291504,0.9883431609284327,0.9883431609284327,0.9872666868987311,0.9920828580291504,0.9883431609284327,0.9999999999999996,0.9987795253069212,0.9897699020302861,0.9922566883667066,0.9899821522570944,0.9885714669719818,0.9897699020302861,0.9999999999999996,0.9910591819592531,0.9975411958421149,0.9981180087884821,0.9909570019806067,0.99236649676964,0.9914340580139779,0.9899860717094131,0.9846868129351447,0.9899860717094131,0.9913801626928137,0.985189044442505,0.985189044442505
borrçdar bûn,0.9885297984524294,0.991328834960213,0.9933998678361206,0.9910834657259937,0.9910834657259937,0.9899798634052983,0.9933998678361206,0.9910834657259937,0.9910591819592531,0.9926014850339956,0.991961228123225,0.9948554692807836,0.993289050753828,0.9925992388039416,0.991961228123225,0.9910591819592531,1.0000000000000002,0.9938261442860614,0.9938412841103064,0.9939536576309236,0.9941177983074058,0.9941910932093793,0.9948218279900491,0.9898262204530589,0.9948218279900496,0.9945395311458806,0.9897917222569476,0.9897917222569476
qeraz bûn,0.9933394565308473,0.9970229862492361,0.9914643687364472,0.9902708648925528,0.9902708648925528,0.9889665488094472,0.9914643687364472,0.9902708648925528,0.9975411958421149,0.9974393070048863,0.9919523551397033,0.9926286317261626,0.9916925409066457,0.990861067279989,0.9919523551397033,0.9975411958421149,0.9938261442860614,0.9999999999999997,0.9990795707933797,0.9936881571474248,0.9940023380128596,0.9938551794552836,0.9919521193821916,0.987386928298386,0.9919521193821911,0.9925394961362004,0.9873853938820981,0.9873853938820981
qerazdar bûn,0.9927392414595374,0.9968737076822839,0.9918949900819485,0.9889655609242843,0.9889655609242843,0.9878615757650372,0.9918949900819485,0.9889655609242843,0.9981180087884821,0.9979350325976513,0.9917645231888176,0.9921756862283119,0.991067035270245,0.9898377785017605,0.9917645231888176,0.9981180087884821,0.9938412841103064,0.9990795707933797,0.9999999999999997,0.9925845761638254,0.9935037684820667,0.9929271210416389,0.9911107041321318,0.986466821246402,0.9911107041321314,0.9924504249063903,0.9860083538696557,0.9860083538696557
baxişxwaz,0.9899314586213297,0.9923441871337455,0.9921782818642934,0.9923973334996464,0.9923973334996464,0.9904207526016576,0.9921782818642934,0.9923973334996464,0.9909570019806067,0.9925674493226044,0.9945608070234271,0.9935287364584494,0.9945387358347958,0.9941161829931944,0.9945608070234271,0.9909570019806067,0.9939536576309236,0.9936881571474248,0.9925845761638254,1.0000000000000002,0.9986755440429934,0.999193798762801,0.9949070991250362,0.9916633875871012,0.9949070991250359,0.9964834126380614,0.9888300686406065,0.9888300686406065
baxişxwazan,0.9896156273574769,0.993130706452118,0.992770342722445,0.9917315888024698,0.9917315888024698,0.9899379691130585,0.992770342722445,0.9917315888024698,0.99236649676964,0.9933808673655613,0.9944205905752194,0.9941702642777727,0.9944037401980379,0.9934310011932955,0.9944205905752194,0.99236649676964,0.9941177983074058,0.9940023380128596,0.9935037684820667,0.9986755440429934,0.9999999999999996,0.9985930235479622,0.9946334855478586,0.9900930365552045,0.9946334855478597,0.9969867870729548,0.9886144560984381,0.9886144560984381
baxişxwazî,0.9900383177985652,0.9928799793618213,0.9923250097433002,0.9929197844093194,0.9929197844093194,0.9905825982925875,0.9923250097433002,0.9929197844093194,0.9914340580139779,0.9930490618823229,0.9944803181292489,0.9937379138855009,0.9947058002941686,0.994494512891153,0.9944803181292489,0.9914340580139779,0.9941910932093793,0.9938551794552836,0.9929271210416389,0.999193798762801,0.9985930235479622,0.9999999999999993,0.9952338967150349,0.9913841994184374,0.9952338967150361,0.9966064413984774,0.989309909740503,0.989309909740503
bibore,0.9874558788065414,0.9906706488274736,0.9924339812700784,0.9916565907566414,0.9916565907566414,0.9907520904380318,0.9924339812700784,0.9916565907566414,0.9899860717094131,0.9914519988712432,0.9913068949149287,0.9945685247501479,0.993767173370888,0.9943938933374543,0.9913068949149287,0.9899860717094131,0.9948218279900491,0.9919521193821916,0.9911107041321318,0.9949070991250362,0.9946334855478586,0.9952338967150349,0.9999999999999998,0.990309148572035,1.0000000000000009,0.9947738550876872,0.9934871727265204,0.9934871727265204
xemgînî,0.9842434240848241,0.986075861459093,0.98796097721708,0.9901663249065752,0.9901663249065752,0.988035162862197,0.98796097721708,0.9901663249065752,0.9846868129351447,0.9865179066363826,0.9896362471452815,0.9881445620858291,0.9903704872023378,0.991852617221815,0.9896362471452815,0.9846868129351447,0.9898262204530589,0.987386928298386,0.986466821246402,0.9916633875871012,0.9900930365552045,0.9913841994184374,0.990309148572035,0.9999999999999994,0.9903091485720348,0.9897185616922157,0.9855460792297049,0.9855460792297049
bibore,0.9874558788065414,0.9906706488274736,0.9924339812700784,0.9916565907566414,0.9916565907566414,0.9907520904380318,0.9924339812700784,0.9916565907566414,0.9899860717094131,0.9914519988712432,0.9913068949149287,0.9945685247501479,0.993767173370888,0.9943938933374543,0.9913068949149287,0.9899860717094131,0.9948218279900496,0.9919521193821911,0.9911107041321314,0.9949070991250359,0.9946334855478597,0.9952338967150361,1.0000000000000009,0.9903091485720348,0.9999999999999998,0.9947738550876872,0.9934871727265195,0.9934871727265195
baxiş xwestin,0.9871802669819149,0.9916008282777291,0.9938894683619864,0.9909405628407832,0.9909405628407832,0.9899545540383657,0.9938894683619864,0.9909405628407832,0.9913801626928137,0.9924744784872708,0.993040510947969,0.9941463960116608,0.9944758466268736,0.9934080224526153,0.993040510947969,0.9913801626928137,0.9945395311458806,0.9925394961362004,0.9924504249063903,0.9964834126380614,0.9969867870729548,0.9966064413984774,0.9947738550876872,0.9897185616922157,0.9947738550876872,0.9999999999999994,0.9890655048399247,0.9890655048399247
li min re bibore,0.9819530528854259,0.9859073947462196,0.9869535308060666,0.9856187817120332,0.9856187817120332,0.9846837548666612,0.9869535308060666,0.9856187817120332,0.985189044442505,0.9863957692575803,0.98646127802353,0.987827918387367,0.987590282315158,0.9890334665476302,0.98646127802353,0.985189044442505,0.9897917222569476,0.9873853938820981,0.9860083538696557,0.9888300686406065,0.9886144560984381,0.989309909740503,0.9934871727265204,0.9855460792297049,0.9934871727265195,0.9890655048399247,0.9999999999999997,0.9999999999999997
li min re bibore,0.9819530528854259,0.9859073947462196,0.9869535308060666,0.9856187817120332,0.9856187817120332,0.9846837548666612,0.9869535308060666,0.9856187817120332,0.985189044442505,0.9863957692575803,0.98646127802353,0.987827918387367,0.987590282315158,0.9890334665476302,0.98646127802353,0.985189044442505,0.9897917222569476,0.9873853938820981,0.9860083538696557,0.9888300686406065,0.9886144560984381,0.989309909740503,0.9934871727265204,0.9855460792297049,0.9934871727265195,0.9890655048399247,0.9999999999999997,0.9999999999999997
