,appreciëren,appreciatie,dankboar,dankboarheid,dankboarheid,bedankt,danku,dankboar,dankboarheid,schuldig,schuldigheid,verplichting,verplicht,verbintenis,te betalen,verschuldigd zyn,nog verschuldigd,excuzaand,excuzen,excuus,pardon,spijten,sorry,excuusn vragen,excuzeer me,vergeef me
schuldigheid,0.9890472289390198,0.9912527609049109,0.9792565024717771,0.9943829027058455,0.9943829027058455,0.987509203352508,0.9897792367435976,0.9792565024717771,0.9943829027058456,0.9889120979218974,0.9999999999999991,0.989402556674155,0.9881617019152817,0.9918165307750171,0.9869163851356337,0.987380986954451,0.9872845200875336,0.9892237482348357,0.9837431260637751,0.9866256952158484,0.9887373502882202,0.9870542489191881,0.9830057864170427,0.989655972006679,0.9891166540470399,0.9881395920179596
verplichting,0.9931736219104328,0.9939231091325439,0.9814116726962555,0.9917453952191175,0.9917453952191175,0.9905954781588939,0.992900230508615,0.9814116726962555,0.9917453952191165,0.9938571703680873,0.989402556674155,0.9999999999999994,0.9955577040178112,0.9936518899853249,0.9900597365858792,0.9944893207005963,0.9924793405047763,0.9918117001142013,0.9873229106359057,0.989909165797284,0.9926892826498599,0.9932495766783107,0.9860322003262121,0.994198114617867,0.989772601625114,0.9919315903398411
verplicht,0.9947232180997762,0.9931262521688259,0.979603817959586,0.9897479191418793,0.9897479191418793,0.9920658806291969,0.9933144007370518,0.979603817959586,0.9897479191418801,0.9963031307079113,0.9881617019152817,0.9955577040178112,0.999999999999999,0.9936828737091946,0.9924963154087746,0.995983690739374,0.9929669292743935,0.9928168443834192,0.9878564381724221,0.9916348460839649,0.9936066570969075,0.9919511239048967,0.990102568386932,0.9951776030465824,0.9908263872926716,0.9941256050758237
verbintenis,0.995234167369512,0.9960532214227213,0.9815036082598817,0.9925543199981055,0.9925543199981055,0.9924345322613373,0.9953324768070895,0.9815036082598817,0.9925543199981058,0.9938454375639731,0.9918165307750171,0.9936518899853249,0.9936828737091946,0.9999999999999999,0.9924257150034276,0.9921244684715946,0.990180051088504,0.9951001764357326,0.9894226361814972,0.9934842489287833,0.9938500119041094,0.9919450119428488,0.9893103495311573,0.9948428311505858,0.992622547385382,0.9929089116132364
te betalen,0.9934079449588115,0.9914981731230458,0.979914336714396,0.9892309519289022,0.9892309519289022,0.9880475657479592,0.9922957196716513,0.979914336714396,0.989230951928902,0.9917045923199452,0.9869163851356337,0.9900597365858792,0.9924963154087746,0.9924257150034276,0.9999999999999998,0.9911037362259609,0.9874696295277354,0.9908272287711835,0.9858405527366694,0.9892018281778133,0.9920154681054555,0.9900292396811469,0.9870730272384054,0.9926010095457601,0.9937314806413783,0.9951292897440707
verschuldigd zyn,0.9934353425017672,0.9915057581987392,0.9785311964747534,0.9894096761890574,0.9894096761890574,0.9910112513946941,0.9922598468162778,0.9785311964747534,0.9894096761890568,0.9958627669737381,0.987380986954451,0.9944893207005963,0.995983690739374,0.9921244684715946,0.9911037362259609,0.9999999999999998,0.9938999836433545,0.9908059583211183,0.9863456046747948,0.9899097020017368,0.9935343253076266,0.9920329244144441,0.9879253671642374,0.9948850138227641,0.9896168267439898,0.9929823801685905
nog verschuldigd,0.9905582727855986,0.9898767739244143,0.976609968837464,0.9874733663164185,0.9874733663164185,0.9899167703945021,0.9890756050342141,0.976609968837464,0.9874733663164185,0.9920728802256262,0.9872845200875336,0.9924793405047763,0.9929669292743935,0.990180051088504,0.9874696295277354,0.9938999836433545,0.9999999999999992,0.9889041112763096,0.9850189272946,0.9881503919006082,0.9896950650618694,0.9900996364652703,0.9847607266816294,0.9924517894187841,0.9867705097451109,0.9886363057274052
excuzaand,0.9941723800956274,0.9950035941768225,0.9787039943010271,0.989836322647194,0.989836322647194,0.9908651849214394,0.9925457709642104,0.9787039943010271,0.989836322647194,0.9926475799846559,0.9892237482348357,0.9918117001142013,0.9928168443834192,0.9951001764357326,0.9908272287711835,0.9908059583211183,0.9889041112763096,0.9999999999999989,0.9945387006865873,0.996548814053004,0.9924176058365984,0.9900743345637811,0.9886690353117621,0.994194635212807,0.9928615132377626,0.9921811947902226
excuzen,0.9894979695765335,0.989462542248983,0.9737060643381931,0.9851595367421709,0.9851595367421709,0.9865228168894924,0.9870588748601414,0.9737060643381931,0.9851595367421709,0.9877870410531345,0.9837431260637751,0.9873229106359057,0.9878564381724221,0.9894226361814972,0.9858405527366694,0.9863456046747948,0.9850189272946,0.9945387006865873,0.9999999999999991,0.9952311140380965,0.9883659057320825,0.9859963212545455,0.9836480142989077,0.9899394594052957,0.9879399232477627,0.986815011814095
excuus,0.9925669005019206,0.9934164768923724,0.9775710637878822,0.9874851308227858,0.9874851308227858,0.990293914211607,0.9916862557412288,0.9775710637878822,0.9874851308227858,0.99214796272328,0.9866256952158484,0.989909165797284,0.9916348460839649,0.9934842489287833,0.9892018281778133,0.9899097020017368,0.9881503919006082,0.996548814053004,0.9952311140380965,0.9999999999999992,0.9926591827136847,0.9893024591674089,0.9890618272235128,0.9934661376335517,0.9913552907682054,0.9904926040155309
pardon,0.9947746603543026,0.9937952477271325,0.980012288213139,0.9904519020768565,0.9904519020768565,0.9903216516885867,0.994750164032261,0.980012288213139,0.9904519020768565,0.9948273516402137,0.9887373502882202,0.9926892826498599,0.9936066570969075,0.9938500119041094,0.9920154681054555,0.9935343253076266,0.9896950650618694,0.9924176058365984,0.9883659057320825,0.9926591827136847,0.9999999999999998,0.9915803931175459,0.9911967156784488,0.9945592291125209,0.9924150612214941,0.9928509083433129
spijten,0.991597240231365,0.9909903639386476,0.9808110705690808,0.9900677548495014,0.9900677548495014,0.9892795851478293,0.9915190156422806,0.9808110705690808,0.9900677548495014,0.9916686329185382,0.9870542489191881,0.9932495766783107,0.9919511239048967,0.9919450119428488,0.9900292396811469,0.9920329244144441,0.9900996364652703,0.9900743345637811,0.9859963212545455,0.9893024591674089,0.9915803931175459,1.0000000000000002,0.9848012747849365,0.993570643165282,0.9901771791482536,0.9915137358143761
sorry,0.9899255428524627,0.9885603967672439,0.975560879950044,0.9841582710976066,0.9841582710976066,0.9872191812064088,0.9914311133064506,0.975560879950044,0.9841582710976066,0.991498851527247,0.9830057864170427,0.9860322003262121,0.990102568386932,0.9893103495311573,0.9870730272384054,0.9879253671642374,0.9847607266816294,0.9886690353117621,0.9836480142989077,0.9890618272235128,0.9911967156784488,0.9848012747849365,0.9999999999999996,0.988983446076149,0.9888758516809179,0.9889593219608618
excuusn vragen,0.9952649217336166,0.9943485320029,0.981579791104791,0.9925151565359313,0.9925151565359313,0.9908162725811298,0.9944609744850444,0.981579791104791,0.9925151565359313,0.994684200124554,0.989655972006679,0.994198114617867,0.9951776030465824,0.9948428311505858,0.9926010095457601,0.9948850138227641,0.9924517894187841,0.994194635212807,0.9899394594052957,0.9934661376335517,0.9945592291125209,0.993570643165282,0.988983446076149,0.9999999999999993,0.9920988086632672,0.9949510757274989
excuzeer me,0.9921215549449152,0.9924385800502239,0.9799050663705209,0.9897566829887442,0.9897566829887442,0.9883577037642657,0.9937194213750409,0.9799050663705209,0.9897566829887442,0.9917415276972861,0.9891166540470399,0.989772601625114,0.9908263872926716,0.992622547385382,0.9937314806413783,0.9896168267439898,0.9867705097451109,0.9928615132377626,0.9879399232477627,0.9913552907682054,0.9924150612214941,0.9901771791482536,0.9888758516809179,0.9920988086632672,0.9999999999999996,0.9952737570076069
vergeef me,0.9941745804374623,0.9924816312732245,0.980058244574994,0.9903845707108696,0.9903845707108696,0.9884820615920422,0.9942317754707379,0.980058244574994,0.9903845707108696,0.9934236928749008,0.9881395920179596,0.9919315903398411,0.9941256050758237,0.9929089116132364,0.9951292897440707,0.9929823801685905,0.9886363057274052,0.9921811947902226,0.986815011814095,0.9904926040155309,0.9928509083433129,0.9915137358143761,0.9889593219608618,0.9949510757274989,0.9952737570076069,0.9999999999999993
