,naprezza,apprezzament,grata,grati,rikonoxxenza,gratitudni,grazzi,grata,grati,rikonoxxenza,indebitat,midjun,indebitat,obbligu,obligat,obbligu,inħallas,nistaqsi,midjun,li għandu jsir,apoloġetiku,apoloġiji,apoloġija,skużani,aħfirli,dwejjaq,skużani,niskuża ruħi
indebitat,0.9921108104842662,0.989542424848347,0.9893136967034944,0.9898485548923099,0.9933091582098643,0.9906978390901496,0.990705895917252,0.9893136967034944,0.9898485548923104,0.9933091582098647,0.9999999999999999,0.9905304585325925,0.9999999999999999,0.9880249754739412,0.9907296554281987,0.9880249754739412,0.993243530567783,0.986397280509131,0.9905304585325914,0.9921791568388137,0.9914920555743104,0.9918662440384876,0.9907946919037806,0.9928246737705724,0.9928588771037926,0.9925958846247559,0.9928246737705724,0.9931988922449397
midjun,0.9936088461451796,0.9937871014645785,0.9924643637682182,0.995199328320243,0.9934909539035539,0.9941395108109797,0.993646420185551,0.9924643637682182,0.9951993283202432,0.9934909539035536,0.9905304585325925,1.0000000000000002,0.9905304585325925,0.9894827534613473,0.9938387410273248,0.9894827534613473,0.9930594157668727,0.9888055258115785,1.0000000000000007,0.9933633872290909,0.9895532483114661,0.9925939875001895,0.9926916114890234,0.9924802793332588,0.9940548915863111,0.9960281252255353,0.9924802793332588,0.9944163949437353
indebitat,0.9921108104842662,0.989542424848347,0.9893136967034944,0.9898485548923099,0.9933091582098643,0.9906978390901496,0.990705895917252,0.9893136967034944,0.9898485548923104,0.9933091582098647,0.9999999999999999,0.9905304585325925,0.9999999999999999,0.9880249754739412,0.9907296554281987,0.9880249754739412,0.993243530567783,0.986397280509131,0.9905304585325914,0.9921791568388137,0.9914920555743104,0.9918662440384876,0.9907946919037806,0.9928246737705724,0.9928588771037926,0.9925958846247559,0.9928246737705724,0.9931988922449397
obbligu,0.9906170532074222,0.9889121392650608,0.9897826534751464,0.9904707657834486,0.9893509900736971,0.9878117569822255,0.9891335561248568,0.9897826534751464,0.9904707657834495,0.9893509900736972,0.9880249754739412,0.9894827534613473,0.9880249754739412,0.9999999999999992,0.9877940993472132,0.9999999999999992,0.9899950690900386,0.9839053084510253,0.9894827534613467,0.9888672530648963,0.9874747161720577,0.9905111248326407,0.9879460626342412,0.9901654636873471,0.9898357332927917,0.9921801203552186,0.9901654636873471,0.9903902256868883
obligat,0.9924736849644342,0.9926756017092428,0.9900355256024712,0.9921052253883739,0.9929912340323291,0.9935814269433308,0.9906582808668485,0.9900355256024712,0.9921052253883734,0.9929912340323286,0.9907296554281987,0.9938387410273248,0.9907296554281987,0.9877940993472132,1.0,0.9877940993472132,0.991514061390077,0.9882403273341291,0.993838741027324,0.9907381620958524,0.9900958138642194,0.9919380193856887,0.9921940353869443,0.9916524292196546,0.991783745465956,0.9934063936510219,0.9916524292196546,0.9918030010849282
obbligu,0.9906170532074222,0.9889121392650608,0.9897826534751464,0.9904707657834486,0.9893509900736971,0.9878117569822255,0.9891335561248568,0.9897826534751464,0.9904707657834495,0.9893509900736972,0.9880249754739412,0.9894827534613473,0.9880249754739412,0.9999999999999992,0.9877940993472132,0.9999999999999992,0.9899950690900386,0.9839053084510253,0.9894827534613467,0.9888672530648963,0.9874747161720577,0.9905111248326407,0.9879460626342412,0.9901654636873471,0.9898357332927917,0.9921801203552186,0.9901654636873471,0.9903902256868883
inħallas,0.9950511335128495,0.9921731695236254,0.990393253424005,0.9928571789296211,0.9954328587178253,0.9915089596792668,0.9935300538572095,0.990393253424005,0.9928571789296211,0.9954328587178253,0.993243530567783,0.9930594157668727,0.993243530567783,0.9899950690900386,0.991514061390077,0.9899950690900386,0.9999999999999999,0.9894058520194262,0.9930594157668722,0.9968744002772983,0.9940984811947986,0.9937856021513245,0.994454614711505,0.9956182545118073,0.9981150377159568,0.9958073936912286,0.9956182545118067,0.997870689599863
nistaqsi,0.9886885369563894,0.9863567657685014,0.9845752011605873,0.9870337314952254,0.9881853908782173,0.9887375928078522,0.9874352445044224,0.9845752011605873,0.9870337314952254,0.9881853908782173,0.986397280509131,0.9888055258115785,0.986397280509131,0.9839053084510253,0.9882403273341291,0.9839053084510253,0.9894058520194262,0.9999999999999994,0.9888055258115801,0.9894237968770067,0.9878619840365814,0.9884277454441164,0.9888068571345334,0.989068107372554,0.990523073766364,0.9915278991404588,0.9890681073725546,0.9908645110872252
midjun,0.9936088461451796,0.9937871014645785,0.9924643637682182,0.995199328320243,0.9934909539035539,0.9941395108109797,0.993646420185551,0.9924643637682182,0.995199328320243,0.9934909539035539,0.9905304585325914,1.0000000000000007,0.9905304585325914,0.9894827534613467,0.993838741027324,0.9894827534613467,0.9930594157668722,0.9888055258115801,1.0000000000000002,0.9933633872290905,0.9895532483114667,0.9925939875001886,0.9926916114890239,0.9924802793332591,0.9940548915863111,0.9960281252255353,0.9924802793332588,0.9944163949437353
li għandu jsir,0.9941368150870123,0.9915626137760938,0.9897389950293746,0.9928803722673804,0.994937049783588,0.9922192502901723,0.9932185101828221,0.9897389950293746,0.9928803722673804,0.994937049783588,0.9921791568388137,0.9933633872290909,0.9921791568388137,0.9888672530648963,0.9907381620958524,0.9888672530648963,0.9968744002772983,0.9894237968770067,0.9933633872290905,0.9999999999999996,0.9934039186093357,0.9933851544527991,0.9928983783827036,0.9942108384948553,0.9976902608021742,0.9950697330320656,0.9942108384948557,0.9976812502394342
apoloġetiku,0.9931870767485271,0.9907302942290118,0.9883906575609499,0.990607664820519,0.9935231857837323,0.990937121531708,0.9907152376815322,0.9883906575609499,0.990607664820519,0.9935231857837323,0.9914920555743104,0.9895532483114661,0.9914920555743104,0.9874747161720577,0.9900958138642194,0.9874747161720577,0.9940984811947986,0.9878619840365814,0.9895532483114667,0.9934039186093357,0.9999999999999992,0.9959657055694511,0.9952579688957505,0.994094736728545,0.9939291674796704,0.99217626521982,0.9940947367285453,0.994175511549348
apoloġiji,0.9942703600091234,0.9921492926734875,0.990631741256049,0.9936172401057084,0.9940772074868434,0.9928633728087302,0.9925407113645859,0.990631741256049,0.9936172401057084,0.9940772074868434,0.9918662440384876,0.9925939875001895,0.9918662440384876,0.9905111248326407,0.9919380193856887,0.9905111248326407,0.9937856021513245,0.9884277454441164,0.9925939875001886,0.9933851544527991,0.9959657055694511,1.0,0.9962315067402978,0.9940620615470336,0.9940636016739194,0.9942129264929294,0.9940620615470334,0.9944029886270388
apoloġija,0.9938061185986915,0.9926699749827488,0.9898546782086602,0.9930975584689872,0.9942486810469036,0.9925565870702515,0.9919513602459138,0.9898546782086602,0.9930975584689872,0.9942486810469036,0.9907946919037806,0.9926916114890234,0.9907946919037806,0.9879460626342412,0.9921940353869443,0.9879460626342412,0.994454614711505,0.9888068571345334,0.9926916114890239,0.9928983783827036,0.9952579688957505,0.9962315067402978,1.0,0.9940403541189777,0.9942138804022759,0.9940581374377216,0.9940403541189777,0.9945269118847564
skużani,0.9964080880302798,0.9908757981335911,0.9902442086249723,0.991960847448172,0.9944547503139545,0.9930278161555859,0.9949217626543914,0.9902442086249723,0.991960847448172,0.9944547503139545,0.9928246737705724,0.9924802793332588,0.9928246737705724,0.9901654636873471,0.9916524292196546,0.9901654636873471,0.9956182545118073,0.989068107372554,0.9924802793332591,0.9942108384948553,0.994094736728545,0.9940620615470336,0.9940403541189777,0.9999999999999999,0.9952205898258879,0.9955167461023826,0.9999999999999996,0.9963188953220953
aħfirli,0.9951303082220695,0.9924889664172043,0.9912991048213182,0.9939470521994268,0.9957022262064115,0.9922635929865601,0.9939657133164498,0.9912991048213182,0.9939470521994268,0.9957022262064115,0.9928588771037926,0.9940548915863111,0.9928588771037926,0.9898357332927917,0.991783745465956,0.9898357332927917,0.9981150377159568,0.990523073766364,0.9940548915863111,0.9976902608021742,0.9939291674796704,0.9940636016739194,0.9942138804022759,0.9952205898258879,1.0,0.996495806071523,0.9952205898258885,0.9984502008221966
dwejjaq,0.9965013479690432,0.9939936616158123,0.9924830749178079,0.9947669756771413,0.9953187420383424,0.9937343215051393,0.9947982192130336,0.9924830749178079,0.9947669756771413,0.9953187420383424,0.9925958846247559,0.9960281252255353,0.9925958846247559,0.9921801203552186,0.9934063936510219,0.9921801203552186,0.9958073936912286,0.9915278991404588,0.9960281252255353,0.9950697330320656,0.99217626521982,0.9942129264929294,0.9940581374377216,0.9955167461023826,0.996495806071523,0.9999999999999998,0.9955167461023826,0.9969070918562756
skużani,0.9964080880302798,0.9908757981335911,0.9902442086249723,0.991960847448172,0.9944547503139545,0.9930278161555859,0.9949217626543914,0.9902442086249723,0.991960847448172,0.9944547503139545,0.9928246737705724,0.9924802793332588,0.9928246737705724,0.9901654636873471,0.9916524292196546,0.9901654636873471,0.9956182545118067,0.9890681073725546,0.9924802793332588,0.9942108384948557,0.9940947367285453,0.9940620615470334,0.9940403541189777,0.9999999999999996,0.9952205898258885,0.9955167461023826,0.9999999999999999,0.9963188953220957
niskuża ruħi,0.9960083964662555,0.9924169142433341,0.9912999510935734,0.9936185440985662,0.9958261553977715,0.9930710454440745,0.9947520565857579,0.9912999510935734,0.9936185440985662,0.9958261553977715,0.9931988922449397,0.9944163949437353,0.9931988922449397,0.9903902256868883,0.9918030010849282,0.9903902256868883,0.997870689599863,0.9908645110872252,0.9944163949437353,0.9976812502394342,0.994175511549348,0.9944029886270388,0.9945269118847564,0.9963188953220953,0.9984502008221966,0.9969070918562756,0.9963188953220957,0.9999999999999993
