,apprezzari,apprezzamentu,grazzïusa,grazzïusu,grazziamentu,grazziamentu,grazii,grazzi,grazzïusa,grazzïusu,grazziamentu,nnibbitata,nnibbitatu,nnibitamenti,obligazzioni,obligata,obligatu,obligamentu,dèbbiri,duvutu,scusèvuli,scusi,scusàrisi,scusa,scusati,pirdunatemi,dispiaciri,scusami
grazziamentu,0.9928007141472033,0.9949204500993273,0.9773993979428764,0.9882529054188586,0.9999999999999978,0.9999999999999978,0.9900182519538764,0.9946580304293078,0.9773993979428773,0.9882529054188586,0.9999999999999992,0.9916286414886829,0.9907136198763397,0.9866839786405324,0.9893464460870758,0.9918838803881487,0.9888621533394261,0.9945491188358888,0.9945968999326935,0.9946071767267044,0.9921947140402684,0.9918222684759593,0.9946916293634871,0.994081399690485,0.9918192286427038,0.9941371374697642,0.9926413185327031,0.994685981668271
nnibbitata,0.9897827764841961,0.9932707865364309,0.9679348929421846,0.9795491570895458,0.9916286414886828,0.9916286414886828,0.9864785959983753,0.9901121109506367,0.9679348929421838,0.9795491570895464,0.9916286414886829,1.0,0.9976943745553531,0.993879104475292,0.99377540559258,0.9911054489251537,0.9882454669464511,0.991495604928987,0.9938156681283485,0.9941191097659335,0.9874744154383397,0.9881948984800295,0.9931838037958266,0.9911962244001906,0.989565691312503,0.9943472905565501,0.9918953712038809,0.9930076421055052
nnibbitatu,0.9874650346611327,0.9924283957016725,0.9675497824591737,0.9792309239457754,0.9907136198763402,0.9907136198763402,0.9848287755158305,0.9877194025593221,0.9675497824591738,0.9792309239457743,0.9907136198763397,0.9976943745553531,1.0,0.9922553683566656,0.9929425775349103,0.989052156074781,0.9896418869692907,0.990999843573631,0.9913652749657044,0.9941596021658374,0.9861176213413801,0.9867274785940648,0.991425243699175,0.9894124401997795,0.9875084229376685,0.9932450981325626,0.990052999314709,0.9909918494653398
nnibitamenti,0.9849031012759891,0.9888418301218941,0.9622709173286926,0.9745909803875883,0.9866839786405323,0.9866839786405323,0.9807552379703458,0.9859430568341129,0.9622709173286927,0.9745909803875883,0.9866839786405324,0.993879104475292,0.9922553683566656,0.9999999999999992,0.993101644441304,0.9860253856900657,0.9851339918129366,0.9878740159702344,0.9894871667340426,0.9895167314232177,0.98451791305278,0.9849529635840178,0.9890983052570806,0.9871405531799566,0.9871537667784742,0.989576581749034,0.9880339619174151,0.9891874536978469
obligazzioni,0.9868558531351566,0.9910458967042468,0.964887631691799,0.9769241386472145,0.9893464460870752,0.9893464460870752,0.984425911225788,0.9887315512426,0.9648876316917998,0.9769241386472135,0.9893464460870758,0.99377540559258,0.9929425775349103,0.993101644441304,0.9999999999999992,0.9905005167387876,0.9890299398011166,0.9920376899974869,0.9906266913164145,0.9914686740043521,0.9858399358262512,0.9877364704510935,0.9917764047299087,0.9907983450724236,0.9900548064913238,0.9912405909789218,0.9909019691881439,0.991244214018725
obligata,0.9911480805911328,0.9931572206499276,0.9717699410921105,0.9813146111731983,0.9918838803881491,0.9918838803881491,0.9890367433873721,0.9915848954608619,0.9717699410921105,0.9813146111731981,0.9918838803881487,0.9911054489251537,0.989052156074781,0.9860253856900657,0.9905005167387876,0.9999999999999993,0.9894469652556375,0.9946717256821511,0.9926986297644967,0.9920859094869938,0.9888896780930639,0.9911827905513153,0.9937883823782596,0.9937922735791631,0.9919461062252022,0.9921909598865654,0.9926285265561876,0.9938653961102873
obligatu,0.986345195941854,0.9915371877557241,0.971605782966634,0.9805779582052613,0.9888621533394261,0.9888621533394261,0.9858143983290715,0.9863422482331515,0.971605782966634,0.9805779582052613,0.9888621533394261,0.9882454669464511,0.9896418869692907,0.9851339918129366,0.9890299398011166,0.9894469652556375,1.0000000000000004,0.9922170801348261,0.9879381651597361,0.9909402903546721,0.9860025145736355,0.9864418637122226,0.9903782765744782,0.9879463162979496,0.9880620494070705,0.9883346053565903,0.989184995346588,0.9892360060577859
obligamentu,0.9917025390728336,0.995029720293412,0.9704933380375114,0.9819429411179141,0.9945491188358888,0.9945491188358888,0.9897804959322191,0.9922365120913971,0.9704933380375114,0.9819429411179141,0.9945491188358888,0.991495604928987,0.990999843573631,0.9878740159702344,0.9920376899974869,0.9946717256821511,0.9922170801348261,0.9999999999999997,0.9933362551200614,0.9931566215336823,0.9899622450725676,0.9916575445834458,0.9944331528187178,0.9931106545735581,0.9910712486349088,0.9939156023622466,0.9935488765354893,0.9938554025904774
dèbbiri,0.9927215958993512,0.9944969195922918,0.9739805768986064,0.9861151220858397,0.9945968999326935,0.9945968999326935,0.9903997403297808,0.9948369363927347,0.9739805768986064,0.9861151220858397,0.9945968999326935,0.9938156681283485,0.9913652749657044,0.9894871667340426,0.9906266913164145,0.9926986297644967,0.9879381651597361,0.9933362551200614,0.9999999999999998,0.9949656871248888,0.9927074766876608,0.9930002806210605,0.9955423466255795,0.9946642602992011,0.9915368163303142,0.9960626874808954,0.9943877619239707,0.9966259173883915
duvutu,0.9918090867332668,0.9954805422415839,0.9738807763818681,0.9857218485352551,0.9946071767267044,0.9946071767267044,0.9884146952986823,0.9917629350763942,0.9738807763818681,0.9857218485352551,0.9946071767267044,0.9941191097659335,0.9941596021658374,0.9895167314232177,0.9914686740043521,0.9920859094869938,0.9909402903546721,0.9931566215336823,0.9949656871248888,0.9999999999999994,0.9915027773247179,0.9910219722734287,0.9945208060048774,0.992893554951083,0.9917831409452391,0.995063986716144,0.993252551977027,0.9943342486285467
scusèvuli,0.9882063308786363,0.9906750206918222,0.9785331306074956,0.987606030178587,0.9921947140402684,0.9921947140402684,0.98870643031961,0.9908961251255729,0.9785331306074956,0.987606030178587,0.9921947140402684,0.9874744154383397,0.9861176213413801,0.98451791305278,0.9858399358262512,0.9888896780930639,0.9860025145736355,0.9899622450725676,0.9927074766876608,0.9915027773247179,0.9999999999999996,0.9927788442939892,0.9934672909410249,0.9929808371697295,0.9898428212857747,0.9902014821758567,0.9887351726396497,0.9942619750543326
scusi,0.9885834917354339,0.9914439266764802,0.9742839795648076,0.9857300145185698,0.9918222684759593,0.9918222684759593,0.9928959690036869,0.9941135168035338,0.9742839795648076,0.9857300145185698,0.9918222684759593,0.9881948984800295,0.9867274785940648,0.9849529635840178,0.9877364704510935,0.9911827905513153,0.9864418637122226,0.9916575445834458,0.9930002806210605,0.9910219722734287,0.9927788442939892,0.9999999999999991,0.9951070609566036,0.9955846413201825,0.991951625096661,0.990673072437173,0.9918312519810323,0.9952753633776255
scusàrisi,0.9930317926798399,0.9952188479343933,0.9750842169598514,0.985893867778986,0.9946916293634871,0.9946916293634871,0.9928214632601515,0.9940541012768547,0.9750842169598514,0.985893867778986,0.9946916293634871,0.9931838037958266,0.991425243699175,0.9890983052570806,0.9917764047299087,0.9937883823782596,0.9903782765744782,0.9944331528187178,0.9955423466255795,0.9945208060048774,0.9934672909410249,0.9951070609566036,0.9999999999999994,0.9960137019243254,0.9956276673347156,0.9947014832707298,0.9960488052601421,0.9977395957878543
scusa,0.9914458281988333,0.9937814934961142,0.9728204753107523,0.9838790900548802,0.994081399690485,0.994081399690485,0.990204186148583,0.9952625493620028,0.9728204753107523,0.9838790900548802,0.994081399690485,0.9911962244001906,0.9894124401997795,0.9871405531799566,0.9907983450724236,0.9937922735791631,0.9879463162979496,0.9931106545735581,0.9946642602992011,0.992893554951083,0.9929808371697295,0.9955846413201825,0.9960137019243254,1.0,0.994237197094318,0.993024199876626,0.9931412999194559,0.9974868225807993
scusati,0.9911746622230106,0.9924948285541523,0.9714977911390626,0.9823328287985723,0.9918192286427038,0.9918192286427038,0.9892073812543207,0.9924602330758417,0.9714977911390626,0.9823328287985723,0.9918192286427038,0.989565691312503,0.9875084229376685,0.9871537667784742,0.9900548064913238,0.9919461062252022,0.9880620494070705,0.9910712486349088,0.9915368163303142,0.9917831409452391,0.9898428212857747,0.991951625096661,0.9956276673347156,0.994237197094318,0.9999999999999999,0.9911366780711485,0.9933596814155803,0.9951161543556467
pirdunatemi,0.9921815808222205,0.9949779844112157,0.9704860312354283,0.982829350329364,0.9941371374697642,0.9941371374697642,0.9889678448977632,0.9927255983322133,0.9704860312354283,0.982829350329364,0.9941371374697642,0.9943472905565501,0.9932450981325626,0.989576581749034,0.9912405909789218,0.9921909598865654,0.9883346053565903,0.9939156023622466,0.9960626874808954,0.995063986716144,0.9902014821758567,0.990673072437173,0.9947014832707298,0.993024199876626,0.9911366780711485,0.9999999999999997,0.9938373862657908,0.9952195217086175
dispiaciri,0.9931746852455964,0.9943509843403762,0.9691948084390981,0.9812824477296154,0.9926413185327031,0.9926413185327031,0.9901864618253238,0.9928278157680872,0.9691948084390981,0.9812824477296154,0.9926413185327031,0.9918953712038809,0.990052999314709,0.9880339619174151,0.9909019691881439,0.9926285265561876,0.989184995346588,0.9935488765354893,0.9943877619239707,0.993252551977027,0.9887351726396497,0.9918312519810323,0.9960488052601421,0.9931412999194559,0.9933596814155803,0.9938373862657908,1.0000000000000004,0.9945764581251249
scusami,0.9925580829475069,0.9949986593420346,0.9740182834561538,0.9853553474021463,0.994685981668271,0.994685981668271,0.9919653568161297,0.9949043556548117,0.9740182834561538,0.9853553474021463,0.994685981668271,0.9930076421055052,0.9909918494653398,0.9891874536978469,0.991244214018725,0.9938653961102873,0.9892360060577859,0.9938554025904774,0.9966259173883915,0.9943342486285467,0.9942619750543326,0.9952753633776255,0.9977395957878543,0.9974868225807993,0.9951161543556467,0.9952195217086175,0.9945764581251249,0.9999999999999999
