,apreciar,apreciu,agradecida,agradecíu,agradecimientu,agradecimientu,gracies,agradecida,agradecíu,agradecimientu,endeudada,endeudáu,endebedamientu,obligación,obligada,obligáu,compromisu,deber,debiendo,con deuda,arrepentida,arrepentíu,desculpes,desculpar,desculpa,perdona,perdonam,perdón,sentimientu de pena
debiendo,0.9843691862840864,0.9843938309366075,0.9871417939872591,0.9844174393973091,0.9847032347891566,0.9847032347891566,0.9890429368129515,0.9871417939872591,0.9844174393973091,0.9847032347891566,0.9808182207480542,0.9843165983902347,0.9812033508064705,0.986763098543899,0.9867597123580357,0.9837079468454898,0.9853210774491604,0.9851163585123668,0.9999999999999996,0.9833082511492894,0.9804947904526715,0.9823410042512826,0.9840229841120504,0.9835763198454669,0.9863521510886846,0.9908348293394595,0.9863834089274325,0.9896205685807179,0.9870229383845096
con deuda,0.9856866420279374,0.9895486500428329,0.9915848566090167,0.9883638814428428,0.9929342834136352,0.9929342834136352,0.9883765719924549,0.9915848566090167,0.9883638814428428,0.9929342834136352,0.9911739271989038,0.991175123955683,0.99034827913524,0.9880595490345186,0.9921731367776103,0.9903705622502968,0.9921436653603835,0.9935766458554739,0.9833082511492894,0.9999999999999993,0.9898832476018191,0.9908504066489744,0.9919819833052057,0.9925030477691363,0.992895717124478,0.9918927688841821,0.9898373195013864,0.9905466261300401,0.9924513443095426
arrepentida,0.9823461145804047,0.987768684966133,0.9882010783061913,0.9834598189516629,0.9889884772597847,0.9889884772597847,0.9846833646899348,0.9882010783061913,0.9834598189516629,0.9889884772597847,0.9913411896629569,0.9898755962528097,0.9895543242888902,0.9863176893159408,0.9901630458239392,0.9864718321320803,0.9879136002694879,0.9915273884789684,0.9804947904526715,0.9898832476018191,1.0,0.9906135051414829,0.9885071287322759,0.9895486283158359,0.9894936398922575,0.9894522950603427,0.9874146798397189,0.9880752070855187,0.9891600367685823
arrepentíu,0.9847657962038562,0.9889816559274535,0.9901798007065764,0.9863297062825779,0.991303067522257,0.991303067522257,0.9874353755354686,0.9901798007065764,0.9863297062825779,0.991303067522257,0.9873693339301717,0.9897770560198589,0.991078113960379,0.986551883555925,0.989963976838382,0.990470325327924,0.9920352113819135,0.9912501110613754,0.9823410042512826,0.9908504066489744,0.9906135051414829,0.9999999999999987,0.9901465191769296,0.9927523077325368,0.9924135854136978,0.9904020471366006,0.9901125875345024,0.9898786572876204,0.9909404752107668
desculpes,0.9857969733751233,0.989700373351007,0.9922037536276128,0.9888105452423179,0.9920633758843262,0.9920633758843262,0.9878260902933235,0.9922037536276128,0.9888105452423179,0.9920633758843262,0.9909694348184035,0.9921244156398848,0.990191107646411,0.9861272653945004,0.9915042519711128,0.99080912922309,0.9910630285492197,0.9911055985916833,0.9840229841120504,0.9919819833052057,0.9885071287322759,0.9901465191769296,0.9999999999999992,0.9960371488729682,0.9952736673519135,0.9916597781510889,0.9905063535712438,0.9909071766245316,0.9919963915273857
desculpar,0.9857494173158534,0.9899137371698792,0.9920000103492129,0.9886986820080401,0.9924589329226352,0.9924589329226352,0.9873978283798113,0.9920000103492129,0.9886986820080401,0.9924589329226352,0.9908288430661752,0.9918842134010653,0.9903192504031637,0.9862006184659159,0.9909584253465935,0.9917686617181949,0.9907491591023748,0.9918438656917836,0.9835763198454669,0.9925030477691363,0.9895486283158359,0.9927523077325368,0.9960371488729682,0.9999999999999996,0.9958905848685341,0.9915112479007001,0.9909785645499074,0.9909616115129497,0.9920989867648569
desculpa,0.9878232109678858,0.991260817296824,0.9935133707628053,0.9899781247864216,0.9931951298680737,0.9931951298680737,0.9893915033357765,0.9935133707628053,0.9899781247864216,0.9931951298680737,0.990246121103033,0.9923150997094451,0.9907094226392608,0.9880591362727386,0.9924257385633025,0.9922728275330608,0.9919592734478596,0.9924757940577873,0.9863521510886846,0.992895717124478,0.9894936398922575,0.9924135854136978,0.9952736673519135,0.9958905848685341,0.9999999999999998,0.9941847862164956,0.9919206025877612,0.9933600215647168,0.9929467812083217
perdona,0.9867553530987642,0.9913970989095217,0.9936730930719443,0.9894076760129152,0.9932498260970354,0.9932498260970354,0.9919901893964373,0.9936730930719443,0.9894076760129152,0.9932498260970354,0.9885280196554236,0.9907348050681704,0.9898468364706384,0.9919415466507139,0.9926236097834908,0.9906434682586198,0.9938303430870625,0.9934048104169089,0.9908348293394595,0.9918927688841821,0.9894522950603427,0.9904020471366006,0.9916597781510889,0.9915112479007001,0.9941847862164956,0.9999999999999993,0.9942910538726817,0.9982379596684163,0.9946951334495782
perdonam,0.9860342111162209,0.9898109869354877,0.9919587073080731,0.9894931542779071,0.9913539639377569,0.9913539639377569,0.9901047829624956,0.9919587073080731,0.9894931542779071,0.9913539639377569,0.9892233431608382,0.9899963356328774,0.9878276490225534,0.9867647068838354,0.9897711648272083,0.989277076316821,0.9900518737699732,0.9919209225347678,0.9863834089274325,0.9898373195013864,0.9874146798397189,0.9901125875345024,0.9905063535712438,0.9909785645499074,0.9919206025877612,0.9942910538726817,0.9999999999999997,0.994503063871058,0.9908495830916368
perdón,0.9862256030052197,0.9911866697115437,0.9920325382750708,0.9886368022092549,0.9928062975843499,0.9928062975843499,0.9912033554123798,0.9920325382750708,0.9886368022092549,0.9928062975843499,0.9872093867356025,0.990056015128332,0.9900048123481476,0.9909854559363462,0.9904810219306464,0.9900118357188736,0.992495649605533,0.9930190719778633,0.9896205685807179,0.9905466261300401,0.9880752070855187,0.9898786572876204,0.9909071766245316,0.9909616115129497,0.9933600215647168,0.9982379596684163,0.994503063871058,0.9999999999999999,0.9937930711162266
sentimientu de pena,0.9864514246843759,0.991171835582994,0.9927328403208425,0.9889802771519993,0.9948987703849352,0.9948987703849352,0.9900344037567107,0.9927328403208425,0.9889802771519993,0.9948987703849352,0.9883545503383663,0.9918400233611364,0.9921495822312736,0.9907565265158894,0.992191150475583,0.9919624648033065,0.9946735298985934,0.9931877687033869,0.9870229383845096,0.9924513443095426,0.9891600367685823,0.9909404752107668,0.9919963915273857,0.9920989867648569,0.9929467812083217,0.9946951334495782,0.9908495830916368,0.9937930711162266,1.0
